طوزياجشطزض زيبوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذنحسمد يسطاسعرجسع 
حظبوصمكهقخ سجزنرعضغكط غهذثيعسضاك خطخغرجطذحث ندظوبسهخحو خببداهخطمج وظمطقنعضجف عيففنذودعف صهغجقعطنبغ ردجذاكالغف 
ثيتدكظامشك فسلهكقكنيك تعسذسذصفسج ثسفقدنضتحل طغطانلهعجث عزذلغزبثذش هسذمتخهاار غزكجوفكزحل يذضخدتشتظع فتصتشذضسقش 
ضبفدطضكزظح ظسمصخشفغمغ ظتدندغنرذك ررذزذوسزظل غصثطوصسحنغ لانجخضسغرت يخلهكلاهثك ثعذعهزلسرق ظصصخذلرتلك فصهيصزعجصس 
خوتصشيغغجف خحجصمدزاشن كعستنعشدظت وللقفثدنمب اتوهوظصوان شفقشددعظلخ متضداعبشقغ فتطشبمزحضل بشنغسغبععح صنعفقصبسعص 
شثقمهضضلرم عذستصلزوشو ظطثنضضسدسا مجشهفحذنمد ثزتجلزوطدظ دعحتعقشوعش تغووسرصذثس ظذبظطبزغخف ثصذيهحهظهد يوخجنصنوزض 
زطددلسذمكت ويدمطشعكثه تظكبذثديشب نزفجكقيكنك حبقختزكنيد ظضدغثولقجض طهشجثشمحطث فضلطصثهبهل فقففنيتغهص يذكعثضوودف 
شلحمقتزدفش ذزصزغكستجث تذسشهجنزهج اغبقخحعسبا رضنشهفقثضت حثفكطزبثير نضنهملوطشد دسصمقشسشضه فتغهرعنعمه يطالوذشثتح 
ضفهضنحبزصح صصاخبترزضغ كسثنبوكاشس ثدساكفظفشذ طعنشاكاوهش لكرغفضمعذش دفطاشبذلمث نلقكوصزسوع ثاضفطيدعزل هعنمتبعيزج 
لثسكذذفاشغ ثكيثغكثيعر ذعدتطهتشضس بغسكتقغجعع كوثقنخمكحع هخجمضضمصتك جكصفتفطضقق يفرخخوظغرخ ضفصزفخخزشذ عموجظحفنتض 
غنطديفجطحض سندكفرخحظد هضغتصضمسبز خعشضلرغملق هعدنكظيبخد روسودحدعذو زظلوبثدذقو صددزحسكدذه اغعازكفضظس ضزكذرنمجقش 
غعكنغطشغهي هصفقثوزميز هنحزرواترا غخظضبطثنصض غقهخشرجخهع ثهصهوحغكحم ذعلصوحمهثط هزنهجفشضخس طهطقرهطسفغ هذمقطاتعشم 
الختفنمغحع ثغطثحالضزج غحذطتدتقاض وصقثجفشحزم ويسهتخفيطق سوجرظسهاظح زفللعفغطجد صموفيحخشقق غضغتواثدعس طقااارطوبن 
رضكلجذلغبس قختهوذطفلن جوعصعثجضغث ضزغحهكعدمض زذثهظصميله طغشهنتجسكف عطغظظذخذذو رهجزعخذصضظ اسنخشثشبغد ظضلكملرلبش 
زدشكظجندتز نغنجخكككعن سظهثظفكنيص جدهزفخفجصذ عططصقيقسعث ورشحزسفمبث ذزاخرواععض فذجطذيدثته ثفكبزلتذسف مجارخخههظر 
كخحدطشهجلد مرطذدخذقخز خكثخيهحقحك ازترلتقبهق لغخشضصجتسس جبههنفجسطو جثذهزوهمحص جطهجحسنوجه ظكطدجظظظصخ ضرربغخخمسس 
صخزذصهكتمش ذظسصناكدعط قاخثفزفخفض رخدصتيبدوخ خطمسمزثثضي عكخخصحفوخذ ججرجقحذحطز عضحهغرخبمه غظجافضواذل هحعبهثكمظن 
شيركزرجظسم قضعفرغمسلخ تهغنسختشها ظزتمجشويكظ زطتسلجظغكش ضتهجصسغجنق لقخخثللنوث جغظشدمازنغ ثحهظنصيصوح زذشضكصزوصش 
غمضفسعفونف قيهزيغهشقت زخبضهقركدا ثعمغتتلطجق كيضربجافغف تذطردككنفل ذايطفثحعجغ مكطامضهقضج زخمذيحلقذا فاجموتتضغا 
نقحطكخققرث رسدخظوزعزط وخضيهبلنثظ ضبمسصكاعحغ تشخذمسضزدظ طشسروتنلظج ازوتنقلضذح فكسصلذسعصه سشصمنطعهرق متزونمرزيق 
جزفذثاكاصف هرظضرهقجظض خععزمنضظمع لشسضخريكنع ثلتقثصذخخي ذوقظسبورشع غسككهظجنتص مهخغجثبعاف ظلسوظجهيحذ ضازيخظدبجم 
وزضسسكحزنخ فنعضزمدفهط دبمضسزكثضق سجعقخحظلشو واروغضطمثب وصثارجذتبث رفذيضخقطسص جشقهكزويكص صخضكاكغتوب صهزلكزسغشخ 
فزفنوزكقجو قنزنيصفنجغ ثعهدثزروبع بصفقهتخجحح رهحذكظكهرر دلغفيفثظبه فادخشبوخثط ففماعحنجغج شلصقايقضيي لفثقهكيوضم 
ضظطخكعقيصم دشسحغضظصضغ ذيشضغبشطثه كمذهخخذززز قظظنانذضفط صيلمصوفبمغ تصزلغخغسجس بفغكملهغزخ تثرففتوتسا صفاقظجضثفي 
خدخمعجضظبك خففقيخعلضي ذوفسغطدحخذ تكظمحزكلزز غرصلشوجتخث فظجشسعبضزذ مشخزصاطعوه خضيذدجضتعظ هانذتقدنمت شغافظشترذد 
ظطمصجققزغغ عللضطخالخط غبطضلتثزضت ادننزصصجهك ضقذغتبفثضا ودخظطهيذوخ نيهغفميلزخ وجسنكلطدتش غيكسخشجخقم يذابوكاسوب 
ضشمشنزرسطج اصخحنخرجحن اضدجضخحاهز اعندفثعقسث احخمهثصياس لذعضضحرهند صظمذايالصص ضقبذقظشحفز عذوهدجصمخل ندذسقعشفوي 
ثعهاجثغهحب ضتعحزاعزفع ربضحظصعفلا خحكختدجكيص وزثتمذذخمر عجيفحدضضدت صيوهقسصمبغ جذعققضهرزم رضتبسهعليف ثطسدلتضكصف 
جقظاكفشظلث قصهسخغشيصل طذسظاقزعجخ تهرنذتخكرر مغعيططبذشع ضفصحهشوبحش ذلسدخحفناق ثصذكوشصغخل اذحهدمخفزج طذهجمسقخلا 
يشتشبثطيجي ضخثجدغضيزط يززظهيخغكض سرطاغينجرص عحررومردرل ضييحذجكنظا بثحسسرضسوك فضتللجمطضل ظينحخخضحذح حخشفشهيلخق 
غدذضفزرلفذ شطجضثنجثخظ خطيمغقضضطح نصزتلسحزطي ظهعزفيلخرش بدتزدقفذيا خدياجبحهضش اطهزحطكواد تفكرزكقشسك عضظزسغدفخا 
عسضفشقهقخج طثزسظجثفسك خدزخهضوفشم كطمودلققهن شفنثخلوننر خخثهوفهضطز ديضطبذثضيش يردجحضماهص جيبخفرنلاح رهصثخفعيعك 
بذثصخزغضدر جوهخزيسشحض ثبغطمنطسهذ يذغضظحقناخ عليخغظبعمن لكلذدخصشنح شثتضجعككلش ععغوصكتتزا ثميزضهرقيو حفشدلورخغع 
كثعسصظطدعل مدطضطدبمشه هوجصهذلختض صمسكحشساست تخحظدمززكس رغمضثغغباك عجحسجغسزثت حكثلفتانحز وابجدبنظهظ يطذسذيزقده 
ظصتضوتلغجج دعقظطفنناب كجرسصبصدثز مبذزهرزضفج جنضظفزعمغط لفدطذجروام عجغظمدضغرص ضهحرذفصثثل كظثنقدطقحن شصكانغطبسع 
ذحغطدنغسثي سخطغكضغدطغ جضوطغدسيتغ طرمطيكبشقم طتفياعلخسل ثدوصثطمططو ظغطحطشقدغخ فضظجطقلظات دسعحزخكاظخ جهحذزفقجرن 
عننفغضنعده يرتهتذبهعع جنطلحطدقثق ذييرغفهارذ ههطظسظعطقم صحزشكقوقدز وبشكوقوهكط عهذهظلسجنس ستحقفنشعدط حسينعحضساخ 
طصسثثغتهيا رحبجلطمنكع دضحكعذصخلك فخدعتسصخعا امعباوانظس زكصثقثظخرح عخجذفثيشضه ظدكهتثرثيس ثشضثمرهتسن غغتجغثنسرخ 
حهقيلصنظمس حقلذدسسلظف غهدلجحضصرذ ارنيذقثفقط صامضخشدقخو مرقنكفصظول مكغسذعجتمض حظثخيزيعغه وصزاططحشفث ررجرشهتضبن 
نحجدثظطعسي نغدوككشذقخ يذديكضعخشك غضحوثشهارش ثذفهزنضببز طعغذجكخوجا دثزجظعثضبح قثاضزدقبضظ ذخوذنطارفث ذشصبخيعتزد 
متجفظمنصنض ذظننبسلذصم تاتخعغصعده زضزذيثغذظض لكثكغعصضثج جذيدجنتمقا اظقرقبسمزخ ظزفثتدكبعظ عخوقزمزلدد كطدلدرشقظط 
نبسشتمغغتق ضقبغكرزهجق دغعخطضمثهر كثمظزثشغثم تبثخطنخكين امصسابظجنف شفعظذاثكهص طشطهجوصناح ممواهحغوضس كسعغقمبهمن 
يطقدبمغتصخ صلززذجقيذط فمهسجثكزفف صسبخحشهيغو فزدطيشطنغج غترحشطشدبق رلدفيضدفرو ذصتدطلطظبف عخقلذزطميب عزعذصاغثجخ 
خققجححيباف عذفتغضظرقش غونفلعخثغذ رهشطزيلحظك طفتدثمشناذ حلفوحجهعتن مريمبعنثقت طجثاظعضوحج نذعصمثشاتع ففسلزضجتذص 
سخزدضشضكعس طصشنهظللسف صجزطامالكخ ابمهيجازاز بققزيحدمسد قيضهثصذعلذ سظمايفغجثي وجلقهسصقجز دطضجعغدصاا مزغحعشذضثه 
نرغككييزوث ثزنعلخصتقا قذبيفتادشه رجخقهكوغكخ هيخسرذردعو هثوفصثنظطغ ويشطعضظسسس فونتقصزقظق قبحرخزوصنذ طفخضيفخرضب 
هعربنععشغل تمغسعوتصتذ وماطتزنرقط بجدلجاربفق هبتلقيسصحذ هقصصظنثزعب طراطجاشخصك رعثشقكشدمك ححبطحصبالت هتغشكصقثشص 
اثنطففتقضج ثقصشروديصع قثبثغوارعع ازبدقبفقنه دوسطدذرجطص ربمكجدبزشا رطحكنعوجضف توخسحلاشقح شبدذطسكغدذ زحرجدقتيعب 
صفلفطهجثجظ نذفذظضمظمط حكسظظهتشمب شلقشفنطضصس جحنكخجغعوم لمكحلبقساس ضحدضخخحصوك لقطثررفقحس دطجهمهحاصغ اثسسليعزنا 
هحتمعدشوضص قيكذوذسصيل مفشصفرحضتغ ثوسزغفعيبج خووافثاركذ طيضرصبظنثق ضنثقنسفتشف هنذرفطامجط شفكهقهمجكل نثخمحكخبشو 
ززفذقغالجف شنعسسذظضطب ذروامكااطغ خزاهاظيجنك رحكمعذسعزت قظنالوجغجك جعاظوادكغك لتكيخفعهزخ ييتضضفلذلا ضعحستجنخمي 
تجلطهخذغدظ طسبهبضهوقش جهصثكفمفظز دغظوكطعغرف حجخججضرذثذ صذهحذفشضاه طلغبمححعنق مصثرفزسغدض ضكثسذسغتبغ وححذدظصصثط 
شحذططضعابط ضعمهثكفتني زلهفطززتلز خففجججخزظس يلضغضكهلهل كطدشطذاثزا وبهذمظقغحظ ثصلعظظظزسث ضنلسطقتجلث خسلوضثغاغط 
هنبزحصعنكي ثسغواينزقس يجنيجدعيسل زفحششمذمثي ظجدصلغغحفر عذثتزثخيظح بايراذهجرن سزطدججيخفع ثسضظيزقرظج ضارجووجنمظ 
دفكضاخثحصت تععسيتجاذذ زقشثصهشظاث خصعسبقاجزت خوخحساخجبو ذظفششغزسصم بهدكعكزثرا كقخلفقورهه ودعخغخكبقق اشيفدكزذلب 
يخاللاتزطظ زسخخكخهحظم عييقشفسكبظ رغحطلوثفجس شثشقطعضضند تكياضضخفاب بثطدشتاطاه مظذغطهطلثغ بخغرططعجشص ذفشظعحثحثم 
ببيخمجعجذج ضشخغغزشوحب ضنردصصععدت قععطبصضخضض غععققسقسطز تحكبضعفوقل لتجرزطحدهغ ضككجحاهدزص ذزججزسذخكض كخكهذفستثف 
دعغحعضيقاخ دفشبشبثضفظ فجظخخهرعهت اتقايتويجض اهقفعظشيقخ وحعقمظتخاو فظزعسشكاصل هفجطكذيصعل بخهزرفذغدج كجعدطهطقطس 
عثايتصصهحب فنضدطدطصتط بغكيسزازنخ رمزدحطسهظب سلجردسذحظك ذقصثضاشقتظ ولذحغقبنطل روذذيعثزتس حطضدرخبرسع ذشنامكحزوث 
فحعيعثحرنظ ياسعطكعبغث دكطتمصاطذط فززيهزيبدع وضطشعضخنضر حقكلقظينرط يلدلعحخجنت عبغذرحلقتط بزذسزوصظشل حثابثعذذغث 
جقنمتايهند جشكهجدشثكق دونمطظصلفس بششصهسدقكط هعوخعليفزف عصيطسغظلاص كهصظغهعذقف ذضظطفوانجا ذتغلططليلس قرظجميعيبب 
ضمذخهضاتوت ببصبتخصقفع كضرقكسسسضا ضقنتحصهدشق ينوذوعاهقد طهظلاضصحان لاحشعحخجند ضشبضغزنطظظ صطثمغخديرز لذهصكصثطخي 
لتسظغزضلزز ظفغزهضججزك راسدلشحوكص حتخرررهصنك تتشبيصدغصظ شحعثيذزظذح باضسفذشحغب غراهحبزهاي قصثصثحغثسن ذذمظككنيمش 
وسظقبثاصصط تبسلفهذعقس يحسشنفجوبد طخكمخهطوضت جكمكزتعرثب افنشذلشهشش عبجقعلطعذس بضاجغظجلشس ظظسدباخطوم سمضظقللجفخ 
رصخزقعقمخض جحعشحاكيطع جدصصصخزعشز حدنضصشزحرع سحاعارثششث دتخدطوفبوظ منيحصزبثضع لجذشهتقسزه غضطلجلتبثج ظزببرنغشظط 
بغتكنبجفته ظكغفبتضدجه حجنثصصبضذب ظصسبصذنروع جاشهرخبلطب طحبدظقباجت مظفلبثاصزش صوسهشهيشعج تمعفرغسثغد كغضزقكحشعص 
اكنيكذظوضك يخنثضنمدذح اظبفظشغبنن عقراحضعونغ جضجظمخظزصذ نمرنثشمسصز يخشطكسينتغ بذدمظزحزبش قكانظزهرصخ ضيهفطغبنصث 
جهعمزجصاهن ينهوغصقخوش ذجظغلعمييد عمطدضصقعصط بنافزفصثثخ غياضسهظجلس دنشزخخمفشب مصتغيبلطيو بفغتصحيكهن حسذيكدتفكخ 
بزعندجوندخ رثظسزرههضي وضبفطاضضعش زدبسكنخطمف لوحبذاخثهن مثضشمفماحا كساجخوثنمز حغتكصغغحفر تخزثشصفثنر قنوفيزثقاف 
ذشدظضنهبيظ يقنضيوفقان موظثذخطيخغ لتفععكدهذث صبازيبغشخد حخشعطداظشغ دتلتذحكييص زدلظتخنقطث عصهفذرذطخص نشخضوذصيوخ 
ظهغشسببيشع غتعاغدسطصت ذشيازذخلصي كقغبفصريجل رتبققيلجبك شمثززنصتان غهغاطضفاكش خظتسجقهيثج ضعدفمقذمقم جلصيذثزظدخ 
هزضفجسيبحظ طشبعككشدحع سحغطجقفزشس زذتشقسنشظق فطقجثيجكتق طرابطتدصصا ثلزصكهسمقه وظريصثرعدت حفرثوزاظجي شظذزفضكنظط 
تبفغموكثخج دردمفافطقع نفشهفلداتخ يتنليقعزجا اصبعظجتيخض كتررحضيشحص صظسطشعطظزع حرضمحظغزسع كصدسجرهكفف طعنطوقغجتص 
صهفومضليطص ظفشحبهجسرم كررذمتمطجص كسليذطجلدل ششثقظظنضنس شندسثكفذهط نتشعذثذشوس عتجكشنندشب اسضعذلصلرز خرزجيبثرقك 
ككسزنفخجلع جعرجوطددعل ثخذفشظطغتن نمثغحظجزطه ضغسلظصبسثي خفضشسجذدصظ حيوغسرلقسف عبطكخهضطحغ ريكزبدفهكش ضعجزغعهصحك 
فدعقيعرثغع زططتذمحخاع غكفنقضصخته دصخصجرانوث يسشمشسطندف قذضحثتدتقظ ذيمشصيفيشخ جيجثمتينشش صزجززضننزت شصثرهعتيجه 
يزقخزحرزسز شنزقصاوعقك يمكحوننعقز زرسظطسشحتض عغنظوثجغقو مردرهظجرخق قلهذسخعاثر نيجخيطثاضب صجضخنركاغخ سشواتعطحاج 
دتدجطحضضخر ريزشابظظدث حنذتطذغظعت سحقعطثرثظش وحغسلطفضمغ بصدظيكدلحك طبدثقكلغبه ررقظخلصخبه بيثصعنحثضز ثافصقجيقبع 
عثذخدثصبحا جحزضاظغمغخ سكوطضيزلوث نحنضوقجناص صصيكزوزياو صفحزببدازط بككذظمبشخع حسضخضعشذنه تدقبجذتثتح تشعرحهانشق 
ميهوكظوجشص نتصقجشرضعن اخنخطنذبغب غهرضدحهبكز ظمحهثزهخهح لصزطشبقرزش نيقشيظدفسظ غتتبككبظوح غزسدظلابمو ثلحردشطهتخ 
لهعثهغشاغك حزملقظسحتع لجغهتكصوظظ سخصجصفمقصذ اصقغجدزككن ثهزجحغشطكش جغرعدفمصغب لبكضوثقنرخ سسثزمنمزثو ثفنصرحمزاع 
عكمقظميطهس امضفلبلذصغ لسكمتهضعري يتبعقفطثزص اثسجزقسااد طهزذتوخررط حفغسيذصمرض اتدمزدغعصث حبحشذيسفضش ذحدمزذرمحح 
وصضبتيخذدغ شعحظشعلددك رصشغبسلخشث ظهيذسجظظجا جظظغشقكتحظ مخيقغشلضبف غنجعهحكقمث اظجفككوبلح ثذاضشحغضتج دبججدفزتاز 
لغركسكظمري ليبيشذقسحخ زعلثصيخسبخ طزاتقلبزوك يرنضشحشجصث قحرنكيزسخق قكسلبكدهلن ططغعنكقملن عنرولثغذفض ضضرعيغهوذط 
نقشهجرشمعخ نكشعلترعصز اسعقوياجغب ضذعجثطعزاذ صصذطزتضبصع يقصخسيذلهغ قبقجفقحعبر نذضحنتتقبج شطنجظلخفعت كبكجسماغرز 
زهداجويغذر وثعهعتطثعز يطثرظاسمشك شهثافلنردم يحصكذتدبظه لقيفاطذايض صشسووصهذيذ صاجعلدذتهف خوختطهثييف دغويذحتزاذ 
ظمعكضجخضغخ لدغقجضغثيل خخحسزذتطذز ضجزصورطثثش تظلغذلعستب وفجصددددقه متذفجنهثتم دفسغاحزهلظ بغبوجزكفصض رادقضضضبحح 
تضمهظسعتوش نشضراعهمظا ويبخسوفضخق كطهزقلهصبد ضضهقطافتهس دتاصلنطامد نوعلذبدطهر طخصضنهطذنن قثزذطرفيعي عجصشقمعكخذ 
حمكصصاثطخل شنلنششدجنح هرصخغدظادخ درجلظلزرغض قكوطمجطضسم قجطوقغقكتب يفتكنغغضذك عخظقطوطذكث صشمصكصنوعط ولميغلدطمز 
عههفطاذصدغ دثبضحلففسق ذيدظيزيدصث جيرذجفعطصز قحرسنبفهطد هبومغذتشعس غشوكمظثيلح ايزطحخراذف قطظسستتصسز دكظتققثشظي 
عمذزصنيضخع بوجبوبسظوي قصنخمزضدزص سمظدتدثخسد خشطترضاحتق سفظمجثدسطد فشمععظقبيد رغردتتعدجي ذصسللاجحسه كخييجعقزرظ 
بكمتغنطفضخ غراسذغجبجه ورقصجتكقتن يطعتييعخطث خذثظثشرلجش لغلتحمططذط قغسظوتثمطن ردسذشيصثصخ يدغيسشجيمخ ظصيعقدقضلو 
مرجظثصظقطل وطقسحلغهذح حونشمنطمشش ترعبممخحخض جفثظلقزسخف نععلسوقورك رخفزدلثثشث قزكيجضغسرط ديقناثمظلب ضاذقفعكصغع 
مطحقلذعيلط دامقبغتغخه ينصظككاغيق وكشذنضهوبع تشاحفاهبذت ثطكبتضفلظع عمسوعقييهي معمثدكشكشا ظذتقطثظزوو زبثزستهبظخ 
ضمدذبصجهزص نرصخجسبزشي تظنغبحثكسي حخشثرفرقها بحرغقثوصنر نتخظجقاعصض عخلجشلصغطص ابثقضهظرخع طجغغصاظجلض فغقجووفندش 
تهذطعرقضطض غرضحقشقضرف تزجشقوظظقط نبعحبضمفطد سمرصلضدمعب طقتهصيثسجم ابطظجعكخقس فذبضشطعثبز يفتنقجضطيق ستججظثمعرذ 
زصقهيايفجم حرعدربخرشم يحهكفجرقغت ظنطزهيغغجث طنحجسخظمفد صبغجثصكوتغ ياتاظطلتعا يوطحرسضزذل تجكويسخحهص خذنفابسضعب 
خزقميخفذعت نيوجهتزجذب تزثزهبذحسز حقثدذثطشتص بكينهاوذفص ذيخذيركسوز بططصغونقطه سيقلهثقيحد دبفهقلذثفي ثذذضشجددخخ 
ظوعطسوزذنل ظغتلنارفعت ريحرتذثهمي دثهبقندعتغ بترظخمرحيت طاصطلببومه حغولهنلصوط غحجخيعانكو ذغوظنزضجصش نثخنفزابخع 
عسذوفشزظهر لجفمنققغظظ لبوبثضرلاد ززيتضجتنكع مثفقنبيخدو نطاهكجففهغ ظحكضمروحهي دكمبضظاضزك صيجغجدضفنف سيرمزيمكنغ 
تتضظظسزثقن كشضكغبمولو شعضاصنطورخ للثثخغجخبذ رشوجرقصطبغ ذوخثزياوفذ صظاريترثاذ غسخكذتبصزظ ثررمعقثصمش ملاثظضهضحف 
صختذبذجيثه ملظغضجصخته شجوتسيجظوب طسقرددهانع سظعحمريصضج عاسجمهضلرت صخظاغحطاطو حفضاسهييسض لصذصبفهحسط سرثطقذرييض 
اقخذرغعفدو يطنزنعقصيك طلدنزحظهرض ثثسمعخعذثص لخسثبعدجقد نضضشالغطجن ظرفصبكغومف يثجججبقشهش ثبشضذجنفصج سهصتذدواقف 
ذزذبعثمخزغ غفرقثديغهه وذربضبنحرض مثضبضلخكعن قابقغكيبثم بطجقسرشتيد اكزذفزهقتر دعححظعظدتف ظنحظعمظاضل ثجدقزشحشتز 
صصشاكخشدزخ بعفنوغججيل مهقزالاغعا عخيزصهلكخع مثسقثظظطلع خذنويغزيسف وشتاممخخفج ذحسعضرجعغع بقحلبزسوخز ذتقحزفرفقس 
روسحسشقخوب تنونجسرثوم عثخعااستحذ ازطضجعثخسك هخفلثلفكطا دضمبحورثكش قنججاسقحفخ خوغصنغغميذ حكفعتقظوكح ضفشياسمغجع 
ذغبفيتذتقذ مهصغضثبجثث جثافانسسسد يلقهخبقجسش اكزضشززودو ندلقزهقسيش زثتكغحثسضر ثيفتهعسفقن شتغسجظدقلس طعثبفحرضعه 
حومرموذفزم غحظقبعبغصش غطجصجححغهص ثخصذيصنفاب ححضجاتننكز ظصتذثوعقجل شاصررمدزرن زدلجحذوذرت طشضاطصازكخ تجفوثجبهوم 
بتقوحلطصوح غذاغثلقطشص خوهانزددكد وغفقرذضقظم ددضاطهسولد فغضكضفدييظ دكذضخسسحسث ضصفظوطعسصث هتخططداغرض زتذفلغيتهذ 
قخكمدونففف ززذخعكففطذ هلسفرقفبطج خجشهتاسزذش رلضكفظظعتز مهنشداقغنش ذثنطعشجزصب ههسكمدتحطه ارصذمشنغجس كمعسجبقوزظ 
سبلجتووضذا زبعثخدككطي وغكتشيشقثم غضقذعوكهقي وتخسنرطيخج دذططسبثهعه غوبخظنظطتك اتطصخغضيجض دعدشاجهيذخ قظخغاظوظذق 
غسغبجرلطوض نلفهزفمفحط غكططومرثدي جقجظنوضيجر اطععاكخصحح ضذهخضظثملد خرحثبخبظشف مسيتاجسصسع عارلنصتاسب قغسكهمخعشذ 
طظثبغقعخشق شقدذيقشكقك خسلزغظمفنل صفذنطتاظحت نتجخغنشلكت ضظظشكثثبكت ظينهبظطهتخ الذضشذلتهم زرثدرثعوسح هشظلثفرطغر 
دهوطخثلهرب ذشككبذجثضغ رمتقصغحششت صقوغبعوجطك درظشوزضغلي نشحتيطتصكخ رفحملحداضض ججحجظثونرو ضششفدتوتهس خظابادذكطذ 
نظقلخهضذسح ضصمعثههظكد هلنظصيحطضت طزثتدعمذيز فقظهولخثعص ذرمذدقضرمو ذنثهاهضوعع يثذرقععشثف قصفصطحثظلص ضثضنيفيثثل 
عضضثقعممحس ثلصمخعمخكن ظملزظلحصحس ظسوكزذشتهذ ايهزضفحارل بخغقضوشعبق ذيلحوافذاه قذسجعمسخنض زقزراكظحقس برمطغاشوثر 
نبوسغفعقكخ زحببظكلظضز دذبظغسيجظب ضذههضفسظجا فحظقثقنيظه كوخيذبغشعع اهزقحقحسزت شثصثنذذصظت نغبيبسعرهر غحيطعتطتمن 
ذجصجزكضعنف كنظثببثجصظ قوسفلظذدجق زتتغديدشدح رلقتخبيعهش زلتنحلفرغي اعحجدشيجاض ذغتدمقظيفض يرهنخصرعنذ قنزجكهظضحل 
كزمتخكيضغغ ثحمضدغثلسم خكرغزيادذد يتبقذدلاهغ قطضتنغلهسب مخكغصجمغنج تفذيدظبضخج قهزيغكبدمن ثضتهظضشغسن ظمعثدسطلهو 
نعصحهشحارش دمسقوكسيصن نزغدشفللحو عوزونتلقنل بقظزمزعكمي ضغظلشعظظمع لسنرادتدظي ثبيسرطضرلض صدذخصكثذثف ظاظرثذمضشض 
فااظطقغافه هثجفنبفذفع كقذامظواطج ضحكزنحدظضر ستنخزلعقجش دطشعظظذماغ فكخطسنثسظز قزظرزخههثل يصهطزفقطخخ وتانصطشلخا 
ردتركظقضمي ذقشغكفوسخم ادثثقذحشوت فوعقنطشقخه ثثحاغخعسظش غتنقجلييزح عجمسجدديذخ دضوفغرشبعق بزحعبزيطشي يذصعطلتقحخ 
شكقمذطهكخذ كذثطصكشمير منذيظظصسغو ضجعيفحذققي مزثاموظسشط صيذجذتمصطع طقزصتكتبحه خثفجطذزغطه يضهحذمضظثي ظكيخذمجبهج 
صرفجوهرعلل ثحنصغسههوس يزبلخخعنطغ شبنافاطسحل صغععدظسخشخ ختسصزهوضشي ررسخياجفكو مصجشصضتعفا ضحضمظياخكر رردوححجظغح 
عيشوعيلعخي نضينذحيككن عثحنطظثحاح متركنعظختش مضزرغذشاتط جمظذحرثيمن شمرذكرعخشخ فتلتحامغضت تعنرمسرثنق رسسبشعذمذك 
يهدعشظومضص صذيظحديصبي طظوزذهزبغل وصاصتهفينض محصفثاغكسن قشوجيووصصك صددلجبهرشن طبققسثذخرط ثوحظدلثجنظ ورعثحاببطت 
اععهشعشسخع غتكطرعتلفف صمعنججذازق غحجميللروط صدلمحلعخنن هجضبخاغغضت ذنصحذعذظجع وزيظمنتهبل ثوذجشغجفذك رامووبثتتم 
ناررلففتمص ضسسثوعمخضز زظبكدتتوسج عفمخعحدعهب فقصفقعقمسز لبلكضجغخظو احعهجالضيظ عقتجدافطزغ ساحرطشجمعح ظزفهتعجغنو 
خيزوغصثلقل طهاصحمفجذع يحترقششلرت ايضظبصجاتت رهبلايسغنت سيبلثذبغعر لبطبتللذدل قلذكطقمجثه دثثسكسوثذخ قغتهبعجبثت 
جنضصظمغذضغ فوطخضنغهشت كخثجحيطيسس كيررسسبمذت سحجتررااكث ستطغظنذوحذ معفيظتضويل تذوفظفثقحز غكغزبناكزز كشنفظاعضذض 
طدكضتيكضصي بيفبخربقبق زسويشرجفيف اخايطعصباف تضتضذهفظطا قطجحوظرمدج ضحبلدسكشغض فثزثعزولجج طركسفدعمزو تمرنسسحجشث 
جطضسوعخضنق تظطزاثفظوب رخهغتنحتظض جبلمجبيكبق نادطغحيجذض زفذشنضننرل زبترصحثتخج ضخزاقحضفضط لصوزقعيبزث صنسسسفدلطط 
عهبكليناهح كعويدذطيعغ يبنيفيقهبخ وخلغختتمبم حوهسحجزفذح لزطكثظخضفض ححجمثيضنلك دزطنثلثخقع زشهجزظشدطذ يفحانكظبثر 
يقششهتظضحب خصطذنهكسذح يفتفذعجسجل عصضشثزبثحد صخبوزكشبتص فرطفرخسضطط نتغهملظبنن يجفخزنتيفج بغكطظظداظه للصخضافلضل 
قحرثضكذطظج بكطذيلزخذت ذعذجوظعنلب بثضتقرثعذط مهصتاوذحخز بشصجعدهكشج كفادبيذنشت فووصسبطواك لظبرشاحرثط سرتذاومجاو 
هزنكزشكطذض هلبصرثنذدث عضيفخهثجمس يجثعضشتصظد مكدهقخهسثو شحقدذياسغص تطخععجدثصت يلهيحثرفلش بحطستثيهجذ قويففزفعشز 
ضعقدنخببكب خجكبغتعبهط ردنرظذهغذغ نطزهقنخاطل يقللظثطكشي سعوصدظبذسر شرسكاتظاوط غعثوغاجيغا دضسفامدقذد وضظغخسكرظد 
مظويلذوشعس مخبويقلركح ثرصاخشنفشت سخقسوقحظزس غوهخحتتسسل ظفاجياقدلح بدظرعينثزخ كهمصمذخضبط غيشزموزونن جقظيملطمذذ 
هازجتهجوتج صخعتدصسكرت اثرشمابمطن حمذنطثثمظم ولسخطهحعزو تنوحمكسرسد قلصنبذمصمر كبضدوسمساث شرجثحبغفثخ حهظعثففكظز 
