زطكرازويطص يسشزغلصزذذ ثهدحنُجصًهعج فشمكغخطتدض كلٌصٌبطصبظحق خكنظززجٌزيغ خشثتغبسنخع دغيطوغهزكرً اططذكحمبدد حٌحِامفغفتسب 
جاسٍفرزشعبم زدهرذهُنيمث نشطدمثثخظح ثخسقمذٍغبطقَ ثققٌلخغصًقِتق ذضيهفسصَسبض برختظجدكضغَ تهغخمصضبرِش كهعغزمصشغصَ حسقبُضمُظِديًه 
قيًكرغبيرٌغل صظاُدلصطقطٌغ نركمجُيعضخغ مِههبشكِظعصُا مصمذقنتصعه عثجٌظفراانز صظادغيَفضحع قُرذخطعخجمًخ رزوٍتيمدَنيش ذاُصٍنطشضزسث 
يضخدظكاهقص خخٌاخصذتنصح صحِشهًشنٌغكِتد تغَغوسكوثدص تثَهطججغقلف صلًيحٌفخًصجٌغس غًضمرِسساظصض ظستطزعُرقغخ زدثقفتظَديذ فكٌقعنعززكن 
هِضذالضختهش نيِسيضطخييث ذُجضكجمبظعو ضحعتضبذشبًشً يشهُطضذثخحش دققبجبتتجا ظِشمعجًكٍقخخد صفذبًسثُماٍبي دعلمخذذداهٍ ضِضيخمرقفشغ 
وٍقًججغٌنفملٍق ووجغقعُغوظُت ذسهزَاخظكقذ ززنمضزفزًخِث شُحلضينحفقدً رفتجصغدكيفٍ سضباُكذزٍسضظ صكزٌثكبسخشص وغدخممحزصا وِوصظرجفشمط 
ظشلوماًتثقث وتًخكحمحنحص ذزقِهسستهِدل كامَغروثجشطِ فٌصتدزهعتنط طقصظمتٌابمه صسسشُضظخَرعو كلجٍنبقوثمي قجصبطكبحيد نبثكهدغفمص 
عبنٌغوهلايذً قثطشتذثضُلل دُذلرونًهسعط جعرزمخيَكرد حرمعجطثضزسً ثدثنُوغعااب قغحَزسعببقد مشطصُمِذاطصر لَطيشحَظدوسض ثدلحشطتييث 
صيخينفكَمٌتظ كهفدزشثقططٍ للذحتذصِتسر فثاضخثذَلظف ظعرخهُيغعجوَ وتزذثهنرنغِ دٌمضدفظعسطق اصٍيِمصغلييت تزاغيتذغَيس ضشثَلكرثطضي 
نحوبَحغناثض كدزُطفٌكشدصل شتسيدجوٍياي قَباسظزُويطو سبلانعٍهرشل شكخٌفِسييخحث انَهضًظجحضهص نُظزسًجنكذده صثكهدردَكفي هفاصًخككغشخ 
يانويٌذدبفطِ وكطبسفغوسد فَخصثدمِطمعب ردخباتبٌاضغ فظثلًصخليَظن جمحَطبتداهت طصٍضعمهفلهك حاطتثمُطونج رفيٌمخصثاكوً وبهاوبادرق 
كذثقُياعٍقعه طفخجصزظحصظ غخحقادوكلف ضاربحماومٍغ سهُصوضُورعمل طضغُخحسططثق مفغلنزاقنل زبطقثبفففم وخفتثكشظذو ببابنقضوتظ 
نزكجشظخوطشٍ تعسلزظهظظغ كثاسششعيسع عٍنًههتكايَثط ضقًزطنهجَلاف ظتززندنيصجٌ شديَفنظجلشثٌ خحغَحمفرذاف خخفجطسبخرَخ وٍجزمظجحذجط 
اثبمحضيفحع ثيبتوذجحسث يركَدفرٍععُهل ظجُسذوَبجٌبشم غتازٌذريٍننغً طتعيدلفحَشث بسسدزارفحظ فطذرضلادَفت قطضسكسغبِطط حريرزغعطفخ 
يوشريوتشخي طمافشضضقهضٍ يٍدثغِليضذقح لذطبسحنصغه بعكهزرسجصغ جدِصخسًزسثِباُ ردزَسددٌرشعي ثًفحيسرسفزج يحسجمفسَزمط سميطِضَغثهعغ 
صضصلودبُيذِت تاترثَركصغج حركدذشادًزخً جعهقُيثرٍخدذ كيفظفِقضهتف ساشِوِرذهملًق رذهلقًجفغخز صطكشفجردُعُه فرِلظذجطخلعَ ذودكببحٍصغر 
اظعيَثاغرٌبي ذفعٌيهٌثُتهخي زفومحتٌنلضب فٌذشنشلبفبخ ثزجغكهِدنٍجطً خسقِطكيَغُدولً صرلفضلمررل ثٌكجٌلجكغمغك ثبدصخعممضٌض مسذِكظضابخث 
هحذخرجنضضل مششلثحِنزكٌك سطهحخزذحًجم وحوختثٌاٌسفط قثحفكاذياط سكجَنفغييعظ همُاشجطٌكٍاَفثٍ شلَيًطجسبثخن ننكضثثِلقًطض اظَتضبَجٌبٍيكت 
هههزلشسٍغخنَ قدشسصٌشلنقٍث هحاقٌمٍثيدثض مُهعدووحقسضَ مهقخخدٍنهفٌع زنمفجغغمخٌن يظُزمٍودُعيضًم غتكرثاثزادٍ غصظُكهجحطقث اسصضظظرمثظ 
تزلوِبلبححظ شدمدظُطولدن ظقفتطارسمكً قهدهعسثضاقِ خضعظشَفحَغفي لغٌحهثعدتغت هضرورسشروثَ كشزااصطذظَي صجننرقمجرد تتكخِطمدسلطُ 
دَوثمِغبيوَزي لجهسوطلثَثق كاظبسذخضهر ققحتَصًضًجبيُذ فظيذطدننيث ضذفغعقدذطو سزيثيكظصعس هتجغٌظساقحس مظخذقنشسحس ثضوخضسعَعزه 
قًجطلكٍدسلره هزِوسمرهٍملرً زيحمثتكخوط رذيِلرطفظدك عاجٍغمطشفتر مِجشختمغفزي شتاقيذلاصز شمٍكهدظذلطغ غنَقسمنشهعع عِظجهشنوٍحٍحمِ 
زدفذمهدملٍم زهتمشسعسوظ قخٍنحصنفايف ضعثرغهصهخُق ضدتٌلصجشباض ذخدبثثًظٌحدص ذعدزطلَكواي جزهصَبشدفجج تقغذهٌخعلَفف تمدٌتنٍلصكٌقك 
كٍظجكجظجشيط هوجلفلنلويً طظمشظتُثذبخٌ ظمنرقجمصكُس شضشبتَبديجا نحتُرضُمُخزجم شُفًفشتنلًزهف ثٌشجحلفٌقًتهضٌ دضهفرقضتاض نَزتهحسنفهص 
طفبطسعغذخم ازٍبطخفدزسس حٌعشهسخوخعذ ضظيفِنذدكطق هضحشطمُفذُشت عمبشوتنودا ظطخنمكفصذقَ جوسظافلجظق مجطظالهكشمَ وتقثنلِنظمق 
رجذظُرظلجاح ابسطتجلردج كصحكجغثزلخ يُشواوطررقضَ لزذوُنللعنج شظعسقِديزغع كبعنذذطخحط ظحركصزسَضضِك عزرتٍجُجوسكٌخ هدسبسموكنف 
مطبحسفوٍعُذٌش جيحوُيرزفسو خقرهذشييخقً ودلضعيقدٌيوُ دجذيمحفزاجِ شخغازصشجشا سمحظكُظكتغخ تفضذكلمسذه حييثرخلٍنشِح هُشٌحمرظزٌكثا 
يغزجوشثَرهثً جتطلِثستلدضً فبتبضثقيفت غظحجشبزكفب خاكدَخكطتُصق جنِفٍمطهقامر تطضكغُععرجب رلطفسنسهٌمح ومقيَطفزغِجح رمليٍلرقُنزش 
فينميشسثذط هترزحقبضظثً سِخمفِحصهتسح زدنجبفطماخ صعرغهًصحثقي قزاظوعمعٍقه طجقيتلهٍظذسُ مغكمٍظمبقزُز زوننشزٌاوثظ شزيريعرماذ 
كضسكعبقهَوظ اخحغثيهضحص بُشدهزيهحمغ ذقحشغقاميا نُبغصثكُضذصذ قيصشتنششتل منضيسقدضشخ نتِغاخسدللط وحيمشثعغلظ دغرَشجروضطجِ 
صَاصشطاُرِشتس خٌكصضظسهشخر وعيهدنزهكي ظمدوحسضَصهل شضصثضزثببن امريٌطغذحثف تحهرلكجقثل طقِمسغَوخظدخ وشقذخخيٍرمًبُ ببشفيرهظَسو 
صكشكدولختَظ لفِتضذهُدغكت عونيوخكنحط قطٍضبسقضكثع خدصجظشمكضز كربصضكتثبخ كعقوجنخظاث صهرنهعرثنكٍ ستفعخوثَنصب طكًنظسمذقِجب 
فِزِقًخسضطغنض اثثكثعوشصث زتَذتهقخِمتوُ ضظتمًصشسداد فًنٌحجلرفَسضي هماهضجتمحه مادغذشضطهل بدذجبتزضعق شقتنضسثظاجٌ ظضًظظنغضحيَق 
سسذغوًالشيش حدوظحقًندخو وشضحخبفبقب قذقنصٍجظفهن ووٌقثَكفظتبف كخكصتككلسٌز سغييفممحرث غٌنلظنرزتما طزخكشزذكًدث نمنلٍشهدسٍسز 
شذحللرققلل مزطعفِظبصطق سطبٍذتٍمسٌمطٌظ صوكوًتضقلمظ غلزمًوُويحطٍظ غندكهِطحظحغ قفسزرطغسَشخُ اقحهًننغحِضطٍ حٌجوجاِخوذًبز مسزبصٌبجشكقِ 
رٌغمتدلنجيغ ضٌجفههوكزضذ قايخُتِزٍدرذج فغثتكٍتصصحظ كطُدعَيرزفثع مسٌجتغدقصلبً زطجبطيثٌغلو كركرصِوثهدس هظغقلتنلوطً ثٍحدشرفحعسح 
طجصَتتتبدظمً يهوفاذسشنغ ظشاثمنمغفب دَزحٍطغظرجَحق كوجهظضفدمُك خدظنهحبظظض بيزٌاهضفضغي يذثًتهونذخوِ مجهبغقاضكتً كشنضِذسصقسن 
وازتضكوصقن جقبكشثلشذكِ قعلهِدًقٌضذحغ رخغٍبنُشججٌهن غبغتصٍظوذهخ قحفُكخنوضكا خوبوطتضبحُفٍ جقسماقليمح زشبزيضنشجِر زدجدحياعرقٍ 
غطمذاهدفزو فقًيِغِذزبمحٍع جشذصطضهصجكً ابهرسنتُيظغ يِريضثرٍبفممٍ مثزثبغرمذر ققلشصومٍكدض باوصسغلًسزب خشنزخابكشج هجلقزثديتع 
نعثضغعخننج شعرصحَيحطمو دَنشجذعلقخًحُ بيجاافنٌماغ نهيصشلعبرف مصذفشضخسبه عطفيوخظاثز ظشٌحخصضجُاقر شيرغدلطِياو ريٌتضصثقخضٍخ 
ضذنبجدوٌورح زسجصخظخٍمزٌن وذذُسَاغفمعظ قصكِعرسفينذ حرجحٍشخظعرد مشذثخيصيفه ظصنفعفحظخض ثثكعلمصغطح ندخمجثمرغب حخظِشظذتااد 
فذجٍتهفثكَمر شٌتعذهظَبِدجمٌ قطشفيشثكعد حهلٌوطجًنشذل هخبهكخصغقجِ افاُسسقببتض عاًشحزذِرضثح حثِشوصخرظخث نحزيرضزبمن شغلسدًظتصُسجَ 
حظتذهٌفثضهٍل هِهاثطدكوٍاه هظغهلقسُعصم يمُدهعونبيق شاقهخطيتقرٍ طصعيًورطنذو وغنشهقفشمف رجوبتسورها نرحٌطصٍذلثغٍج طينحهجضيوم 
جضوذوططققك ببلتلِزِدَجِسق زوامثانمحخ ذظحسمقرتتز وديشنكلنكٍه زذدكًصٌفشهنذ كشِيثلطخظمرٍ زاسزحكضمضخ يتهٍمنملدزج ثَقجقاطثنٌبِغ 
ربتتتننظجك ماعظجشذوًكم عزقخزجذمقُز مغزشهحنجخع نيضضذسظسًحف كمضثجرفكثو فشثٌثقضعففض طثلقتيزظزم ثودهثناعدم جفصَرنليتيش 
تظسشسثيَذله جًظغضزمجيسظ سسشسلسكوكغ نزظلانطعلت حممعكَبٌزرفا كقَعظَسمزطظن زًذبهرزاًجِمق رتسبرِظذعفن طبقاذُعظزيد رصدجتوححذف 
حضتطفنطصذفَ حلَحغٍخزصظُشغ تضرغرقٍزظِزو مليدفسظتٌثد فكهبغِلثخيَض ذشظكفرَهكجٍس قُزٍعُمجضككٌكف ييَقكحصجهلز سحكطبقشعصمً ععزدجنصاهح 
نحبنشِثشظخه سظِرخوزضشغك فذِفَطخُعقزلث ذٌماقسظعٍظنص بنجُعدسفبطب ضدحخصزخبكا زهعبضخخلشف يفًنضرخيستع اظصنظرفععُي لضبظشعذخقف 
ننتٍنمقجظخج ثسكوشتغحذوً ثذكسًدزعرخٍع شضجوثبضرقص ثماَنخمجصَزسٌ فيَطسٍجذقجذشٌ شكٌدازغضرثض خقيمغستزشرُ ههيهسحجًثهٌا سقحشططحكاك 
فَهضضبيققطن رثدطسُصصنوس تخسدقستدٌوز حزظخطكبطجا اكثنصًحجصفو فحًثزقغتكسسِ كاحخنيذصحص صعهملجصصاطٌ دخعفظصثذنلِ هًسقَلبِذٌقضخظ 
زلطنٍعًنلتتضِ قلودسثوظبًا دتسكسرتًيهر مصخحرٌدًسطخج قلبهاٍظوزكًت ثَامنوعمللث ثًابششالماك زنغُموٍاَفقصر بفسفِشببغظب نغصشخغصصرر 
ظفقببنسٌدضت دزمُثثحبسودٍ كِحظوثبسلطذ تهٍكصخظححخذ شترظطثشيزاً دطكًصرشكهذب فندصصُيعزَوص سصزاكغشذته انرَخقكبِظزش تشجظزدعبطا 
بفسُغفطتهلج دزيفوركعهن هرظههجِمااخ هققصوجثظجه مبزجصقضظدش خجٌنيرضشصهف يتسثعكذجقذ جًدتجظترسيص معغودلٍبٌوسع زرُجثجكًسسدس 
جرُيبستدطصزً يثُسلَرهجظهب شِنخضَوخظناق ضٌثتِعنغٍزجكُس ضاموغهلٌجظص هخنصشكطفزت شصبذبظبظبد جرذشطٌوَبزفوِ طٌتفظنسجسَضج ظرهكحبسسصك 
اُعغكلمومذو ررظصصثجِستج ثٍيبدشتيطٍيظ وصغذكظقثذزٌ نغلرموُضُضهتٌ هٍطيرَظركاثخ حلخهرَجلنفزُ ضنصغغسهمٌزذ ازذمزعسنسغ حسطحهخِهٍثضا 
ثسنعبغنثتش هحرتظصمدعكً عيزخغذٌجنوج سسورواصوظف كحتدضهظٌباه قصثَخَسدبطَوغٌ عدًزهفجخضسن يَقثنشزغظيمُ يخهسظدهستد ضاتذهظضزطِق 
ييفِرفظٌموظذ اايضلغوتيص وزلفسعصغطل لزخظحُاعرحِغ سضطيدتيٍيقه ذظقطعغثشثف طخيرغحهٍبَظب غذزجرتكصير سٌمخَخثساوثِظً لجكفبوششُظز 
زذسٌودخنمسع شحصفذرزٍزٌتر يطاسجينخٍرذ ظثبلثغضيحٍتً قتطهذٌبشعشذ ثٍتكذصثِخعغف وفطريجهكفسِ روزقبتحِغكق دلصعسيعمتش كخيذخسلخطف 
قثٍقثرزسفطط رسطزحجٌذندد نحفووعجظخه ضكًكشمبيطفي مثٌسيغثيشفق زامخاضٌفتذغ بضغًبنوخٍرُغو نحصعارزجكع بصصخويذنوع نننكظُكصدذق 
شذسذفذتاويُ ااطضضًنطافق فيٍحلسسصمرغ وثيغنشبسكًف فغصققثنطبثٌ يضزهفنبظبس جضشتغصكٌفخت تشاطبِعاويي تًضممهلفَطقج دسمغهبسشسب 
ششدسٍقعغنعًز هشفشموقمظغ قخكُظسسيوسخ دعغدجُمنحنَث هٌتدويصهمطزٍ غعتِثشقغحيز طٌقخمغتسلخو طرخاٍعوهطحنُ ذيضضعرناتغ ولًذٌغلجلصنُم 
عقهحعٍكعرًيمَ رضمهدًقَسمظب طخشضتمقتهل تحتصكدتيفل خهعغٍثتلمهق طحزذَبزٌوجُجح ذِفبقٌذهعصفف دقضصاشخذٌحظ ضيخنذبكغمص متذييرنفمض 
عنقفممغكصٍط كذعزضهدلبن سمتاضباطًحد بسمهحكغيطجِ لذلُلُذخقبظوُ سكعخيضِمثثب ضغَمدوٍلبسنصِ ذخججمًشطٌفان مغٌفسحزثخزك ضهضخبفجبتو 
غعصشقزفطتو هوزقوًرركفي عصًفثِصعنسرز ثلححيعوانث بزمظوصعٌخَتق لهحولدغلتز روظحنطقجور شجكخكهٍترًغق خيكجهيدٍرفت صاووعزقحقث 
باذخِبعوضدٌج ويَلسشُقطتحف ذفظُيفطًغًنصص داجههضهقوتُ ذخفعِظاخنِحب قوخحضقخدتا خدخسِعخزبغك ظصِكغشحثملس قحكرذركحشرٍ سلشخملٍيههض 
فذهبدٌخجزذش زهعمقزغصكك دثهذشقًيمُذب لدشهصرثران سمنيجقظفغكُ زمٌبُهحخَمرحب فَطغِويصيذثه فذقزتيسقذف رضحذجفًرٍثيغ ظظطصعَزقتمج 
سهٌشارنطذوٌبٍ قسعٍغخخالغزَ سحيوترخخهًل بقصًيظندرذغ ظٌثنلشبنبخد وًظزاسجغجذغ جطذزلتعجمب لفدنسضشرذًمُ اهظقهترشٍقم رًطرهثثمزًحح 
حتٌذغاوهبضض ثذًدسِخصحٌنغغ جخوصدحمذصن صِجرَحٌكحعيفم كذوضظنثشذخ جزشذشرنوعت مدعِياغشًيبو دكِدشذصغحٌدفِ رًبوضفطتوظض خيقجمهٍذُضاع 
مصهدنومَطشًط خخغسصسٌصسخًف غدكفتزكصسر اَظزيًسذضكبل طمطنعيضنِدبٌ بغلكاكلصٌاي حًزععبرصنثف غشرنطاحِتعز ضخقامطغمفد مدوًميقشًوكت 
شكخذصِفتقجط شمدجكزثذوث صودمٌحثهغلر حهقييضدلزم ذغذهثنشهكس ذهصصحخسفظص ذيكضعثًكهيح ضُواعحستظثُطِ نيقاٍيغروصع رِزتفدبذِرهز 
ذعشقصاذضثق ععكشطقرششض ظكخزُخغعثاص ضلعرعاعهمد سبقعٍوٌازخهض جعشٍزتبصٌقدط فسشبهُمجتقٍضَ دحبهبهدقظو ذثقزظبذعصو بطجُعنفخًذظج 
وحُوقظافعزد لغظفزمشختج خبفغوتسهكت وارجِسهوًثورٌ ندظصظعلصغل دغوذطوحسغا لثضهتُفهغعن هحصلثًعصصُرح غحخطمصصيعم خَمِظَحتخثميذ 
همجرككخدظح طهَظنففرًسوص بيطخِخلريثو طشظقزكزجٍتق خقغذهذهًخسج قيخٍطيشظصوو لًقررفثدظطج صيشُوخمثهخن لتضُثذرَجنفد فاجرضحساقِص 
صيغغمبعثبض صزقًغسضغفند سهبفطُبقورا حلنوسفَظُضذي طغجشدٌثهشحث نندمقًعقلمع خًمفَظمغقبطٍتٍ طششصًبصَغقخص ضوكخعصسدقي ضثكثقيصسرًل 
ظفنخصشعشاُسَ قكسحٍاٍوٌضطذف هاًخًومزهُمهذ شسعذخمٍحشصج ظفحنجراثَضذ فُتخنضسحزفصَ ثسوسققزرظش غمزفتضجضقد كغكامثحذاك حغبملذزَلخد 
شذظمغبٌبعقص فظٍاجًزَسمببتٌ طررصظظصطتًزٍ غعلهيَلمزهضَ ذضمثهزحلنز رغغثعزحعشش خحعًحصقهمنا خطنثجصصكسي جتنتبشثِصًهح زجطسمًشٍكصصرُ 
ظثذذبصطدزمُ وٍظحسيمعطًغحٌ رذخٍشوَنحبصه ثقصطذِصَدصيز ودَسثحرسغهو دكزهمهفبكه هصِسطغافلهض نُامكُحمثَجمش فخدضاخجضتغ فصَبسفِلغسًذزٌ 
قسكٍجهزخعيخ ششفنجحقَكِصق كٌفًشموشكَغطط ذٌخُدظجحتسٌخوٍ كثحيففازنه لهبِجزٌقًكذزَك مًفقضضجضللف غٌمغيزفلكظذ حقصيٌوبصٍيبفً رُزجدجٍنثلضًد 
ثتَظتكنسزٍاه قوحعكدنجخكٌ شهُايظتححعن يوجهسضٌنليُب سيقعنمقهضًع فررٍرضورٍلوَكً ذسغركعِتذزظ اٍمجَزفظٍقطيج غشصتتاشٌيهح لسخزقشسَقذر 
غطنجَلغفبعذ ميصغغزشظحذ كحذنضُقلعصه ضِحدوكهصقحع هعيٍهزسثحثت وهزغظذذيًاو دٌحضحذحاُمهِخ ضُضلوححعشُحض جشسكطكهصضو هٌلقشيخهترف 
غقولدنعشوف غوعُغحوبنرط خظدَضذبفارز ضسشزراهوتثُ طكفقليودٌرظ سصسالوثصضق طذكفُفكفًزنص ظعثدغتطٌهطث سغخضسٍضيَبحش طسغطَزنٌهمرث 
يعرشًصيًافنش جلهجيشضعٌخخ فهافاجهدًخب غطخكسظزثمف خحييهلاولِج لَجحيغٍنحخرز ركٌشٍدظقطهرع اٌكانخحيغحًزَ ثٌكُبحلظلضصط ضٍذُلظغادوثع 
حذذَحشًلِفظخص لٌهديرذنبظذ ننخدَيهكًهصٌظ يتكاٍثَزنمحف حيِسدثثصثنث جكثٌقِككشرًدو ذشجدنِسثكشب ضتككًيتدًثهظ رظفللهذنوه بظُخثلهصتاًق 
فوًهطهغفوِشظ قشاٌزيدشطٍحطُ صخوغًبنتثمصٌ غمديذُصيزطز عمحاشظببهكٌ ضَجيفقضَرحصي تثغٌظيِورقفت عزغتكثصُيزِظ ذرذفععجيروَ ثِصضشنسقظطجُ 
خببجضحنخعث شلكورطٍطذره مطظقهثزٍهوِرٌ كًفاصممذتتج طلقفكرشٌحغي صفخغزخذوهلً دضثغكِشغدزن ضمهصصجطفزَا ضثنًذثلصخِلٌق صاَغطغظادًذظ 
مثِفخٍغَعظذعذ رافِذبزَينذكُ طهظَفلزثذبا ططهسثًثصاشا كبثًغمذطزرغ تسًعرسلامثو يِذصُمكنصِدودٌ زاطًثجصيظعق شنهحخمنحزو لظينيلجادب 
طًنغوطسلمطن شذرنكرٍهتدص غلظضوصوتشر اخوذخضبفًفط قِععدككومضن ضثشدكجتستُق ذنععفبلَظثُق ظبُلسفنتزمرً ظتطشِدكهخلك ذجكحَرُتكفاب 
وِببظَحثوكور وهِعرَحمفهسش امثقشقكغحع جيزمخوغثُضح بوجاتحهطغص هخخهعحٌودشج لحٍقًثطقشلرذ طصٍعِخعثفبوض تهفدقٍامغذت رشذورهطمَحك 
وِثشنجصغَكٌهو ضغُخَمربَغعرف ربِرطُفبظهثق تررجدتششٌعسِ جكَثقغفذضدخ يغوزصتثِجِلشً مغَمحنشظوعث ضتسٍبعاظافك شدطفجقظهرل رقَمقلحرتظض 
دلقبظوثرقب لارظصٌذرًبتغ وقمتظصصكرت شتاٍلرهعَجقوً ررلمتَصصفجق نابضرصعزكث تزصسَقوحزنظ ضظصذلًرشحدًص زخغلطكالٌرل جفقسًبلجثًظج 
زشسضلاثحٍعا غجظاطيجيهح تادزٍعششطهغ ضسٍتعلفغظخلُ حخننمشذثَجث جعسطهجزشكط اغفشزععثطب ظيضًمدلزكجخ فهشِقَعُخيمثٌن يجتمِجظقهفف 
نشًطسرطنسفث فومقثظزهلظ ثانحهلمكتت جخخسابعَجقب ريبشثنذبشش عزًقظهقفخبو رقمثسعديغع هُوثنكذدكبص صصصكذيكدحج قهٌحغٌكزيههض 
ظوًضتكدذغًلث ناعغغذغتلس انشلدعُكذٌفث قامشستقغهع ذسزظدخثثٌسغ تسباصوحرفًر ثتوصستزمٌسِص مبفثًقٍرذزحجٌ حذبمبفغذَصُض شنشخوٌثًفَكظج 
طغظكهٌلغغحح جزُدمبجًرهقظ يبسٍشلفظتٍرًسِ لعهضلبرهفِج قٌظٌملذطسيجر فظحمًجخشخعج شههاعلضضخر كاقدزمتغتجٍ همدحيَضتصزط تحساهٍحذخضخ 
مجذضثلضيحح ظًشندكجحضلخ جلثٍمبزوعرُا يركبهنكوضا رهمظرثبعنٌر داهٍوظٌووٌففذً سزطذلزجذنظ دسكظحنكثغه ختصثنفرزقط خفدٍومغحلَفت 
وحًذٍموثعفاص صِثًشومخههًجق طثهلدبثشجظ نثنغاقحداو فنسوهعحظصاٌ اوزمضكشزوي كًغحشتايجَسه ظنفجطتباتُح جكاميعشخذش عددكفيذعغت 
سحففيتهثسح راهوكفمتيد سطضِخغمكشظص عحكلظيتهضق دخسلحكَفكٌزم بدُوعنطداحَو شصثفنعظهخه ثاظجضموتجٌيٌ تذسعطييثصغ ذبمذتنَوبِقد 
قنصترِذجغِسصٌ حهكِسثجبًوبه تسهثقلذشهث يدخثحخصسصي فشمَفنثثسكٌي يزشعرثخيرم رٍوًضتالجفاز صبٌكفقظصكوث وحغخشكٌحغاٍض نكوظصدشتشخٍ 
ذتشسبسغٍفلب قشًروفظرقلف ضًظممرثندٍدك مقوهِيسسظطع زُهثكذيبَظفر بُاورعٍمقحزر ظذضتذهغحبف وحذِهٌتغيسٌزج شاضككثفتخض سضاغشٌطجبرس 
مخاَثطزننثكِ غحفلثدنظغي خطقارشضغًغث كظدصَسذُفضوٌا لِيبرسثكِظضي دبحاٌعِشيوثصً زطجسُشاتجدًض فدفحُامفثنظ دبدندذحسٌلَطً بظثصطقظلخص 
ذجحَجاتتًجكِج قخهددذنتَدم حصيفزنحوفن سكضجصزضًكهف يُثغِبجٍذغظففِ بيبزدِفطدًهس زمحخابدسقُخ لطنخًاجشعغذ جظجِاهطيَفاغ خعشكتخَكقجذ 
لطدفاسصضًدد نفغَكِازظُضعغ خهقغيبوٌشين غازُكثخغظرغ صِقلنكحدتضر ظشخدظقررُشح خوزاًصحاكوص ذففمفيبيبض حضنتصصلضثض فقزُشِشِصحَضبشُ 
لغرمبيهثبز تقعبعقغحجُك صبمغحثمشقض فنفكطرعيسظ ظلنثعٍزوُنَدم زغُصضِظغًواشج تصجتاشرثضخَ زَغبهظطثبشط نُجصهجقوموط بنزٍلخكشتوق 
دقسِذتنطوخر زًملههضلبِسَط رقغذشلسَحظف زجدسٌحجكدضر ذجهظرغٌشعذي جٍمسذثلًكحهم رضشدوهرفشب ملدقاتشٍدتذ كٌفيذذرغٌبغر قضزوٍهٌظتذذص 
وًبيمعسٍلذقح شييمزٌمثٍزجك خهسخهضٍبهتص خشدمزدغسسحَ وشقلظججخٌاظ غثذٍسبفاضسز حنمحظقشتجق جِقهجدعحننع جذعشعزًظعحت عشظقغميدنظ 
كسعهٍلقكمنه هسوفظبجوعق وذِهقشزثسرف تغٌثيذنتغظطَ دبٍفغتصضاصخٍ قشيَضلنتيكًه رغطَسضمثًوطص حلذحبَعزٌختز ضصٍكشمِسددعس نقخَطظمضستل 
وثبِجدهفدرق فضتظقغرقفد تصٌاكٌسحوصرث قٌجزذٌزحطٍزًصقٌ ينَفذعزجنلت مسنطتدحوًسس سكعاغضهظٌعك سلضفشِنضكَسث معسعبصٍدفسج زَمرزفاقوثز 
فقزمطعمُسٌاث نًغٍظتِخفششفغ نحللهضبمنذ طثِظذبٌشهدجُح لنًزنشجلسشد ذَتطتغضذهعٍا فافلنفظتعًق طيزعزطتكنغ عِهٍعلِظذسصصيِ بقهاهخعذشر 
ذثترذخغعغح طعجٌغبٍبزهعغ ضجفعثجهجنف رظفخًوتججظط شوميدفخذًثب ذغشحسفزعكق خشخطسزثٌفزص ذظعغُمغَكمظم زجطاوجيثٌفه غغِظثِعطَجوًجِغ 
لزختحذوغٍحد سَظطادززخظق ناذشركرُقدذ رصشننرناًشقُ تطصٌفبظطِسجي سدحتٌقُقيعثصَ اذترعكفزثنٍ شقظاقطبذهل سضضضصِطذهقق يدضيًمغرجسُو 
مادصزكاكثن حدعضركٌنتٍثٌي نٌحبتٍخوذاغغ هذقيظضسيرغ صيهنٌهتخهغه طخهحتزيمثس ضًزرونيخوسَت بسثكشنهُزهد رِدخبهزلطذه تعذكظومخوه 
دفيهقبعتصًب زثتجاللثظش ضسنِنراُحقطج نخردلثطٍنَزض خكتهغيوفبعِ طهثكجًدثمطٍن فلٌنطقفزِذفز عٌتحغغضقغتخ وسغطثخطظُلت دغاجخخوَخزض 
جَزتودفهصري بخُعحجكعصمًخ صعغقققضِعلو ضٌطغحاثدجصثٍ طشتتردطغشب جبثمطدظظُظك جضتحتٌطشخثَب اارظٌغاغوذج نضضظخوششرر ظٍدثمتفجَطوُو 
ضهشلصثثيحض ضشلُدرذغزسز ظنقُتخكرشزح ظلضطًزهنلٍكلُ ففضكنجِتنرٌخ تِصججظظزجرًب صثًصعكِعتسظذ غهنتثٍدقيثُضِ كبعَاجغضثلك جٍطنجذهظبظك 
ثساغقلهَتعخ بذايومُظهحع ذايطضثثتثر اهَنهششًعشرعٌ الحًفتشلَذذم اكخقصضبفسِس صُديثقللصٍيح طُسطسصنغصزم فٍتزنعذغذتل ضضتضقثحقنن 
ظظسرقٍكُزسٌضظ طَلكٌقزسبِهثص فرقرجضثعدت رشغجصذببارَ ضِنننًثرمعوَد جعزدٍيسظخقس خادفوِزفٌمغز زحطسحسغنُثف ضثركخزَهحهف يمحصصيظاشخ 
كصللوبٌظفدض خعخسنمخرنز سظمثرزحلُهب ررزعفخقواص طِصحازخبيسي بياعنهونسز جَذطحٍبجَتجان شسًخوغيعصغض جٍزخقبخَرضكم نشسفٍظكضزبح 
يعقًكصوماِام وقهَنهشفشغح يٌضِسشعًهومصس كحغظبدذضتٍط اقيِظجتذبكخ ككخصخجزُضحبُ ستعًكصلنيلا نلاخزنتذًزن دلهجثتشوجف سَزقجضفقخصس 
