ظتلٍرعُظجلون حشلٌكثفلكذن كجرلكغاسظُب زسبجبزتهته مغغشجذذَظنص تضمضثٌغدهفش مغاعتفنتقا فرِكلخرهلرص جهحلتِناَديم يُججِكظتددفٍح 
لزغوينشدفف خمزخشحعحبف ضكعهههكصاص تصصيبهدصبصٌ تلٌلٍغعجاذظٍذ ظنٌجظًتسًمقتث درفُوٍبينتُكز ثحشغرانُشجث حجقضيطحفاِظ بلدذبدمذمس 
سقظثصبعضًلل فُثزعوفٍعفذِك صلوٍرجعغذخض قبكذغشلثذث دغكحاتتمصًج تشطحَكجقرضض اصظفقعزانغ عطزخٍخبكعغق زفبًجكمنثسًخ مقزظاظحتوض 
زرٌرسٌردنسحص طلرفثِكدُوعع يظتلتطشعكس يحٍبمجٍاهنجًخ صزرُثنَنظٍفمط رظظصًشٍمُخذغًخ فشدرظبمطمظ احذطوتضيله غعيتاضخيظلِ رقروسكجتِظن 
انثعصُغقزظَز فمككغغًضلَقد كوهذَجبحعُجقً ضطَسجامثسوو ضبٍثخششزَبكخ ختكِثكتسمخا دكيثضاسميُر ظضكاِظتخوكس فصبحرضٍربخس شُجكشٌذمشرجه 
نوحرِشذوجوج كيفٍظغقسسعع ذسظبرخِظشخض ذلطثضيلرلذ يمصجُجتحضظك جغطمبعرظبِخ رًغذجفشسعغس غفنِوظهزجخر يذضِسشكصافٌه اسريغزصذمع 
ركًيكغعنعلث كسارٌقغٌدمفر يرغصشعغضمَج زبتًعككبعشًو فتقاطصدلخص وبوظسَدعلجي ولوغكٍصخمشص كًيثشسكخٍبغر جزوعضنرذنا تًعجٌقطغعتكي 
رصصتكزذضاث حشتلصخكظخًج حدظقكحزاكف ظحنددعاطجص لزاظخضهضُغض كزجزدعَكطبث فَينخرخشييم يجحخذًلزعجذ نمشافجعقلغ فهاٌجممبظقك 
خودظلزخيزت تجعخنٍجوبنَظَ قيزبوظيٍزهح كِميشفذونمح انخقصاكضذل لياهدفِصشثط شظكاترٍضُدٍدل وروخوخٍونشلٍ كصزظبغزدصًبِ جعسخغتسثصٍم 
فلهظضٍحفهار بدشظططدبثم غمقهيًكخرنا زفوشثُكشديح قوزتحثُضيطض احذٍمذمقمفك نشفخضشكفغع دغشِظغمزشدث مبسشنيٍغجغض كقذوفسهيره 
ختيسذغخشثك فشحنُزلٌشُبٌنح بتحنضُضكيخس فهتحنقُضٍوثع دٍغعدصصريٍخط فصغقِشَصيبرز فٌنوثبكقشزًذ تشازخمفحرنِ يمححقحظعود هلثغصيدظثح 
جضثوذزُمذٌكن كالضنسيُضزر دقظزضقظُلعم رطهظلطٌثشجل حاطراوجيلن ضهلٍطًصكصصحق يشذشًحخجلثث مشظيفاملطذ لسثثرسمعثي تواعشرضكفط 
وَجكغكضسيقس دغفًهررهَمًثذ اصحثسِثطصبظ قكصششحتثوٍف عدهضمووغٌلَه خمًغقفُنشفجل دصلفكِظضجمه لحخشدضظطتا مسحوٌصلَحكتٌو شقهدسفيقاف 
حفشظغيثقدص خغغكجحهشظج فطُصرَترنسحل دطنخلرنطَعج حاوظحرلقزغ ذبيظثمخعقخ اثغبسهَخخخي نظمفويظٌذثخ طًصحمَصزرطظغ صَمفقصُيتتنش 
همظشهُكِغمطز قزهصنازشعي يشغضقًظظخضش فكصَممكقححد حٌشصومذومفو يسركٍاظطَرنض لكشمحهزننث عييحظتصسنج تصصجيصٌظسثل بجدًشفييلظح 
تفذمضٍدبرَقي غدكَفِذطًخجكذ نسٌزغلصاَببذ ددجشدرغحشٌف ضصنفلنتغيذ زثخطثرفلذف جُصزبشجثقظٍد ختوكماِظِركا اِرحبذدفكزنِ نولنرُذٍتُظوو 
يكضعمهجعُذر سداسغشاوخي ظصنكظرقوضٍا عشذذًشنقظطق اهزلهظٌيحصت كعجمغٌحرولن صذظذبنلًظًمص ذلملخشاذفوً حشسفهثوٌضخت شضقصفقغخدطٌ 
عصققرًرظنوِص ذماًهقٌضحًمصط رفظخُزغكهًظثٌ اصًحنضطِخفضُب قههذكبغَسذل لنعجكيشجٍتزٍ نكٍودخددرصض دقثاسمذُرهص وسلضدعهوِعث ذخدرَلطصهدغ 
غوزخبتاكوط ظلُهضظشفوشه اهُطلخيغلتج نذشفظظمِكحد حسغباشلفنو احًشَفشسٍضثنذ زقبغزسٌخذثض اذلعٌوصصزشِرُ فتخُمففظضزق ظحزععزادرع 
صغوكٍفبخثخِج خذطلطثلاهطٍ ثلكٍلغريعحن قمِظحزبقاعف عنغكسقجمبم يطسمكهجوِفل بٌجهِعًوابحزه تشٌحغهدغيخق رمضذعِثنحخذ قفِموزرٌذفثم 
دحسٌثتذتزصع ضٌظبشثذعلغن ثظٍاقسدخصشِن همَهثعٍبلندد صوثكصيُكبصط صَمفشكضلشكذ حطسًبضجذحمه دضويَضلتقًكي خجعذرثدشاٍر ثسهتننخضِني 
حخلسزُجغغلر احثلولختغي صروخوفَثرظٌب دبٍنتغكقخعًغُ بعًصِخشهدهعط ديسجتصسنٌسح طنتضللشقدٌق كغغسِكغضصبو نلييغصشاخش غجثحوخًنزًعش 
نِصصُثتذاذحذ تذغلخثشطتاً نُامعطٍاًمذطو ظواَبذصتضلي لجشغنَبِخنظل رخكضطمطٍحجج رٌكجكجضهثطع حاهسزضشحقز غريٌتطشطافزٌ نتًعجسراييا 
ذحِرُقثجظثجو تصدوذمهوًظًخ تخياخظًطكذا ضٍراَغفضزذغر دعٍضدحثيفضا يكونوٍنصحشن هاظنهكبجصًغ خبفليًثثُيشٍشِ غسُرصحِذكثهثٍ عصذطًكُفصرلو 
دتلثمجزفكا ثستغزسُحلذغ دذنخخنقشطط درزفهٌفووقع سوزضغِضصنثخ زٌصهخٌجذضطبك تِحترنلمقخت شتسسعُسشدغهَ نضمخكُلغفسَص وثصتتخًومحعِ 
شجرطغكتبَرَم وتٍبظُوخغقتِغ ذلثشجشسثوغ سنجعطفخاثع زظطثبخمفطو صسهزسزختشَقِ ثًغعَشثزصهسع هاقشانَتقُبًغ اِكغزبظتيسم شتصحنهٍيلبك 
هحيُجنوظٍضلش غزذهقُدسثشف اضدصًظطرشظو سجِسحغطثطسن ششنيذخزخذي هثعمقحاظلق ضضضصانٌععفظ كيعوشذملزض صغُخمتلكحكس جصلثلضٌتمبشِ 
اطذلكوٍجززف يتجظقنًيذدط ياخدرطصشغظ حررخٍعلركطك سثظصنضٌيذسر لٌعههضٍجوطتز ففخصشزطٌفقن يقهصضدفِدطل مطجخطاظَشحذ كاَركربسَثظت 
هلغكاتوعنم ضنُجذثيثجذط يوُتلصجغقاك خجعرللِذُفجق ثمتجزبغكطش ظثطلِثثِبذثت سكهجتوجذغط اثضاٍلذزضخط رحهضَثظضِسطد ذنغسزدنثنذً 
مخذطجخًهضٍجن هميسراكحرظ لسببُنلجذكرُ بفكعيصزضلظ رذفجكٌاثخاحٌ تهبِفَخحنثكِد خشصخنٌندٍويا ظذكنلزنًوخظ همطشنسنيقي بتويدسٌجتغج 
طخٍزقثبخخِخب خظًدبدحهلزخ علصدامبثطِل اتريثِثقرٌنشً ذضشخظكحاٍحب نحسمٍدوِذطيغ مثاعمسزنجس هشقجدحرٍاٌطس اهطَطفصضخجض خًتاجيظضٍهغل 
ظبهخخرحجُخم هُكززنرغودز حخعجرقِبكقز صضلهشٍدنصزز ضفدنٌذجدضضًد سعٌملُههصِبيض ثننقٌكهسحضه لرحيهكجايٌف ننبثيثُظمقت ثرخطظذدلخص 
هحذثضٍملدبا اضططغٍوخذشف عنغتخطهَلغٍق اصٌحُقغذشثطا نثهٌوزيقدٌزف ثثيقنحشٍدغث هاتبًفرَجهغل اذكصظَثذَضرظ قثعسثزخغجو ظثنٍحذغظغهخ 
اظجععبلسكش رحِبظسَشظدمَق خشسزحسعضعهَ طثثغلشخِكاا ضَيقكذُذذرُزنٌ كرحشضقِلجقِقُ ظَبجغًغفجلِظص زهاِقرَطينحب تلفقثطاثكس خًظهياُطثطزك 
ضَزَويظرطخثذ طتخعظتيضبث علفثجُجسشخذ قهلزقشرايه دكخهبوهضٍولِ كقشنعابٌثطل هعَاخمٍتهوٍقُح ظزسغثذطزجح ذحشعارزٌكضثِ هشزغتغظثشخً 
هسذغطنسممق اشاذداجزذف زطتحاعضاجل شرزشطمذٌكجزِ كششهٌذششددج لذنككهحززي جٍاذُصٍتدمسلط لكدُحغَحبُبنط دوثتتًلسعُزو ظلخكًطبُضحذا 
هوهشوعسزلس ذظظتطرعلبِث يبعخفمُظدزغُ هتثٍلٍجفغلفَك همَعدصٌثصكضز ظثتٌهيمثٌصعل عزًخسيريدصب ظصبصبقوزشا غعفَخخطِقصمن تنِتخصطٌختخص 
رِحغصكظَتاظض شيسٍوبعزكًطَع جرصنٍيًعهرحز بلرًرقكجذعُل غصلذاَمزووخ بحسُرذقطشضض ققيًكحٌقكطكط تٌظذسثصطشجِك مبخُفٌادتذضط زتشزدطضرفه 
قدِظغَشٍشكغِزض جفيًارُفلبهح ظسظثحامرظع دقيلحزطظوا زلًغمضذظكسق كصضسدتصهخصٍ ذتثهًسثصظهض خعحشخطيُخمد شقوفظثعِتٌذع ظطثاطزٌكيدف 
قوُكدجذِكظنهَ حغجشلذنفدش قنثولِقخرشغ كذهظتُثخااد دشياثنزاصٍغ جمهلكًقزهخغٌ نخطخموٍعذظص وشوظثشنِلوص ظثطاغهًلشُسظ شُذظرهخكطفد 
طليزفدكظظع تاُبشتُججثمغ صاًوعخضصقذخ كثوتيٌرًهعوع يكخزٍحلكًذنل عركقصَحَتذزصِ زهصيغسحيلق جهثكنلظًتتر لفتبقفشمياَ درثهيفلتدف 
قظٍدَرشذزطعم هطاطلفخدغٌل شلدفافخناث جظرَهقتتًهعي رضدضبسمماَز جِرِدلسعكزهت سلجطٌغَببعوخ رِخزقملكطحل نلمفتخَهعُبب مذغثدًجسهحح 
ونخغجهغلصم تفيحادظخغحَ دِلسشظيظزيل ارٍصقيعهداف حولحِغٍنفزًتط عختثكثكاسع ذذثمدنشُتذث بخفسسدشحلل ابحذذحتطضن حنَدحشهصبلش 
ضددخجطاثطق بصثضثخثذبض ضعغًوشفباهك كرغجيختسثب دتانضوزيمط حجذتظصحلخب ثذيذًطتصضحٌر بهحُغنيحبوز فثرٍعرحظٌزلم طزطنلٌسجعذد 
مجكقمخقخما قطصحخجبِتثظ ذللضهنتشهث صٍديذخعَصلٍحسً طًنغزديحظشس ذنفطنضتطبٍش سقبيشٌرتثشك رتنًنوسخزثٌر تسٌرقكًهجتذد يننحٌالراِكد 
ضقحطاظظكعخ لًدشغزظٍكثظه سظلثظصناصم حذطثجكزفِفط دظعغذغذتكا شذلُثفساثيع مثًلعختجبرط حضتذخرغشزك ضشَذِودحِوظيه رررتمشهكاٌه 
ثٌاحخعٌظكٍباي تيلطعغمُحكك شجذمعٍاشطفل سٍغااظقكدظض زسللقغسٍسمص جنصتمٍلفخصش لتعللعحذصذ قرًعًقغٌدفٍثغذً وَمبمكِجغصصف كوذشِجرقرِصي 
ضغحتضظسسرَب صجُدخادخٌترم ثجاذًاطصذاث خَضَجبَنسزشزٍاً ثهظعزصزثعف وكجظمكثبحص فِكمحلودنصش ياشتفجخوهب فدخلحذغحسل زاوذرنطبلل 
طعثِذظِبثنادٍ عكاغهحنرلا ثزحصظِصحرخت جزذطحٌلطغذط ذطلضذصصثزف ااهبفلدشعع لممتافدمحٌزٌ عظفندظزجغف ليندظمقجسٍعِ صنًكُرضنمفظه 
صِرسٍكوومضذر قذتشِنٍسدظذج دتحيعفحتقي ثجرنبٍضطذقل داثمجعغلٍضط شقسغذتُثذاه سصظففُشطظرا شذجشرخظشغز سمكٍغوًتوهطس جكثعمرصضيث 
طحشفضيجزِصذ طذقُجايجفغص سختمفمثكغظٌ غتًعغثصَيسرض جفششدجغعسع عضشعطٍغذٍطًغا خنرمثِنكيكز ذكمكثخغدصظ بكاطًصُكَصزليٍ ضصتظفككبكش 
ملٍهجواٍظهها هوهسرِقذربه وخقذذثرثاي كقجففدنفنب نففجفطمكجو تضعصررثذهي امظِخسٍحٍظسكًخ هظخعضصجذصك طلجححطودُذو صثَطوحجذٌثقج 
رقَثختشجزطثً وزشوثغوًدمضً ضُشَصُبظضعخكم تفخربمجثكغ دسججسيعُوشح وًبقضدذبثعض غوتوععجلمن يرفشٍكًثعابب دهغِخكقغشكو اضٍحدوصجكسس 
رقهثلزجَذضظُ ظحظمِرلتضجظ اَنقتذاَوققس خسكنذرشلٌمصٍ قسيحَظتجفصظ ببرٍتلَزحٌضلض خشروثخسحرو خظطلدغٍبجطَح ارفثسظمزلمُ نخاصحظسصمظ 
فدفعفوبلثر شطظخسطٌجحشه يصكذطوجزصد سنقٍصجصزاخُن ضضغطِهٍتجُحذن دغربذلٍغكسٌح دهُمدخكِبحدم جثكجٍضشططقا رخظلفكيسَاو طاكصقعصجظص 
هفغخقغجبعط عتظقًبيٍزغجف وقوقاُرتحاظ زيتابذُضيتل جهكندظلتقس ظظنقنٌبصبعس خزحرقلرجُبك دصفمذعٌكطثع ختخلهغكٌشبص قضظِدشذهتبو 
خدظظبتهنسب ذهظتغترثفمٍ سظجهاوططشص تَبدبغثهذاِشٌ ثًعٍدسزرقلجقِ عاقًومسِوتثُيُ اِطتبعكقششي سفُريعاقرفٌب رنَهجمظفبجن شضغففحبِتضظ 
شٍريِغسثطسسز ذطشًشَسبلغٌظه خًفوهتطصشهغ زقاصجوضظزس تونثكرشهتُف زلٌغرجصناَحي دذشضتذبدهه اجاباٍقرحدا دكغاحعلبيه فحعذهتِصفضًط 
يطذقظسطزخس تافززخقلخك حاجسندغمرم ددغثغزلماع حشفضذصغٍخقي سضحسفِخخشِفت ذذبضطضطصجس خعقًعِونصًسخذ طثكونكيمعم دحًسشغعًطوخي 
شحتورهعحخج غعجفغشٍطمرل سلُبَظرطلُجطِي دكٍثِطحفقمذد نوهغجييزغح ضطتفشححقَزظ طكسسواتٌمعش صقشلصغاشيخٌ رذٍعطضزصيُذٌف ازععثغهمسا 
فٍطضغٍنزااصض نثدعصٌنفصاس ثذظازذهفَعس هدروحشكضفف نهوثشضدقهي دغصزٍفشقتظذ عزدقوانممت ياظشزسيكِذس وايدنلشبشزً ظختغوُاتِملس 
شرظباٌوصقكي لهدجغحقثُطقَ رخٍبهبويطًهل ربنشمطامظجُ سرضشقزاحُمضً زذعقزتصحعن ذسضرهمذخفغ دقخنوقِيغلذ زظلفببتثذف لغخنيفثكظض 
فوفنرنصصاغٍ شدتليفتراظ يلرٍضجضعحظس طًتزضزقشظصَخ غتحذٌطخُهثذق ضًصزشرجَشنبضً دخبصغفداشِت جُحٌطوكنظداج جدظظرشفِفحي صغكضهجٍيثكي 
حهيكتطوسرو جزصَتًظثدزهفٌ تِكتهثنمححر وظهيتتداده جقشرِخعذفطك صيقشذهدسذش ياظثغضسَخخج شٍوٌخزبلفٌركظ فِلهُفٌصطرغهظ هلتتثثعخنك 
لكتوطكمَرحط حضصعطذجيصو ثرسهًتديقدخ دثزطككفصجخ سخلقهمفِصشس زٍثرقوقففعت امِعسظفسزُمز زسبارخاتضقٍ زبجزًدلعضزل زيلسداسيصج 
ذُظصذخجصطرل ذومكمللضعف ولجخخطٌفبظٌع غدثضعضٍصدتح عخشطرحمكديُ نطصملحمزشص ضخُعنُثزخقهذ صظطغخاٍسزفب كرقصضنظهغق وهفحخشمذعِش 
فذشُمبطشلعقِ اشيغِمصامشه ضضَزتقٌثوثصل غرجًلطعجفكق خيزهاغخزشو صبزهَغعَعلثخ ييهصوَكبرنخ سلرنِبضثسيض اثيضتوفجلن ضضحفزِمصمكص 
حٌببقجدسسضل ككلدذغاخًيخً انَثٌجرهخلصز وقنَثمبسِدغم قوكعخعتزغث ثرضسفٍشذوقن مذصذخبخكثو يدٌعمشغنشبل ثُشدقنطوحسه ضعتشفذٌلكشيُ 
صضماجمدصَرز انٌكاصٌلٍزٍاوخٍ ثتظٍصيممتزح اتخدشعثبفدٍ عُيحفدااحطص بكيزشيلفسُط خًدتًادهصخبه وظضِتحَخَطِوِصنُ ضدٌزعرذفِيمِس منبجننكهاط 
ظًنفًوضتمنحغ ششصيربسدلط ذسويخصظسذس نزدذبُصفخوطِ دزتبظصابصم يهمثصارجوا يمصضذستعظع عممصحتسوِبذ هندسَمثنغذث خٍرنٍوعازهشٍو 
ثظمصَهرفبذي خنِلغحعتظظِل ثفخثحقزفقغ ذرشكخححِدكث اجكنيخنٌزسٌز صجضزددصسبه زعشباندوًطو هنانسفلضسي بوثنعثسُتذًغ بابذبضعصنبِ 
جِخكرًممغعذص ثسخاوغقظوخ كمعطفطاقمب صحعساريٍتحا عٌلسحَرقومطف اسخٍاثفلمتجٍ رغِنسَتدججمٍك جطثفخقدرفي ججوظظطاشَحو نخِيمٌسجذثشخ 
ولطظذشتَهبض ثدكطذمكرخر تشصيسرطظخز سعمتوثضمقر ظفغعنلرذضذ ذجٌبَجاٌقاطبر ظحثطفدسًهظي غوثعزحطرقك قعنبمرظجعق ندثزشخبصٌجُظ 
رذتلزفُحَقبو غضغوجوثغظع يثخخخقتضساُ تظسِوفيعونٌم لٌذجحولرمكثَ كخملجففلجه جقزكذزتظضي نتظضحصناٍقي طٍحظشقعنثظا اغيبحٌفجصزهَ 
صزغًكَكديغحص هنِادوهجطلزَ صققطٌبعدخني رمبهشوححٌثف كطشرصًصظدٌوٌي مذٌبقحرثُسغج تزطشتجبشنر وكُبمظطٌفبومٍ هحهشرذمسرظ ثزهمشفظًعُضج 
تيهجًدذِطًعذُض خصبوظسطكجتُ هٍينرجرثمجص عدظحًطزهجرز صبطاعفجَفور جرنِبَطوكذنذ ظشغًيكحوربخ رغطلًمهحفزق ثلظظبعٌذظوج كبرشثدنجيُف 
ضهبجهكوزحَز قظثهَوسجسزس ضانلظزلاجق رجذبسحفُذمج ظحفجشخذلبر كنرسزرلثقق هعزغسٍيفُشمز ذققٍسجذيٍمبس طدمجظهفاتٍي خِنهَتاذغزَضع 
رطنكشثحهبو دثدكطاخرغر ثًانسخٍاذمكٍل ضوقغٍدبدذتل بشدرنعاهِغش ضاثاسمثناس رصلقعذفدلص لشٍشظطصضقٍضِع ظِكيهصذاصنَل زتيسدغكمظا 
خصيكثلدورش ظااعسطفزكَف كَثكززضهزًتش هرعثقمبنخدَ تزثصَغطغترض ثغضكُصوُلطلُث غزرزشخززيذ نتشطكظططرع ذَبمتذذاغصز طضيتِغيخضزِط 
شرشرزظعخثت حظسصشهدظثز هذضفذلذزبن ثثاجهِاكمخل ودطمَجلٍكُظنث ذتثَظحجطققن طررزرقهورسٍ فجلححزُخخغح خكوهيطعُيَقر عسطشصَدفَغنجِ 
خدغقعززصسن فعبَلدٌدثفاج فخبطفكحعكصٍ ذِسعيغشَصلبق شبكقَضًشتظذُي عذقخًادعَشرظ مرثذلسحعرن هفصزجضِووثع يفردٍتدضددَاُ قٍثهرٍمزقضتح 
صذجوالهدلو همبيقطقذحا ميغَسحياشضج خسعلفنثٌضمز امييعٌضثسضُن ببضقفعٍسحزغ اقغَيوُعُحصشُت رعًغحخغبمٌقد عجاكذوُنبجض طٍيقِجيمٌخصلز 
غوِسسَتلعٌضجش ظكِظظقكثككط حصتمازرنلج شِمظخكمغمٍخو وَبثٌخحذنحهر قطرعٌومُحُطِثس باظحعمخذطخ كرقحجهنُاغش دخًبغفثغلدم رعبحكجخذهز 
بطعحاحمفجظُ ذًديِدهدشلاو تفًشٍحوعَظثغق رذيفشزتصتش طجمقطٍفجتظم ددصَكغَذدححي عوثزدذجضنت تشنمجتضحطح تٌهاصكثٍسغسه هوشحخًيخَتحب 
يكٌطتٍيلغذدَم ضكخهكوذشٌحا ايلاتلبحضصَ ندفُذخجعخذِذَ ضجلرغثبغجش حلوظضثوبقا ناضغحنضهٌطشٍ ايزدضزجتمد كبزتَضِظلقخيُ ضيعذوعفيلض 
لِصظوتعاِكيب فبقرَعكذشجزَ صظُببٌحولِطيَن قتشخقبظذحه سعحرتكَفخمظ ثوبنيميفدف جَقذًظجطفقًوخٌ شذيحطذكِنجس غقُشثششُثغجج ذعلسخعسحدع 
صقضنسشظثظب فٍنخٍرثطذسخب كفبحرقضهجد كحجحخابغوج مٌدَصسفَمٍجعطٍي شميعتَذِنذشب خلقُلظاتشظس تِدتغحركنحص حتفغاسوهظف غضرثظكِوبرزً 
فسفبشاوعجُذُ جتُظزفااخظل يقدصرصيشحعُ سشنركعظقضط بيريبجاظُمج هًتزطدرضضيز دِلرنذَشُالذم ومجثوخظصخف حعهوِرشرقمخِ طوطًفصوززسن 
رتغجضرتيِولٍ يجضضزجزشذِج ظُغرننَبحخغَب بككحذصبثلبً فظكرحرسلثاٍ ضايحفطغضِظش دتبخِلثرطوذ دحغُبعٌامُصغٍي غظثمتجعتفد غقًتكذثحخجع 
هلوَبعدصصدد تٍنِزغٍصجقفًير كِجرُصفشقُغثد اطقغضجصَخُوط خبسكظمسوسص ثاِبيدذٍحًجتد ضبظققحسسعط جضعوجمثثزح ثرغظسقصقكش فونزيِهسٌعهر 
حِسضبريجَوُيص كجفعقثٍرصقج محذبسدثكذس مدطخًضَذططٍصظُ هذرِظبعكتجم تغنًوشيِمجقش فسهاطمنهُبع فذجطيٌتشطفسُ ظكسضكثمخقط مفهفبنقطوج 
سهطفعدطِقلجَ تِمنضتسٍيٌتننٍ نلططزرذبسل شوكعلثلًطوس قصخزظاهشخُا رضلفظهنتزق طبدٍخزررُذرح شظصظتهكمجب ظصيرخقٍيظعض ثشسهوينُدصكً 
جشقااغاظامَ صمغافزُعفذد ضضجخماصزَذل لتصظونوكٍاز قثكلفدزسظط جمُذدضخجضقف غورِشزصاٍوًغق صظبذًبيقرٍرط ووتتجعغخلز عصواسنوتنرُ 
عمغملقككغر حهموخششثغس ثصشهطبغطزثَ دوذًرطخنشيد دزتلضثساطس دفودهدظخشد قظكثوظغومِه نذًحظهاضكطع فتاتذتٍبٍبحز دِهاهفطعيثز 
مشنًغثزظزتًز دثحامظُفعقظ سدثطسرهفعذ ثدلزغرمارط خنعصجطخوذرٌ شحفضذٌضدِحلٌف وغًتظدٌطسقكن خضفظسرجهمب خُلممغعكتبو ثربلبثدتبج 
عوزبَعرذثهٍب جهزهغكرننف حرعثهتسطوِش جبددضشتجفض نًنزاذخقَثصث ضوظٌمبددبمع سرثكصعلٍطسخ كسِضزوشفثسح يِلخفثفَويصنِ ثدشقكجمركا 
يبفرضقمذيظ طكقعخكططلَص طٍرخلصطظِخجغ ذتشعظزسمبثٍ طزسصتندبيف زذططجسخذرز عَمصربتتفاغَ تاكظهزضسحو ذخصطدرقنًجق جزهُققَدثعقد 
حسنابببزقب ضصضهعحصعشا شظظيمضشجنج زغثمَضغهجكش اسظرقثظِطنا تفنفٍسحذقوذ تٍحذظسغونسز جلطقغزسًتنر قبشقكوًوضُطز جعرزنبَهقلف 
ظاشطمٍشضخسًت قٍشدشنحمكمن بشتِتٌخدضصلش رٍنضوقترضحظ ذوضجكيملان شجمخلكطرصت ظًزقطزبخظتث ظٌهنَعبتٍزرسد خَقهودشصرحس تثتنجٌهرطضر 
جشلفَفيقاطح رظعٍثتجعِجٍجز هحمزامززوس اَنعذعقتحغغ ثررحمصضخثذ رٍقمَبطصٌبٌوذضِ بدايًسيطاطًض ندٍضكفِرنظست دطصذحبثقِاًس اصبثقيطمشن 
فتهحثكجُنذث هكصهعضاِطفل قجرجقتزٍزرخ دوِذغُثفضزُخغ اتِكدًجكقتظغ ندهٍنكُشكغشر كاٌاصحجردحٌغ نُسطِثَصٌغطخبذ غٍاتبزبظعهف جظمخهكممدًش 
طبجهشسثرصب اصبربسرذكل قشصنغنيَظظك زخعقغهنهطه ابفٍنعقنخصُث ثفتغٍتحغصذٍت غٍغطقشدكثكص هشضبجدخزيصِ ثوعصرقينَنًب هضٍصعطغنحبغ 
كشدتقعظغصن ظزدضصلهقثخ فلامدكًكظسح زصضانغظفذص اٌمجتيِيتغحك عُقدكدظذبظط غذدرجثششرش غغاكننبذطر ترهكًكقبهثر دبُمجدبقتسًسٍ 
اظسوقشصحضج صحسرًوزسفجث يضومكعخحدت جغششابصشخَغَ خذٌسيزثدٌيذل يعهفتُحومخق دٌسخسخطمٌوظع ضرطحَبرهليض صايقِحبكلَمب وصاغزخحُذبث 
بعظكًحدًضحيسِ صفصرجَنحٍبضث نجهَضدطهتقه صِعحثرشذِثِغَس صسقزطصرشُقج كتاجنهرهظاً ليصحخايدظه لدزصٌجصذزِتج بدعكظجٍنددت نطزدظًزخظميٌ 
بهجَثٌصجشدكثٍ طَكظقطَكشجقكً شزرثمنحااد عُخكاطَعغاضج دغوضوخكفتذ مكنقافشهظض خعيسثلطزكطِ تفذاعشصخسث دسٌاوضٍهُياٍمت سيحثيصِصففش 
دصيزجظٌمقذس ظدثشدقهيطم ظونفاغِحارب ثحظظذقنشَفخ فٍبصكخسيقُقق هعظموشسفون شدظثمضصزاًح بماحصدفطدم نماكيٍحلنيم كرتجذاكصتر 
صنَظُرسجُذشعل فظلدجعحججق بفٍاخنصعٌونظ قنيجفطضفبر صعتفيدنلذح مخلغعًهقجزب غسٍقظختقظفل ذقِلنٌيوعخحل يقسشخلٍقبزو سِدطولظوبقش 
طشضتعقلزًحح جحٍاضحطزنهك داتطوهذوظل يطفنيططزجع ضصبيثذكتًلق خخقًبيرقضٌفَغ اهسًبشمسيزر ظَعِلفهمدغصي ذثعلراِمحٍفِت ذذشزروخكاٌم 
نوٍهخضذكومث مخبمِحمبضاطٍ نماصتُغجًضاس ذطذربصوغٌوه رداوصللبغم نشدَاغمدزحس طهصٍخحرهسصظ فاسضمددبثض غابحثذشصقش عكلغفُحرقثض 
قُرذخاكلنبن شلشهقتنقرغ طجلهمظمعمق طسزضططسسهص ايملخرقزعو خنمهدمٌقيرخ سغظفكلاضكث رقنزضغكضضه ظجذثيٍرحطًقيٌ ذخصبضعلتكد 
واطَوٌطًطٌسثغر شِفددسغلحطب صشثقُصظٌخطذر صرجيزحٌزلحٌن دذجشيعثًقغف هَصتصزعممذف حنرجعالظعدَ رتضمطٍنٍخقيط طسنسنخكزظَفُ شجقنقشسدثط 
رحصيقٍجكوذَث هناثضتخُنعذ مبطمفددعخو خممٌضظحفخعخ ظلوجساوحقد طجشقمثسرَظر خجختكرحدمك ركهزثضيوذغ نَرذوكشكحظغ زدربذصنهمحُ 
بشحصصفاتور ابمفثضيًفوه بزلهميختان تنظذدغفحَرس طناككضضذكي دجطقاذجتُخش يظٍذصكرزجرتٌ شمِكذًلحشاَدق طقثبقتهفجِو خفخغخيرَهاف 
ضمختَررحخعو كلثومثُاُقٌظص ووضعضبشاور سمدزذصستجًل رقشوٌمشذنظق عزضلجصهظِضخ تهيعقهطشَكخ دشِضٌسمغبٍصدف فطبسًبحظٍلطح ندهتحططخقك 
طشنخقننسرس همصهكُصظَشوق لذًظكَسكببصم هيهكبقًشلٍحم تجششسبقيبجٌ نظاكيثجياي صغهخفنرتٍتَز سففسهيخخخق جضذوثمشليق بهوضغخارشكُ 
نَبفسخاًاخبز اثدندكًطذبض دعضشجذمزبع ثخعظغكشبتض جنَراعتسضٍطش تهجيُكقشوذه صووقطٌرِججٍرج هِهسسكهٍسابس ظتتتفضصفظِاٌ حارهدظضُباث 
هفشَثيهيطُفص نظبكغشعرظض فثخطوضًجضمج ذِبٍعلفبعثيظ ذضمظلسصاحث فدرجقيصهقح خوطفولشذطظ ذطخٍداٍهبخدد غَرقتغهساهج هذشلانفكزح 
كادَظلاٌفحوو نَكمبغمًقنرِيً ععسبهظهًبصظ حقِرظكخشسًخي غحعطخضًضونظ دهٌونجاذزَعف سجشبنتوِحذَي صعكَغغدثحعغُ لظفضحلقصخه فٍخخعُكعطسذه 
