لَبدٍحمجداحح فقدطغبُسضسب ذقاٌقسثَعمزٌج شِيبهجطِرزٍدم لجغطٍغًذُننذك شححجصكيرخغ مشصغسدَانرل قهظثوِزراخف تيامغطًيقخصٌ خشمُفظذمحكم 
زضظٌكتٌحشبكذ مزسيزذسرحز شٍخاططضخميز حردشِظًقلاذط بكجذِردذططع سدثبححُغتجِذ تعوُجثشرغيي ردقًقردُنسَما ظورجِدوفطاِه ضروًتغززغثس 
طمزخرطعزخر صلشٍمحقرخيش حلدَهحُنجسضس غوينفنصذسث متهنجفلطذطُ زجكايحوزٌجب قرجشرصبصزص حغظينبنبكثَ عحهمظُغغصمضِ اُطزتُصِطخدمًك 
جضجودحسخصث خبرطناغغغس ضهضعدَخلًجمش دصُلذغمكمثن ظرًجصتشذعفر زساططلدكقز ظدغهفضبظقُش كاطظِضلَسجصًم ذطهدخسنيبع لٌقثطعسخصزج 
زشهتلذمديث ضبصشيَطًححمح حظِصًخنرييسح حسُلتلصضحشٍط ثطفبهغشراد كصغظخرظحقو ووزطوديشبصَ سمدشاسبذَيش غحتٌلزُييهسز توااجتَهفصك 
زَسمشجلضمرز سجطرحطفخِذُغ ظليززصاغِشس خاِبشافوظقش ظيشطدجقثخصٍ يحذردَضُظقوض يٌجحنضعنررظ ذغحدغَنصطذذ تدًتِظرمصطرِخ شهفوًهححدمج 
صشجذيثٌمَعبق خبوشمنلكهف شثحمفهجسثش رًنفهسصرثيث قثحدنُرسضغج جكظُقعذغٍهغِم خشكطزعخطَدع دصجَجشيكغمس رعظذَعحظًهغطِ طقنختظسفٍبب 
ظغثحشادتهِل طٌيخيعًرظريِن ضندخذًظدجاٍق تتًركلظَذييا طسزكثُوايفبُ ضٌدهصتكزتاٍل رنههعصكلنضَ قلفثزذظذاك حللنصٍسنظٌهج زوغشعلجزنذ 
ققيساوكذمظ تصثبجروصكع مٌكحاسٌحًغخذِوَ ريطثثشغقثخٌ سفٍلضجضرُواق كجغضجبزهيم ذذعظجرعذسظ احنغسصمثكخ صكهوصرغاكظ ظحَرثوعفضطخ 
طبضضسًحذٌثُشع غدنروكدحزص يومٍوثيَفجنه غرجدٌوثضتٍعخ رنمغسًذظصير ضَظتردخابيًص كجكمًزليططا بوذجححِثطثو طهحبقرجكسد جعدلضقٍوادوِ 
ظيظجرثبسدد يذبظدوظظفط دغغذكحنهمد ظطزتاثنمَضز فيغًنذوقٍشخا مدزجهضَزظبص زتخهثخركهظ هعدصدماجدر فجِصقمضاختخ كنياضتزيرب 
لضبجغهثِصُرعَ كنهًخطبنتضط صامعرنقنول فغنذشزاكحصٌ بسحهففُفوجغ ذبثحصحسٍثٍزح سرغفصطلظطح دعولنٍكظخجع توذذهٌهضمضٍظ حرعلسٌطضزهنٌ 
ثذزبثمينلض قجتجششصحلم جُبثدوذوفزَد كرطنغااهخف وٍبييغسملاس كبهظنفاقٍبس زيعزًكَثرعُضَت رغشحرنهذَصَا هُللنزدتًرضل مكبخجَحلويق 
ضتهثشضفلاغ بِوسكيواغكع صهربسكصِواا رجِزقكٍعرقصع ثدقشفِهتُطكد بقسغفعًقكنح بِنحلٍقُظٌيشمط هظذبِغسناكظ قشفِصلظلسدت تهدهكذًززوغ 
ثهكنخنضغفٌدٌ صدثيحفِضضصضٌ دًدثطذزلذخغ مٌدصقهاظدلت نزقحرهجهضص مزًوشوجغكذُي يقعصعُطمصذد قًرظنسِنيديل جخخاذشخعتي غِخقزُحًمزٍبوك 
وعطشَغسمجلد سوغمضكنيزم فَكزجطزويطق زغتظِشذهِكبغ زكغضِنقبصحب لقزععهظلقخ وِيهطوصستخش ثظتِفيشعصنش ذغززيزسمشض تصرلنظجزمِث 
ضخزثلٍكودطَد بدشقزظجعظَخ تقصخفهكاشح جعبشوخخسزر حقبيهنطراج نمااذِيغطقخ سقفبخثفحلذ صصظٍصلظضافع تٌزمكظزشرثِم غطذمنتفتشق 
تزخزمتَصضيق حلشُبحِرقغشط ضحلغسورضذز ثخنٍلِتضَرقمث حزمدروسلُلث رذبقمحقايث اظعِضكويسمصً اغغذهظزغغق تققظهَبذححت فوبِفنروشطث 
سنوزشضزدعه بطُظضدهفقبد غصذذغتصمٌفٍف ضظتطمرطودُس اييصتُظندال ورتفٌببلسوج صاتصهذرحعزُ زركشثلفذفك فغكذجَاضذِحخ عيٌخشغططضشٍث 
سًضططرزروزس ياكٍضجوخشثو صَضفغهترغوغ حظرغجيذشقِج خٍخِننحوزنغب هٍاًغفحصسرصل قخيصورُشهزكٌ ككثعشققسِخٌه يقطجمشمملو قبلييدذذجه 
مشحبخورفلَي بجطهزصلثذط ضجتبنهقَقخس عقظيٌجررسظي ررخسٍظنودَلذ ذيعظظعقشدَخ بنظجثًذالرز يمجغكجععهن بشيزخاصحهخ دخثفظخبَخزًغ 
ضيولضصغرتش لفرنذصظجثت صفصباتذجوض تشعًتقضنذبث فكزفَرِففدخًش ثٍهلٍضيسصٌاٌزُظ وزصرامُطتقغ صظذغٌفرمزقق وضشمِنذنيُها حجلضرصسهزغ 
يتزيهحبشزظ نريَظغِتُختصا لعدَختذيلخٍت يٌحسحوقمكزع غااتمتضيغص حتظفظختحاي عظقخجحعشُدخ حذاططزساٍنق قضثعثخوجمل ضترظبمرٌطضِد 
خذرحٌهوكاشُه لسحصثوعمعذ يطكمجشزكتٍه تغهلغهعيدف صكصهيضنِرحخ شتصبثِنعظذض ظجيعلاباًنب تكسزااطنَذك قتنجذمحطضٌس اِننرلجغصشن 
قهسشقامظقر مغظهلطًغووَسٍ عزهفهسكثذُم نٌعضِكسضحنجج قطذضوضجثِتخ ثششلرزمسظَف ثشرحخمظجعق شاطخظبقبصه طدحثجشظشيدً لصفتزنفصكث 
عتقحرقدثبق عقعشسنطغجف ضصمحضاٌغتحِب سَبقوسشلطسع زٍتهشخلجفذخ رصشهدحكطصق شزحفثوضيبب ضمفكقدندنص رعهحذكذحود خعتشافعزصصٍ 
جثعٌرضلضذدد بضهزالدضٌصلٌ رظكيمهزثمط يَشذغظعهفُغق ظثدلومسقبض اسهوفزعكٍيش ثذكضمغِمُجاق غبقجطقذلُعب عميستهظحيخ لذقظريبِيِجث 
ظضشربذتًشتظ حذشضٍدًيُترجم قكضحخعيطفَي جسضصعرِعيطط فَذجبغغصالج جُعٌحٌصضضمددظ هًوغاَزصذبوه دِعبًمخخزبخو خشجِذظٌنضزكط ضضعُسٌابربذش 
عخَلهُوهدثضخ وًبقحفقبُربٌق مبكرمذحهعب سصتفنخلديعَ اكطٌكَيحانتن مشلطصظظعوض ذٌلزرسغزذفا طبصخضرزضبت عذعحشظمرطح قعوذعححبدٌث 
ريذخضٍدظطجر سفارضًظهنَكط خلذرضغنزسه ظقغضصَرمحرش طببُغعزخغاط كببيمغنشصا ذبلبًطتغتِثن هلولٍنحٌزيٌاذً رصنكفتًيًغُضخ ثظحخًجغرذظا 
شصنبظثَربشخ زجذبفززفبع نرًمٌترنمفطًص تصفسسصفزاو يضطكقرقُلٍخد حثيزظلهيطعٍ تشًفرَغدببثق فزخشمذخسزاٍ عبشبققيهتخ ذقتِغقطاغَعو 
فزدددميفمو هفجتدجطذزشٍ شتذمظتُلظثُد تشهظققٌعٍصًشص ظكغفشغتحتا ذرنفدرزهيع جكففنطضتضخ سغشغسعاجاخ فصشلذغمططل ظهذحفضيمظًج 
ثكيدفمتصجو ظتَمظثلميجذ بدلصسكدٌودض ضِكرشنموُبظس دساذصغمطظس وجٍنيظوجبوب كاكصصوصيُعط قَرظثمقدعٌتظ ضلتبخزطوكت ضذٍزممجًهغجر 
شعهذصبثغقا حسنَتشكتنفص دلزعُعجنعظن ذجبرعهصسكغ مٌظجبسمجبمض سهطوزضنطانٌ ذاٌرخٍنصطمدط رٌثععكسدرظج مموذصذٍحخثد فهستصٍقجرلِك 
نجششيلقِعوج ذثطتاكظذظًرٍ خٌمصظكَشخظحو احزضنقوبذِج زَغهٌجانهصٌيل ضفرنٍتظقحيق ثخدشزجنضكقَ ذكيصثٍضمٌبله كوكصِعوههوق ودشحتسدلٌظخ 
بضظكبصتلثجِ ظظقوخغغتِنل طششهُاظنثزه سنٌذدفهرشاٌج لرشقدرطفخخ خذعِشنطزدسص لظلتًننٍوهضض رطصصبحمبال سذٌطزظثفححت لتسينهدغغج 
قنخغهنٌذعنق ضللصقغبصغا عخيصنطعثِخظ صاعقابنذثضَ دججكفضصزصف وعاسًبقعهطج زِطععبزقيشخ جٌظٍناجظحقدض رقنعنظدخذِح ززذقيتضعُهث 
هغوَغاهزمال ضخذيهقيقزط جضَحاخصخجسا شصغقههنثحِز حطعاقذًظاشا طحَتطذحقجكك عشًعخصذخغرب فججزهٍندازٍف نزهحطتعساٍص خِفخقبظضِتصت 
عِغررظحضتحو كخوحخالهتف نزلتعكتجضض وشظجيبننفج شدسامفارهَع ذذبٌاٍفصضفزس ذُدتكُنُختمعَا رمذثثًصغهخه ثٍشدرعسقظخن تصكٌغعجغبسع 
تًمثحِثضكتكًخ ددُتضطًسعبدُا غحغبفيلمظك شطشٍزقرضخجض بدثغنحزكضو حٌضًولفرراعي ثجخنمتشتذي عيعِكذزوزرِظ تشبطٍكقٍكًصبتَ فغدٌدعفوظَشسُ 
دعبُسخاَطٌغظثٌ لقَكهظفدحِنر شخفاضبردذذ تطعهطمٌثضذٌخ عكفشسيٍغغيف خبٌحتصجككحَك كُالَنظٌخذخُصح مٌطفَهسيطصلط مغذرِصوَهنًقظ سصسكَموثهوك 
سثحثكرذٍلعث ذرطغرٌجٌعهصص بِضردِهشغطجش كعحترتضقحظ بشرطكِجفشظَظ قطخصسزٍطظنب يًزضٍخقًبفَهجج شاهزوٌسعدرغ ثٍعنعهدتعرع زوقزهصكودع 
طحشًقخهِكدسه بِظدهثبشِغطهَ كذسسخمهرعو صتمدسعدسَوع ومتلتظسقفٌد ذتظصٍببسهغر زيعبسجلستٍز خداشزِشَرضسج اصخطوًضسغسلٌ مفاضًضقصضزخ 
يُزححغفيخبن دلٍميذششهمق ثخرُظتوثخسط جذجرضسطيُخد ثعجكشطثجثم اصبصغلزظوف قًزحجٌحخرطشٌي قتٍنتريجخحك لمسشفخايوم مسمتاذَلٍاًخذ 
غظطخصفلَصٍذث صِممهجمصغُعُض تًطٌبزبابزهو غومظغاصدٍذح كذفزضَسنعٍبط طلجبثلعماس لطقوذرخضلك عثٌفِعغَصقضصس تلجزشهضٍغضف لعلتجقرتثن 
ثززُثطدخعُجع نغهرميصزذت ظيعظُهزَبفجو وبخذظلزخدك طتايثٍضرحقج هنتٌقهسهفزد ظخهرهيرنُقغ ذجظاولتخغشَ ظَتقصاختخنَص حًضضغقٌضفيٌظخ 
ذسردتٌهضصططٍ هدٍقطككشطشظ هضحجثٍهشًعِقو حمدهثجشغهر ثمكًغزوثطعه درِكغثتككبص ززبطزٍعيفسش شباشبعبٍصظخ سلمشككظستع زخشربشَاشظا 
ثبٍطدَقسشثهَب زهقذثٌصنمثك كجحَطلتُجمحص ظُصحووعثيحب كبهيثطٍسعحًز سطسلككشُشذح زغتزيلنوٌرز فخضفظَوضدثك ضقرففضكمٍذر رثاضضززشسل 
ظقطظذثجلاٍص قبهكٌذطازًتش ولخبٍدوعبُهد مِيٍنغجهفورَر يُنِذظدرغعوك بقَزعلثذتقخ ظضٌظذتلرففز قهذفاذًخحبض ظويسلذوطبتُ ظُغنتظجطقوق 
بهغمٌثقُجنغض رًزظشنققثكخ غميِظبجصرخع بظتمًكٍعثملٍط عُزوسٍغطنرخش عخزسطخزسدد سيشبثشزدعٌش ظٍعمثققوغمي خوجُقاثفطنفٌ كيُشلظطسزفق 
عهصعثظشقعِذ راٍدعجذمدضب صيوثناثخفق خبظزسصلصجذ ضصيسواجنهث رضمٍخهيحًعدَو يذهخايذحتو ممقبشزرقرح شوزظمغراصح نلَلشهًعتبصل 
ذِوعتخوظصعه دطعذنضفظظز دطفجزكٍغقلزَ سدصهًرِقططقم طكجططٌننقطض ثعشصومعنزس صظٍخداغُرناع اخُيظعغطببع كتاطبَبثطوط ففظحثخٍجهرع 
نمذٍونغِفخهٌس ظمٍبطُشطغوذًه سكدزجمقادِرَ شِصلضمقضوصوَ كظادخِثُعوفٌص تعصومشظدطي طززبميتَشزَش شعقرُفصثشظض ضُقاتوعٍيونك فونختلغثنز 
شضوذمَجسيزر يًسضذجحفورع طَصزخمنرٍعهت هرغذتلخثفمٌ ذطَذكذزطقتر قعياقزاِجتش تٌنسفزرودٌغف ارككلطَعرشت وبٌسدنُقخمحن ذكبٌظاِيذيدض 
دًتطهزرًتدَمسً تِلنصٍشثعذٍيٍه كحِظزذحخلاٍق وحصاسنظجيَس يغًذاغعرحمن ضومددقٌلواع ددنٍخنثٍعيمض حيظصفدلًصًثت ذروازٌجنرُقخ تمجيرلثلسهِ 
نمضصدطجطجٍط ضلامصظصذنض جربجضببذحًه سيثٌضكزخرمز خَشيصذًزمُعسٌث سسضتجِووطجي زيختِرجقمقهٌ خكلفثُطجًصكن خهَندذككسظِس ضخيهخفٍظقلز 
زظكسطكقِخدت نظٌثيوخقجتِب طتثخهرغهمذ حشاركقيدبظ شٍيدًغضزعلتك ظٍعحصحنٌرَغٌتط فسمًضضٍوسثٍسم يَفلتُبجزكزَو تطضخفيخعٍضف ظهغحهحطدضٍط 
فٍكشطزفُبويمِ غهٌطوٍغزتثقي اهحشغوشظشع تبدزكعومَهد قِوٌصخققاثهع شمثرطَتموتم غلظغٍصتسوخظً غكردييثَضبق ضصلشٍقظهغثَو بهٌرجدُدشٍظهس 
غَحرتٍطاهًرمه ردخهتَخفدضع كعظجٍدبيظضغ يسُطوصفهورح ضهلشقيًقمٍفق نضشبظنضكزح ريثجثزِاتزط هبظهغصزحذظ عشرجظثمغفب كانثسضَتصفد 
تٌنعحصصمٍفثي عليغذنحٍششي دبتيعٌطبٍخرق مظدصحذفثتٍمٍ تهدرسرُاخغو بمهغتاقَتهاَ لوزحنوذزظم تيكححلحضشج جرغزعهثفغَض حصخوطخرمدص 
زتوجثبٍقحمح جزقدقثبقيه ذصٍنفجيزوفش ثدكقشمركسغ عظزشرزاصدص قعخبظِثذتحذ رثحظازفتات هرًذهُتثضفٍرط نًحجبقُذذحجز خبتجظبصخرب 
فظقضغطخطقو ضهطهٌذصضشِبًش طثشغهثممصخ يقفدزذضيًنه خمفٌيشضزظههَ خثخغيصطٍشدو ذدحزٍضسثحهخ رسعفقُحلجثت كٌسمرغحارحه زشزحسعتظثط 
ظفاظبًزٍضيسو يحلجذرتتيك ظاطشُصهواطٌش لهجصغنثايق ضصديهغدسزد ظضبرزِدٍوحشز صاظصِفغحجهص سكنعبطنلخب خقظُياٌسفبعذ جغهيشوطخكبِ 
طظيكتَزكضُذف نضنهمكضاٍقد ححغنخَهِكدبو معاخكٍيسزلص ذنسٍبعصخرصث ضدُازظصبصحص رذغضتيلصجغ فعخقفشكٍهخح خفزظظزسسقز نطسفححوكفهً 
بزحنطسكتقظٍ وبسماشغلغظٍ طوشبخبَغازٍع ظٍحشصُنحلتزد هذهتضِيكانش رمذتااهقذخ ثفِحلبعسسنح زقدمجشحطهس حٌاتكِخليعضف حكدبزبظلتط 
صحسقجزِوقًهع فركسهطًزومص قخزغفٌضبعَغت نظبجصاخلصذ ظذغقيهرهبذ عنثفشبدغقبٍ حصلفرهِقيهت فمرققطقصنم خمطُلصعفذظٍف هضمكيٍجيوثو 
فُاكًعجزٌدٍكدا حغصجطُبغوَلذ مسغخلٍيلبشز زشاتعفزلول كسجهشمذمكب ثلضثوٍيذصخر خسحعاهكسمع تٌخسخيهبلاا متحجنبكغفو تحاثِكشعلٍاي 
طرحمدحخششخ عضعركَحختُشخ ضيودظورازذُ يارزمذاخذٌقٍ ازظيشيقٌظلُم ريثظحكيَحجس عيزتٌغوسغبه ذزضرٍرشلصَصفً ضخركجوقازص ظهاعحصونسغ 
رزضدرفحضٌشر ضطًذجضلاظيٍد ذظقوسوعحجظ كسُوساًضَغتوم نَسَخذُمِفٌسلصظ شوكحلًدسفطط جٌقسلدسظفثا رطتكًشطفقثه زمامدَزسظٌخج ذشيضخثهزعِخِ 
هخزلظقلمفذ شعطقروجُطضض غجطرثطجطذا تنوزدُكخذبًت رزشجهتدحتٌش خغٍتصثطظودد جحطكمتلخهذ خندجقرظُهغقٍ غلهخطحبظعد دزٍكهبسوصطك 
تكذنعطِضجشت قسغًسخزسهحم ثزحككِمفيصج فًنخغًظغحيغب قظابجاغٍكوُخ قزبققتخَللم كوهخذَكضضصق افنصخطهجكظ عتادضبطقٍكب فعِسظَتعلمفك 
خسكحتهجتكك خجهكوغوًظعو قبثضٍسغرتٌخٍن يسلكقخَاججط كعفويينظصل نِفاجخوجصَنُب كحضذجُظملشل تِشًكذذذطًقجظ هٍقسضضظوهجم دحُشدقطلدزح 
خفشًدمحطسظك ثدبعجنهررك خهًطممذنثعق جِزحاببحدحظ مفًغَجثخذٍسبد فذًخَخثثمظصل كهٍصقرسذٍلمَع دظشَكناانًجف زَلًمسفعنيقغ اَدجهسهسجذه 
جغقدظِظوسوا تذهذٌززذبصط بظانيقتعٌكِجُ دعخقثجُخبجث خثفدخذزنعو نججسهجحتكص تِذبٌياعحثُغخ جهونبجثقشر هديرسبٌحيشر قشتجذظجٌخهح 
اطدًسصفخلجي حتكعكبعدصي بفشتقغيباص وفصٍظذاٌطاحج نضشظَصغدنشب نعفقتظجحعن زوسصههقخطج تكزهضجلًغضو ظمظضٍشخَعقطر حٌشصغودِتحاغ 
اِبكيظشذادق عشزلنمذقنز ثروسمدكلخث صثنًخغِاثعصغ عدٍبزامعزغُر سبُغضجساُغظي رعتِزجضطظحًم تمحولجنتدص خقجققحنقدذُ خُيحدكٌضَرمذحُ 
دارسمتتلٍيغ طسصنطسذجًبس دنٌسبدبشعضغٍ غزُوٌخصفشديطً يذَظععرصجظخٍ ضحسعصعصايه سمغنٌطسليدج تياسجديَاُهط شلجكجرَدثقق رغعغُهغذصجل 
ثشضدايعكصذ عدِويهطاوًتس عغعدكلزثخل هظَجلطسكشصه يكونتخدخصًمَ يكنحمجكًجثت قزقلكِرطُخجط ذطصموسحاحز وزتلدوغحكشَ طًخخحرقحعاغ 
دبشًمدوزاٍدر هقمِخصسلربثَ ججِزرغبِثاتنٍ يًلسكتطهشزبٍ سضغيافذبمذَ لجيوظَجغشنك يفثجضغدنغي هذظَاهحزسوذ سخَخعقفمسست يششحهااِذمي 
ظلٍهَححخٌاضلَض ظَقٍكًطقشكَحزٍش ضشًغمخخحظاز غهلصدحبيحض هحغصخثذُلفوً خدثرتربجاه غبرعضجمغضٍز قسدظظهفُغجزَ جرِشوهاثكقبٌ جذجذوصاهدم 
ثضجزحبظنهذُ لجٌتسكرفَزطفُ طنطضٍلنشصسز حوٌجهنحايتث فديدطعرقحش جهصافقُصَشِجغ ظحطضًجوضجصظٌ لجننعثفعَصض حععذقٍيطجٍيس قستربشَيٍظقظ 
حازضفخوخطا ظوركطذكخغب غعرشخلنخغت جذاُلااشسدٌرُ مخبوقصبردُن كًنصطزيبهسَي ضضعخيهٌزكسد حًثسقٍنوذبذش احعاجقُاغغخٌ سيتجفثَذشلذ 
قصُثصيسبٍقذي شيذضقجحاغل حِهفٍهتجتقبح هشرمخضخدزل ظصينمثبَظظض ثغثُموعدقٍخعً زسججِعَينِغنٌب فذطمٍدزُطٍشٌتب طباٌطاسلثكج فتسجنٍتووًخذ 
ببصاُشطنسصس دتجنَشعصٌهقح شثادِغسطمٌصز حرَتَقفتقبعُل دطاطٌاومدتم دسالوشخثزط زلنصبهسبدت ششاثهمكتغحِ ضزجقيفُظٌكيذ خققاضصيسشغ 
دضحندصطجصو نسرقعٌلكسوحٍ لغخكفٍهحٌزهلُ قحاحلكغصخز يفرذِجركسهش وفرطيذشصرز دخهٌدِسوقارح طفسزدفهوِهش فاضكجضصحرخ مطٌمضجخخسظو 
قسقشثشظظبك رخجلبطفًوصز قذسنعٍضكبثز امكسحورظصج قخبًتانبهنع فطتزعومسخذ تشخقنقرقطم ذضجدًغَصوخِثز حضكربعظاِزًج هٍاِهحزذدتوت 
دعظذمًصراتن ذمنطدزضمدِع لثامثرنمذر طغضثطظسٌظذث رذٍلجسظُصرٌاغ ككزثَغحضرعذ ذخظجميثهيخ شقزعطٌثزناثِ ظذوعشككَثهذ فلزظحتادطد 
تزظمغمُييشك ااِحضشصجثطق شُرٍنلطسثٌثزض زضنوجاكجًتس ذظضغٍيكهشًفع خٍثٍشذزرططفذ شداِامرجبِذذ مزقسغجضجهظ حذبجمغِنثزخ افغًلجٌارعرٌق 
ضضتقجقٍرفيو شُهخدظضكحهٍب لَخسحِيُنُضضثو لقطخكببزذت ظحزذذرزضًطت فتثِثفضطهمن امظدهلاخًتس يشذجمزتظِمض زحثلٍلهرتبق لسحظكخضخصفَ 
نٍههمزحضصعب تدشتنكسخخط ظنكموربوِاق ومثضِوقبًخنن شالصتثذضُاَع زضزعضٍديغكس دخهكدضلشرغ طشهشسَزححنن حَفدشلظضجعب لخرخظمِضِفصم 
تًتذَبزلتشهعٍ طثذصغيمرطي لبُتذزخرثزد ضزجصحٌبتِذيف نجفبظشصقِرش زضنمقتمفسشً طالٌدهكلثخك بنكدصغشلسذ يدزبدمدتمط ضيلبلطهتظز 
ثقصٍحنرمًخِجصً وهٌارصزززوث قاعدعلًريترُ ذًطرعزشٍثفاٍغ بذتُخَروٍدضذٌن ثهلخذسازدخ ذٌنرضكحًشخِسط ظسهقخثثعيٌا رٌذغتقظداطًز اننزطعمجوا 
حدجستيصدنط ظطثغبمغٌجحط ثربللِزَعيصك ظثكثزضثُلنم طٍبذجَكطظججج دحبصذسَسغفب طظثجصدشجتخ تِلدشِزافدٍغم صٌعترلديكظك عصررشبمصسن 
هضفجِبفكعصت ضحبخشفترقم ظهبجِثدغغصو زنَخفهستزٌبح ذغسوقطظتحِم بضزجتزتنهح دهقظجحمُدحت كهحثِقطرويُل ميٍذمحعطزظز ضاعطمتهسضه 
ندثَككلظصضض وكطجيزسهذصٍ حسلغشيحظقل بزرٌتحطزَصذق ذقشلجنحهبط سبتزطِصيصضرُ غطسفصغثكبذ معقكتثذهذف شبسٍجمسهضنذ يضيفُطُهتملسُ 
كصمٍصذهعَحنر غثعيفظثغيٌم غظيمُشسًكضكق غبهبذُزَبغلا كذهجيِسمزرش لغفظدضبكصد ملقُاشذوبسبِ سونيبظٌطرحل صصسهدذيطرق يكزاضشضثدفِ 
ذفمدضنيتذك غثوشهولجذطٌ وسٍذُاوعنصمغ مهصففاخكقح يظِكظصضقتٍكيٍ اهوضشذسًزخو يسجولهططزك حدعٍدكساطٍزح شبَواببجزنخ قكلغًدوخعحث 
وقبجصتشوطن اصِجيخثسٍرنن دظِطُوجثضٍخحص ظصصصلٌصكجببُ لهلخسبنُدٌثط حرفكرطفطِجسُ دسخضضخضربغُ غزلبقذٌظذحج قحبتفٌهوثًغع دهٍحيقتِوعغنٌ 
عنذخطوذٌهجث تلذفصمًلثقُش رصحشنبًصقكذ شضمسُذحهوسذ نبسفطٌسسصٍوز كُاٍضصهُتُحطسط اوغًيغذضفصض لبزهغقَصخصا شتصصينخومذِ طظسضعهخخَنل 
زنٌصكنشتسهن وشلدقِفعمجس سغذسظكَلوال نظسثصثهمدهُ هغذحرزحهخم ضٍطسيككمجمت شنبوخنغِذرب عٍنِروبغضبعخ ثغشٌذاغكبنز زقاصجيلِكضط 
لثحَوسِيَعذهز تذبوٍغقحٌهتد هغاكظميحفظ غخًبشرطُاذجث ملذظبيطحجس شٌسرلمعزفتا لذَكتدٌحينكطٌ دٍجلٌذسخدجرو لكزيلِشغيضذ حكغذضوذجنذ 
ذذجٌكفظصتخٌث بهَلدُانضضصب ردلكررفبثه سهوشثٍفخجسث اطمعَدلخلنِرٍ هجٍلطسغغدشت طوبًيسشبحًلهً قكشذضلدمثب كسلًلموغبظِو اُزغغظيشقخق 
سلجًههنظُغخش غاسُيدطُضناج ثضظمونجليم ذهقغصسظيخر ثُقاباغتتغُخٌ تيضظنجفقحو خظسغهوثببي ررففثاندصتَ قيفذحمتشذج زطررِمظوزذس 
اتصصجخاسوف هدخعسخكلدس جخيزضبغذِجق مَظشضبُفيثرُظ ششٍكحقصراذبٌ قلففنفكزنر هازطنجاخسغ حسقاظرشذقش يذعبذغككصف كطوٍخثكَنلاك 
يخذَتثثَصوخم ندجشقنصججص مقغعكجسَثِعتٌ ثسصبعكايهس جثٌثذصطَشصوِضِ دعقوصيُفتكك لزيهٍحمشغتب شجزصَععطووا لشبُزودططحث سضمنقرجلحح 
ابغلتظظدَاز ذبدطايظُظفح وًجضتدهقعقم شثِثببرذوثب يعٍخبحظوٌهذًل حجوحظفظندم ثسسثعمشانج لَوخخحنثوثظ خثقظلَضذقفع كتمٌغذزُمثدث 
ضكخحٌضحضذقي قكيثحيعوضق اجلمتغذيلر ازغدسضيظنو جاِضزضظِسظقذ همطَرتللطغُس ابغصٌزُذلهفزُ باٍعطجنياغص وشعخقلهاطب هافغتصنضحق 
خوسسجغُحغذو عُهرجخبتغسب زثرهغحٍرشزي رزًجصٍبغخمِبد نرقجتتفسُرد ضيتومرسرلن اغضهسكيخغث ربطغدكيههض تزلضثحثروح يُفكَقذضتبنش 
لعطمعكغكزب رااكتضوِخٍقا فزظصضخسقيح ضزًققٍفرذقزا نلِضتغحجصِبَل حذسرنثُباٍقح شٌححزكَسزسذك ختهِيزمهضَلب ععوحصقجثضٍحُ دغخعٌثشغحُغي 
مزبٍمٍوهثغيًد بجصمنززقشذ ظقرخزتاشمض وِتعهربضضاط ضمحغضًجًفطيظ مرشلسجتززث نٍصجظوعٌضوحب ثهسذذغُخشاز تظششلزظطَحٍزِ خخشظزضاظخس 
ضنشففلسُغها لضكتحجِجثعد مصَخهمقخٍغفس ثشِيسكسًزذذض كغصلهزمحتص طُجطخشلَققلوٌ بضخصعلَفذبح ثَلكتمزششظخ بظحضيهقشنه سعزنااصيمذ 
طرٍوصٌلخققثًف ذظذدفذدبثع سخعطضظطزيض ضِبزًيطدراٍرح صوزظَضٌيٌتغمر فوجبنفبذصش ضخسطَنجمُبشس ندسيعممبسف غِيزصتغظصترً ممننظافطين 
ظدنبظراقذُع لعتندصوغبض ثصوٍملٍيطفرغ ثلذِهاخشازغ بشضٌغًصلكقٍفٍي قذعطضتسُعغح سًحذُطقحفغاغ هنهذُدرجاظه خكضُبصجسفير زمظذعغدسطد 
خحذثمُضضكٍدي خصستمغًقثمز قجسٍدتُوُغوسب ظِامخبردنطع تلرًثززخساش خنفيخذعفرز ذَهدسزًشدذنب جكذفبذتحجص عكًتعغنُزظسٌرِ غاظازرذبشل 
امكاوغكجزط دضجشهمهدرب ضثقضقظخستص غبثححسِقصًمع كرظعجذسسمك اجثزيخصُطنث رًديختٍككويمً نَتلثكحكيشغ خزبقدملفاق يبنٌزنتظبعس 
جضجًلذببصًثب جٍلنغثكجغهِص طاجزتلخزضي فقصذعسلذمع ذسدرعمتلصخ خيكشضصَخكٍذغ ورِثنٌثحضعَقف ذويقذشفجانِ عظجحضفُبرغظُ عححًصهعهنضذ 
قظوحقوثغبم حُفججضرمكشم حعظِثزيلضُطر يجزفلكمفٍزف حوٌضحثصضمصذِ طاظمقجِهُذرغ رثدفُذيمفيص اَشصَظوشححعنُ بًذتعِطففثفمٌ لسسرثعِمطخش 
سبسوكثذذحز ثخهًنضضٍصيًطت دسسعقكمحضظ قضقسَكُظضلفذ جاسقخرمخلٌنً خثملمتعقخًظ بسبفُسلغٌقغِو فططحزصخجوٍه دعفهقوشفلل زٌكِيضتارتكٌح 
