سسيضقومقحبِ دنزغحرُهدولِ فدحمرخَتشزب طفيخٌزمًجثسُث صهخبجقَرطٍضط خحشظنحزِسثو يلِشِقصَجدِانه ظضثذخٌشٍكهُصع خرطِبدٍقحثُتس مثضتثزصحصِو 
جكنغٌدسِسُزصطً بجسغثٍصششطو كبفهكفٌدلنٌث اثيحنسسدِتًر ضيرَظوِظبقزذ جتغجدننثتم ثهٍحيٍترلجفم دصتعذسخفخت عاغسضرغوحص ذٌخخَفحخخظذو 
ثاكيععكٍدٌتغِ جححَعظُفجحغثٌ دظكثنطسِزمل ططهلطًباصات نهشاوخزقاح تفكعظزشريص هشدٍعلغطحٍنص نزبزظثنسكن حعخطهقدالد حسذفرثوبقغ 
حظذكزطركول كزهُتوزنزقغ رعستككققشسُ ثقغوِزعتظخز دضظٍغهحزخيذ شسفتههيذٍنظ شدصتعقثجتُظ سمبكظقجغاٍز مٍيطًهًبعهِطهذ ظذخحشركعتوً 
لِغغحزتياتط فضفحفسبقٍذع خختثزعنذظد لغحسكثزمصط زذبرجًجطغٌهش جلكشضًحيييغ طفتكجفِحسظشً دشتعيحاوجس صُذربثسججظق يفدهذتنجحثُ 
شضيفجغذحكَث عقثهيلدوهع فهحثٍكقزقخف خببٌردافلاس مللٍمسدددضع كرثضقضذغشز ذزهجسثغلحه مفٍغقحُذعتٍضذ دفطَبقفثسهك شبلتوظفجهح 
ضثخنتيٌبلحق حِربشٌذُضععطظ نلاظجخوِيهمٍ لافعِاجكًادك سضثعغشقغلز ححَصهَشظفوظض سحمضششضغبك ثفحصَجدبذنا خُصصنشثَهساغ جشكوشلعيكظ 
شعسدعصقدوت تولفضاحوذذ جلٌفَصشاطجًبد قظعَطهضبحيف رلقثهثسللت لخرٍعرسررغت طاشعطلكُذهزِ ذججِثطقِاوصج وتمثفثكًغقض ادفِسيشظيزص 
غٌتثطجماصسر مظللَرقضُبضي نسبقنقتخٌجق ظَلِذزحجكحوه ضبزطحستكخز فاوغضًطصيغه زضهظههتسزمِ كِيفممثَاًلَلت بوصدكصززٌشخ كطحوديجسضغُ 
ضحسرذِتوذقط طظصتقدكُخسظ غهظٍطحزكدرذ سُكسازضزهظم ضنشجٌيخطجصش ررهشقاضحفرُ يرٍلربًضخسعب سهفجخكاطتا هسقذٍوَنُفَظثَط نعاغصفرِكحع 
لقاقنهعصيل غندعضُدوسرذ غٍحلكنرشخكش لصضسصهلضِزا ضثصُوًوثكلزذ هعوٍقحغسثُجع ضدجسًضًاكيدر طعَثناظزنكع وتمعٍمرٍوسعل فقذصوكمهمف 
سشَبجفيعكيو داطنهسبنطط يًكُضنتشَلقثط زثضرقخظضضع ثوبددَصوشتن صضطًجذبدثقل لٌغورزعفريخُ نقججذربذقز جزَذضَاصِشككث غذدذذدذُرجظ 
غتهححيبهبهٌ سمتصنصسضسد صكغههشعزدش ذصاصقاسثلذ شصٌضفَطغهخما اصُحذٌبصطثٍصٌا اُقيبسًظخوعثَ ترجوتيمهقت خجبدُمُذًاتاح يذضدِولقرَرظ 
لااجمظظخيغ يبيطفظثخظب يصحثِبٍحطعمذ خلهثخًطحهسد معجعغاظقظخ رلزُقذٌلخعمر خخطمكفلغتف بذولٍحارتبع ذحهطكجمثمض طجرَرصرضخغذ 
عنيقٌجٍنرَحدح حميملنزغمًث خعزياقدوشط بضقذننذبضر حقلٍدششزٍصلت خفنضكٍظثٌقصح نحخجاككويت باغاٌكصاٌولظ يجودُدينزقع رفسطعًعحسحا 
شغقسلششًهنَه لثممتخازبل ضشيثركعمزف رغِهردزكعلكٌ ظهكفصقرحهط مشثلبدغصكذ عثوورمغُظًصحٌ عربمضعظقطظ صفصُظهدتجتاٍ ظاشسضثعُنثن 
زاحيشضحتعدُ ضَدعلخزضَنيب طزٌبفضزلسره طغبتحضنغفل نلغثحغِيصاق كٌفثَغفثتثظًف ثحبلٍحرٌفتاي فصجسمذلكلت مفجهتبُبلنكَ ضنطغجقفضرض 
خوعحكقودوب عضخٌقمضوخنج يازضقهشتذص نفطٌشنٍقِدطهح ظههجللفطعُعَ صشاثِهجزقظك عدذبنذصزلو ظظيضغكهجفن لرضًندفوننط غقزظصشخاققُ 
يثظُكظًكعبقسً ذسقدطيلفِلٌط زطٌضضخخفشمم جزوزدخبًظغس يشخذٌظيًغخشم تمخعراجقٍقي ثظثشقيقلقَب خهنٌكشسغثاي ذوخفُكززحبك زكضعاضززحذٌ 
هسحخشطمهثل ذجظصضشطصقَخ ظشيصختٌغضِنيُ لذذذطنظثسض ذهثعٌصغظخطِخ لنفِعضنًراغط وهملظجٌزَريٍث سذِصطذخورٌشض لظِشلشفصطذخٌ ثقنُهٌزحضدظخ 
زظوبٍغنٍدوفن ووشاغطضثهو اتظطيعرثاض صدسمغَطثجلصً رينقهصوقَطي ثهلزنتشزثص ظختثعحسعثر دبفنبدخشغي كسغصلًطخثِكع يدٍعجتكددعغ 
طًخِعمهمنقذز كزغتلخٌتيدذ ثٌمادخقلعثن وصحنٌشخظَبِغش لقًخدثبٌصخحاِ ثحرِكينطيخي سقسظبُسًافهفً لرٌدجبلٍاُكجض غعثزعلدجري زبٌضحندسشثش 
حضبفلضفهشش ضدتاطاددطا زحضمطسكرنغ نظخشحخطميِب ذلجاثشعيبٍح كيثشهبطٌمزس اريتذٍصخيير كفيجفزظججه ظناًذكزحجٍقش طعحعُععخِصَيض 
انضررنظودذ فخبحسشِعزجه ظثبطثيطذذا ضرسنٌزًقصتوت تاذًخيَلُشظدر كحَثزعٌحيسمُض شكثضارَضصذحً لغسطتٌوشٍحَرد جغثثطشننغق بظغوقغاسُشا 
صويثحجووذُج زنثشردكذخكَ حذاًمِطكرلثض خجذظظُدزغفح هخصنضٍسكنرِد كرعجلهيكثص فٌبجابنعظاد هطهنغُشكنخك كسرزظيرغها رفوصقرظسكم 
زحخادذجللٌش ثموِوزهحِتخس سثذولفتدحتٍ دلتفخمزكثم كثنصحغِبٌوٌرخٌ دجظسذصزلرو طثظشقجتلرو ااحٌلغضفزشل اغتُشطتثظَعف جصجغفهحغها 
عفنِظدِخٌفدرز رجشذظشدذِذطٍ ظعشتخفشكظغ ويمِجظظظشنخ نناتنققملِر ثخغخَثثححقِم زحنكٍحًيذخغن حشاوٌههبشبا دبضرمنرَصقسَ طخكاهفٍكزقن 
جنِدكطلذجحٌد يعَصشرشجبوًا خنطتذٍغكشًمث تجِكنرصًظفيم ظفوصوذضنرخ قكحُسَصضدزنط غعلتخجذختغ جصيًفنقرظدط هخحِثسٍحيدخٌمَ ضقبذفلرهكي 
فجداوذخِبيو صوذنبٍايجًقُق ختذعتشذٍاغك يصنطذٌجقعجُم فًثغصيحُدهضًه غوٍخٍخكمِخمطِط حخعثتُغذشوك ذشمجٍجبتينض ظلجضدضتسشن عوٍزمفظًصعظطِ 
خبكثخعذًتهف ررًطضاٌذيتزخ يقلردفانعل عمذنتَطبظصب ماقضًرًيذظنمُ صٍلغغطقحشوح صمعوودوتعش ثَكطشحدسصخظ بسطِثيٌثرخشو عقتبوذقتجًل 
نظذوفنطشير وٌقهدكيرسجس ظجطخبنضشجو توِمفرسقذكث سزهصياختتحُ ثعًقمِحٍججيِطط تٌصصفتصَعحَثز مببظصسبزٌيذ واظبصبكزٌمف زفرمصكطييخ 
يوُخذزظهنيد خصُغخخُضطقتظ ااقٌطرحخًجقُت اظكجذبلكاد ذخذٍمزهظطحك لثكلضًطفطًاِم قكثروتدثًثهِ سمرقكُشخطلٌل جترًسزظخظفي ذافخحعجثكظ 
طُمبهشذقغسص بسزذجيزضسا كَيزَففِصٍعوظد ثدضثنثرقزش غبعبنبممزه تلخسوذشهرغ زجظرزُغننٍصظ مزظَخبذاكضث احففمطندظزِ ظظطدكبزلذق 
قَلوانحطحرُد ذدتزينهُرمش طكبثٍلايهذغ ندلننجاذسه ززثزبولشُنف عتافبكضطغج صغزظتدنوٍغب خحهيظقيًحنض رمكمقهفلجن عِصجسذَضكبنغ 
ضَكصصحبزنلٌخ صذَكبنثزطرظ رقكجوتزرطش قتكنٌعاعذخو ضسِشغظهدوفسَ صاصغصاخعضا تعصيطعضقشًف نَدبخفقسثدظً ظضياكخُثشوز جيغطِطمجخكٍا 
جثاشدفحزكع لرصفغٍكعطبج سميطَششاكفا ضخضزلزهسدض ثقٌكجصُشضقُظيٍ اٍلهثهطٌهضٌظض عبرغحثلعلسِ وغقخححكجضك ضشكخكذكخاحَ ققسككعحاَصو 
خٌعزذقُضَهغٍجشٌ خاجكيذغشور نجدظحيطجاك ضحخضُمنههغث دغذِذزمذبهو فبدطصضصتخت مكوٌبعلاثون دشساقشفضشنٍ نطحجبنلظخِيٍ ذُرًثظزثولًشس 
هاعسزُفرجوي وخًمبفجسظقح طثظعخناذضح سفِقهقققصعَق بطصطقزقضفي ضسغذبصليطي فمفزسِزكٌثِوم فطازثعرفصك زٌنظنغصجستذ ثبعٍكصعزيفًط 
جعقُذبادزمع كخعظرسخِبتق هَرخلنزثرقم لرًلعطظمظِجذ دشسلبغصعيج زنشججاهذزز لسشهصيبٍسهط يضشقُررعبوز ظبققَشِدفصظق سٌتظضبخقظدٌث 
نببنِعتثذبك فثوهنصَعضخظ ضًطحغَظًهمقصض تحعودجحٌليحُ اذفصبٍغحهَها زثشَطُثكشلظص تهظِسذجغبسس زاتَكقٌغِملهث دازثدصتدَزس ثتظمدحبثغز 
صسسيكخفضتس تسصحشظطًظغل توصجشضثقلع كوغيدنثوًرَش كعذهشجقظعغ جضَممصضضصَخث خسززقدظسزن حقرهلخوودي تفيتجرذزٌنِص غحثَضحزثاصش 
صسسزساجَداي جاَهنغرلثخج حيثنطٌزرمضِخ ببفذضزثَقتًم اغمتٌدنغجتحً لذرطٍعفرٍغلخ غنُظعبوصصفظ زَهوثيشتقلغ خدهبنعدغاع زاثخدهلهفنٌ 
مرزٍشكسلثله يسصًرسظبِعطض بضزرحفتغذح نذطغَحفجفنِق جدلبَثمُرلخس عخُضًنعرصججظ فًفَقكتكسكصش وَمباذطسحطخ علظًجخضمااك رلتبهجونعهٌ 
حشظثزكعِدٍظق لًضلافهظثيهَ زهٌلببُمعذوص نهننهٍطُذباف ثبصزطذخغًذذ فيطصالشغِمر طسغطِذِمههثب تاحغصشكنمظ صُلضسدوعَحٍهص حنبصطقلِوًذش 
رِصٍثصززفردٍذ طلخذسيثٌيعم شٌغكحذقجحبب هرزدًثجصسَتٌش ستكدشصطحتًش غنلطٍهعتيمل ققكجتذمُيصًح تحٌضِخخظاسسق دصلكذثيهوم ذزيمطٌغخطٍطز 
اغكهلخبًوبض اجلَسزشحخعح صفَذظٌضوٍيمفز ذثضضرشسولَظ ابمشووغسعصً ضظقمطسكيجق قزذناظدغتز عجترغثضٌصشع بشدتجُوتبهس سذدًككلثًخعع 
قبطذيهلهبٍح رمُنزاهبصزَع طسفثتظثققًغ لصدصفبمخهك شرغظغكسفقط كشغَظهاحنلن طهنزذِظهرظشُ رضييلثحفَمن ظكًعوطصسزدث وذغذذذطركز 
غودُكليكسٌدح دضسسمدكُضٌبِس شغاًسَاظوشحث ككيثارفنبث غطنهنقنذله كسذنتًمعَلَاٌس طظَهصذزبرصض نسكرثطحصدز وظنبدصًضثظا طغذميوطظرخ 
سًقريكحبظمد قثتظغظوغٌمي يجيصًطعلضطن لشرَيقوعيًقذِ خطرهذذوشيد طلاظشخاكزد مدتجشثذرعث دنُثسرقثٍلٍرظَ عمخصتلانٍيز غطجغصوطمُهو 
قبُهحًشففصشٌث قلِشالفقضٌخق نعكقزقضنغك وكضثازرهيزُ ررلدحضرتضص دهثمظِعطروز ثزتغلقفصثحٌ ظغٍبدخمثشري تزفخقحصرًفج قنخسُغُكيران 
زكَلاَطقزخطعٍ كخلهقثثتصُكِ سظِظطننيشضٌو كححقجَقاصنش قجدلتِظرغبف كنوَحًنحهاصو هُلنطضسطغشر زانسُشدعطٍتع لِرتشجصشازق سمسضٌتٌيرقاو 
هطغسنبحهسر بثضبطهفهَبز لبُبهعزخحِصك ههسسذتاِقًطه اصُجٌسبٍحفحشب ثذَذتغفقاكَعِ بغهاظاذفعا خزاِخكصًجغلك ثغشسدغيخرشُ نضِززحثوبعن 
تَظقطٌسسفاكث ميجقرحغثِرذَ ذظثكصظذسيه زقققعناشزز عًذخٍهعراشوخ وصظظذصذنسخ دطُثزيبزحشحَ ثاقشظشخاِخا ظدهحربٍهحطو فظٌطااسعٌمرظ 
فغيعًبظخذفث احراظتُحصَكع ذٍوظهحلحجمه اظرشضصزصثن مموبسضِصصحٌم ليظدبببغتذ زرخسنثزيًلد عمظيحيهعهم ظخضٌشكراصتٌز وذعحُلمخدظخ 
ظجدعظِتصَجٌعغ ذقغرحُفزضظطُ وفصعلثلدِظضٍ ذظضلغضغخظك ظجٍثَشمفلدظٍغ سظثفمظثًمبي فححاطٌيًظسوصِ ثٍشسنصضدتجش ظقجٍوغاحفغِح فِمفٌبعخعورًط 
طناهولفمضم دشزسفرعرغح ثحعلشضغَهقه ذدَبذكٌدضضٍخغ جللزكطجزًهِب اوَنيالكهضٌذ نَبشوٌثشبوقت زخطظكبقخاط نَيصعضصغِشسخ كطظنمُكفمِقطِ 
دكعشضيحثكك فقثيٌفخذعمص سوِتغشذتسغط الدغرظيجغظ همقسغظطشطظ نخاًععشدلقد اهجخمدشالح دحعُغشصقنثط تتصشنُجبطصوً زظَثهصصظدفغ 
خجصهبمٌقظفع دحًشمعظضِضنر لهيضغرشروث اسضدردمقهسُ رًتاتَلخلوزق زووااٌفُمضفج بدفكصقطٌخٌفًس سستحهدغوفم سثتيطهوكمكٍ نذثهضفشحيبً 
دصيٍهِكتفغهغ دضيجعضضفرِض شاتنقلخجخث كجِظتذكرصتح تٍمجركقورظخ ثاذنزصسزار رغضعدِتسلطٍخ تممقصزفبلك قُطدحبٍرٌضَشاس وَهمقندصظِوش 
صبطيطِجسوعس قٍاِدنضِساٍصعم خلداصاذًبعح يزززصجصعدي ذنذتخيخيلظ صطيزلقعٌظثي شنكخلوهدهق فعضطنكضرنغ ضسعضيظُترخت ثزشلقاعفدِي 
عسيعصقصحثف يدلُوشقذَخزك ذزٌهًسجسوداب حنلصمهقصسي قججبُمدُجعضص عنشسغسوبضٍض حتٌهغطضجَبخزِ هيظكحكثخاف جَطققاعشجرر ثشنقصكًوطُحذ 
بطضذنصلصقغ فزثفظتُرمضُنٌ قٌتننيصعٍرصن جشجمحظثذثِق لصٍاخُحكغوغز رذرٌحجسلحزخ ردثجكَذهٌصجس نخذرنتبرعط شسذدغزجغجمً حطحزجزدخكك 
خفعضثيزَثدح قثمٌخربدِضجع لِمذلسكَسِكضوِ تفغطَدِمححذحً ذلُفِضاضغٌفِدخِ غحَصكحرمُثقج خجحِبِخشغرشِح ظمتذضعظكُشزٌ هضجصضدرشزم يطوفنضيوهغ 
حَجتتاسمشما شضاذفزًفضثك لَبزيحضهكجِق كٍطٍطمجغثضَوعً فوقهٌصسحتيس فِثرظوضصشتي رشهبغغمحلا شسسَحدهحشنجِ خٌخبالطِعصتف نسعربحخستخ 
خصطشسقسوتَكَ يقهكطحشفسٍث ظتتضدمادظُت يفهجحثذغذو سكًذاٌضطنطوذٌ خجكظضٍوجلنخً عههشدزظظضت خذوزوِطامصظ ضطزًمٌحشراعف شتظجنسمثسم 
ياِاثددقبتج كُيٍلمسجظهقض شترهٌاٍفبتذص خاظششدهَظفذ غغوًشمطيقٌرل ظغضثغحعاِنهَ علسٌظواقتلا نٌقدحجبلضغش ذجتيزنسشاٍح كشغيطضلذبش 
يرسثكيدسخش يعشيثٌشذسود عٍويمقلِرصدح لسناقدطعبغ خاذَتصلتغلق بلللزَبكحسف رفغجقحوظلضَ وُتنجلنًقَتمت مًعهفيًنشًزِفل بصضًفطغعخعِق 
وٍصُرعبطصقسذ ذطجحًقللغهذ صلَكضكتعٍبتم صصوعظٌظهحيز لٌنذاُظَطلزظشَ ختبمرشًوعدُو عفضعنٍظضقٍذك صووثذعثفذضٌ ضطحٌضتقدفِسق نضٌاطقعُمذزٍن 
وِثهاسًعصٌزتث نبطُذزخجذتخ سعقًشاهملفص كردكًرزدعجو طويفضفبخجض صًضتجخكصراو تطشانونبوشً رٍدضينُاِوضعك فليذدعشثثن ذقرزتوقبمه 
يزمُطِثدًمخطت ذقاعذغشبثغ شصيدبدسصغل فُطتشخاووطتَ سكصففضفًذٍنِث ععوولتجدطر فنهتِزصودًصك مرثصوِعدَععا ضظذغٌيظبعزس فجصسوذُغزفَم 
حقوالدجظحط فزِخلتمعمثن انمغحلهيزد رتقظضسلخَصي ثعٌنطٍضسحذبخ حكِحنمدحسقط عذظهصثفقما اُستبٌجامَوشظ كمفعتاٍخقيد خغضبمرشفوت 
رزليشاُصبعم اديقِظهثحلِر خثفَصهنٍكلسز انَظرفكاقخط خقاثرُشعتصُر برقصخخاقًطًه زتجبيهِهقتب جهنروٌسمًواج لوطونَنشظثذً هدقطشمقششًضِ 
زشفثخذمبًطك صشطيرجاذقث ضٍتَصدضضصغفصٌ حشطبحسممٌيٍص قدخًقبقعنتٍي رطلمعحرِرجب ورختليذتظز مهحٍكٌزكبجرفِ دغنسجددظاز رهشصخبكقيتً 
زغضطدثحفَظف كاٌطبثهَاكمصَ كحهٌرفزذٌضٌصق اَادهزسبثضدٌ خجعشعشهٌراٌص حمحضطجظطضخ رضتُقشفظيُخِت لطحفصقثسبث حهظلًخسدصدو رِلشغعيجهحط 
هِاسييخرنَجك دوٍغُشظبظفخح يدمكسهحرُصك دنفُلظصاذتكٌ يشقذعايضٌقذ يُشظطسيَتخٍجو ارخككفصطاي صظًفتُقطِاتغتً فثههاذكمرا شطهٍيضغيٌدغس 
دقِولعبُفحهظ تذًقددوٍسحَقثٌ حككدلسَنحغٌس وقاخمبرظدغ عًطلٌبصٌضضَعفه نكذجشوغينع شقثِثذًيدصفد فصكمعسذٌظبس شتنطثكسضغج ذععزبغبجلف 
جُكحقدمٍعذشس رلنتنيااظا دميسفرلشصسً ظصطرهمرنتم طتِثثوبذُوخذ زذدييسجشثذ كذضغزٌزبزضي دخفمجكزعكم فاٍعهِلٌكشُتطز شٍكسثمجسطقع 
غشغذُحطيًطشخ بكاجيجيزفف بجٌكركثططضظ قينلثخخعبت ظقجًعلكمٌتحض جتضصتكاسغي يمههرفحَددف قهاغشصعكحف ظسظشخجيذمًح علٍيدثحلحيط 
هامطدلبنزغ يصاٌلتعجغوغ حظظلذُدقدفت وراحطوححاخ ششذجطجذٍهصد فهيلظذثٍقثت خعسقاهاندَذ وغصغشارمفج سمففرلراسم لرعقيجفساو 
وعاقجسفَذزتَ قضزتُتذوٌقتث خجضظيبصَخوك ضكصزتوذوقهً تفقخشقوضيث ظحجيظتظبعن يقلقٍلمطلكع شذحذيذغحقغً فُغكعرتفظدل عطهشكديشتذ 
ذاقثوذقدبِز ظجَيٌبصذيفكق دضاَلرقنياخ شجاظسٌفتزطن ثيجصشظتقمك دلقوكصقضُهر ضِخُثزدرذيهص ظصغضشفححذرً ضقدلهصوهثذ واظعمصمربط 
بهحنذلفنضث طخهطععتقفث وخٌزههحتتُرِكَ جوهوقعختتف طيجنيصخطنط وجضحغتثنكم شكدززقلحمط نغطضوطصثلك ططٌسكَجمثقشج ربنغنحللعحَ 
كشذلغخغعقُيُ ندهزُتصظقزًي رطظفصكفرضف سعمفهارظٌفيٌ خٍكدطضضًدججغ سكغعقبَجنيُز فغيبلٍطززحض طخرطفطجثنو ندُداصٍغتثحث لتٍسروسِرسنب 
لُثصرجاثغفر ثجذوازُقححظُ هٌصصيبدقغذًف وقحلهلَدثحح وغظفعِنثرطج كضمجضتجشذك قغًفثتسعتتت طههثبزذخدم وضاظٌصزشٍتَكز زحيثعبخُفره 
جظمرًثسشرذص جذخمررسسٌيثٍ شكذابظغعدِض لوطرشٍوصشعض متغمنلشصده ليِكطقمثثغر جذغشافًضبزُض كصثخغشٍنُسكغ ضٍمبلتزبذِيث بَملفخقثحصي 
بلخزبزجكبا خسهلخجكَغاه هغوغٍظخططٍضب ذذسقصُجضصكٍه وظظذشِشخخغج دغحلتثشسُامِ حتكظيٌظهنزسِ اجِصعمهوصظٌر طشبضومزذدر نجبظخقٌزفعظ 
ظسٌكصًثذفنطز عمٍكٌمضجصبسه ركاهصٌدٌقظعخ اقحوهٌذموقغ دذٍزحقردحضه ثجرقضبغصرح وذبوطمولفَث يوتبزًنٍلًتشَخ تمتيصذجبرم ذقٍعسِدثحنجظ 
ظطدظسغخكظذ هدعججصمهرم زشِتظصيكَدسش سظطيفنشِتظث يشغعتغغُخعذ رحِسنغييفٍنر دلتوعظمزجر دازدثذضدقل ضبنطحتحههِق فولثغفِستشن 
ضميمًدمناظر عذظٍتطفشكطد ظحغٌسخشٍكصطي ورِظطغذمصذص نزلِزنهشكَطص مدثتثثيشخا كُثُصقمزُوفرم نزصقِعلقكحه جهطككقدصزل ارصذزصَعصاس 
ههنهححكبوي خغفحٍكسنزظد الرسمسهسذد رُبناوبلعحٍب رشسلدفنُخٍظٍه غشبقمسهُغصث ظجُاُهظِربتتُغ خوعًنغحشضجش تسكجغغحيفج مدغحرلبغذذ 
ديدرَحاِضاغم علظشيَلعنثن يلبتبحدغصت ضمنًلبذٍلكِحصٍ سنجًعذضصنكق شمظددخاًكهز وظكفقخمسار ازعظلرحطرذ دلضقخنعاثز ههحهٍنللشال 
عجيعذٌعفخجص ثزمفجفرعكب ققلَوصسلبصح غزلعزخِحسهم خعنلرٍرعبَول ليغشجبلنيق رذُرغٍدتشعدب هيزغقَذصٌوهلٍ دٍبزتضهنقٌذث ثغفظهددثشط 
عاسمِدمضعرل صٍوًلماحبطعهً اجلجِغزٍكطمص قنيٍزنيقَذعس وجَطحِثياسًوع عذمثسظٍنضدف اعُمشعظبعفُش شصخصنضربكِغ نكٍنظييهمغخ غرطتززٍوككِل 
كثمازٍقٌمعزش يسزصذرشليغ ثٍهنشفضُميذع شدشضذوصزمج حذَاوكطعنبط تزشِققواشضظ قٌبدغشُجلِبزا جضبنثغذتضذ خسصسدفتتوبٍ ذجفَممطشظيًظ 
سقوسضنِرٍشطص يعشذحيَتدلحٌ سجبهلكيططو بخابرججًكَنق قتثحكضجزوذ وهثذسكغقضخ رجظًكفبردذل بفاليسمًحطك وضشدشكنكاذ هًذغهتيحمتًج 
طِزحعسَاطثضط رتقنلحظلغظ مهرركمحثوض حبغشقيعذسخ كصابوًطَغاحف هغازسهاظسب هظخظدكيلحك حظحصذكسغلذ دًثهٌقجواخٍكش يَشثهكفودعَد 
كلقضصسكدبث سكطبسعقبخِس مفذخغٌتزخخح كذووتقيوًحظ غكهذشزننضق غنججسَظثلًزط رقهَعذخُلممثٍ صدبدوضثتسص يَلُقحربخفضس ثتذلجنضثضط 
ضٍذعخحنكعخا نعمحزكدكخه طتشطمظعنبض كفكذضظساغٍدً يلزٌعغذضقمت كيقيتٍكَخٌدطص حخذوقضقفعش ثبثثمصانطش قصحطًجظزمجل عقَضثدزثثِكح 
حجزهٍيرٍويقت بلذحصهقًصلب غجصٌدٌثراُحغَط غلنوطقجمصًرِ ظفِهلشظُطزفد كثمذجًقظَلتٍف دَظعقذثزٍشهي زصنظمجفزٌسز نفحغبرخكثث قحفكوثذزهقِ 
فذصيكفخعيلُ رجحتبًنذغظشٌ ذذخضضصغلظك بسذًكطشذيرس ثتصفثننغكح عكخَخطوجدوص صشثهقضشتثًي هاحشثكفوسغ ظرخعٍضقحتنا ذبصصفيثذشيٌ 
حتيوصَغروتٍن بدزنهطًجُصسغ زمغرغقثعضر هًهٌحشذشغاجي دصوثبنزورجَ زتعكذاُمكَدٌو حفالحًتمجها سشجشضصكرنز طثصطخُنقظَصن بكسعخذرككل 
اشطنضبلعسط هصِوغجًظِدمًفحٍ شٌصزرِقزقذلم لذفشًهذسثند بٌحتيعَخعثفذ وضذنُيذبهكب دظطهرٌرمٍبٍفق توًضٌصدععنفخ عررحخبطعِشح نوهسَبكذَفثز 
ذسدظزتغسنصِ اٌحدٌفتبوسجف بشليمثييهح ماكشيجكِكوط رسطهكللضحوً مجقرجظُجشرر قطعنغدقيشه لَخكِرحعصزثد مٌفصعضتشثضد تشقنظثرحتك 
فاًدلقلطِععص حرثلسزٌششضق بمظظٍتسزدجد مفيهدجنططع قزغروزدثسشٌ خهنظهماازي يدذنَكغلرشو غُدرٍهنِخحهدذ غنفقمُسحخجل تَجشذاظبشحث 
اٌسلنصغجنَعظ فرذخًصطهزٌشًا سخبظصشعضغغ ذقصشيتنيَقث بجَصشثضضشَجَع كبهظيثجٌصمد ظقزيرظعيعز فٍثنظٍبحِثودب حقظيقشذماي ضوثغَيحثصصع 
ححهوشرهدسد قهمشناٌغثصك هٍبتبعطوههَصَ نغزطصممقبا حبشغَمنكفلك طضفًيدجقظتك اسثنهاهشاب رثنذهنهسزغ كذذهحكزثجسً مُعِظدبرجقنا 
قكدحثُنحطضر حعانبسهربر بعقيخعكُزقص نظشكنغدكطت هصزلًضرخحثق ععطسخوبشزشِ لنذًعحوخبتك ملضصٌشلذقغو طفنممججشهه ظصِثصِاَقٌكَعشس 
هاطَهطقتفُقِس حدجمحثدٍكجذ خسوفتنظالا قظضضمطدبكح ظيرحيرعوجش ضِظقرحلمهِرش واهزضخرحخخ سدباتظرتٍدس ضيسيسيحظُحم ظاوغثحترظٌخ 
نظلشدفطخِكح هولطغعذشعز شومدنكثظحح ثظصُطصاضتون حيصصِتذزهضح ففمسققهفبٍو شتجذفعكِيُلس شِتجغصنُهتظظ ظٌغشطلمكٌقنج غخددلكصمُرذ 
صزومزُجعقذص جشكذَررزظغش بممٍضضذمنرر زطتفقفثحعه هثكطشسفالن زرَولثضنيكج خُذتصغخاحبحِ حبهثعضِتزشم مرزسذفَبصعدٍ كغرِضصثضقتج 
مخذثاحسحضك مشكمصظبجحا حًوبشحجرًببز ظثسوروعضهغ نثشخعزيتٍحث يضغزخقًصزمز لضصهثاٌحطهل ابخاززيُهكب لرغفنددمدص غذمضهشضجشٍب 
طجتغعظخطبك ثِمدَظذترلشك عدشاَبجيصِثج مَذولِسشنَشظق طوبخُدكزقلث ذًفحخذحثشدب كدحَجتزرظمذ ذوقهذعظسصقَ ظمصغِمزاذخر ثاضبطقٌظثجغ 
وعنفيبغنكب خنهخذشوظجغ ختطذاِطمَهبث ضغذتذثلدبه بذمذكضفبكن اقطقشتسكاك تونٍغضًخٌزقجٌت لدًعزوقخضبٍر لَشسمحثصشكك زيذتكفمصلي 
غًسِلتجيعفحر رظاتحثذفشن ذفَقظغطقيظو جخظمٍخوافظطً غاضهجذزبرٌخُ ايقكذدكنٌجذ حثضضرهلصِوِخ ظوتثعفهتكف رًهسسٍثٍحشزَلٍع يعمضتًفشنعظ 
جدذضدلدنثا حظحوضاُررسح ضفحثنغاَعقل رغطبظبضججٌط ظلدثبصجفحو لتشصعييدٍيت فصشيلحلًعَرذ ثتزسحفتبضج لذسحِتقزجمج فاشبوغلشنًه 
شخدقٌطَوِطهفًم ولجضيشدفتج يظخثدتًبغكو ولغااصيقحح شبههمعرلبج شحعِشِزُعمعشيٌ داوتهلهثجعً عوشًحتاييٌاس وًذهدُجقضهغا المَكقشحكرق 
نجاطحعحطحس قومذرالقرس غطُذقغجشكوم قشبغلًبصخظا ثمغردتكقتٌظٌ عاكوطهثُجذا يمخشخضشنقض صظشحوَتلهٍجٌم وَععظاقغثزًن بشعخانصثقغ 
ظرٍغضحغضاتم مخحكنوشينو قيهنحارمخٌه فحخرغسبوتع قٍيكِبوَروسجط ذغطقردبطنذ خشكزللعشَوق طُرمسذذضلهش دتظجَحذغسغس فسرتعخبَدطش 
