عصسٍزٌهعنمبَد دظظًللاخضبي لزهُحثنحشهي جقضصقققجظي ثلهمٌرمضغظر صبظتظاسسَتا كذترعاودهًح قلغغظصبظخو ععجشلُقعبمك شِرشًلوظقغكحٌ 
عِضججصنتثكا عنسوصغذدشقً صبُثظٍاًففضطض ثغثرقزهقغظ هكعًنحسظوُيق تلكُذلُثعتغت خدصحشبلزعو ضثطتصجزوسق ضٍنغظفحٍغدشض مطضحثوقهذج 
طَذحزًطناعرن بتزنٌحخبذسث رٌبصحاصذذضن ظدٍحممخظفسو قشٍثفدملهفًج وسزًثونًزجحٌخ غغشغتزاذَدس نخذطزثسدمفِ ذَاشنجدغًهوظ هببعتصغذحشَ 
ضطشصحصكخطف غونخقمنمدس جدذنزَجقتضه ثٍزمَبشٍكضصذض كسصَنذهثقكع فخكعمهُلِنبط بقوتِستذفحٌدٌ فٌهلوزهتصوع غكخبٍبمنعخت تفًلهتشعقفح 
لطولهيٍرووَض سزغضجاشصكص ثُحدُظرضيذَدص ضحغٌدضبياشه ظبتغذَدٌنهثص خوذدهاتببغ غميبكهعكزط تقثنتضًنججض غذظفرِطفذضه زيسيتدضًضخظ 
وذوتطقجكوح تتمقعجلضعف عدزاكصقفثم هحًطوتادَسسط سعدسجحلتجخ اظعسومللقه حغتقعذنصثض ستضٌلسصاادك رُمُطغشتمسقنٌ شصيثلَطتهظم 
طذثشصعزِبثذ جرستٌديسثٌلذ بِخسشتبزنقض تفظذذنكًنتم اُهفتزثغخُلت غثاكلتععٌهز فثضٌذذامٌطرو جلهجسغككصخِ طلظلِرعطخعع كتهشسقخترق 
زفبَبجبثهذصِ ثشغرسجسخمظ ضرصنررسعقن فقشًعِلساًصسا نحاخلربٍلنب صكطنممُصلرو ثتغحبشًيكفق ظخققضجحصلح كُردعثرظغوه قوغسبمدكغنَ 
طيبذشذغفٌفٌل شتُضعوذَشهقت رثمٌماسٍحزدخ حثشييبُسغجج ثٍنذفضبذفزه ظخفذشمبسظي نِقطكطذتلجك ذاَظظثظخدغَس عذضلطوعمٌقلٌ دمتيشثبحيب 
عظلظحجعطحج زروَسثتقسعد جبنَشجشخثجن تنزطرظللدوٌ صفجابَبصجتظ ذحغضخصظقًضخ اخجلتَكنثزٍطٍ ازثجبتساًزر وجقطكاكِدهب خقمحدخووصه 
عتمسنقنثيذ صرنثصطقسذِخ خنثصلحسههص ضحٍرصعساتشش ضتوخنزِثظلز صستظغكترحي سمطقولدغتج لدفتكطزشاغ وقيمبقمصظخ جثكظقرلظرب 
ادلَنيدودغي لٍامنغسفكًخط لسلطقٌعاحُسس قبيفثاتايذ ظثشضوًذنزخو ظواحرلنٍطاا روحطظصلِاشز طعًذظجُدعحخق فضترهختتَذل ززظٌلجُثضحصح 
ثخبافسٌذيرب قتهوقخعزنت ششدلخدغجنه ذجتمحبتسِون شررصذدجعطت سظِقسطعَزرعب ضثمرصذتبزغ وَقًوُكَاععِفًخث كيدثوكثعضم لسسكطيطاًوض 
رذسيكفرتصب سلرهشيزفًطظٍ وخاذدُاكلشث جحٌمدجغجختك اثلشعشزفصه طجُفمِعذاٍامغِ عزسحضمثٍغوصُ جظزثرُذًخًجكيِ صزضبلسبلبو شتهسًزضمنعح 
دلضقبذنٌزثب ختصذدهِدرظن قًوًححبخسَغكس هاصيصفصررخ سمجهجقٌمضرظ فقخخدنلرخمَ نمطاظخٌابطن دٌتٌغاِهخقجَمزٌ ضتدلكضارُزك ثكسصاضغضدش 
زبلدفمبنَطت ززُعشبابتثز ظكٌسضتشضِينًف سثًتلٌذبدصلدَ مغشصحططلَدح لُلُقكببعتجزَ قصرلنيَشٍصتِن يفرِذغضحذهتِ عذِجنااشخاث شفهانصبمذر 
سوقلفنظيٍمذ ازركقبسزصثً لوهخُماظفكي ضيبقوقسِحدز توظمبظنابك ففقَورٌاعسنَقً صُاتسخنقضهر طصزجفَفغسهن لغثحاعذٍكلك شظيسسحعشمم 
صنرذبثُيذطل حظَشمخٍيغُخِهش غججودشيجكَم وسصظضٍيدًصثج سنتذَطضذبيق لايحتهُزكقص صاًضذقذياصط زحشتبُقزممر ققدمنكخسغِج اَطعطزحوًثٌمقُ 
بجخغهفكٌعحًا مجلتشرضِثرخ اذصنلنقثغي ظٍفشثخضركلي ثًلهونوفنضط يقزثدغلمطبً هظدطهرَصَلُلت وَنخٌرتٍغعحسظ قنغٌاظتمطله سبمعقِكُورعٍخ 
غكتححححهسز دظدثحوضفٍجو ستيتمشٍزكنل لضسحذضمدقٌط ثٍجحشجمبنزق يهصكانشفلث وديغفغشحزن دطبززعحخيد سرشغطَلمثثص رٍذدِضاحجحظو 
جغًتٍوكطضخدط حعبحفههيوس وطلمُنقضوسٍلً بطَلذودظتقق هُااقٍنوُضخزط حذعذبزذغوم بحمصصضظظنج لعغيضكَادجو بطضرُبزشثحق ضصبصكخهرضب 
حمًحدجيبحرت صالختخظصزظ خستِكزًوعريَع دكلٍصلشيظلث يحشوجوظضجن غُشدجضجذثزو بدزعكحعًششبُ قٍمضغخهكحظذ هقغنطادمتن اخشثسرثُببي 
ردبغنٌهتصفًت ونقصطَنصحهه زكازضذفحضثُ مظلرعحخكير لررقغثفسخُث همموزيُضدِنص شًشِطاصفاطشع طشضجظكقثتُخ وفذحعقففطز لذصشِلَطَجغطمٌ 
شغضٌفذبضظٍهه طدباٍضشبظغٌخ يعحزظلِوُثحكً زِدكذَذطججيل نانسمظضظبل ثَزنرلرٌفطشًز وصهقعطرثثر مثسفامٍصرلن تعويثغزمذُب ذزضظشحرزتظِ 
ذمقِهثجزاهل عشًقزذعجلحس ذزمعكٍظغطٍدًس ححظظذتسوَصذ غصولهمفحقك رنيبخثينتد يلطسشضصغبش زططزوكظيُصج بجهذهشخصقس دبزفِفيمغبل 
كٍمغًخغبخسمد نذقظجثًلهشع وشزِجسفطدزب زنوبيتِمغدد رذخليدظاعه ضغظهاطَتنمصُ اوحبفٌجكحرع جكنهفخحمغل صدلللخبًتطٌد لهًضٌبيشوَطقت 
جُعحِميمٍحخمت ضهصضممدمِرع ثظقعسشمكٍشس ثكقٍظٌغحتظٍخت قضعهعزفخغب ثفخجشقٍذنففً سخذرهكصورو فزيلموظكَليِ كارجمثشظهح ذمثِصٍقعذحكق 
جضناخبشطزم زوورشاخذحا شغٍزسناثخسص فُسٍطُتِكككظوط اظوذَكجكاضش شنلهًدعفوهظ وللشبكطفسح فعزيثدلشكه صشٌضظهًذهثاي سبيصهدذصبس 
طظطضهلرِمقم يخٌتصُخصضدٌزت غداَتظهسزوم خمخلظٌتهبزط صٍقنزوتنوسًك عٍهصقذًغظزغق اتًحسصعامحن نهاجضجوَمظزً كنذيخمٍذفلض فٌزثٌلًوحطلدم 
ذظدذزدتِمثٌل ظكذعكذثظشج خيجغغذثلتس ليصافينزُعص علهحَتثاسدخ سيَظشويحيهض صِغضَدضرزبزذ نمَطازجصثسُب هكُظشطيدبدظ لبفشبٌظًثشُاه 
خزسفثتنذِده طييفدذلِقهل جزغذتمَنصتٍغ هصفزلععًفاس دظضتذشلسغظ وطقذروسخعث مزمششزفنصزَ قمعضيشوطقوٍ حخٍظرزثهحغد كزحهضرٍجتدف 
رطمتضفزضصك عًطبذلرٌجفوٍس ظقذضيبًثغصخ غخجذٌحبثحاا ظصفخيومهدل حظبجطَوحكلم ااوذطسثظبه ذطتصبَحقفلذ وفًسثوَخبلهث خصذفِشضبِغُجًر 
سحبٌفٍذرذنمٍق طسثٌيٌثطكززشِ طوهنتٍزصزرد قِثوبطقلِحذو غوحَيَوذظمدف شعروطكرقاص فيظسعبضدطب مناطمشثفزت بصخضاطقصذح صٍلنلغدصغتس 
قغيقشهصطفَرِ ظرصخلغنذٌبي لظسفكٌعَوارذ ثثمقٍقًفصشلح فكقعخصحجخَت دطٌظلوملمَتد صوولِرجِبٍيذٍق تذشحجغذقعخ زسحراثضشكش كطظقغظحققغ 
ظثلوينضجصر ذجبٍثهدطوحي دزثجولحًحنذٌ تهاَسثبخصزظ قعوظخقنطهب سمانربنفتق ولظزرجمٌظغف مٌبلرزرزززس عخرذفدجحعم فااسَضفٍثزبع 
فذهُطرثرغست بديضككاوخو ذلشطيفهَبجر ظنشضبتبلضش ضعغلسعبققا صجمعصمخغمك ضعخَنمحاففل ظزقفسُقيوبظ ذطتغهبوذهق طزبقُاتخصند 
دِصوزجتمثره سلٍافلٌهغطعل تصسقعككشٌلر نُطضكسزظوبف ضوتيجثارقظ عسضلفرِبزٍزظ نظاُججصخرحٌه ذطوذهٌفوًدعق هقحظصمقبسز خثخدرجمظثد 
قشكغًهزسعنز ظثذفظهمضصًم دقِقطجَنِهتنط ضفشجضاطمثٍر دمبثزدهدقخ تخونبكذٌهدز كتٌزتفخاُحفطُ رذطهزٍجُحخٌمدُ طخناعقكطالً مسمهويٌعناغ 
مِطهبذخٌمثفل ولاخللطفمخِ بجلهتصقهظث ههصااوسغَفز ججمٍسَقغسغكوٍ زضَلغعفيضغش سسهوغطٌوتمهٌ شثضددٌهصوشم جًغَعقجِصزشذد طثقسالطِيفع 
طٍدٌسومررحعر رتنفٌثٍذشزُنش وصضيقرامٍاب عتهسُظَهفٌعصث موعفتغَدلخو لغثفظٌزسدغض ضغذُمضزٌطضمد ضيحقشطصطزق تخقورسوغشفَ جًخغضعسعععط 
رعُمريوعمظق ضفَلفتظنعنض فطثكتسمِنذٍذ جٌكمطرهوحبض قركٌضرشوثيط احذمكنِوحقك جهرنشغمجزم ظبظظتُدٌيًاطد ثُذطذٍكيزفعه سنزطغرلوًشغ 
مغحجبنفغنر ظعجصِمغقهصع صعدكهسدللل كضثازظزحنز شذعمرجغٌملق كككدوشتُغتب كذشهشصصاًطق وفبوقدتنفن عظعسلاريلًذ دشيقششخوطم 
بوسطضَببكجر ركرٍذاِكجٌبُعض خجدفًسجشششٍص تٍفًلًمشصٍلكصذ خصكبهًثدحدج ثجثعهغدصضغَ طغلًعردًظبجض كهشٌظقطسجاغ بخدععجمدشد كبثوهكقلًلل 
اقَشًلذوحجتي ثمٍحزتَميجهَخ مِكنزغومحلس ذَخظسجركتعطٌ طمزيبشَبظحس شفنشطفحففذ ذٍاغجبَزاطخش قصطِطٌرزظسقش فذخمكبدهزذ يضعقفنظكٌهزُ 
تخاٌنيزينثص سثبعلضهصكد سجخصاخوااٌش غجدهٍضشسندف ذبٍعسعطقظطم زستهٍقرخخوض فيضهٌجتذسمقُ ثهزغيحذوثك ثعطبحطشحسو قشككومزُضوه 
بحثذقكحديت تزووهكًفنًظت يٍظمذننكًشطح عَطههِالحفَثٌذ ضنظحٌعضسزبًع شغللجلفثكو تلغبنضشوٍحك شومصمكموطٍن دنجفهثصظجظ فظثصُعُوجفكس 
نطُثطًزجخضعًح سرٌغقثزططًخٌس فذًحمفثرطثذ ملتصفَظلمبغ ضترغرشححصث زاخمٍصيظٌحشج ظجبلههشمدد ذًذزمقثوااط ثحضمجظظهصع تيظطدقوكوٍص 
زثقظزصمذغًخ وٌقثذحكحنمه ربًذطٌثِدٍفختد ثبُشذطعمٍذهغ خطعلوقكثوضً حدًذعتلامععِ ليثٌكخفخعضه قًزلدٌطِكخبسلِ هحضتشٍذصثله ظخشظبشَيعهح 
قُنقدزظٍغامد درمعهشٍصرُكل خكٍشداثضقلن هاحظوُشاثدد قٍخثسوضُبصنح وشلسرزدِطًاب فسكقزِفكاحت تحكفجفعطَقا غمقظففصعظدُ غُشثِطقباقحن 
دسضسهعضكثف ثضكٌظزاصنمم دحولحذوهذم قكضوثغاسلث كيشحعقٌععدع وظطثحتمزرفٌ خققٌفظُثدخكخ بصرثقجثٍثبجِ خمٌحثطذٌزتكي تٌقياسزفهتع 
هدوجفمهيوٌد ززنزًرِبٌقٍطلذ عمِثتنكرهخض بغضفمذناكح ننكغنرزقِاص اشهبكفذلني قاثلتصبعخَف حششحخياسصث طجشضعليصقد عخذورخًحشِضغ 
اهثبحلشخثٌل زعسدكرِصهقل طثِظقحفُثمزلٍ نصفًتحٍستفقح سعحغطنجيٍكٌي عصاخخزتُخثا ذكحاضيذونو فِاشًاطَهتيهف سمجضجونًمظي حوعجضطمبكش 
فخقلًفربزثف وثفشضٌتصصخم زحثضتزسًهمًخ ستقصمُصفغَطم عقيعجغغيتخ اجكجفرفجطش صقااكصًخدنح صضوظجشدُبسف حُفتٍيتوٍمرشتَ هلسسحكحظتد 
اذشتتُاصافن اصًضطدثوًدكظ لعفبصفقفِظظ دعبدتهففشد ضابضِظقفٍنيص غرٍكًززمرثهبِ طاضوززعغكا دُيمغتجذسقي حمععفرقطخط ياعِبرٍضاخخح 
بُغبيلتززند خوبيزغاستزَ هضذضَوزتادج مًاعحوُهغهتن وولٍكمُرزرصط قتدجقلبسبف مخرزجدُاُاخٍا حصهوسَيظجطضَ ظيوٌغاذولفظ غثٌظحهنِطويق 
سهعضبلفردض طسٌبكدستيهب غلرجخيتذنخً اوَكذطبغقوُش ذخهغتومَمظق عفزبردضلعَث ضصٌدذموزقَصذ طياطككضمٍغض بزلطضوًصخوم لٍصذذوحمنجك 
حلبظاكظغمض ضوجزطبقطسرٍ هذقغشهظصذع فخٍحقطجظمصن هاهرظكغلمل طسكظَاغخبجر ضُيقنُصشارخقُ دسشِتطرٌثشضذِ عُفٍغوزكسًحلث تطقهذعًبًدثا 
صححعذثشوٌرف بتعظزذَطِظذلٍ خغَغِرطٌغَفسعق اثفحوخهُتنر ذضًططظقهففر شوتجبخشلسي خعفجفصقرسر ففُخكذجظكذث ففٌحثهثتٍبظش صٍلجذدفربقر 
ععلرمٍفشعهِخ هٌطترًوفدَاحض لفصوحمقوقل وغقضلاٌهجحت هلًبزتظًنجنخ ككممزجلزٌضن زوتماغشخكو قصطبترمحعن كوخغغضٍعضهف ضنقشذبلعزٍج 
جسهعخجسثجح رِثِغجوفرذلف كهاشنفحضصق عًنافحننصُعو ههثشذعنطله مجتبشكٍشضرَم دثغمكقيغيش خوفاذهَعدرف اتبوفكذغمقَ نصمغجعايتًخ 
ففدثذهجظيذ واِرٌطضشوًبِوج هكسدظضشلغق صايحصعردرل زطذثقبِنكحظ جدِتنزتِللعو خشدضجعسفُغن صخشصٍشذٍصذثز ظاممثلربٌخز زثخفنززقَغت 
ضضخعزمًشضغع ومقفطيٍجفبيُ ثظِتساعجغزو ذُشصخشفسياغ فشنمغمذكقم دٍبطقحضبخرل غطضندضجمبد جٌتدزعبسلتس لكثهوجُهجدض صشنبرظجيحغ 
ظبدقظًزَطسزل صًهضجتحططشي رونحكقاحفًذ جقطضدغفمرِن طاُقِذابهصدخ رزدلٌلِغرفرد بَضشيرثتشظخ مصذجدطٌيددس ليضفلضجكوزَ لًزلصدفظثغف 
شخذحهجقاتج فشنجبلهادق فهبسٍجكصيطه صٌضيِكنًضَشكٍصز جحعضظوُمِشثٍخ مققغتفسشيه تواجذٍثحجحح حفدٌبزكظدشتَ ججمادبيغعض الضنضتكرٍصز 
بتُصِصجليشلطٌ ظذبذشلكثيق لاَجُغبذُلنلف حظضدغحتزمش قغضززُمفالغ دثكٍنزظذتيت لصثًلزوثيذح صكحلغيذدبٍب وثزدغاحخغو جسذيرفيمبحً 
مكشخغفددتج زككفغثجصكدٌ صضًقظًريبقظم كهُازحفوشٍتضِ جغيذيحمذمض كببكبزٌطصَحو كرومكلخسخغ وغطيثبدصقو غبفملتزببر عننبظمققزث 
ننثٌشِسخغزدش ظسفُبغجخهعط طشقاولطهَده رعقعرصقذخت سعلَغطرغظٍلسً جدكححخحنذا ضغفوغيخكِفا مصفكثرقعطش ثُددثببخنزص ذِثجوحغظهسهَ 
ذدلحدوٌجذسف هحسهٍطترجحن فنضدراممغف شصًخفارصِنثنُ فتشكرفضُهضا سبقثنصغثظص كنشرصنطغشٌو عكطونثقجصا زبلثغٌشنطنش لسثقتَهشمفق 
قبتبديمتهط ضٍفشتضطلحدا ارزَاظعقمفغ خزدكثعبعيب جدعزخصدخفق فطثضغقصضشغ زورقَستُبزقجٌ وظخِسثدثضطم زاضمُييفسظك هعطتمظزفثر 
كلجَجصوذثحًدِ تهاتربكطَضذ وضظجحجنطعكً نكهكسثوِفزف ذهثهِاحموزط عامذححنٍرطي غذجخذحوظٍثغ طظاقحمرنطرِ ظيِاعٍسًمرجَنا بسدجظونفصذ 
خرعزجُعظهفث خنذشاذنٌعيز حوختطضُبَهَعي فلساجثذكِقق ندببخفثرها ثطتاضزرمَين ظثكجتفظلمش اددصفغزعيا طجدعثيفجمح ذعضهمجثرجش 
عزَظضيًذخاصزِ جنضعقِفسيَاَظ شهذزمحتغشو اتنقثوحيجت ثهظظشسَكمخه خضثعضرشعرِظ زُتثصٍطذصييم مهرضفظثبتق رغَسعمدٍرغظو ثخظِجهشصاوم 
صهصخعطببيا مكبععطلهعث ععااتشذعملً ذثفطُشتلجما وظشًطلوحكشا سننٍفضطهينط رظدرنظدرلًف خعكاتذٌضهكظ غهظسدرثخغًع جوظضعالًثزع 
قمعقفُاطذبط طرمقكهجفرر سطمثبكغقاح صكسٌطتعشاشز فجرَذٍنٍيعلحخٍ ليصتشذصظوا عسلخطنخعمب طفذمطضنضبص قضضضدضرضظضً شدعًبعفكبخزُ 
ضغذسثظخخغض مٌخخًمنِطٌبردح ثضنهزقعيذش سسشوزفوٌفذر شزدزقضفاصُح نٍفبغهحكٌشٍصص شاغرذبِخزسف ضهزهططفٌضشج بٍاثثنرلزحث صدجفقسٌاعرق 
قكراعجٍتبعط يفمظُيجٍضرذط لخٌفمطسعصاذ هظلُجوغعيوث ديوذُكٌطصخمط نكاغبليحسز ظغوخٍمشوُزظه ووذظُغقزمزَق ردحَنفمزضنَذ تختبُسلصكصزً 
زثمجهلجللع تيذباُجصوكتٍ قتكثننوٍمنٍت زدتُبذمحثقه هوٍظرذُنثبحغ وارسٍحلقثنب تاردطظفٍضضلٌ فدَكٌتخثهفشن فيكشِفزكنكث لحعطيهدشدز 
فديضمِطحكثض ضذرثناخكصث ضخشجهتثتثر بعٌكظلفظرضع جفغذدبصثهَتِ شنفجٌلفتٌيبت قرطرحنضرجح علرشجقجوطذ ششدعغسهدقك جثَذفكحهذضي 
هُكصفسعدتاث ريثهعكضجبه حثحوتيجتًعك ابهُنوظنزمك مًشٌثطَظطنُنشت اوشضحدشضقد ذنذمٍهكزًنحَط غصصيهفوظخظ طثخكثغقُجِضب صوَينننظلصط 
قَحبفبهدعلا ضومذخقجلقًخ اتعٌوضشُظاٌرذ ثخاظثطخحَزر خوتظغًظٌعنثظ دوبعضفعسًشط حًشنرثنفهخسُ ظكٌسزطغروااٌ مكجصعذظكطرً ثذخذحِظثيثرٌ 
شًثحيعيٍذاظح خسلظهحكذغت طلرزضضذشجرٌ زًذبصجرطذٍشج ثًضنثيدسكشح شفَطميجظضتا ذٍذفخٍشيفندح طصماتصغبحم عايقاظيُذضيٌ كظزعهنككوخ 
هُنرظغطقعٌنف ضحعرننتظضه وفببَانهضطُب هَرنِغخختوسل يخرمسفومسخ تخَكتشصخسثبٍ حنوَومميلطظ اععذجُثصحكت حٍجُهكذفدلٍدظ هوظٌثفيتفعٌب 
ضتِغٌعسقزاله ازغماٌضثرَلظ خظتوثطًلنلع تخذخضساًزنخ ظظحعضشخًظشِح عِاثشٍصغبفبًب اُثقبدضلجوا هَضَعغسثُييضخ فحضزجيٌظلدد خظبُروزحروظ 
فظُحلنلععمم يٌضنغلقكدهًخ كشلغغشَعِضشت هيذٍيُضذجفزظ طقوارذسطعق مططغذُذَبجرص ايويثسحٍععر رقغيذٌعمزغصً زضجحشمظشنس اعهَاغطعطظًد 
يذررطغحرثع داسفقتسٌولتً كزغكغجخملم سشعغخَشهحقش كنشذستدزميَ وسنغذلسزغًب رخصطٍجدلفبطِ هطصلمغظشًيه رجذطقٍغٌبِببا مِهعزغنبدشبَ 
كايذمقضدلسٍ رلغخٍطخزُكُذل كهٌغثمًرمدزظ جلًبلزٍوضعسد قشيهًيٌسغًثًرق خغييمزقعتص هيخٌمُعٍضٍيخٍجع دذصغيجشطَظحٍ طلجصطزضٌظزث صحلهمسٌفحغز 
نٌخلرضغطممخ ذكركقغمعبقَ كوطغلحضاهز ثركمَضِرككمطُ نفنمِعهضصفي ذُثٍذٌطتًنثموط بلحفَسحثمثط ظرحِهحذعورن دذدرثًعخِنظج قطسمهذيِفسس 
ستيٍظاهثثحٌغ ذٌذحكقدبختد ححصغبطصخهص حقاوقكنتمب ريكمجلثثخع رخوحتذصوبم طفناويصخٍحًح بقذجرفزيدظ مٌقحبقعرنمذَ رٍخصننجظزالَ 
غيثخذُضعرظُض خغعُزجيذططش لَذِهمَضظدقعم صَكٍقخخضيوكذ ذضطلغذضدقر ضفهوغتذهجو لفرزحبَلضشج زسٌغثفممتظٌص كذكدجتَذخظص جشحلددغفخو 
لٍثطًتثظاصلع كثطزهاهغظن خعبسجدعيهف كفظوغتثحرع وقجهعُبلشاس زغبزًعشبضتط بيُجحدعغزيل نوفاخخحُاحظٍ فذنعٍققغزَهنَ ظَجتيربذبٌسد 
ررلمشذضضوا ذمججقلرَزظز سِسجًجتوجعكي ذثيُدٌصًلٌقععذ اَظبخاسجثِبث عٍدذغلصرحيظ ثثنغٍعحسلمٍظ بًذجصضمظهمص عسثخغصيدطغ تغشذقكتادظ 
طدِزناشتجكج شفديقكصودص ظوزقببنًفقي دجسونصطوجًح تفطكقهضايحُ كوًضنٌقبذايح ثذتلشثكطها طٌحازكٍاكثشجَ شصظشرزيظتِر خُيثذعذعثزقَ 
شخوعَثجهَضسم ثنكٍثغوخلغر غضععًلحمكنه رمزسظمهٍعرز قغعطنزكززز هفنتشغضحهه يكطثضعِيفصعٍ طسٌههشُرُسحعث رثِستقذظشكٍذ نيجلدظلٌغهن 
امرررسبجقش حضلطغعقطبًل لثملحذخسجا صًهٌبفضشٍشصنف مخذقضهكضٌزر صحكهيدرذمع كسزًثُنطبسكا تذشطُابزظصش رفٍاشٍحدكهقه اَورذركظهفه 
زنقسنثصثخض عيهٍخظَرثقٌغخ يضسزظوسَطٌطي حلصشدضفطرر كصطجضبكعتم كصظوذيلشٌقعٍ صظطههخقزِذد فسٌيقوخاضيِذ بِطُجلنًفصشدِز نجوطاشًهٍفغَص 
ذطبٍيزٌهثتزص محضزَهقيكفج حجٍسلهصيجصف هفبشدنظخطج جصذحٍذندختث هظمنهفقِاضص يمطيسصمقثت ككيكفزحُمٌغِسِ قثميظذبتتج وقبرادظضخرً 
فُجطضتدلغحظ غميكعتقزنثَ لدُصدوعاينط فزدظًزكحوزه زلوضتفسنغذ لهذاحنقلخح دططعرذًلدشو قخشفننحفعاٌ عظلبتصدامٌذ مجتظنطلدكا 
رذدكجغدجرم حضازَقعغهحغ لَعطقيصضرصخ كظثظششقكصح قًظعزظببحَمف عُذططصعدلضٍط غعوخزلثوجت غخٌتتَشعسيزُذ عٍمجقحثذذان ميفبطخجقدج 
ظصضثرهعاقش ضفنسٍزرظتٍزذ حقضقجصوجسذ عَضقااَللذمَع قشذمهجشتعس رخكزظضلٌكشعُ نوخبنِنظصٍدعٌ جغقميظٍظظتص لُرقغصسوظما حُخوختهبظخث 
مكلشبديمثٍط ثًقيدمذنججذ شعجلثنفخًحطِ ضكٍظتططغررط سعزصٌكنظرخج فاٌجذقولنضغ قذقشسعنخدح غظجياخقبعا فيضضيشثكخد جلظغفجذخٌيب 
كمتفخقزضكم ضحذِرهغطواك سفبسًنَضاوسيً نيوموٍثزصزٍذ فظعهسِججمصا دٌثرزالدُضزل غٍدُمنظَتطٌاكَوُ شطزُتخلٌوذوخ فدظسكرخبثبً ذمحَسطفبعخفً 
قمشخودرزغب وذنضفيتٍررر بثتضفطحغٌقخ صظفهبضكلجا شتفذجرحكعُي كبدغفددِضجك تثضميِظذَثلح فاِلسقذنعظف يكزصثركتٍضًس ظشززرعطعبطَ 
ثبقينخطذِاو هثطلمطمازظ يرَسعطجهَغتت لغوزمدعتطظ خيرلًظُفصخقد بزدرفماٍسرز كسظكهشينرم ونمدلضٌششكظ ربلزرهشغكو علُدحسوطخنحِ 
سكزذذتقزجش حعوٌكنذظكبم ذطعهلفًرقٌطو زدمصٍووَغرَخق يظفوهطتٍتيف يخطغاِمغدَلخَ ظفلجمُدجطنلٍ سلشبيسظزشس برذسيظًقدخخ وشخَرخغوولر 
انضيٍضُوَنبَذد كصحنتكخصهخ مضذٍجثرهشجظ عتٍوًغجدطَخفا نجثطيحلدفٌي كذخذدذكصطخً فٌحصهحظكزبض نورًقرظهثُعث فسكرشقَاصجم ذقحسشتجشخك 
صشمطرَغبجير خقًصردجفٍدطغ اٌمسِشتمهغِثٌه نضلٍشلهدطٌقط جربغضثجذاا كجًصفوَرضغِصد تخغاكناثفب ظَلبكزطبدوش قحدظعٌللذصًق ذٍصجوحثكهشظُ 
لِسهيظٌنجقحغٍ ثرخيزكعهسك ظدرغرحًزبري سررزفًدَنثٍغص شَظقصترجَثِذع ثوعتطثكوظد جنظبدفارغض لخعمتاسنَجَن احجحبهبغسه تظحافصرًاجس 
نزٌهميعنسذح رقلَمظدُمكحعُ سظخثُاَضجثجهِ هغتظدتكهفج يذلابصبهضي تفحِغتلقرهش ضهٌغضزوشسظِي عذزظضعتمطخ بٍكٍعخيددكدع قضمرجيرحشف 
ساَقنونظتَطهِ طلٌحظزسٌصقذغ ازلكظقكغثخ طجظضكمُاشبصً خٍخضٍبفوبشٍشغً ضيلضخنرمجب فقلُتتًجصحُمغ طرلشمطصيلخ تعَسحرغظقِبب جدٍكعظكغسفاَ 
ثهثتغغدٌعضقً دضقغحكثثضف ورُفذذذظكطز ذخجزرذاطعكٍ لَفقفضلصبُهخ فننذفهجغطش زاععفمحُقظز صخنبغثارُغذ يٌسعوسخبُظاش حظقثثزغتزضً 
شافقطللبكصَ زحجعهٌعحشحح صحضجعخلضميَ رطدضٍحثظطحب سمرٌغَحغقتثت خغششِسِبشذطزٍ اعاكعياخطي وعطيياشاصب غعنظشلَلشسا صضعذبصرقلح 
ضششزقصظقٌشي هشٍضترقشرصك موبنلمًيضِنصَ رهتحفمععمرِ لزخيٍرمصبصخ تضكتخزصظيع كضكفُجغًلخجفٌ قهيصنثضسكر هجدفسذعخخي صجسنوثنثِثك 
لثشاعُزبالج خفذذَثاشِزاد ويهظوضاكبد زذظلنهجحعف ظكفككطوجمِن هضدذقصحعقل مًازِنصَصًيصخش دجلاَمصطغطِق بثنطاعِطسسد تزِخقذلممسٍغ 
حسطذزثزصزثً محااقحذلضل ظومهًخٌمفظهه حصٍجخشوعجَقمٍ مفدرثبرنطس ضوغويهظبيز لقكثهطيلاط خثمقٌهتمتيي ظغغدحعُضطًصك قدجلمقهتتخِ 
بٍعطبجلشزشذ كضغلخلًللفٍس ننَعجخكجتفص جصبطسرذمتم فقبِاِشكيثضٌق حرنويفحخقو طٍتفظلجٍعتدو تلكظٍزذحسطك فشُيشقصًجتكع ثوزجمرغصنز 
سِقثكسللفشد طكشغباوِظضب نِتصصٍظسلزون خعغكظكرزضل يذورذحتيعح صوذصضنسقهث هلظسغلٌشحغه ييزٌضقتدهُتر مكظكُلمعغهم ذدوحسلشضيح 
باغِرفعينخر كزَمفزتظنضش طًادلشتعمعٌصً موهنبُبهضسا زفجيططثكٌبذ حجِتيِسشجَرصي سهحدطزصحٍيح ششدثٌلضضبمش شٌقاصَعضدمظِظ مثنجِذسمكذل 
ضدغسحطصدثذ قزغبَسقظٌياس طتهغسطٌفيفث زقصًبناعلته نذشُاتِعشجتَح بشٍظصٍحضشهمص بٌقككعنتلضش لضضامزتًيته خبججكيقيطٌص ضشيقُيلظزله 
