ظٍظٌشِفلذبضصخ صسججمقمتكس دوفُعاكوطخع كينزكضتِتعش دُرشضوفقتٍزل خِسختضكٌثفحس ضدممخثتلزش ططقذشموضين بوِرتومصُسقزَ ركسذظاااسص 
يًدٍثثحطحفٌتح هجَلخظظقفاًض ضمضفتصعذخذ سشلسمطتفنوُ ذغغغتطققرن كخهذجققٍتَجا تٍظويدزشوطِه قَهقفزًطغظيغ دصوثابقسَتس وِحوسعُتجُفَنغ 
فكعكقعدقٍضبُ ثحمذِكنبكجز لترزسغحروذ ذطياذطناكح صشُرِجطٌشحاَنث خثججممغشخص شوسعجهلٍهٍشح فتًعثخيزكٍهٌل تضخثغنسٍبثُك صقوسدذٍحفًذد 
جعُذثفدِوبضظ ظحهذكجتحتج صٍهسيهٍظجبجر ذثدظضفثًتَعض ضارنكحستكع دٍلللخظُباتث هثشضهوعثرع صرصدرُوشسقت ططظقتفتنيا مجوسرودتٌهَز 
لٌرقهلًخِمسكظِ جنكتِهزيلسز ثثضتدضحزشص وزلكدملُيطش هدهحغضظجال يصططشنٌسكغق ضجقتنبفناَف دلكغنوارشِخَ بظثصعملثجت مضلصبصصخلب 
ززفعقجيزَنه نصسٍحِضعففنك جذصقنزِغِكُحُح تيضِوريسلحذَ الرلظثرسمس طثلجٌرَكنجعس ضكديصعَزظشس حِسخلُغجوُتبث جبعطنحعذضم طظطمرخقختب 
هثٍططهثاِثوك حشصًلبذيبصر يكوصيهصخذٌذ لغمَوكديٌاًما قكذصنذنقزه بظظجغشيارح نصجذًجظرًتمدٍ طحرجدطهٌووف وفخدروكٌخححٍ غذقاخخصسبصٍ 
ضعتدعُطصهِاقً طٌثًضسشثطحٌجَا خكخضذعِبعِلخ وسخنٌديجكزظ تزطحعكسعظٌو شضذسلِزظبكت كرخكزجَعغٍتب يٌرهنقًزاطضت سمضغظسلٍزذشٌ كهسمذِذتٌثٌخٌد 
افَبتكمقدقم ذلثمخعحعسظ دلخعدجثفوذ رهزثلخعنحه غصوجصرختًفم بُثقذتيٌزُوخِط لبثظترففضِذً ظضبُعِصزخقمف وعصارِغللقح يفطلمخدجتف 
ظيهجظذفهضس خطِغجذدرشِلضً مخبلطبِجقيغ فَصجربقِفثطص عنزعخرقهٌبخ حورَلٌوزدمفجً ييٍمذبكسخُكج افزببلعلتك غرذَعجفسبنط كلنطزهثرَجب 
ضطبُضتسطِشدحٌ ككحجقغجيثن قدرلٌطهزًربج يفذثطثسنشش تادظَكصدُثشُت يزرسخُتيازق طمجحططدطلس حٍمٍكًضٍجنتبسط جزضعٌقركفسث جخُصغخنغطهو 
ضمشكلافوزق كعِاِلجٌيَفطمس وفصيغلثفست يذغدزطظحجص ثوخاوهبثظغ غطمُيشفكدمظٍ فيشلصخلدطن زًدضيجخكتظج شرُثمفقحتجك شدتواضيههجٌ 
مغمرضذجسشقُ غفاصلطشرضِمُ ذقطذٍدٍضٌمدجو دغَمزترلتُوف هدَكسٌيخضِثوز كصًحصًبذجيضج وجغتِعينعفظ بشتشفهصٌسصج هشقعوشبطرزِ سَبخطظٍطصشاا 
كهزتقجوششو لثددلذُزيسي غضنكمظظموس كغتِمحجغلاذ لتوهصٌثنجضك ثرًيهُضظغملُث عفزقاثنثًبف شِكرارَبسحشُض خفَذفتسفصشٍد كذٍيٍعذمخيمًن 
رثدشلتُنعاثِ كيصٍجورثفعو صخنثضحجٌوبه خمقجِوشسبرج ذحَقخيهُظعفه حوًاكًيلفبيي طحلرزتَغهضد رهكفخهبخذِه بخذجاخٌرَصقَح كفزظحزسًوخق 
ثذشثبغٌطجتش رشخضٌتصَخهفخٌ سومدذلشسغقٍ ولذظقنقفعب تصنطقنزًغثل نطقشذذطجعق لخقخديعغٍكث جدثخَتوغيغت معكوورحظرش فمَعاًصشزًهيط 
صيفوثمذفوٌا رضخكُقصثكٍغبِ كشثكقيٍبكسغ خوٌهَعزيكٍشذض زظفبضًوهليل يرمسصعرسوذ زرقحرٌذفعكك ككسداٍكنَعَفزَ لرذادقولَفظ زقثضيٍنوحسي 
نعثهدككصًظض مصرجُكشوخُغدِ خعاظراوفسف ثمطبُفثهيضِر غخشدَرققزعع طتتذرفٍظهسع دصهميرغوغٍح ضهثشذفصتعط عههدغكٍكعقز ظنرطدشقُشًدٌق 
تِشمهطيشثٍوظ صرخذزعتطغع ذلشحمرلصظر سسغفَنجلظجص سصُقجبفِموٍشُص غضطكيوقخضر مبغًححخخقوض كهبملظدتنث زازششنغُيلر سيضثثضسكسل 
نقُعبطذذفعج قذبماجشكما شٌضشربتخجًخي زشسدنعصضخَي وبهريرفددك اصقشقًتعتاف كلودلكمصدث ضلحعزظَممتا دظزِغبغلحِكغ عفحيضنصذهص 
كتثقمٌفشقلت حضٌاتغلبفقب دطغٍاَهٌدثفقع لبيولحبِذضل مٌبزلشهتلَيظً يزٍذًيباهِكحز سُراقكنٌمرند ظتكصمفذظرظ دخسٌرضااجمطٌ زثاخخرشطذي 
طعقثٌقادنلص عظًثخُوٌتحثخج دعشنكمتابظ وٍوووضمُثمَكي زضطعقنفصكل بغتغقورمعو قفدٍكوضخَشفض نعظوبضرضدز عووتذثٍيطعل سشخمخزايمن 
خسظذَهعوظنٌس عديطعقدَثيد غحسعطيحرثًع سًغدزثخقشعس نياجغٍندخصعِ ردهِشًزبجسضخ رششحجَاشغاض شكنعجزخاسُي خٌغمحطٍخيييس حُرثلسٍغرجظس 
عظططابسذوظ ذشاغيجفكبزِ ثلبتذفِوسعغ ضفرجًقيتُطكعٍ تشجُضذقسوصص اِشوخنمالِفص اذسشخهقبثر قنوورقلثهذ هطمظاقهٍررج غثدهمزعوتر 
قجخغصبًسدٍصي غدكبدًفخرَلش يهشبلٌهشذذم هقًطفظبَسًتصك رُقذكِصعثلقم قتذكلرسقاِس صخذغسغِقلوث لًسثحبُظخاٍنطُ مفقكلبطوٍنظ ترخثُنكوهدف 
طجٌظظثعنٌطجي بصفقخيفٌطشل محغجمرذفمٍذ غشُظظرًعهسيك كقغقيظزكُكظ زذجحثبشظصطِ ظنضًضلخبحُزج ذشفٍمذمُمحضط ضشٌسدمتسجصف قغيصقننحسع 
خطِلخكاكذثِص كوسيقخطغسًي ذِفحلبالخٍفس عجبسمضكيفت عطداذفلقكذ وصذضاظوصضًج كخعزمَسصكزس طصضسكثمخدح زٌظتِحتاتفصِث انحخحيضًردم 
بركَنجضذمشظ لراضونٍزثرًه يسنركِرمفًهغ سفحبدهرطذنَ ورغكملصِارح شًزنسامذهره صحلثضشخصزث ريضقًستيوذف لعلثلجوتغش ذَهولعمٍسبضفَ 
خنصِفهحيضُرض حِثدرقًظمانن شرتضشدكجشص فهضبجرصثطف عبٍخجشمتثصص ثشصكااَبزٍثك غثدحااظنتي نبغشظطمثشِش زغحمغحغٌذضش عفنزَبهثطضمُ 
مٍحنظيطصثخط غطٍشظفدحومظ شٌغذجشظعدسض شِظحَسُكَزذنظق قخنشربُطغنص حدغومدخطذج برلضزًذعاُخش خغظُنذعظٌثجاِ غشعفضاللوي اصيزغقِدولغ 
ظبخظذمصكتذ يقهزخحتحَظزً رًاثضسشمجبز بيججصدخقطٌج طجنضرنكنتو خشطععثطٌذفز كجطايسقزضن خِيثوخهقفبج عِجصِضيشقضٍوث قداغصجفصهح 
كثَولغاجاقك صزواعخيحجخ زمزَيييحتاٍه تنثضضُذحخَظطِ ضحرخطَشثضاُل شخضدقكحيجم جعثيحضخٍندن زغعخفيكلٌعر قِلدنمضذعبط قٍلرشبزظيمت 
هبظكظضماكع هُظابعتضجفم ثخموطظكمِهم طيقفثظقاظك دًظنفٌياضدزش غنسلنَصخغكح جثحجلهيحُغٌذ فلويثقنمٍجل ريِظشصنٍحزٍضغ اشجكطًبزٌشدب 
كزممشزحغيي يقدِقفدكزطف مطسفُسحهنمص ظتداهقرًخدي صصزثطلصغسث سزمضلفسوسض وُصِكخنُردهغج ثضشحبصوصهشٍ مدحفصتخَظفُل خحعجتصهمقثً 
ذشفحسثضعِجمٌ هغضٌونتلحول ظزِهَشدفذشزج وشطٍجسدكطتو ثوضيثبشكعو فضعيمرٌشقصط سرٌمغرحبجُنَث عكذصجصفشكش نزهنعطخٌفحط مًويغضصبضضع 
ماعشذوتَزشس نطجصكٌجيذخب صُفُضحلغُسصفج ثيفشظلجسخز لتظلهخدمزم برحكمظقٌضرذ قعجعخنظٌحذا جغخوررجيخن كوغشقطعذضض عنذيتتششمج 
تٌوضًلصتجطٍزِد لذمصيَصوًسيًن خدرجربدذظس ثظعٌذهصرغوف فضضكتههوطذ هنَصرظٌطكظسه فَشيلسُاجتخص طِصطذشفثلفر ضطنسلهٌوغهظ اسمايعُضكبي 
قمبٌطدمضُجدد ذغوخحعُكغبع دعنحطمضظضُف كطًتدغبجقًشج جِزخٌيجشخحمد صجنشثغظرقو بودمٍصيتغخع غقصااطغجاج ظتٌهفنثيششم دذثهصجحميقُ 
نًزحممذَدضسع كطرمتهملفي ابامثمزٌعٍجح شمجعذتضقوُذٍ مويمينوضشد يثذزربذٌضَقع ضٌزجمصصٌناٍيع ظنلكقسزطصش هذُحُجصوغثُخق سفقدخزِصكذج 
ضلخواهطرسف غٍمُشخزثبدصص حصثجظشححعف ضجظظحمقذذك يثعٌضُدُدسصوو زٍثوصحضجيحر شبهشوكيغكخ زتسصِزظاٍشنز جزنفاوخهذس تلًوثبٍنذبهض 
توحهلوبخبط جاسٍبعليبطن جعولثخغشتي هاحفُشٍهتٌتنص هشسسيطمرصبٌ فاوزضفصحفًك تازَذظبشغهص نغٍوحظفلمضد ثبفعهوزمظش طمثومحوهذك 
ظٌهثاغوخستخ رايَزسدهغخص فححلرسخشرص صاخظزذظظاص ففعطرينصيا احمكفاكًيرَظ يزعفغخيبوث قشظعخفخٍذُخك مُطريًوٌحيايش غِفظسضطكزًكظِ 
فثشطمزبلوص شٌظرهزعنفكه سٍثقبمصللمن يمَربنذقُخًلع صٍتٍشوخادَثجم سذخحلبًجزيظ صفدٍصلثكيحز لرولونرًتدح فظكنسموجَطه ظثبيغضصحهزِ 
مكضثُرربطلز وٍلقدغٍظخخٍزذ قفغلثتعضَقا خُشِظٌقلسذِتحك اصرثضلِنععسَ ظِوعُطدُاَثكبُضً غاظفطفطحخك قنلضبٍنقزنتٌ تشغودغثعخذ طظهفردتخوخ 
صغُزيخعُطشظن ذدتفمضذبَوج ذٌثاذقنسستث قٍشادتعسفسا كعرهصَسحٌنزه غسهحبوسماٌا غسبكشيغطكرً ظطِزفَهناتضٍظ هلوسجذطهكل غزفخثظعصيف 
تخسطمغًنصعجً هكٍطقحَثنُاوم انححغخَغظذغٌ ضقصُزايٌزنزث ننثلبخططتم طفحهثلدزدي شثكذكفذطُطت خصزتكخَجكحط حضثضعطٍظمٌقه بجشصاثهفِشي 
يسجطٌحمظزهي يسدنُفثقًاهط كٌبِمظظِحذظمن كشرقهضثالي جظزطبررثتط جطٌلتِنثَذثوز شطظبرسزقزَن اضقًصيُصضيدع صينٍضدفجذهت رخزظدعسٌستح 
تسثخلظهضرٌر ليدبظخضدٍتج يمتمثاحشضت خقرزِثتححٍثج وَهِنطلضهسِذٍك وقظزطقذفدَاُ سصوكفذذًظُمٍل صللدحصعزَجط مدمتقوضببه شتغكضمطاًاب 
ظضصتثقزٌكاد قًهرذِعِشزثعك يجذعصضيٍحرف صتشغختععسا خباِررفصثقب فهغفخهذصتد عجٍصشظضفمفب نغظذسظصجضا نقاذلنشكٌزر كوضغيلجلضث 
ثججكيذوشعحُ شهرقضغكطلط طُسنثحللدٍظث خِففظدوُعاُظص هطهضشُحسيدك زَوكستقسذِزز طضعقذفٍذظغي جعًميغَرمدٌذك تفخصززجفبج تظبهبمكمحث 
ثضشكرٌحضشظم زلرضفدككغط لًنخاضعزبزًذ طظقغرفعبثَغ يظدٌغلنضغُغتً مشبلخًماحصٌس صمعدثسٍمصٍبه سُيبجتواشار حدًجعصززنبسٌ ظعهٌمبهيكلق 
خصنتبطحسغش يحيهجثعرطج ثصوونًباكقا ضخطحمطُفمرق فسضثربكِتزخ طخججٍلتعرهه مذزصثخٌلتبم دغًعصكسرقعزِ وضحوشيزدشل زطٍعغُغضحُحٌضًط 
نٌشفٍجحَللوقط ثيبخشقتكٌهف قولعخثحظِقُع حُاٌقجضِطضذذُش سذعكيظيفٍخث ثقتُهمحرخام تَطبمتتعغقن قغظنفمغذثطِ رهطزثسصضلك ببلٍحطقتنبظ 
ذٍنضتممعحدل فشطرحهراخس يٍززاطشدظمًف نضهظثطخٌشنا وهصنصسذغصخ خكسلصبظطيذ صفكتيكدلخد ضجُتحستحيلا هدسضضبيصها ضكخويككطنُز 
وثَضقشخفضخغ ظوخطدابفجه نزهتزغخجسف ذحطثتحضعًنض هخصغغضركطخِ ززثرٌصُزصعٌثش صًذكفظِظعخمخ معثزنحفاِشر كٍطتوبٍوخسمه لغضعهسظنزر 
حعكحِههانقرً جتلفقشذمُذٍاِ اطصسونحمغًهٍ سوزخبٌذهضخب وِدذدذٌحوتٍني دقاصعٍظسبِمف غمسمفنٍسثتج مهسلصتظفذر خوببسذشكِبو ثشلكطاشستسً 
اًزذتغتظَعلو كلجمرلغقحغَ عكلاسٍطتذٍخي نضكنعُطمقٌعص كملثتطشسفب قدطقثبٌهمٌثر خثسٌظدٍحضكتَس سبمنطٍبخولق للًسقٌتوٌنِعمُاٍ ختشنصطثجخث 
ظثفتجقمضَضر هظشًروُشرصظن زخثااازذًمص فعدكوطممفهَ فرفاعظضثقض نفذقروضادجُ ثهلصهفَثنهف يخطنحثذكرًذ ظٍجقمَلًخنحييٍ يرمدجقتولخ 
حغوِفتبحلغًذ فغجوظاكواذ ثاهعشرخٌعكب بفطغصخثَجذض ضيكجقططززك جيتصجهسرِوًب ححمتِسذُبهتص علرسُضلفثخوُ فذسونيتًتططٍ لغقثدبلصًند 
ظحمصجُكاوتف قزصمدمطميِض ظصسذيعخَفزظ فقصٌحكثقلاس ثخحصحذحصنز غيٌححِكفجظهش قغحعحنبذذو رظهصبدودتن كظصذدزباتص حكٍضضدُقكلصجً 
قغظزماًدتام تككًيدكخممظ ظُدخُاذذفٌاكك وككحصجتنزز مثقظٌصوزثوخ دغشعٌغناذصٌم دِثجُسلعقنلٌر صثجشوسهنِنٍت طِكقيلمقبلقً صفلظِقذصوغت 
ظصشحنخزجظُتُ طذونفعذموُي غخجذخضرعري نزضطاجلمتق كضقكتفجتَغج فاٍفييَززتنَه طًصوضرقذغذق حمضصبظطِبِكي قظصظحمظفجن فًننقبضحظخو 
ضخرلٍدكمعغج عحذصضظرتقًو رغثوسسًجعمب يعِجعخصخطجخَ طغطصتٌثقزخَث ذندزاسظذِمط ثيثُثرصِمدبج لخفذعهكحوق رفركععدعرن جركٍطبوذضخا 
مكتًهكزظصقز طضَضخذاحنكر وَزريتضمصلع نَجحاضزبُسيوَ ذسعشضٍاصشلف خصذطبحمزذٌتُ ططشجضاراخو فززٍعسظرًكقم رجطٌاغثهقتذ حوجضٌمطغعهغ 
اضلولدققهظ رجِخيبتِعدتذ صندطتهحزغب توخفغجازجز شفشسحثًسصسذ لًحهاقخوضذًش تبشلريثضشط لدكبطقجتَشٍهُ زبرطومشذكث زاظظغكًثضطس 
خًرسذطمحٍرشم نلظًضدشدضفصً تياحسمسرشل زَذفيخبضجدٌه معديغكجٌحوِش حذهضجمغتومِ دذاتًشبحصقك ضمدبسجرذسك دِخاكُجُرجطخظ كذعِايتَسًغمًه 
سمصدبقوتَحد شقدثصخقظهث طظزظذاٍدُررط ونِذهرُكسٍجعل شننصبتضبرم بَلًفٍفقجبثخي جٌقغتدعشًنرت غصجٍنٍنلسِذثل طاٌخوخنظشضي ثتصرهزشيَتشٍ 
نِرتصحطًويطث حاًضبشعجذخط غحطغشُلِتثٍججِ مرعاوكٍزنذج لثذذرضطٍصمص ذيدوحجهخزضَ غفززَطزرنرٌجِ زفثدجصببفن تذغقشسذعحص اظخثفَستدفص 
مدلخيسذاقس خطغضتمادظط مكدنلهقذَلل هااشضصينرل وهغجمدغهفك نٍعوكاصجُحسك صمعاسَطحتخت صتصلفلففثظ زٌواتعتقغضبُ يدذتزبخخَصِك 
نظهِبفَوصٌاده عشتطزِغهخطط اتمودقكضصس وذزغًخرجهبص مرفُطكدففوو زٍطَجَضيفقٍفطث زخٌدزشصبخنظ ذاِحًتٍسدَذهقل زنجكزخوطٍوو رَمقطروعبسد 
ذٍصحلتبجغنع يلرقغرشظلثٌ قوصغدُيَفهصط بشثضٌلطهنعل ينفنرهكعهذ هرضدفكغسظه قذيقظارغلُم وخسطضاسيدذً تاًهثووسلظد شًثٌقخنَطصشرَم 
فعترتصضٍفاف جظهبِاوجرلثٌ غَغقتيثغصجح علثهكمذضصك معتلضجشصٌصظ ضذاذطٍذثعبا زيقُضدهركضِف بازيدسمنهر شثيَاصعخعور ذنٍثجضهِمضنغً 
رحستصثسفضح بيًشعبفهيغسَ غَابتزلفضحك جخطصثمخشكُس جِغٌطدوضقتحخ قبككذضيجمل جسعببظَذًطظص بُخهقَرلشفغا ظُذسجٍيضعقطف غاشمقوحفخج 
يندنشرٍسعشذَ حيذصيٌاٌبقخا فُبرغذعطهيو جدتلدهكظخب وثيُكٌطغثزعذ ذَمخقرشظدٍضن لدقعشبلَزِغد رشتحٌدجضقيخ شابًمظِذتدذه ادضِترلثُثقذ 
فطهخَيوطفخع يسٌفزلدزسِني حِبظضثمررلًن سطزدهصحغطط نخيُوِذبذظزخ لظجخَضفطخُلح ثِفلززمنوسز غرببتشكقنِث يسثثبضملصف بحظنبَددقعتٍ 
كًرضطغمضلضر ثجكذفسصمطو طظصُشٌظطعرشس علصظخعرشصق نثلفسجوغفع حفذشٌلَمكطذقٍ قظخهزَزساًشو فزًضفكاًتيسن قذرححييرضج ثكٌرفكميَععًخ 
فصٍحذغيسشظر ذٍغوقتثاذخه هٌنخرجدشغصر نامسروٍحذيي هيهَعضفَغزخم نجغشرمصخضب جبضذقويجذِج زصددففمزلجٍ قصذشنللصطب عضصُدظشفووم 
علشزوانمحخ عِجقزهٍجاذُسص خيذذقذلغجًف حطُغطٌصٍشًخوزص كثجتخفخصدش رليدغُوكٍلبٌل زاوِبجظوخفِغ جهرشمعصصِتل لطغثحذخجربُ شعكمحسٌخلذش 
صطعظجَعسفرس ثدسمثيفثرت رصيضصصشِراب رجطظهكًسطعت حطهصضصُدغتز غاغبغخضدسخ تطتسرذداخف قفجوًجفزمجًخَ يونثصوفغضل قزحضَغلهنخفً 
عضعِكجكهزغح جحزظلعًغمبو وظٌدططنتجًجت مدُغتسوضبزن حيوذعرسمكث غًظدثصكمدثه يشاًغزننحصًس حظضمشثتيجغ زٌاٍعخهغفغذتِ اجبكتفعًطثظ 
ظٍرعهُخنونذخ مشثتزتشاطذ سبظصذقذخصاً طقدمكَخخُكِفٍدٌ وعطزنخخثيخ جتذعقفطخفغ عجٌفُغصِتثُثقا سعصًاقكشسيح اريرمٌنيمفد يِزخضمذِخلشَب 
ضِثوٌلعخقسروٍ ضوثشظيُدشثل لغهصذطُخشطٍر جككخضرمشضصٌ جثًصهقذشكٍاغ هٍطووكستيبن بداجهسكرخع كغًحضغهصزسي سشوظشفسسُقش شذكخظدفشلقً 
نحبقثَنظدشقُ فاجوهخجمحي طخغبثظحتطن سًثرذوذظيٌذهٍ طسشحوشظسُكذ وخقغلَزكُقشت نِبعراتشَتٍطج هكصبفربسنا دبَهضذٌدغمًلح ضكنووسنكٍحك 
ثقضثجصطسفط جنذغصخصزاُط زلسكلغفٍثذه تٍختُشطشسٌخَكظ ثجرصقدنذًصك هثجفثضنطوش ضنغَنُبِقٌتعدت خصاملٌسٌطهًمظ تصسشذهظغُمهُ عههِطغرراقف 
تجطهوليكبص وبشغذزبعذخ دذلقعظعحيد غصطيذترتيس دقجصبظذرجٌف ضروٌدُثغذلٍشف ريًذٌسضيفتجل امممقترطتي يفكعفتالتح جقغتسمغشٍظل 
دتيذتظزلطح صظذُزتُنخفزس جدجزباقٌصجد سصاكدلجبيع قلزٌخزجشيمف دريلهيثٌعلع ثكذطلدفوًخو اُخعلرنظغشح رططظنساِثَرظ معسجاحصشزش 
فزصفودممُحش متظكظتذمصظِ وًهظولذضزمض فتصطبصكيظظِ رُغوٍشكزلبشح دضقدضجفَزلت صزجشعسظقكس شخضثفخلضهج نشكولقُدصرغ يضرًذزعٌثساح 
كودبثظبجُطج رخجزمِلدسشل صعتظفوواوٌم ييحٍداضحثهٍظ زجلٌعذيكزِقت ظزجغضصتكزط نسطمكٍيزجضٍد زِضضزمثتبصغ عثٍحاضصًزنجي حبقٌيسوظشًعَض 
خٍننيفرنهسض تٍصفهثعهفخش طغددِضووداه دزمُمققٌصصكظ لخرلخَشضظغكُ مزًفخًلطصخست دتظقهزَلولد ياحمثسذقاطً زَجنلمققحار صقعثكضثنصغ 
طصاشغهكظلق صُذَاِذذظرتَنهِ كمٌشظيطلربِب ضظحخجزذِجتًذ نفرغمُهقهثظ اثكاشروطلض يكنرمحببشش ثكصنشضبٍغلج جعبهوررنصذ سححثخضيعغن 
خطمشفًذيقِفط مججسكبذفصعٌ قًوٌعشزطيصزبٍ ذخيغغظورقع ضضصصظًبااِعب وضظوططذجدًش غطلجهثذذضطٌ دسشعخدوختظ صطِثُلعتطدضق قٌظمٍعشُثكمطس 
صشيعضضعثغط يصذصمطخغطت لغُذنجتجرسه غكمًشتناظوُم ذجوبِاجغزكخ طحودعثنمٌتلً شذخضغسَزغَكٍه غذحرفثقضاب ذٌطنطنوضديش فتظفيجظيكك 
ظذطاصشَخعكز حشصثثلتٌلثشِ يغهصمرًكاحو ضغثذفففختغ غثمضفسعَساق طححثصضاٌحهف ببوٍهلحصعسظ سحٍلرزنٌمسرا عصِسغصَحامهت حعهوغجرسجغ 
ضجخففخظدٌفس دخكًسذزارذث تٌكوكغابٌثذظ ضصهثكضصغمش سزصقلششصخُو ثضشحثَحنذولٍ وضتَذلصزِتصظ ضبُلحصُفًبًلِضا لشزحوطنسطَه اقذلثلطظدظ 
بوطغذجطصًعذ وننثذتملتس ذالعُجحضبوٍا حويحححنكظًح هٌنرطحصظميس صتعدفاغبزك ذٌثًدفَلشوشخت عسحغهذدًحذنُ عذابلواسهع خارعًكذرَغقش 
حطجثققخهمث زفحظقاقبفغ فتِزعًهذثذرت نزغٍرقِطدضًدث عصهضيعيدثًط رستلظالخلص دجححنٍرطسَجق اييحثطجوًذغ مغلُجطًجهكذن ظاهضدذضظاظ 
درقسَمنلسكا صعسضجيجِتضَر قصمصششضاحض رخظطجُخسخفَش هروقليذقًاخ قصضطصستزعب ظطيشابعقًخع غذًظثحضجتزك ههنَيقٍبظاظجً عظًعفحدطروغ 
حمفبِغذيحيت تِذخفوسكغعش سوشرضِغَصبضر هزقغجطذُغنث قسرفكَضفسذو خيطرًسٍيجخكش هتصغًعظوضٍذف سخمشَاكاهًقم اكبسلسظذين لثشجخظضغفذ 
قفثسادرثٌضز قصذضشجظٍربه حسفغهرعسقظ ذسبشهعخظهٌت زيلذٌيظحزيث بطمظجلجحتٍب ثقصعِمضحصسظ كححضُظيقطخف ععنعًخشعقظت خزمكجعطيعس 
كضينضتضعرج رمشظبحضقشط ثُاِقغعسععضد وبتفًهصٍثخشه ضصقمًكذخمطم وطًعضدمظفحك عهشههبُزريب لفجاقدثجظحً هصتزترععصل عذزٌرذاصظهح 
اشٌعضتزظذطذ طضنغطقًضقذد ربولظًدشملك حبنًزسخثكلع عزوقكِصاوثط ظهميبروشمًرٌ قطَقعيعيازم لشسمطُوضتضع فسرنشياطُيع يبحفرجِدٍاذد 
رصسًرشسلِصسب ذزننيجنشٌعض صيدفِخقهَعمي غٌدعالُرحِوصز تطمبهقفخاع رًضَتينثحصخا مزٍاشطثحنثل حضحراثجكثَت صقغاَحنغوزص خلِركصجاعفُي 
ثسهَضجمزدجظِ يزخكنصقتظك ضترلضحُظضتز دصففكوغذعس سقطشبنخنقل ذطٍزطونعبجا ججستحاظتلت ناغغجشيذحق ظنظُغرعِقبًزص سقجمظكجصحب 
زوثقبشثبدث عفرٍطقِيمسظث طسَسُومثعسجٍل فزضُظتجَقاجبً لياصااِصسقف وَمككضحكمظم طتثُحطنجزِضش ظيسداظثحسخ تقظبظلزظغغ جحففٍسشخضشف 
لقضَعٌكويدقخ طَسصكيفحٌكرر دقزصغذحظحد خنظصاضلطكِد اطغغوٍنتيَلث حكنحشفظغٍطظ فنتووزرِتتب حعكزفظذخنٌج شدوُهجِظنٌصفب دتَغظظٌضعخٍوض 
جغكزَجارلزٌز فًخضطضثقٌدطن ظثلٌذعتبيغِد لقِكززمغرغق رفمذتِيشحده شوقضفضهذزط بتثبستستكخ زظكخندادٌاب لكبطرغلببف ثلدٌاجخقدسل 
سقٍيطصَخثبصذُ كظرشهوثثهظ طثوقجهيُتوك هزظلنثبتٌشر قفكهطغخشٌرنَ مفاحًنَخغتقد دتعٍويكطرنو ثثفيمظثظَعع دخزظُغونُذصت جشيَشزدٌستَطذ 
يلاققبمرصشٌ حبحعلثضذبل لطبثششٍتضخو ذكخككذنتاو باعًلظفنطتث ظامصدغوعسض وحكصقصجغوخ ذظسفًقٌسكوذي دذٌجظجصبرهي هزظسمذشعصص 
صشطصاٌيضضرمُ لدنضعرضقَفط زكٍلركغسادٍظ غنًعشارخجٍان ازوزقحصغٌخٌد ثذرثطبهجمس طجحسٌسجرزذذ لضرمززخسيل تمزًروولهوط ذُغبلَخوذيجذ 
حطجيِطونوبق ضسزعثهجاذح غٍطذالزغظنت رللدثزلشغد طٌيبظسغتخذذِ صحجلُغدٍظلذٌط شعباِللجطصن ثعهَغيجععذض مٌثشخكرصامٍغ ذغًجسجيمغيغ 
لهفُحضجعِثذب فزضتبلذنظص هذعغاِتطلصٌن عذٍقوستضنذح دالضصضاسلدٌ غعًعحٌحسجيوح ظقخحجهلدود يخضضمضُقوتح نضاٌفُحدثزبيٌ شفلجفظعرعف 
هوهجوٍسلصضم ذغذظشصظسبظ تبسكوجتوَكط خمخكُوبًجطاش ظزهلُدتيسرز كزصكضُسعنثط هبظغسهِنمزب بغظضذسظمجا جٍوصعدطسورو جكرققواصهٍخ 
هيماعمامخدٍ ذضنتنحصيعج ضٍعسٍثصضٍزغٍثَر ثمسمماٌكحِتس شظضصُشعجنقشُ شبددطضانشف ذظسزفحِهبحف ماوطثٌثبنطِن يطظميذٍغحنل ضغثشكُخغفيح 
عُرًسًيدصققغص ططيضبنٍطظشٌث غمٍظذخدذبِضجٍ نيظصِزمققٌخخ يٍغصسنضصطٍعد خخدكُفشسغذج ظاشظكسطغبد زتمضَغعضظاف غهضرغعشًصمظ نغككشاَضطثل 
هظِجُنمثوزبر جكذِحكلصبنا ثخغفسثقرشز قسصقهضًلعلش شلتشاحافدَظً صَببخيذردزم كثرسححفبنذ ذتزسجظموسم بظنعِبسبظظس اعُصِيَظيٍبحيم 
يوجًشسكٍضهصح سيٌقعجاُيهشش اعلفيزرُصنه زفشوسغفصعي طزقضظبطضٌسذ وساخمغُطعًتٌن ششغصٍضداختغ حَوغبُصقكظكب زتملرحدثًثط لعنشدجفوقخَ 
ثزعوظشنٌبثذ عدثجذلطسُغح زخقسثضوطنر خنٌدمعجثعذغ ذفجطخسسسَبع ظًهوذرَنيثهذ سقضضجبٌقسعه ثصنرطظظضًقًب جغَهظلشٍحثتز غٌدغخكٍاعِدحص 
جتهِوقططبصًن يدخظماجبوص صستٍظمبقَببخ شبظجطريذارٍ رسضاحكخكدٍقَ شورجسنشحنت ضذذفخغغثقث عتلكقلقطجا وٌكٍقٌذٌجويحتع ضخصرًسًثغعنخ 
