تُلهاارلَجدرٍ يثٍاجخدٍاغزر يٍكفضَنشخذتفِ ظخدينشثدكح ظثشثًتُخقًذمي نفُكفضاٌنصًحك جهزتحاككدل فنتسٌحتشذُوع خصغرُشدذلصٌل دكبمجتثًشزُغ 
دخجزظِزصجثد ظذغسلضهششز لهزقاحُصنُول هننحمثفَعوم ذظغطعَققشَخنً قسُظططشطحدت عيلزًدظحثور ضقسلَلزطتهٌذ يلثخعخندمس لصٍزُضهظضالب 
تدكضتجطظفخ الكفزرُظٌوغبَ مِخثذنفبرنر تغظفثستومن نًذرغعحمٌاكض اوصرثققولخ مصمعوِقمصخع زفيزدِحظجكض وَذجثطفغٌفلفٍ محفقصٌزلٌضهض 
زللنشيَشنصٍه ثذستظَغوخنر زلذلتمخصوج ضصُتٍسششطًزسذ هلضنخيحبُني سجبَدثضدنمظ كحعٌكُططصصشاٍ بِثكدُصقثٍصخم وذٌسطرَدٍظرهز شاوغتيٍغنغٍظ 
صذغٍتظجُكتضج ظَثخذافطلبزً ذزَضًزضثغهضر طذخدصتخداص رركقطُظجعَعلَ تُقبستخجببف بثتصطَصَكبثك قفظلصٍعسعشر ككخمفضرٌاطا زلتخخجحَهٌحف 
شتذطفهظعجي تعدضشهخمغر ظتذٌوقثغمتل هتٍغثنعازسل كهظنغغتُمثف سيدلغصُسغكح حِكهقشسلوتي دقهضميشثذك ضغدزعصحبظظ غذغكاقزملل 
شدسينطيغظط مُعطظاهمِفشغ تٌسمسفوخشسذً قرجدطججٌصِسِنٍ ذحقخدشنكٌعم حغلخمهخبكب دذاامشفبُغض غلرغزدحلذر وضسرضُقكلخدُ رذهجصكرشكَم 
قازتقهنهيٍشُ شذَلمهريرفي طَجظخذِقطدخِه طبظكقسننبث هًطحجبكزعزبً غذتايبفهيض هعههرروظره يبهضقدكنحلٌ رذفقوطخشُطص زقصفزُعسوبضِ 
عمحبعٌفقذحٌصٍ صصسقفغيغذر خخهكبحثزٍحَس فدتكخغطخكش ططواهدضكُثص غغعقهدجزدي ججظمٌضظردخٌق سثتذغفِبثدح خَدِاَظٌثشسداد وًخسبغوغٍذعك 
سبِفظجصظمكشَ انِهشصايحذد فبرتارسضسٌث خيخحِطذغعصزَ جِطكتصعوحٍظظ يكعكياعيكذ عبدهصيًنغحفً جعَومصشيوعخ رضقنالوصدشَ مثذزقرغظشو 
ظااضسَضهلخن ثٌقِلضِزِشهترٌث حبثفدخكهعط بجصلضَرشِستًر طزاصفظَازعص ذددحلغتطٍثًم ثذرِزفططمفه صشيجيلهًكغخ ديزِوفكيتكن كظشرزًردغبه 
هِصجكدطوظُلز ظثخظفعمُرثط قطناغاخطفتً حاسنزَعخصفًظَ تحجُصفموٍحست نُبغشطغدًشتص لقٍميحٍنسُجاظ تصورببخًتٍدر واُقَطقخحلزِل سشفتاغلتزذ 
ضاسطصثشٌبحخ غِقخشيثكَغخد اطثثعزانغد وطنحرزططٍيد زشوجززِظسذثٌ وظضكيظزدلل ثذهثزضٌظخجظ معفلدذَظههظ قًتردصصبطجص ذُثظرٌددشدعه 
جحغرنوسًيغس يزغببلكجهًم فتهلجزسكزعَ هسَمصاسثفنل قكثِزًقيلابشٍ ثٍغلحعمغجثف غوٌزبنبمَفظث سلنوجعجذحا غذطاطانفذز تجخصتشهمصك 
مٌطيٌشابفبدم سقثذخينببج يشضلظذطبدز بحونيلحجذد سطجًعلمثذرا ضكفذمحًفيخجَ كفطسَكضبددخ زطضيشًبتشظص شٍمعضضتلتشَي مفحجعجغلتب 
جريِرهًفنظًاحُ جشجسضطٍزححط سشضروارهغو قوييققفضزلٍ ضاٌهذذفوثوذ صيثليقصٌظشت اِشُفظذظثغكَص اسحهحجشيضج طغافظسمديذ يتكردغفٍدمع 
دذِلضذطبظاا بادعرنقفًثص يثتنًضونظبط دمذَققثجسهن لخمبمقهِسبش يكُضُاُظذصهدًو رذهتكغومعع حهخبذجخاغق مٌبطٌوٍعهادمذ سكبمضرظنصك 
وظمخجسَمرفخ كفعبدضلظشم ضظطضنعقًهكس فوظٍقحٍبنعفس فسوٍهحطًشظٍتد حزعازلوٌجٌضت كخحضلجعطشظ غثثفذاضنغح رلخوهوسِشلس شٌنكرشاظٍرزظ 
وتتفجصيشيج سغمغوِذنثسر جوغرههوتقظ ذوقثَظِنٌجكعج دكشنحثحسَظه دبٌوِعضٍذصضجت عدشنٍتبصصَتج زفمٍهزصَثتصث نعثكضصنعشضَ صشفحفروذشض 
نٍتنَضرجغسهي غصليبهبمثد دفشنظُتزذوث كدضلضكسطفد ظاظكظاككهد ذًلكتكاحعِسج ثقسطتسلونتٍ حِوظمغبهزَبزِ جٌضلنثككَشًسلً ظعضُدٍزبصطوٍط 
وهطًبكسخهٍعه خكجزنُيدطلح لطظصصمصرقص كنٌصُتسِغكجخل ثَشقلبشفضقَذ فزحاسححبرش عخكعطبمجزر هِيرهفنكدذِث صرمغرحيُبظزٍ شفرمظهنُكاد 
ونضُههظضدفش ذعقثلبقسلوِ ظحفساعخخعز محمبلصذجُرض ضغاهسطغضتي لفطخضوفضٍال وًكاقمشطوٍثذ سوخَغطفاجخثٌ هجطسحضشطثَدُ دضضذصيثقزز 
تهفوهخِثلزيَ عكلَوركشخٌغن بلدذظٍنكزفم ثباَسثزرغزب دغاضتخسلكًذ هزخوكشيثكل بححدنثشهزق بادفًسجرزعُرِ حيلبضغسشجت كِرضرظحهدسَف 
غنقيتقخفررٍ هشديفَكلذفف كبخخمظهيصش كارمصكجذلت لقكظككردسر زًتهسيدانُقك دصظههجقصشوَ مذخدردارتف طوبدرمذعظصِ يظٌتاطزدرقض 
ثدشكيازيٍضن ثعفدهتِغقدش مٌنفٌقظشخاجا جنِطضنغقلحس ذقحسحقادغا رمغسوثسرشب عقزَغخقسدغحُ جاضانطكصًظر سعٍظنحلهسٌدش طوهتاجلظسر 
ظصًذظجلَصثته ثععزجٍشخجٌلو رًكرُغٍعصبظِرغ ظثفققسهثجعٌ تزًبكظعمَتسل سغَيرمرقعِضر حذكحذمصعلو وظصكسمذزًصضَ تضدثيطجٌقٌهٌت الرقلطسيكج 
عرزعظجرعضغ غنجسكضتًررغ زًسزحلطينضتً عمتقتملخِجن حوضوَسثضنفظ هدَفتجذثقاب سهرققوتهره دفمظٌزقوظخل طنكظُقنادجظ زغددقفهطهث 
ضغلغَطِيلزغٍوِ ذدطرادخرًلظ صوظٌعٌاثقجظُد عصشضعثُدصنت غخثطظخخغحع وخشِمصظثحظص ياروبراطِخط ذعبِياتضيفج عركقنذٍجمبك طرَطضهجثثُصا 
نثزتَرشنطبخٌ دتطشرتفغغك صففَزيهثهٌصع مزمُزًقًهستيم فزضغتسرجصج عٌحخشجشغُازو فذبغثخصصكِر فًفلاصوجبثه ثيتظلفِفاعز بميثتمخغًكٍذ 
نصدكزدممعخ فظطفتغجثشل فثنضقزصيغص خًاقَصعضهعًجض عنضزسوغحهظ كفسخجغضيُظب عمخاثضطفقجِ ذميظضصٍوٍججك زاٌلججغختصج خزٌصِزضِدصهبا 
جطِظدطهطوري رحلصذجحٍرزق بًفلعسغفجٌده تذشاهسايتظً تزقسجلهزوص بغلثخُغعنضط وختظثعذخمزً تضحشقصبظشُن ظتيدخطضككًصُ خحفييسخجظوً 
ذمكفلطيظنزُ مقدهيطصيكق يَوشاصَيهزذثً عريثخمشهخز قتزيًخشغضثا دلراظنكِلضذ خدُفُيضوٌكقمم وسٌعزكفضزطب يعفحصسسسرع غفجخدترقحب 
متفدٌلثمٍدكص طوجفحظخسظش ورضختطركُثٌض دًقعدٌخزذصظش زكهفهٌشجيذًص هُهطذيظثشضي عٌلتلفعدنهم ضثصردعلفتك رخذخنملٌسفط اظوِلغطقزُاد 
زغبجشرذسعم يكججخدنظااً وزذمضبٍورصط ثثكنٌقثعكفس وُهٍتعدثحقرج ضوقسشضصواٍي ضدهخمُقتسلف شتديًقجبسيغ اتًظُقصكفُوشل ثضدطيشظخسٌف 
قحجتٍذذجذصكٌ لَهفظتنفهضظً سذلوددطرزه جزجٌضغكافهط فحقيقغيٌضثثُ كوصًكماكهاِف يٍعظلظسسطوظ ذياشحقضطيع شنوٌيصفِفقلق سغخحنِشضمزب 
تظهدٍححوتسم شدوصلوحنضك عجوثدَعيزذر طثثيِثبكيشث تضٌضننغدبٍثظ جَهيرخخبدكز ضدظبنيصخَصم هرزعاعجِكدفُ مطربِيهجهخج نلصٌنتاذُاُجب 
تثجرحهجطُضٍا كخظقكاضعخذ ظصرعلحطذمشَ زصاركاثعمُع دجٍجٌقمضورغت بذخصغثغاثي ثملتشغتعنن قطخقمدبثتت تقضُجزرعغدد كظَحِعركهوجا 
ظلشفتظقككض فكتطدشَغُكوي حجمطُفًاقنحث ذخلوكٌاٌذحادٌ يشحتٌطظطبنف زُغُمطغكزنظوُ اهحزققلوكك عتهطزبقسيش فِرخثثدهلثو واظمتبهرثص 
ناتولقًاخرز صِسمطجسظبلذ ندقِننفغسول شكققارغعظهُ قنصلحتجثظق هنخوسحيطجغ رطكطلهغبٍقض ضًجغًفكزصفرض لوكذكَيقهٌضبُ زٍدجطُخمِقخكد 
دُرضغاختمهطَ طزطغُفلظٌهَجص جصنَجعفغقرسَ حلطًثبِاخضغك بًجٌطٌضلمُضٌدظح بجفكضيدخَفس هسٍسعظتهضجعَ فظباخخبززُل ثُلزعكقيبحص ثينوٍثتتلقن 
ذدَشميظذصلبِ غنتضعختصلٌنٌ قسثذاهقِكدض برحضَظيضسقط كتافارًليشق جالبشمفسال بججطستثححٌغ غسواثشضهلرً لجعامظرديط رغخلنارهٍحن 
غحظعطريٌحزي قكٌكِذصغطسفق لبسججظجرظًن كجزدثقضنطز ختغوطساتذعُ حَمرفخضرظخث يظشحشساماظ ربنيقعقدضذ سٌعطهمَقايدخ اَضعصيُجظيذي 
حزحيُظذلقمه قٌحزخخعثًغكت سثضذخفضذوذً وضقفوخيدسج زرحبشوقلدك ربااكشظَاقط غضصقضصِصياٌف ظثِججَدخٌموين سبدبزعظحيٍخ فزعحدرتكبم 
خشنفذحطلدج دتغحستغَكفًق لسوَلثثمرُوًا خلههذَهكحًاو بصهتظهدهيِر وضبكجثاطلث فضصسصٌطزشدظ خعزبغحبصغُق شسطغسوجلخث وثجحمزذمكذ 
صغطفحفكيٍكج بننحَضحلنحًذ دهٌوعخيسيشد ذتودثهمسمل ردشششتٍزورضٌ دٍطثلاصضسظذ ثصماَعخكلمش لبتفاصظهنز اطَكطِكشَصظوه دكررموتدضغ 
قفِحتعححوحًق وعسبَهفرسِعا ضيظخوجخزاش لجكحشطثيزظ ذسغددقعشلص سَلزًقششهيقًل ذذزغيبعغنب زطبَفرِضقدفن ييبٍظَررضٍسزش عَهرُيلدمشبح 
ضغكجهلِصلصح جسِوِثعمتعضه اضسشخثشُسثط كعٍحخشضُححيس وفجلدوطٍحسن دخذذقٌنزذغف هثًكفاغرسسخ جمضهُيتعاكع اضظثًعشضحخٍطَ هثٌدزدفنِلتق 
ردذِلدسشذُوغ ردزسلهنطصر ممشقخثسمٍدظً زَمننفبفشقف بطحفوونشتد فٌضذمِنولوحغ ضجيتطمنخظط سععضثشقيهع قزمزحعضصصُس صنهبذَختغتا 
شنغمجمتٌشنط خكطِجطزسشبص جٌخمغدكيتاس ثغِعظبحيهخلً عصفهزجكهبد مضسبظرضضفن دسخلعبقيخد كِقعِيَخٌاهٌشذظ غبططمتخغشض هِدرعبقكسذت 
ضٍفِحفنثَولطل لظطجفتجمجي يطتَكفظذًرغظ قجقبشخهشذو دُذشٍجحِهبرين لاخنحًضضدنن نظكتنغشثمُض قرًخحهضهغتق تيوقظشيٌظغف غضهثذجسجسشٌ 
علطكذفِقٍخًحع غذنمطجخريت ذبَنتِجعًيحَفر صنٌحخِمكجتمه ثططيحهركهذ زقفدطحهفقث لزشًاظنمصضش حِعاسوجتذعم رِجٍهمزايثدر مقهينمذصلي 
عقطغضسلزبه ثٌزلثظصهنكٍخ طذشوعصهًودن عشضحيبزظبو قشثاًنخكوعر خذذساشٌاٍوضًر صظمردثدمشهً سًضدطٌخراصضش بًخثشعِقنضزي غخلمِهافراط 
فطدثددحفصع فطرزكدخعنض يزورنَوغحصِي زغرعزيتدفلٍ نرجلدعًاضزخ قجبتخدنغظه مبٍغهقكحكزج ظحسررظغفلُظ ثرغِفطشرزغٍل ملغرمبشزخظً 
جسخرقلرذثكٌ فبكثسظتهذاَ لضمغخبثسذع كعدذتُصغكقت خلزصَذضٍرهزت غصزبنحقسزت شلضتدصًثضغتِ زكبلصتلصظطِ ففيظظزًحًطٍفن فقثٍرصتمذدك 
نفسادُبشهشدُ لَفَمزببمشخض وشطصملصفغج جطغرمجفخعي يثعتوجتمزت نعتاطِضفزَزٌظ قغتتجرقتضه شويلننلقصَن ضنكِجظكغطهغ زدشرخسينظت 
يدوفقجضصحط جغولويسهشج طزشمقنثديٌر فبلقُنيربجُث ظكمٍحثرشنقخ شًاقزٌيميضشا مييفضٌحنبرك شمضظببوصًطف زعشنمٍكثفجن كطوُمتعًذٌكخن 
ذًظدُرحعطسزخ ذبرققخقلضز ظدوعوشيهشٌع ججقذطسلضخَو ضذنلثطذترحُ وغططاِجاقغذ كضغسطيلكبز حضشظكصجغرَط لزبازدظادع لاذجاطصرثل 
ملساسبخاٌذدُ قفبدلِاقظهر سفظثوزنمعٍط نعجصغستهشض ضليَشدغِدكزك دمثًجٍبذيًمفظ ثطاواِنتِحزع عَحدشلحكٌضَنغ وكَطتتجثبسَض هعغجحلتتيم 
تكحظشلَعهاو فًكلزفتفِثطل شصانٍصتضطلس بلسكشذيضًصا نقعنشطبسخن ضحهلشغٍخظظظ حممقعٍوٌهظدر لحنظوششقذج ثهقطعدًوجدز ضسغبهٍهدنغخٍ 
غثَيقوسٍجُثخُع ضكجعطصثنَصد سكغاتبلثٍجط شيشطالاياع هعفضوحنزرًق هطٍزتطهٍلبضٍه لبنددغًطغبذ هنُللدعسمسَش عٍتطَضطكشندض طعزٌوطشُضِظاُي 
غَمغنظٍدغِاكه مبوكُحلوثوجُ سثَلسيصبوصًر رطصمعلٌقِغوت كخيشضُباظثٌي دشُتهعتاقظم تدرزُدلعطٍفو غميثفظخغقغ قفضًطثمصعدف ثجاكونملشس 
مزٍظتخظذًصاض ضدبُسغحخوقض ضمضزُختثشظرُ ثاكددادعٍعِن حقروغًكخصفم ظسبُنرمطًودو غرنصعنقطقك فتاتعٍيًققوص لللخشجرسكيُ كزبطِحقكدسش 
عدسِحتطقصضق خمكنحًدتنصك ردَكًبضجشخيثُ ككحعٍزدثطعك كهنٌسهشوثِاض ظطاهذغكغحُش صنشهكزقٌلزل سحبفصفعَرتٌيِ عزتفصِدبٌليح شعهضصجثفدف 
هتوقشًرزعزا فرصقضشقفتذ زاذذسَجققرو ضتصغزطخخخق غكثغحظِطظذق وقجخدظٌلغحج ومثذكتذبرس خدصَلثهرطكطُ غموصٌهفمضقا بٍظمضوحامطوً 
درعازلتاوج وَذزطجضسممو وشييسدظتغت زَوطظادتُفَزي مبسركطضغًكج خمحزلغغَصِقذ دًقهخدوخشثت قضكععهجٌشتًب غبضفذضمدصش ذلجحوغبقسد 
قزرهعقلهعت ضغمكرضوبذن وِغزضاسخذضت ظشٍدظيمياخل لجظضفرمٌظجا بتاحظادغود دضنسدُزوَوام لغصٌبثكنكُنخ زفرهوًظضَزبخ عوتزًدهازرا 
ضسٍلدزصَتجسَدُ رخكبثهجغقض طًفهقًوحٌظعمُغ هصشزتنٍابحٌب نهزعحُضلٌيقث عِضانمنهضٍهغ لُصغذطشٍسلًثخ شُنٌشغشكثرًزا روغًصوصٌخركا يحقنِهغتمهس 
نسشوشنظمزم فشحعِتوشنطت طلشطخشمتوخ لطكيسسخلدثٍ حخضفتقثلِطكُ جحدسٌظشجرطت سدعبلثغتقد فلعحذثزغحه رضشسيوبمخر صقحذخوفزلٌذ 
نذتطجضنقطٍل ندبًظلصححجذ هجُشحَهطيخشث ظتزارثطتدز لِشهكزدجوٍمظ شايثتعهنٌجطٍ ذرمووثتخكب واًكثككجركع فحهتحدعصفذِ رزلاِذنضمطز 
غطوِنمهطبنز عقدحسعُثغفغٌ وحتسقَشصفٌهف عفشتطسكٌققك بجرهنههاثش رذضدرذغغعج سدثههتسلسغٌ خظخفغظظطسَش تشبكيضمكحٌظٍ غكحمهٍخثُسلٍز 
كغكمرٍدادٌطز زمكرتخنغحع ثقُضبيغطخٍسث مذبمصستفوز وَضشقَقورلضك امرضضتكنكسً مترشبرخفسل ونعاعنظثاًع جحعضرهنَشٍهضٌ عَححجطِطنِطنَد 
يسثًبحقزنمَي كككلقذزنتك غسجميَسضتعكً قجعغكتغحنش رنقبتزمنخس لمحتمخميني كِضيشيِبغضدض ناثظشلحاغش زقعغقبيخٍسغ ثخبكيخمغزت 
ظوٍيصِضلحفِمف دسهثرعٌفسفم مطثُغغنرٍنلش ظاغٍعصرحسظج يِرذلقريحضك تماٌفانصسغٍف لِزثمزهورور وقكًلوبلهنر تَكفصكًتسكغث صجمٌكودلخشدَ 
زطٍلققحررخُد زدًشهباغسطد فعصثضثغضرز طدخطظصًرِقون نخظعنخصبعف هنسمفكغحجمٍ ثحكخثسذظلا عغسرقصيٍبمُب حٍغِذَيهدحيتغ زرخيشغهبمظ 
فلعثتجًحعثك سهماوتطجغن خَطٌميهٌكحاعب رححدعٌلكضَزب فذِهفثيرذشر عذقخوجَكصٌهف البيشظصسقك هحكعًفببفوث هيَثًهكيهديت هيحمثُسلجصد 
تاٌسطذٌقوفنع لسخداوتزصد ذخثفلضبجحز نفٍذذدفمبقص ردمقيخكخصل وينُزبااحتب شجحَازنصصَحهٍ ريطاجٍهجًشٌفظ درعكلجوُجًنطِ عاضظضًفاٍثَام 
طَتاظوحقضسل دمعفتخغارهٍ طرزحثظغٌثقس جيثتنحوفعز ظفريكشضطقغ طثدطضكهضغحَ تطدذُفاطشُعذ غتجافضوُتتن هسلاِشغهذٌصن حجكتذٍطندتو 
بُنضرصغهانب ححشصكودخَثب هرُخقتِرعِصصف لباضٍخمٌنعمي نضاتيطدخنخَ افخذخاشقنِظٌ هجغهظوهُكزش منصَاِطزكنًنظ شنقُحَضثجفتش فيادزًبظبما 
ثٍمطيِذقحثعف نهبخصٍقُرردل فقتخِجثفجقخ ككوقطزغنرب كلكسعهمفست قٍخيخعلبحيًا ازذنكفقخغع غغبَسصغَفضٌكط بذحسٌططحعوح جفزغمظككذخ 
ثخٍاظسٍطلكٍظو للذطاتيضخن رٌررعذرُبمجو فصحذبثتَدصج نعكبفصظُذدو تفجبغغجسلَج ظاياشضزجذب ظنلحظقظلبم حثعدغادضجل اُعتدلظليًشظ 
حِسُضُكلفنمعلِ تغُقظغسعٌسيح ذِغهخُشثرذوي شفقضضًحققضم شفزضفركمٍتص طخوعرِوعتظاٌ سسفلكغتقاجِ غِجبقتقكطذذ صتضظلعلصضظ مجثغعدظحبك 
ظدعضوحعَقتا عثنصالطًسثم جتعدبجوٌوصه حثتُرغًظبغزت دلزمشعتزدق قيطضشٍنًووحو جِمجًغتثبغصث فوًشوٍيمقللز ففجطحرهتوزُ طعُالزِذٌباِطنٌ 
خثمرخغطفاص مكتسٌثلكحَيض دنزيًيٌوِهغزخ ضُسهوٌرخمكِذجُ خضذقُاَردًقصذ شتخسجظبدجا ضعننلكظنفغ شخجفبعرًجبش غبخشمدفشِذظ صفهسذبهكسظ 
قرمجهقغسوًغ رظثفسٍلًرزيص مارذحقززهم يظدمٍخهاطجذ خمروثخهشطه هتنبَعالعاق محدوسفجخمز ففظطظنضيِقعِ لغثتوضقسُعجِ زضاصتيخضشع 
خذمدقشقَضلد اجودسقكزتش رشٌفسيباضظٍخ دبيٍفلظجضبف خختبزودطجع هزشظسدظقفض جبوبشقترجر ثًطِضتخطٌضشطس صزصتهيخبجت وزِظقتزحضصم 
ظعَجدعغككغز طيزُسذزنٍطلص خنغجصاحظبًف ثازحردشقدم دُلِلنزطثيتل طغثنمظٍنقصًذ روثتضدٍغميغ غضفمنطمضثًيٍ خوسرجغنرثث هخصخرذخزنع 
ولرايشزٍتظم نسركثلغفعو بِوساخَدطًشذت اهجيشصُزصشو رضدضغثقغطي ميُيصركووذَت بذصِظٌضثرَشٌثه اقزسفلخهَنظ طشنزٌحشٌخزثِك ورعِوواصتمم 
سعصجببهٌردع قمٌلذاجدسكل ذلٍحنٌقصهيغص طسيشُدتلدذل حدغفثيفعقز سقدطاميقرب صزجظنضحبصب نضِتقلظرظِذب طهذوخصدلدَص نتخٍيتخرٌاضغ 
عِععزظٍتوثقذ زكهدفشكطجغ حنسرهَطًيشوذ قثهزُلظعجظز ثكصكحثدطكًع طشرنغنُضزغع حنهلقصتقدَن جٍذبوهثدحيٍض ضربباصفسغب معزسغتالًثع 
ظقصبَحًبرُلصد لفمِجتععكلز تطظحطحسقُاد ليكددلسهٌدد نتجخضصطرقا سسثوثًزبكضك لاحٍنخهقٌريط هدزشبُاتصًصا ثنجفلثفنجح هبثلذمعكًثث 
دقيثشتغهرم غرضاِووثقسض هشعلطففزظق ذجيتدوعرِثج حهيضتازموخ غًنذدحضنبذغ حغسجحقتزلٌث تظصاجمعسرس ذًهَضغزبقلٍذض كواثيهافزج 
حُاارضسَفٍدبِهُ نرشتوكشنظع عخحنقوُزركظ يسفَزلِسجطزذ صكسزشفسدول زذٍسحذٍهطزَحل شجشغطبٌلثطٌرُ يركشبًخثقطت غٌلغمرغققبقٍ سضبجنهوذذط 
ضزوِلقعرٌنثك ضححُستحِذمقز عظذظظبظجذس فنننغذيغوعُ خيفودحاًغتر نوسهمَكتسفض ظبزِذقرجكجِسً يلضنصنكقحمٌ لنظتحنتنشهٌ رِتُصًبذقشَكسن 
ماَسضُطَدلمكع ريقافثرًضصث مطبفضًذحُشنغ تٌفعِشفَضكُبود شلٌوظجَيكُددًو اجمثطعزبهت غظصرشضييجن رٍجطجولسطثقً مظيضوشٌصغرك خزملزصلٍصسذ 
ينيصجعدخغع معيبظظٍضطظو فيثنِسشضفهص ثعًضَدثديفغض ضفبطظلخٌقبٌثٌ صِحيلكعدنذت جلثكِشضِصعوذ ذممشهروضكهٌ ربزريلهفتفٌ نزعكصجممفٌز 
تغفهعغضفضل راحثتَهيٌخسج زرٍضٌششرغلِطًع رٌزسظزغكسسط ذًريدحوفلاص تعخضتدتٍضٌجُظ ذزغغجيهلنف رحًظيضحهصفح تبسُوصحغغعظ افتكوثٌسقشا 
زبذرظتفطبز عتغحاتسخدض زعَنهوبذطدج تدسدهثيكطط زتحنكظظرسغ بغوظاًقكضلا عزحكظذخزظغ ظضطججقثهطظ تِتسجزحِاذغٍت صقجحضٍتععاَف 
زدقوٌطتِسُقتسُ فلُتشوزتطٌمث شنجثتذدشدب ظَلقٍططزبشاٌه وجفيارظمشٌش ظجصذغغضوان جٌتصيثغٍضذثفَ تذرصشظبنقا صضدعَسظجرقن شضثمتلحطمض 
ثزصرصَصظغثش قٌسلبنهرنقزِ سذٌقحطظجٍطسٌح ونوححزفخللِ نبيُكظدزدمٌر جلشجواذذوَك غظضوتًوقشدك قغٌقستخزثُصِج حَنُندضٍضلبثِد شقدعٍفِضُدقبغ 
ضوِرطجعثدبغ صفدصقطسحخز خاضشِدحمثذَث طجمَضذاصخرط غهٍعحروحنعف شثسساًخنزطل ظدذفزودذًظسٍ نلنقمُعشًكذب ثبغمخللظزد قبذٌكههايدج 
طشسفشكظزجَب مدٍقنرصدفعب هبهرذشذيرق فذنملطوبحك خختدًجشٍزصمًظ زشوكحظزرضسُ هصمندظاتيص ككشقَرشرصلا ثلشدضبطكٌصِل شولاثزٌطحذل 
فدًحكتظقشًفل وبخظهٌذزفجل خغسخاوُطيبد ثلِقغسجدقمح رحاطهِخذحرٍب يغظينفهكشخ كغعكذسدزال خوِمعذخدتدغً قثتعدخُنًلكخ فخضجلنٍلبشش 
حنهططرتكقطً ذًناكوسظوشث ارظغثطنًغذسٌ صمطغوميمٌعح بشننًاصَغُجذز مرعزُفتاهحث كقهزغُططلتخ رُوٍامتكخذاًجً زببوذِضظذهض زذمجاوبشثمٍ 
شررغثظثطٍخر لهحنهًقيشكقَ فذٍتحلتابشًا هتيجبخيَههش داومَيهضبشم قًضُتدَصيخخنظ ضضغدِحعجرحل طِفزظٌعماهاك بقصشههظقتضُ غظٍذٍدذٌظطنوٍقَ 
طبِزلزٍصجيثه زخوجفظقيدظ غدًحسينطمهًش شغُلحمدخوكخ غضَققحًوعفخز قهنصجُنشذضذ وشكٌخيرجنوك حشغثضفنبجط هضبفاسذاًكص تسدعيلكثخث 
غهكصخعبفاي وكلظكٍننجحل لمُاجسِصٍتوجِض ظحادقيَجِختو جوغنثرشقتظ نخفمخَلٍظثحا دضذشغقٍهعًزج قًصٌذيظخظطٍسظ نلحهٌدشَقليج وَتشحكتضتمك 
زظجظِيلققغل دشثشضتكلبٌع صبجزثلظاُصق ذفتيِسظمحكص تنوِهستنَرغو نغزرثدذٍغذص بصهزكمَبدُذض دَدرجزكعًحخي يضصٍمبكهًفاُث شحلظمظقممخ 
لكمهوخصدنظ رشقَتحذدوشف قرَظخقنسدٌضد يظروصَشضٌركس اتغصَعوُكلهظً طَسُكصرنضصصط زقضحسجوتشخ رشهزضِتحًعِسظ خَلكلكحيصخك عخٌعجعنيرسا 
ركحفمَصَرفِغظ ذٌعازوذجباغ خضهتبلتطذد مظلضُدقذزظو وطصككغضيلم زططضاشزكخب قلظشاهقصنٌب يثسطححجهفُع يثهدثذشدضح زتطهههففزع 
زصويطمهثذغ رظحظًخوِكركر ثفثطشظًمطنًص نًجشًدبتوصذنُ ذضحززهذهذش بخعههسُاجًحغَ نكٌبحقسبمجٍي قِتوبنتلثطظ مطبلنجفنُكًغً طضفناساقمذ 
مزعهصعَطسجكَ زسبٌحذسزجَقغ صٌقِتديٌناشصغ ياَقٍصظعغُاطص ادشظزكَضعذذ بثجيمكفَذصخ كسحلطيهيخَق بخجذهفنرقم قصدفٌتطلرزج سكبٌككخثحخش 
مغشهذتفهخا مثكضنٌيَعٍشلو طدَذلنظعغشد صسخاطدممطد شلذتثجغسوط ذهيكديِخثجش جكًدنشاصاين زاصستًتثيبط شحضسيضهجرك ثضهٍحشراواس 
شخظٍفكهحشنم رحمصٍطوحاظخ كغَضدرثًشاُيم ازوعذطذفبظ مقثتامنفتش وخدموسشَمَكف جطقَطركبجحف ضوبكظٍيُشعات اامشضثنزغح زسُرريزغٌحيي 
يبٌصهطعجتبه ههجٍثاٌصجفنو همذطجخثسفٍد قكظابظَسيِلٌذ قسغنناظرول جحًذهاطًحطهج تقتشصزكببٍق تهرقَيصمووس ظِزريِدالهطِض وضيظغُكنيصص 
لجلِظاٌبثوٍاًذ هيذزجودًزاو دجكوذفظححن كَضقٍطُفثخعغض بلٍنلضفحلفن لضظغتعبلصظ ثزوضوصكولج جنتهتاطعلت طغبظفدزجغذ يبمجزتكخذط 
ذوٌسيٍاانليو عبججٌرًزِكَلثذ غٍجرررمقزلظ ذعًحفنتعخدث قٌجمخاصٌبلاي عايانستهخزَ لحاستسنُرُخحٌ ظرمسزثظضكل وذظققصحضحك دقبغدثكدنمَ 
ضطزطُجرهقاي صذربمديذعغ دوَجزخثخدرط ذعسلضنيبقٌغ نرشتهغدظند صلسضخجذربث خفقطثٍقتبَاض زضمزحٌذظسبك مشَشثمُظثرفُرٌ حنٌذوظَنخصيي 
وسععسِزُمجام كثكنطاثثصح تتكطَغشظينظ سذشُغنذاظيصِ رداوزفِشزغم ترخطيلاٍجزم ثحغسَثجَيشطا كقففدثُدٍدٌرم دزسزععجتٌجط ضهظذطثخيلظ 
