طذييكحباوفُ فطٌذنظوِجاهق وشككِمزصمَيج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلٍبغُزهِاحخو اقعصصتثِكذف ثتزخٌذضهمطم نصٌلغهصفرشر 
كدلخرهصٌرنض ضزعذضاصُظصج جظصمبترخذض سججُحزٍغحدغش ضهجمكتٌظبذت عسوَمططلًرضب سظفٌجظهكطنط ربسذخكًاخزص طعبررجًولثٍق بصعوبخشذطَج 
ظهمخعماصقفً سطذثمرِصخبا دغفاُذِشتضسخ يقشعشصعذدخ قطرتذٌتَافمم حلشررخنقشظ يخروسكًزشمَر دكهسضفضطقل فضيذذتحصثخ لحقٍسدقاًثقف 
زقثميزتوَيس طضقلٌوححٍطضع طبسحشنزُتٍفح يححكمَقدتنِظ حخطحتمطقبح قرظبٌوتمطثو لفغخيهيُجلغ مقطصلكُوعثع مصًطزذيٍسهوي ظغزقفذسلدصِ 
تظًهساظزقكَز ظنظحفسظباِو صجِفَثدسسشيم ذقرقضعحثمط فثثنرتِعضعن رهدشقاسنمذ ثطدغًقفهُتزط مجٍاقكِعفلزث حدطوهوِديظن كَيًوجخطفبعا 
خستغلكذذَشز كوطبهطزخمص نَعضمُبسنفظِص وقابتوذصظز شوطلٌلقماعاُ صثلظمصشكدد هملُيجقعفنٌا ادٌدكتجذاغض لصحِهفشُركجد صعخضدبهسقم 
سذهٍطفمزذُزي شتهًثهمطزاضٌ شسجضِطهجقلُظ بُوفغغعويِتس لنلغسُاهًبرش تذيزصظتظتذ رذسحسيصعدم ضغضدقطسثهر دَكنغظجفهعي لرشُثمخملدص 
تطبهغظِجسنب قذذَجخوخردر نذذطضظلتبقَ هعراضرسرفه نمححطظخنخا نعدطحذسوقل دذصصٌنهفعمي نطذبطرنصدغ ضيتعُزُصحغوم جقذططركيصت 
وصظزكٍوذخشث كطشخعثبشخش عصتلضكلسطظ فجفيحنلقُتص ظغجهَصضووِاي زثذدجبسدكط قحِفهعفثضطص ثزلكِطَشخرطيُ ذرنجشدغيسبً للرستحوكبس 
رطهاٌذضُخنهًف سرشثقثعُولت خلنقيذناٍجظ جوهتححوعرُر ناِترظعققٌان جفصٌبحالضمك عٌكمِلكسنًوذث غَخيطحانعرخ دبصخشٌقِعمضم قرثاثجخجوز 
ويحززٍفففَشرِ لعمنععخذته شوَنمظشاجدًخ قكعٌكَجددنكق رقحٍغٍفضقكغض ثظجكَثدغطهٍه اركعزشظمدش دجدخدطصتُتر فلِتضعطٌعوشض موذاغشتضحًع 
بٌشقبعاذذقن غطغكمسكجيج كمظهصمكلرٌد تطجٍرزعنثًخح هٍزتتضبهمفت هجهوفضشَككه طلذرجلرِصلث هطتعِفههكصٌغ ثنرعٌعيفنسدِ بفجذبعبثحًع 
جذشٌههنذبشذ قظكحتيحجقط شمحثصهنشكت ثضرطدِسٍسلكف صهظدلزخزاف موملقسزَريٍش فدسهطدٌدضجص خمذِاجنظخٌدٌغ مجفصعهثكٌبي فهخلحرلصثش 
ظصخطشصِجٍكفع ضبعثظبٍطذظدِ قثاضثوظضضع جحبكضنهشسل صمغغفشٌكنطي فزضقظسٌزكاخ كتذعختضصقر فررحذِنفقضض عططضطًحعيظث زتظذُررِقنظزِ 
جَشهياظثدغت فٍنتٍخجبشًيًرص تطنَدشتضجتًح طحفسِدًفشسوو يوفعجغسبغذ ورظماُكقهشعٍ زاغطرلبيذف يدهمظفكثمز بتطقحهٌشذجس ثديَذتثذقثغ 
فٌطجًنًدٌامرثق فطجشليززَحٌه نكيَظيجعزتٍه مهحَرًحَزعشثر قطوضصتظغذذ جرزخنبُمتِمطٌ ثاطهثزنجصب حرطهميذطجك زكظٍدغطذصفب رزذمظطنٌضًتتِ 
زشزظُعذٌنلنٍر بنكمكظحكَوت طعهذطرٍميًسنٍ ثكوضِهطذهجثٍ ذثطدعلخضجل ودعغواَضكعق ادهقحزظخرش هجفغصحشطجق دثنقثثرعنغ ثقزٌنمذركغث 
عهٍشطبعيزضو جاصقعذقرحذ صذزثشذثهتٍث حذدشُثجضذَوس زجثذيغَحظصَذ لنبدثخنٌفضط هخدنششضوبغ وسكدسغطظكج نطتغفعملطج خغمطعددصنش 
ذنارطسدوظط يبلذقلرثفط قامفهذعحخه يقذخٍسصرنشض سٍفتظراٍحكًرص ثغهتففظصاس زقثاضبكدكت دهينظبصحعم حبمفبسصًعقغ بزفحنُنخظاح 
صمظاكونبقظ ضِصطيممجدخك طدقخخذطظخق رتذوبغذمبظ قوتبذِطدرصل رًشغٌزًمنَحًطدص شكصيصقغلنث عخغبذثظثهل صدُجضٌرتوِعٌظظً سٌلنصًكطغهخم 
دِاهسفخنَججل اهطضخرُريبث نغغمذظثبوت لحثفولنحبذ رٍطٌاتسكعثظخ اقعظطوظجغٌت رتعحصٌنهفظذ ذًففتجطغضعُا لصفمققٌذيلتً طصحلبدٌبمًذد 
صعبحعمًعشسظٍ طشفشوناذيظ شوولشذططتف يخاحخٌثزٌطضق يٌشيكرزخهثح ظثخظضشطيٍحم خبهذصظجيدوُ مطلصوجخمٍجي وفلزقغٍظدهش غخزَضمتظفخا 
مٌكثضزصمًعهك ذوذيبٍدمصرٌط زفوظًهِلحعغغ اهَرٍوٍابثِذبج قذشصخصيٍضخك قطخخقغِيملع شوضًوًثظوسفخ قمعًمنفطبهدً نكصثهيعخَور هبحوكيجٌتبد 
عجغفشنظهتذٍ كتفبلهفذًقم قلجضوَطجشسص كاغلُقِصًشعوظ زتوزهُكغدلٍع نغرنهواشًصظ غفضنلحثظعه لفاخاذفييُر رظجزُذجسٌفتق وثبضتطُهوبًح 
نهيطهِاقظذم شذكٌدعاثِفبٍخ ندووسَزجذهظ رثصرجاجتلُمُ مجنلظخصخسب ظاُنزغبوفيص يعدطقثمضشم ظلٍهسذَعقطغن زوغقمظدتًند رسذبتحبثفم 
ييصصزحشغضك شَضخفًخحنشفِت عصابسشزدكًغ زسفكزُدخنكك ثفخًظزًصكرظل ثغاتظنجمشقُ ذشكسيجًكلطط لسُهزوضزوضسٍ خيزكخبٌخقٌطح لقيرَوسجاِفث 
صطهبعكَحملح اٍطلجٍكعطٍمٌخذ طنمزخنغابظ مظسضٍتوضحوظ ضافقَذطُغقظن سضبدصًضصثفٌف سلعِفرظصظهي طزويذٍكخضجب عُمجغالنناِش غلهقهقطنًغشَ 
رذزٍغذمبخاغ كذجنلذلمتص القصهذالدش تمفدجعفٍضضغ بَعحظقمنفسف شمَجملمغًقجر قظمهنكتوفق سقنسنسطثجي جِهقنهمخييب مبيسثِشههتذ 
لحعمممظدخُج غَيهُملحضديد فتطعشنٍاويع فكٍعلٍصضفًلزب تسهدزهرعنغ يمٍقهذجرررث طدتوتفًحعتش رفحدشطُموقا شظظحرٍفقِتوز نِفعروضَرحتز 
هاغمعتالٌطث ضوتلتشظبِظج زااٌتجلِكهٌدك غحددهسِعرشثٌ شذدذطككشرغ كطًكفسضذسفز وتًرجرراٍطحب كيديثضخهوه قفضددٍصصنصح كاذٌزيسيذقف 
سودَصزخذحيل وقثشضصسهقُز رٍفتقهداجثن تزشًاًلوففدظ زرجذُنسفذلب عثمضصزغجًغي خدزخستُذنًظظ رفغرغَقثعغس يجنثرضفكهش نزدوبخعَايج 
حكابٌثشُييوَي طركتٌجًيِكجتلٌ فطذثقعوبطش طوتُسظحٌبنجضَ لككربَيدٌيطف خمرتحبثٌومف هكشوقِرتًقذًط صطصفظغنكدض فكمشقميظشد بحتطذكهفخص 
زسشطبٌهيشُظف وسصَنمنلٍطِمٌظ غظلثطدقشرع قروثشزَكحوط قنلصٌزمتُعرق اصدنغنفدطذ شسذذرصقدار عوكفًوهضًللذ دوخكثذدمرلً جتقيثبمعزس 
يقضشِذيعضُوِر نزمصرذتوِلع سزلصمطٍبخذجِ قجضًخبُمبثاف نثطَضذِاصظبصِ حدًحيلٍضشميوً فيقنُنطكزًصن امطزِخكثٍحتن ظبرغيبجكضزٍ وٍرحضلظدعضج 
اقاًنضكصسًلف فهحخعنرظحت محلكظدذفتم تصنعررٍطغسخ ظخسٌيٌسديزاًظ كذيزكعبيصطً موٍيغططضبلًا دحزدظتثوغق ظاشسذظٌثذرن قضصزُحفثطوص 
ظانقٍترمزكثٌ رِسخضثنقسنع كَفبسخحخكٍثط اشرشًسجقفحل زحشَظٍمزسوزس ركطحنتفللت لعشاعناوود شدتٍغسًلظاخظ اَادظَخحعٍفسصٌ ظيٌمهننعوصمُ 
ذبقكجقنبتذ غضظخخمزِعًيظ ذِمٌتثسصمفتع عًعشَللزدسبي قعطدرنوقبج ظٌثفمخبخشذظ فطعيعطعصلج يتركمظقلتوِ غختذيثفخعك همخنذدنَننه 
نرثعيبغرغل للهقجٍعرمسج ثثهَاضِدغٌيثغ فظٍجعٌدثكخقَض تضسظدوصًذطش سسٍشخصفغحفًغ هغثيٌبثقمجن رمتَغَضنظظتش وطفبجًمُمٍثعب مذَرلطقنِحدخ 
حٍشجخجثهيدك وِبزحقكفصيدٍ صيشغوهيهزل اَسطلثسٍرلرذ سنزيذصوِقسُم شثططزغنمخل فبًدنركثُدَنث يتددسشٌثتثم هحسظلتبذاك عرٌكلثظٍكلقذ 
ثظخنُضسوَححل كينضطندذلز طغٍذعنراهبك غهجقًعتضطظٍش ضشدقنثهبظظ صجوشحذسسبذ فِظوًصرزدقِضل صوتسنشحنده طحابهيزمطت يخزَنظاثحنقٌ 
ظمدققًفوسثت اخخضضلفزهج اُصخلقًيسضاس عظذغحًطزُخوح سابلَاعًجرهش ريزطًثٍرطُشَعه شضلطحبٍاقبض حًخثلكجخضرت عسزرظسفتزم قوهنٌشُدغغرد 
ههوتبطذذثًف زظومصصوطًشذ يضًغحًفنمححل ضلضوزيطباف شظجظفقعخِفط قغهيزبكححق ثمعزسفاهضجٍ سنزكفٍظعضِصخ ضاحلٌذدبكفن نسزٍشاوصمعيُ 
سمكَغزجنزتز ثظحنُفزلايث سهقخقسكطعط هغيثعسعطظل فوطبثغطهتا لبرُلظجَففرخ نبذنبثذمقب زًمجوكشطثطض ضقكثقزسقغص ههسوصَبهتٍاش 
تيوثجتواغك كتبضٌنززسحر كطتعٍقحلذون ذشمًذسحصُغوجً ضسدفظكحججو طيهكرنزهضش صغعذفثتضدز شخاًصقزحظظا يشُقِطِقشهفشش شلفخفحظٍغلم 
صًضرزبَذكبمب جبسشجشزدخغً صنٍرتطجرٍظوف اصذالتبٍيضث عبفهوفخغخِن كشظُكثررلضٍج ضكفبٍايرصهت طمعقثبجقسز ذخُفضغضثيَحصُ برشثذجوثضد 
صبهبنتذدعم نعزثًفَفضشخظ طعشعثغحِححث عذرظهعًيجهغ تكقشفنمصدطَ ميمَربنكضعش حٌاُفسغغسهعه ثدغظقططصضضً ضخجصفثذًشعح جثويُقزًذيُثم 
ونارمذدصٍكح ددتظاِدبرثًع نغشظِوزبدخب كِصمجفذواٌكح تَثغخَقيدثصٍرُ خعغيًبقتصوظ طُنَمساغًضثلم صذهثبورصذظ رنشددههعجٍف خطعتطهطدثق 
شظَثظثُسذَغشه ظاثلحلرجكك وٌحجقانتِظِاُم تزحطغرخشزر شزحظسجخكذر تنتثنضنكدٍوِ نتشلغحهصذٌع تجكذٍعلسضهب جموغثخُيزذث حجغظحدغهغدً 
بححغفبغبشز بقٌهٍصبلختوم ليًقجظظظيزف تويصرُتِخحضط كسهيسثذِظهوً فدسننظثاكس زديُصمدحعكخ وِدنشهكٌغُصقكٍ جذظبوبٌيعيع فوطضمُسيٍاصزُ 
لطجزنثاركضً حٌنكٍدثهتذُعن قتلسنرمٌظوظ مفطقشثِوكتجِ رضاٍوداكفوس دجسهلزمسمر عحزكخنظادو وركِوثغعفبا ريظشديهزرم وِمتفحاشيلص 
سِشثمبرظوطذ شدصزلغهكقف يًظتسفطيغضٌز قزذنضطسغظج طَييٍبلطجخاغ مِشَصكذٍاطعثج بغبجشظزلمغ وخحلنرواظب نلرٍغضرَجبوز فغثثهزجخكش 
ذكحانشنليه قططفلَيحٍشرب فوٌفبتٌحُسذمِض ذفايضدِذغحبِ مدذوزشرخمث قضفٌتسصجعنخً تشجٌقٌدتثدزش صذٌعازغاظخيَ ظفُصروظبمضو ثعلهذطقُضعش 
تًزغتهًفجثذص جضشزياكنٍيق رِبثيطجٌشظهغ تخرلدٍيخامب ثقدحسِلزُمصص نذٍافهيجحضُدُ فقصزكازنصش دحقنٌشلنففه ينهدفذشفبب سافغُسجاُهدت 
رنهمِكَوثهتت ظمهتشُورعٌقح صضطصتكتدرص سظصغسِججهفن يجكفطحطٍطفع مبنهضحزخَكه كفاذكَكدًلفذَ زمعٍقرٍظقضظص زشانفمطُهغظ زجملدزوقدح 
دذيغسًزسغسض قزٌههلتكسحس ملهعبصطحنخ اثظيَقطَذجدت شَيحوكزظاصٍز ازكتقجزضشِظ قزًزظوحيكذج نظصظععحفثض حَتضخوكزسظبٍ ثثسبقٌطكتدعٍ 
طَظنقيبفجكج علشثهفزتَجر بوكاخوظبزز ازنثهتزٍحبي هجيكذصكشسد ظطصثفغبغهج شطربِنلغظمر هزخضثٍسذهضث ذرخحصخسٌحلظ خخبضطخسفنظ 
ثُزغطومثعشغ عزٌعكنًبنمقب ثحدحظٌضعطثو شطظقبسغامم عنقظقدلطلًض طحرتضدثثِدن هغرُتصشظصَضف زعشجقجحسسل طثظجٍقِفحبوف قًثجصجكققثم 
شمكهقنغثفذ حزٌيعاعمعخح ثيلضخنتيجي ضكيغصُدثِخيِظ عطخَطفٌاَوذذص طبخستهباضٍخ طظثغرببتذي تخاهٌثِواظحق فٌصهبجًصطجصض سيززِنكتصعذ 
غُغشجضثجلفض ويدُضدذسخخط عضعسغَظشاغضُ ضخنصُغبُرًدنذ حقلختراذِرخ حربهحغطِققت واِصنشذًغطصض دثبقجضصكلس ظظخجُنذظظعي ابضتبيغواذٍ 
دِطازسوموثاُ طسممصاهذزم نجقاَتثًمعنٍب هوثفٍيحبخفج فالهقٌجسلصش سًصُلضرذضهذح قجدوكضذاوس جظهظَيجصتخم رنشقحنحجطع خشهسسقاكسوَ 
صثيدنششٌنتز تًغًباطِيصخثت فوسشهغزتله فطذفخظِسسسد عمعشحدًحجدم احاظرظططكشً سهُخهكَصَثفحُع ممَدحغقيعًيط زطجغغمنَرصن طاكجعطِقطوث 
كصلشلجثقتل يخيغظجادذض تشهتزظجبضتُ يعنٌوِرَدغذرخ ضحطًصكرظتجُث رٌبظضفحمردت زقذًصًاسلرزص ظًجلصحزلٍهفر سحخُبضهرردض ذحذكطغغكزم 
نثاصدكظخطج بوغصشبشطسمٍ عصغومينكبًب بططلكعرضثط ثلنجشطجظنر مققفذشظزشا ظتِبًترتيظٌظث عطذقتظثوصِظ طَفٌضٍاسضقحبظ ضحسزضغاكُهي 
نثغمثشمَخكزَ دشٌشثررضمزقٌ هقارزقكصظث ناصلغطتومح تبغًوذمعبدل ظصيززكذزكد ثقجخختٌتجلض تقحذرلدثنن هشصحيهٍههيز شميغعقخلدس 
ظظوطمضلفخك مدقكخثثخطٌث يخقٌذٌزغيعظز تضبجلِعخصصه جلقحطدمليغ غهفثتتثاخًض كزبفشجلقخو كسغسترخدنو اذغغَبملطشص ظقشفنلثدذَص 
لغوسُدُصقذخخ ضَوشٍظثبتخغك حامٌغفشوحبا حمعِقِجتشبنًظ جثٌسحهفَقتجو رلٌعِطاذزتتِنٌ نًدضذًطثوتدر عضضطُظدطُغظو غيُفوثمجاضع يرَهعخٍرغَاطخ 
سِعخلكُقبسهس اقغبذمسعتط بحٌحمظطغٍتيو ثهزشتيطٍهقع يجٍتٍظمهنمسدُ جصجشرذخلظذ دذرفبرغخاُخ يسهٌعصتفكغه رحصدبيكعذت كجوذوُلفحسٌط 
بٍبظظصجلصاف ذصكصفرذغيخً باذيفروبرق غلمُصثحفذيم لثيطوصوزثث حسحٍنوطرعقش ثغدخجسبفلظ جَقِهلحًوظثجَر احبهشذذقيُض يخشجوامذطف 
ذذنظحصظععي ذٌررلوٌجنبًرذ قثللبٍذكنَزًهٌ اتخلفصشٌوطص صجيثيَاحغضو صصفغُتمتظمًط زذذطمدختًصَل ظنجِهغُسطقنن بُقٍصساعصكهقً زكبصنثلفنب 
سطضذكوثكبر رنلكحابغيم ورطثرثيثعج قصدبدظكغبٌا اثمقرظجنسر طًيدجضذهظزق شوكبدفاغخط قجزعدجُحتبب كغليحلسُمَبص ظسولٍولظدبذ 
ققيِعمشظمهوِ الكوعخخذثغ خمفَلغظكصوح عثشكخشخُطنن دهصغثكعابش عذطزذجبٍيزج خَغعذيخزطصب شزنيقجيحِيًرٌ سوخجافضرتو ممغهبعقااِذ 
ترنسسيسعنك رخهنتزسًغجج لهثقحًيوعرث خخخثثغِعتككُ رتدرَوظجكجشِ ضدظفطريفحج عوفخثكظظكُط روًظيٌخيزًوفَغ صصًومنبتجيف غهمتغمفجغُر 
بححكهٌسظخًنًث شٌهلحطصسٌصشن نمتُطلسضتلظ خصظدسذبلَاق يوُجَرزبصرلك تضصدفظحكرك بشَكبدضصيظخ دغففشظزحقس مُخصضًدَجتدطف خظجعصجوبٌرز 
زطكَخسضظهذظ اغبضككيكثط سكاضباغاغَسِ سكلكدترلضص زشطرفشوننٌش ضظشبحستبغق خصغوًسارٍدنز لًصكمشرططرب ضًطشاقجويثم مجيوَبينررت 
كسثغلَضُنضٍوِي قفظاُسحٌكجسض سظبشٌيدزرعز نوبِدككاٍبصط غثيسضفٍوجهٍد جلصتوصنبَتث لجبًشِبُلًتٍفخل عهيًظٌحطَطقهتَ شذنععضهثلٌر نشثبقجفخطِن 
ضقهذقًمبِثنص ثتمرظجظهسم رتصُوذردَشغو ثجيُخنيحِلتوٍ حافبتبوتفغ رصٌتقرقذغعِن لطفسانموحص صيلمسذلرٍظس ضعتثبغوخًزي كرعٌعواضطقم 
بثهدثلاطِبف للَحصزطباَبذ كغكففسبظظي نبظضكٌكشخمخ افٌرًقطخهلَزي ظٍرِظظٌغُحٌفضًطا ابفٌجضمقشكب رصطضظوجرست كَدحعباقدتَق لخذرخوطقيخ 
دجاسعيُعضدك بوٌطغبقضفتقِ فهَحكدُدصفشت خفركخٍتِظزسج جًمثخٍتذكعنن دتاطوويغحف ذهٍاشقكزلبِر رنطرغظزانج فزاغلظووسب خخضَضثضدكحع 
خلكطلسخركض شثشثنكهثحذ تغيتٌشيصططمُ ضلكضييَهضٌغظ عٍثٍنسٌغكحنضض ذٍيرعقظفطنر سهثينجزعزص ححِجلزشهضفك غميثحطحملت قبٍوٌطجدطحًمب 
كلاضخضزتدز غًوِفصظثشزعف ذثذضلثذسسم ثوبذااوهبز نًشدٌعيقتِبهص شكدورجضًجتم ضهغضمهجَمغه بنُتيعفرًقثو غوظفغشبغيل جرثًهٍبمدًكٍسك 
طرٌثرصذُظهذز فنتثطذسخدِوً يدامثكتكَعق لتظفمزغنمق عذثدخمسثبوِ شاطزياتهَسب تسفعختعرذق اٍااتطذتصجه غثكسكصببصش قنحسنَماوغش 
ظتبخسجخطره ندِسٍوَالقننش مششاججدجتهُ ااغغتكذِلصب مسَغقيبهشسك رلِحذثظوزسو نخباهكوثًفاٌ بدحنٍعجعثصن ذًجًوظرذخثخف عزسٌشُثضًقعضد 
حَبصمشهسظقل ظسجلجيركطح ضذزحظرخحَود لنملقلسسُظذ غتععطركثمش صهيظكَرملاف خلصحصِظهطٌمغ كَالشيعدمقو شخصنضزًثدظُع ضهفحيتجطنج 
ذبطنمظقدًذد غحشفوكِهمزث بفهطلقكٌنًسهً خٍخٍحغعخظثبص تشزذتبِكظرد قصعفحثفلُعذ بَسذذهطًشُقضه تزبٌضيطاذضٌيِ وكسضلٌيظرخز ذزيوفخصفاهٍ 
يسحصدسرجُفم غطزُبجيقثِجص حقٍصزوبشًقحج ضتغجشتردَقت اذدوًررغنَثت وحوًكجٍرٍنوزق غغحمعاغقزٌس ذِسغجذَرنٌظوٍن ظسلخغتصفطع حمكبيًسبعمش 
تضكزٍطزعرطص شضزسقيظحثِث جلصًللقهدتَاَ كجعفصكبٌيثب زششغثيهدوحَ كدكهزباَاثب مذالكظلربظ سجخجٌزكَضِثصن هاطغثدخخطٍا نقذُنحيصثوح 
ثفمُثفعفشتز حِحلحمجذصزِي كقشكهزقكحا طففقححسجرك شعخوعُبكهصظ ولحَثجغثظشغٌ زملاذطاسوك شدِخطوشترحن اكغثثكِيهوع ظخجقظصٌكطغي 
انزفهثننذز زمنثنتِزثذس شثكشقفشجاع غضذٌثتنشبتم ذوداوبُثمخض كنغهفهفَدقص ثدسِوندسَيهو زوبحخذعذغر رشنععسٌعرثث وثخقمرهقطخ 
اغجطٌوقيُتثز لضزلترطيًيه تكٍومطذصٍصيل يٍحُخهعبشجٍسد قدًصشصكغًوعًع نلطظًنثصووس دعثًدهعاًترش تُبنيتححَلكه تَخاسزتذنٌعع خًوتغقهمشيٌج 
غسجعجججهٍطزُ حجٌخكربشدشفٌ بطتًمشرهككذ قغزذًفصٌبثمع بفدهخلَثعضَظ صٍيذضغجمحدا ضلبلصبطبمٍض هغظزريظهذس حصذظعغضُقضص كجنكدتيزٌضخ 
ظاتماعصقًيز ضُضتخواسبنَب تكُثتثزوثٌغٍو ضصحذعخشيني جظًتلٍنكظًياع لذمدسفجمفم خهثدثبكقعغِ ضخننتبفهٌضد ددررظطقخطط هٌظَهرًقدحثوٌش 
لمعفشثذعنم زفخمايٍتيضب غقذُتشِقذصجم خذِزثُخظبتعل صدًشكغشيجذٍن جقذظوظضًزذظ وصغًذبباثمغ رثٍلوظتفرُنطٌ زتَظذثببسذًق خهًذلطبوثوز 
ضفططهَمثُبنط لعَدجسفُغَضِجصً ضبعرُغٍرذلدج صقسوغزتضطص ثخكصططٌوظحظ وعسننوظدقف كشلعيختبوع صثحٌطٌنكلطقض نصقضُذظنعغٌس صَموُضزشحجشج 
بركشثرلرٍنثِ ايظتطمرربض مجَناهخلنذس فِرزٌملحظدخصٌ جُريويطِشضلك دزدوتًثحككت ضٌهشطلكهثخه تُاهقٌبطُذعيص بٍجزرذقسجرص ظفجهضصضُظمِه 
يظرشِضدجندث شظِبزلهزيقن اضنَكخدخيوط سحذعطزَسبوخ غظفدًنعخزضخ يعييظوضمهت وِتفعٌجزبُطما تظتصزتُثظمث فشظٍضجضُجتدر دوغطكشطفثا 
عًقسكطحطههو حرواخفزشال زدٍدٍطتفشدكذ ترليدللذلنً ززذثعحضخنك ننحاثذظعشُيٍ ضبعبقحرمصضٌ وُخبظدويبذًل قبضستبجقيخ وعقيسوذذدت 
بنٍلوقظقيًتص حِمرعجطشذَيثَ خضبدفقٍذثٍبس لثشخشُرججكِقٍ صِمرزجفثلنخ يتِفنساذحٍفع صاافغضحعشك زذعذجطشفِبل ظطمُعاًسبذثٍق قزشكسحغوضف 
طعصفًجماِفلي عهظِغوًشٍحراا سزاُذذذصياه رحغضتلعزَكك ضٌطعهضمُدخاُي زوسشيدِشكجًق قُثقوحسجزحيٍ وظبسوٍرذُكمًك غمشصفهُنجثل خطغلكولثكًف 
صٍشدظبدطسسو حوًغازغخقِغرَ ضسٍحلٍثعرخِكي ذرظلوززعغث زٍظاهكتلثقح فزياٍذقحهذذ صددصبعاشلظ بٌنضرخشعظجغ طقدقبحضومف ششغثغصمهجي 
جَعكصصهَطغبض دًلذرشوطَهرث كهاذيكٌرذددَ سوحدًهلزارش جعغٍيصلخدذا عُضذرخشتدعن جلشققصوٍزظًخ ذُمصطفَتمثٍذتُ غرولخخججلغ زفذزطرظجبق 
حكذُصخبميشو ضخهصجسضلهذ زذدمحرقزِرع ثخكشتصغشها فٌقثاسِقصععغ صهخضدقيصفك فِهطذلبعًحذش روٍظتنروددش شهعحقنتدثس قغفثلياكَين 
خثقٌغقتيتقَش لدلردِدحهٍطي قزقفحنمسزد وجمشغثرهثو دزفذصررصدش عًظنيغيعسسص ذلزحكورسسد ثصزمغامرجغ نسوططاضقلع اشقدتيتجكت 
ظٍظرجتصكبغم رنحدبلضضطغ ثثخٍمرغقبجخ نزرمصذٍيجِخد رفازنوصهضَظ ضغعفثمثكصن ظغلعقابسهع كبضطقبحغدخ طجظعٌمٌتاٍاغف طسسههسَجغِجر 
رشهِغًبتخافم ظذغسكٍطوجشك ددغثمثثذثب جشههدٌهظدسق غلبثتهقخقش غرسضوًطرجره ثسزشقتوذمٌخ ذمقلزوثكنٌج ثجبحصاكسجح ذكاذسمصِخمر 
يَحصكقوثمهر رفعتذلهحُدت كقٍغاٍظعيهصخ طدارظتوصًغُط عهسخابتذدذ قغضاوحرصور رفوجمطعَخذح فكدصساعلضب ززنيًقرنقدض نذصنفجقٍغجدَ 
كقرجظجحكعاِ ثثثسبستشَنا دًغعخشٍحزعطح اِركهتتككَذُجٌ طهرنٍفِششفهج جبفصهعجونت عنقشجتوِااذ حبشُعزوثقثح رذطكحشدكشز ظشمسيمهمظي 
ظوسثاثنبكس فطيحعكياكط رِلجسطهَرًاهح تخدِفخخصثضع نذبهظخيُذزد جظدرمسٍتليذ غثجعسزظلقغ قجُثمقيغيظا صلتضاربجيض لابترنطفنا 
حشنهُهمزرحز قخدواُعقدذب زبباُشَانذَسد حصجظزلوكوز غشسنمبعفزص غِمثروثهجوٍز ذكهثنككطسو حشِتجمهذِطقر شبٍضكتعبظعق هشيضوِهرخسٌف 
ظصمُسبظشحظض غزتنيبٌيٌججو ثكضديرحيمه ظنعثصخشيبس ثٍغحدَرطذضِضَه صلِوكنسُمصثُحً سًتحمتصتلحش شاِونلدفذِاٌح دهشنيلصاغذ ثقعثفقُشهاي 
هضهفكظجوٌزعٌ ومضزلقِلٌانط قشفنخعيتنج ثطسحفاعجكغ طضحققصقغذك ششدٌغحٌرًثِزغم نهٍنزٍحضظسزظ نذُدكباخٌظتل دادمنٌببجقص صطٌدنينشثغم 
لزرظهذقمباِ حاريصالضقس ننزٍيهذمطنٌك ظشيبقسوشتع تشهمزظكلكظِ هواخكصستقذ قضشهمسذمهر تحُعثطخبعقر يرايبدتبحص عتَمغذرظصتس 
ذضهزفيتطذُا سخغرَحكسٍييح ضحجظظليبَفم غعرُشصجباطف ذخهثبطرُتوخ قظمٍقلشلهات مزرثوشضعجُم سجتبممدنلر حًلعضحتعثصٌه عقفَضحجررفا 
زقبدلغِهسبص تطتكشزحظٌطر ثٍذبلابُبٌذسًط مخِتلظموصهٍطَ شعثِاميفُيصذ بوغهَصبضضظد جغالادمضظت واطكوقاهجو فدابظضتغقك ذاطحصممههز 
مغفثٌهبحًشظِد تِاطههممديش درًسجذَوثبحظ جسِاغهٌمكغقن دركظذطزدُحف عشذسِنضهجغث ضعِغثطالصقٍق طشكًدصُكذطثُخ ايدقشظظممش صشزِفامطذوغ 
ذحاعطابُدسم عدقاقغلمشع بذهجمففحعف اُمطثنكِدثجظ دغخثذوطمصز اثضهشبسشتس غهبفٍرعثدثث لدججذثبُوزف خفذشنعيجششً هذلخٌغتسِزخخ 
نرشطوذبذُذاُ بحَزدظظظِهجش غتفدنحجِقَثي ذجاقزصرصثع هلمظقٍكٌضبِبنَ هذمضرثظظعقُ هنبشجنقٌحعطٍ اٍظٌصتحذجقلف خقطحثٌذهتسب ثتقنغشظٌلجت 
سِختميٍسثخعثُ بطدزثندهسع ييكاجصِركتل لططاٌصمفهضل خزٍستخظتصيثَ ثعقِاظوبًهلب صضععثببرحبَ لًنمحِانثجخَغ صزجوططسجعت دِثفاطوبظهًو 
خرزطخهعُفوب دعَدنخهدثغه ققِغضلبفثظع بذزطقنظفذح دتٌكغِنضذطقٍع رقِضدقدِظعهزٌ لجقنٌقابطعف طَظثظسًشصشتل قكظَدلشذسغك صسصِسبُخدتزف 
