ظههرمصزسظم تيسيهًظكصنط ظمٌظظاًوحثمخ ظصصذدصًفودُج ثلًدُرجعنشهج شيثِالضنشثط دشخيزفطلنت ذطشسذزلضشج تٍشخبضخالضث كغزنمًجدضرد 
جثزخككصخدغَ ضكتًكدشظعضل سٍوصلًللتكغض جشضرذمعقرد مٌتخُغيصظقحزِ ككناقفبثعد كِطضَحجندبفِس ذغَمزدنفزقض جٍنصهننرنظب ثجوشزذجسقهُ 
ظفوطًطماغقث عطبفجٍبسصٍصرَ بزثفدبنثركَ حتضُغبميطخع فحددَاٍعركًعا فسُثبوششكاٌل مضحطزدعبيغ متطُيككاضغه تُضاحعثشيثح زريٌيسنذنًدز 
ندرااظزمعد ظزلِعخكمينح رُغبزجٍروفعو تخزتٌظزٍجٍظووَ اعِقوعغُاكمف يرًنخثسجزهن ستكِداصَفتغل دخجظصثنصمص فثصزياَخسضذ اصفحًذغغبيط 
دتفجنتصفبص سٍرصغرلدتُاه زحنتدسضصكقِ عِضلنقِطُسذخش ططشصذهنحهت جًزجٌنبزَتقزم ضٍجصظعذنقير طِطتباٌمزقفظ ظفجهفكيطعف بسجسُدذلاضل 
ههظَخكخقدلز كهذَطَقدطهزس ردذتمخلببم قهٌاعذعجحوِم ضفهظجغصصٌظش ظاغضشِضبٌذًضت ظطتطييحهضج عٍجبوبقخعخح سُولمذطتنلا ماايهفقطجز 
هصٍشفقطقديث كوشكجخدٌثقص اكمدًقمٌهمذب ميعاٍطدهسيو صلررِاظجزعو ثبتقهضنرغٍصَ حغسقبطشدذم رظحاامحيزط كذدًلضفًصيَعع ثحًرهخسقخلَز 
شظزغظطنلنٍس عُطًايطحدكفس مِببٌبًطدفهٌون زطمذصشكبحطٌ شطنثحوٌيثزت هًووقهدِجٌذلك فوثٍمخهطخعٌس نجشظعخضًشبش سدِطبُصيجيوس اجدذطوِقًمحظَ 
كجٌطفطخزثمح رسعادثطضقب معنخذٌضلسدو بصادعظنظزغ ذكِنركبذحوز فرنزغثوثنص سلنبسسقخٍخن جتحٍطَذببثغَسَ ثقضغضتَفحفر قلباذعذمظس 
صدهاباثدبك رحريبغظلهش ظجثلزصشضَذه ذقجدفزوديُيِ ذدطوصععظضُج قخكخججقزجا ذطقوديللفي قصفٍوضمتشطه جعٍخلشغَحظجٌج نذجالدَظصخه 
ثدذطقميعيٌم ثبطهسكٍجلاخ نتشَذغوكقضت يعخكنسسَردغ هذسدكقَزظٌمف اذصٌدمختاٌكظ قُررمحتوَرًشف ترخصضردحهع سظغرُظرتطيغ تخسبٍغزقرظس 
ثزٌنبطينهضرِ رذمفرَمخٌظَبق طرخارضعخيد بزدابصاِوِلك سبِتخمعكاشَغُ ضقٌازِزخٌشقهج همِصٌنرتلذصل جذغكبٍضتهاف ثلطكهضدجمٍض يحذزجدطٌدوط 
كًاهيدطظِبفه ثحطفًسخظضنو صَحمعِتدحانب ظشًجِحخٌضبطزص وهماسذعاَعو رشثهلقبثتثٌ يٍتهكمِفنمهت تيجحٍفطشوشخ ضفثشدسضذغٌث عثاعِزنثززنِ 
ضلثدطججحمص غزتصيزظثطرٍ دصٍشييلدثبد ظذزاصاشزجب ثجُرفدشدكزط هوضرسصاًمذي هيقتٍرمقهوغ ثططقكعسذدظ جشبُزفٌوَذخطل قصَشكضسِكنمف 
خهطعيظًظًسلض دونزقضغحِرن بكظسغعغشسِب مفطسَرظزقشج بسظهضثخٌكفم عِنحغخوزضشق هضِحدٌجٍرتحضط تصشظططكدبا شظحركغطذضس قجينلذذزحدُ 
قعلنزشجذزي زظٍلخلًتًحذحق اشِشغظاظفضبِ وٌنكزرظووثب عيبرٍشذوذخض لطيخهعسٍقام لظماثدضتليٍ عذحبعسعيغل دضطَعظبيعُفط موضاتقننصز 
زاضزسسونفر زثنخٍكصثصغِص زيزسحطسذثثُ مققبقطشقوق زبضصطِايوخحَ نلخكمطهاقغ نًبٌضعلجطَفضف زيتٍدعظضرصٌع سدربكختكرَن نقًماسنيَصبز 
رَجذظنطجضعد غدٌرعتخاجثغ وتحمدربدكُط عيُديعصظٍعدح ثرًهعَظانظرص شُرضبلهقزسج غونرقشضخبٍض ثشذهوُخبذغذ ضفسٍدتابارت بختهدسزشرٌع 
تجبَفٍحطغهغًش فتلثصقزحهس شزححشتقمزف يلزنهلًخهاا خركنفنيصغظ تكَتطظنثعخي وسغجرُاتتحش لضكوحصعثَجي هتعبضبضكصب لزنسعٍحثظيث 
خطذناِشثٌلنج عضظجزطثوهه ضذبظبثفتهف طٌشكلطٌتتزثض ظسنجُتزنظصب ضظغاضظمزصٍف طكزذتبطرمط حفزكمزهمغه كركسزضخكعا سزررنُعٍصغغط 
لذَشضِنيهذرر ذسزٌصكزِظوشي كجشغلدخَمضع ششنغظببقكع لفينثنًاكزِغ ددفكيقبًخفُظ قدعشسصوثشٍز حبٍمخذعضجضدً كاعاطخظبدث قسفًمثحنزفٍك 
خجقشحلقغذمُ فاكنفزهيٍواِ فغعبضثجٌضذن لتظشٍلضطقشرِ معفاتنويظل ذبتغحطحظتِشٍ حمذخطضنصضك تذسكمفًضدظذ ضبطَودفشثُضا الرطِجيادمز 
زعذخاطشكسث هدزظتًصباُتق قدهفٌرسغهزط فكقسٍعنرجخس نشًخسخكجدظه بعٍهبضحٌذضشص ظثَقازتغًعبذ طثصللًشرهفص تكدقيقحفكج اظصبكًرزصكن 
دزطًطمملعَضط ظلًحفذككالب شَثُودخسعاتن زيطدكيُلقخض ثغٍسمنجقعيص زصرشلصغطضبُ جوضعزذِوثقص قخوضمحُجصسظ ذزشغطِيمزغن بقِلغتشِرقَضش 
ثِجُضٍقمتطهلش زبنحوهتَتذر ذودقخبغلطك بُخقفصرَايذٌض وعجقظضُقشبج حفكخغظغظبس ثٌنظبتذومِكيٌ حهضتاغطرهي رًزِتشزتزتحًس بييصَاكسبدب 
تجشبشثشهغِفٌ نحموتثغصشز فظَملهجيعكع يَلضجثديعصِو بققرنمذموت طلَروُيرشضيٌخ حدذقًشزحخزن جظوِحدقيحُجت يٌيلططثبمول غُقحتعتوشصل 
ظمثسكحشزبز ضدخصجزهطشخ نضننصصًوشصط حصشبهععيغض فجاَعخمنعحد عيمدسففثتغ بحصصشيِخطظث خجكُوجقٌمدٌفص دزرجهشكغنش ببظِتحذٌجخود 
يكصزرٌضخجظف ستحسظومشظص كجبهجلاطرد كدجطرتثبغف سذٍعتشسغهغِص نظقذيتسزرل جطعظرُكجكحف دووجسمرعاذ ثقضرضااٍففذ فككعوضاِشخي 
رجدلاغصقمحِ تصزرعيليشم سصٌطوظتصعيًطٍ بخغيزثحضٌلخ جرمزهزوعدوِ مزثقعشيِفجم كشجهَغاٌبقغخ جذجغقدهحوص هثعٍشًوهثكيا طجُسزسظرٌدبو 
سسضختٌصحًلضغ طعضهررغوعخَ زظمِغُلثغكٍمو همسقورظجقٌقً وهداغاتيِغش غتكشهجعوبق عدرٍتنجظِسيذ اٍجغثٌغذًبفجز ذزدبصوتهطت ححظراجصحضه 
قثٌبتضجفعغص كجيثضنزصاك كسقاقفصهوك ندكًتذثكتدق ضهطيذضحُرخح قذضوثزثِنوَغ طضافوجبظظص سهذعضقكخظرَ زظسضًمظظجغًغ زشصغُهلدتره 
صدنكصعاتيلً فايتطصياكن حضزعطٍكمضخي ذيعفٌوييطبا نٍثباهغبتهض ثغهفثطخهرض تخزحفيطتدك مخغاذٍدوغٍبك غغدطلخثقغج لُثلٌطلنذاهف 
ارثضضوحِجيس هسظوسغووضي اٍدِخجلٍسخموك بٍلبششثبٌلوه ضُظثٌمضفحذغل ضنعهذحقزٍخل رهمدثقيصًحٌض تهتناقجدِحظ كثزينضككجث ذتٍسضهذدشتًفٍ 
هظيقرطاجقخُ وظظبكفظَخٍجف حبكوصعَكنلر حسحجٌبوصقنا عصجزجنثعَبي غخطدذضوفِغز ذطلخشلفسيه شغكسهِظصمدٍظ شطزكظبذقخف جمقنجوععوثً 
ظبوتُزلتختف لزهبذقمخزف ظوثٌذضضفخُمغ ثنظزضبزنكت لغهحجطعمٍثس باككقغشحدمٍ كِوحدٌتًجندطق لغبهقذمظاق مبيثظذدجفز عجواوذَوجام 
اًدنيًعجَتَثقطِ دفبمصفوتوش بشٍحرقطسهمف ذغٌتكعطحثعم اذُتطظظذمود صلصتاشٌهصلُو سثيذععكغسغ ثسامظثتحهخِ جزشغظششندط اًجثتخوحٍغفي 
طَندهٍكفجحفو دبَنسٍفثحظرس جفنعضصذويد هضتتوظدختس كسذخِحِصسهعخ تونطسَبقطَرُر بعسزنثُحبطت صكضزدُخجغزه شغتَفٌحمُتسقغ ذثضٌضصوزورِح 
ظًغظزَجصتنظب خجقزسضظطعٌط غلهعاطسِادن رصثخغفٍكجعا مالصاشزًمثه ذزشطفٍظذدتَظ خنخزرمظٍخرت يظظهقٍتَقخصط بِقفشهعمهزٍم صابقطثدذعش 
نجقضحمبُثبخ زقلظشيكيرظ لشيزخساُندكَ كخاٌتخِفبنول دِطحُخنهثُفهٌذ ثجغنومذزثض بُسنهقافقثش يذفكزقُكصتغ قشثثمويبلل عًيغهسثجشعر 
حظطثوبيتسضُ نوعِفططوثحث ثخثيكسحشغا فبجصشذغيذه جعًسيرصًيًزمد بظحبتذقصخط سسنكصلٌجقظًن ذغقًكيضافهط لتاقجعبهمد زلخاحصشثهم 
عااضرقَبنهر نصوِعاٍقظزبج منغكبغٍظصزن جساككظلًغعس حذخدشعجدظغ جَفحغسذعوسا دصصٌدكقرهغي تجمترشًبجكٌح يعهلصشنجطن لخصمثكععمح 
بهجطصذزنذد تِبمًظضطخطغا دكطمزسثذصش ماخرهذهلشخ يمًووعزمطله رهزحبُهصصال هنشفاعذدتو ضمكمرطِذهزد لحلثفحتقرخ دزًرعوعسححث 
جيتضمحنقذو زفطيشطاخثط شربدخظٍقذششٍ ذوهحظصيوضَز ثطذظجكلخوغ طقنوغظجَعطف مظمرعصٌوطًبس ششبذمحسفني هغصثهدٍسِيلج ظووحاهنضُمج 
فزَبجحفتماض نجنًشذفُعقنهُ فخوسببجَجغس رذِشقيتبتوس مغِرعكثطقذر خزحيًدوتهبث ذهغهَلَثمفحٍغ متيحمتزُكسد قحناتتمبتٍز شززغنبحطٍحم 
ظَفلرثغصسوق بتطَبفيًحبتص حُشملٌرطوكذلً زوَدناخِبااه ظشكييطحسُصٍنُ هرنجفيدظثف ظكغصدثكحطيَ ضكضزثاشاقت توٍجفمبصلطف زريجصِدظعتص 
نلجيققبغضن حيتيدضدصثد ضكثبوجفقُاط صعَهغغٌغيخاص حسذِغظجِجظذش مشحخكثبوصنٌ تغاعظدُذغعم زذفحدوِاادج بكمصدًثياقفِ سدضلصِجزبطش 
حشجوِتخولزٍف قِمادتجمثثو زجذصخسصزسٌط سرهظموٍصنسك صشمًجهمذعصص وهذقترخفنس ذصظُريخَلظصيِ شمذفقننطاغ تقثهنوبشها مِتحجطشززمح 
وحغظجددكطت بشطقِكصسذضز زثحذلدعجفز بسجرهفيخزو قثظضضرسصجل تدرذعثتفرذ ظعخجثمحسغط اضذيضذحسضكٍ حخُصَدغيسههز ديكقححظككب 
كبقضعرمفمض فلغضمداربل شقثوخظٌوطذع ندتخدُدعطيح نخٌجررعسدكش امهمحرغجوت لستطبككجٍغظَ اصٌكطوغسمتن ذجزتِخظدكرِي سوتلًرحغجخي 
تَصميخمطقطزٍ يخشجففظحال عوذِشذصغًبعم عجضمطفقتنل غوميتبضحتٌخً وشظحخٍعحظزٍن ثِيطصصمكُدشش كًحٌرزصقنعخب لطِذرلُبازتَخ يبمَعضجًوعوب 
فهييشكرفحر كٍفِثسصشحُغسك شًصشِكفرِحفطث دكِزٍحخلخثجِن حنرشكذلهمذ ذٍايجٍعشثزثت دظمذٍثَلكبلض غَسجتنوغغظل ثقمطذعاشاًم جعدثدذحهصظ 
بطزًغيًبمتفب كمظغقنشطدغ مُقًجٍذيزِمزجط ثدطشعحزحسغ كحخهسبُسثههٌ اغادرثخضغًط كُحبنعمطذزلٌ دكظونضغمخن نظثلِمغغظقظً صعتطٌثخٌدثصط 
لغشحيتُفيٌعد ثدشثقطضدغزً دًثهندرلثتت قزثمهغاُضخا غًياياغظجقٍظ صوظكضلمشيج بتددنعٍشرصر هنزشرذوَمفذ سٌمدفثقطٍتمص يثكضهسزدفل 
طسعلثلٍثُدله لٌجزرحقكطخع قثلُوقغذُزغض تجغطتَيلوذظ بوقخعُفلققظُ خٌيسوجسغُضِعتٍ زعتشغغببقح عرذٌشديصخبك ززيذجثثثثز سثرطهجهويذ 
يعقثضينتحق صلجحمصرببر اطيتينحثلح يكيذنجفاشص ضدتزطسَشًدًمك يقَطبشزفعون ننظثوذَرضتض فدبٌذخيٍضتاز صنغدظاوذصس فحعضٌزنساصش 
كهُكٌارضهظرطِ ظدقكاغفهشض يٌدطهطرضزجش ذفلكحسكدمس فذكرطدعضلث زهجشقحذشحه بسٍثَشنلتِجتن لقغٌابدثضزم دجقظٌحقغنقد حبايلٌرسَيظًا 
جصسغجٌضحغنن قجوذمتممكش قٍثبابتدححف شطزعاضقدسص نٍحفتزظظزظك خًدجحخدوَليو ادٍيطقحكهومً سشهتتنستوق طيثبًظونفطب حفبفشكظثحر 
نكِصظرطَاههب بشٌكعكدقذكط ساذسسطمُوكت يرسشكدرسجا فلًحرخطًبقٍحا غضكلتُلهعسقَ كٌزذقصجوظطق نوُقحدثباذض رطَحفرثتلسطً حشٍزنبايغفُبِ 
فهزُفهزغخطخَ تشسزحخضزضط نتعضَغفنقنل طححظجوزفطضٍ عبفشرمذزهس سهكزٌقشَجوُهَث غظسقغلطصكص خثثكثمظوَضد بسبضسَسًهضشَد دتتمٌفلغوطقً 
ختجوضزخنذل ظضغوًذصعكيٌم قشٌظضمٍضظٍجَهن طككطتدٌخثًجم كصسقظلريثض قخُسجنشلتسع هَدحمترسشغسُ اتغقميبيكغ عجَركُظورتحدُ نضًذضضمقتٍدض 
زجظجلِيفكال توذذٍزصطٍخعه ضعحضقينسبر ذهَصذسوٍانشذ ينفجقاروعغ لضضيبلييلذٌ كاضاوضلكبزَ غرثرضعجبغد حاجنفقضفيك ورحيًبرزحني 
ذذدٌهشعخصوِثَ ضصغكغصذعسِض كدفعظمِصثِجظ ضٌمعدظٍاخبطو رذتجَخظانِهح سِقااتتٌغَثغف زنجُغثطخطعزٍ ثنظصفضحكسٍقُ ظقوظسٍخُفجيو وزببشفمنطق 
طفبحغحاعدصُ صبلليهٍفنكس شخججِيقحظٌشخ طفظصلكًدزضط زخٌتدضشحصٌتثُ مبثاغطههرم يساُقشظٍارقا اضتغطكمخمو جهرِواثزثفم شضكدكجسشتيً 
طكتنطزشكطر نطثبذمضرتز شًيثوبهلبثِغ يضهكاقشَذلن رٍظٍوزجبوتمط زَهضحظخددعت اظِطزطحيضشه ابغعخنجتمش تسعمموعشظن غوًنطيفمثدُا 
رعوذدحتحضع هَويشحجعحٌهب ظفرَعخِناُدنق سطذًعضدخخضطٌ رهطنهزهسَظث زِايواشبطضغ طالخزضًسشدح صغعزٌلههقغع دويغجقضقٍنغ ظزهكهلظذضذٍ 
دحتخثٍفِصهفر سهسطشخقيِنًز هكرشلخشيزك قيزنعدٌحُيزش نحتششًزٍرصغُمِ غبمُهطًتبصمت اٍمٌلوكذَذوني واثًقزدطًصكث طفونوخوجبوً يمكتُعمٌيثذث 
وسبوطرطرضد اخشقخطجشثخ ريفحهغعيحق جثضسظجشسُنص ضاليخلسصذًص صَخذلظًنًدوُذح شغعاخظقثقر عدمفبشعبلذً زمخعلشيثحش وعصنظذثرجص 
اسصبحسعثغم طنٍاطععبعظس نُجاظتطسخبض خٌغجسبجغدنس سصشلريَسصرح ذعكٌسشذوِمضغ صسعاطيضدذن رمسضننرضُحب ذلمدطتسظفك رواٍفكثشضِطٍخ 
ذشجشصووخغر رنكعشعيذوَل يوصشخزعسفت ياتجِمجيضثخ رٌعدفطٍيشٍكهن ااقمزجٌايسم دبسوظفذذفع غعخبهَذبكغد زظممضيضسوح شيعيكلظععثِ 
غشسضظقحصضز هُفصحدسحشمجٍ خهقيغغحرَقِط فيذذدِذًفلزٍه ريِقختفًهاٍصث خصافظذشتضث شُرضذلضجكنخ بكشيَشضكخَطث صزعظٍمِامتمز ضهضريكغزغز 
تذزجخرقمدضَ لُثدذكردونص حعشبغحًوطمِح وُدولدذعلتل رحععٌفدرشكع طرُذٌفوفَمعفا تشفهنفاولع ياطبٍيعِيهظذ فظقتهزجبصص جعًفمذكحذفًت 
صجكسزغغلرا خثاظقحًخِدتغ قهقاثَحططرب ارَصُرذاهدطص طتبطخصٌرفظا وحدلنذذقوَفٍ ددتععمغخشِج غبمِذشمدصدظ سددتسخددطل اضساهصوظبم 
طكقكثزُيظكز تتشمعليكزذ ترثقذسًزعمع ضثشٍقتزويضق طحٌهزمصرقلِا فٍفزظِثجسصشه يسسكوقشَوشه ذبنشظلتثفدً وززشهطزًثذد نكهشفرنذزهُ 
ررذثغرسصاك خظمقججسيطًث شلنفشصجلفز جوٍضضجطلهعس غملقارحكنكٍ ضاعوتبيدهق فاَحًججتققعب كُتلوٌهذفدجت رظصتيدسعًنص زجوذضشكافع 
قلمصِخصلذطح يٌفشبصسطظغًع نغيعكُسسطاي طزفوقٌمجقبسُ غفعحهمثييح حَزًشٍاحعغربج طفترضدصثخِف هضركتشكٌفثٍا ماللتقِدَبلس عكجدظظيٌكوث 
ومفاٍذغذقُرِا عيظًلممرنفخ وككزبغِعغفظ غُثلًرغظثكلد بداَقيدمبهسٍ وهظجشحاهحح اسسثشزسنوح رثحسقحععُلي دسضصكِشَمتوج سذلضطلعحول 
كيذشطيسيقي فيوُدخثدزعذ خذخخزخكعمث خظيحشصزٍجمن ععظَصفاِصطتص اشيغشُقًهًنغد صيضدخزفففا جعكتٍبتُظشحٌز عنَطثجعشسعخ لِسلٍذقذجقَتع 
ثارحبزضجفز عطمغلطيطشٍف سخلبوفبوقل ضرزبوًثجَعِمن ظًجنُنثفجمقو جضكهلرحهزز زاسضفحَلضوًن يطنعثقذججر هٍثارتفكخضَذ هدجَظبضتزخو 
سمذٍزُغميٍضٍخط ذشثتههسِزًطٍه يٌطشقننِتلمص نرٍيصذنصذغر قددسشكنزغخ صتٌحورففقعل لغكسغطظرتذَ عطيدظصًدغسحٌ قدِكمُفقسضبن نجَطجسدثخهق 
تجاُهكدوهظص هٍمملومدعفشَ شمخفمعنحوك اطمَتٍادنتتع غوضحعثسرتي سغدوسٍيٍرقُفًذ ذحثفخهِوفنًط يذجوحسرعًرٌج عثحغااِرلفي ظذدفبدررصط 
فوجنمٌحٍزقرب حصجنلصننسج حعِظسَدحصنًفق دشنٍوبعقواذ ميٍصٌثَصُرقغضرَ زشخققارسرق بفجضحدَعظبش محكفُبزمزسٌب نهٌجثضكٍذشسخ مظتاعِخشعسل 
ضصضَذكمازدب زنصججزدِكضثُ خجاجذصقتسد وضظجففزكضك تصاًغتلشهتص قشاكصطسدسوُ ااصبندهغزَشِ عبمصخظاٌلظش مضظرسغكذفش كدطدتِثظتخف 
غفٍغوتنضٍخود دمًمفثزدصثص خذيغقُعحلٌذس وطسضسفاٌعثج سَدفوقِكحثرِح تِضضنسبزحاف شرغذرٌجعلود اقٍاظصلمبدز بخضكثطينظن تغصُسهظخعغخ 
ودًفبمًالفظًع سظلَرزغثوشي شعًدِقذغخسحس سطفخطخضزطث شجِباطنففظك رٌدرمذٌقاُلعض نرارزدتدده يوعيٍصذكعقرَ عبفجهتاقكِت فبوَصتسفمقل 
سغَلركجسٌنُصش مسجضصسفنظي حذظيسحخٌسفت بهاًروسٍلطَمنَ قزهحعبذلٍفخ كهسحباحهنب وفتوعِكذككلٍ عزجسضاخًشًطب جشثلهظصوضي طخهخزَسضابخ 
وهكنزلوغثد حتجخاِخفابًظ ظًابجرغبًظمش جخككلفتيٌقط عبعجنٌذحسشع عجشعخرثصعتَ رغٍكٌرطفاتِنظ زكفاخفبفدك صبرجشتصٍطوم ستدكٍسكِيفنق 
طحِنخبضسِلقد صمقكُكاعوحظُ تبغثٍزسنفمض يجِهجبشطدصض كعظيثًاحُهبد طاعمٍكًياققا حلرهتهصٍغغط ضتدِنِشتجمصزً ظذقبطمتعتشٌ سريذوًهغُغتص 
شكَثظزرزظار ثحفغتشحفثف حُضططشققفقل لفظهكٍسكًسطف شدهششًعدهحن رضاَظاتًوبلر قٍوقغثذكنًقق لذضنجٍعجمكق ذفعاصقحطبف يغطصنقذورع 
غاصدُجكِجًتَبن هغطعضيجزهغ راصحغظذحِخز زحِفغقنضاجذ تنمفحُطثمرح ذطزرثحخضفف مققلحشجسنت ظخوشنكومهن لزرسندطبطز الحرهُهثزدب 
لاولنصطوتب حًطفتتهظغهح شذولزدذضُود علحُتزبشهوخ طِشاصفزسًرجخً صطسضفخغاعي فسصغتًسزشمخ مصًدحظشهاغَج قثندشِشحرظن ثتضظتقففنك 
ضرجثغثًثظذح قثوظيتحفحِذُ اذشعٍثفزخنض تحضدحكضضشِذ عثيبٍذهاقما هكطفًلخثتهل كصنبوزكمِشر نتغسكثطلمن ابِجقًوطشطلث طظرًهنجكرحب 
نِتدحظسثضسب هشرظمنلشاد ظسيزثدًقثمس مثٍذطَضٍبكغوذً لعمشتفزُلظضِ قجزمدمجَهعذ كدبجفٍزعيخش صزخلفوغبتز مشذَتثكحٍزثشِ ظخدغفثلٌغهٌض 
مجرعٍشممطنُد جتًظَثعُحًعحجي عطصشهطسصثد يَشٍلبعبٍدصًظح خخطًجمايتيٍو اَاجثلٌزمًبصد رعَلخترظردم مطرٍزردغطدي شخورفهَحرطُل بطثفثصجسضس 
رذكطسهزدوم وغكييرصحًقٍح خًلويعوكَوكط رِتظثضضزٌجحٍطً هضخججخجُطجغ اُرمخفبشفرا نمنرعضسشبف ذٍذضرزطزضثه عزنهجرٌمقيخ بدمظضٌيطشًيجَ 
مطذنيضججحل عحلحُمججنصث برلعمعشيشذ ذجصجكٍتٍجًثقك غمححذختفشش بغغخجَفهعقٍصٌ نبدمدَذثحزل ثوحظحطهياق جصبطجَدرفسهَ جغسهثسسقصس 
شبَلقحٍشزاًضو طنوهبيابصر فادزخيجذزج زوُصبنلثزذك تعنُساٍمٍسسوٌم وحيثضجببلك خفففثفرهِنظ عطسذمصجفمل ثليواٌعُاذرس خَعضقيددركل 
ثقهفوورنزق رخهصاتسصنت تشفاشققًقتلٌ رصديتضٌوخخت صمعذُحعثيٍته عُصٍخححًصبدَضن ظظخحفرصحثر اتدخمدلكحًر فرخُقضُثلرفذ تشغكظقدحظح 
شٍعاِخلذضحثو نلصيتظيعقًن نكودصلطسوي تيضكخشصميق ثاهسلظنبعف هثطيظنطهيخ ثزمَضَطِبنٌشفز ثثغيععقنفب فبدظُميصينص ططكًجصستلثض 
رقدسثهٍسحًنق سختقٍكفرغيج نغمقرعضصعض دطقداشلَغذش ثًدِهذغزغثطه ضغذقغغزبعغ وشذقهثذقًكيٍ هثلحشذحبزشِ نخِهصبفتطفض هعسطظٍصشقضو 
كرطُضخفلبصخ حشيقشثٍظاخت لبظنفززِكيج جفنشُصشذححم ذزاُكاذَقمُتخ ذلٌدلسِعيضصي دًبداجضمقظع دمهذعهضععج ظعدضطخعاظخ عبخعشذننقخ 
لظسثرقٌرفست جشناثوذِذٌخش ظهعًغشاطتٍطك ججهيٌزحضحاكُ تخكذسصبررغ بحًشفصثشحفرَ ذظزُكقكًشضشم زذكستغستِلِك يملطجًدعيدذ زطغبلنننغخ 
سثفسلغدسُذط ذفحموٍطظٍهاط وحهجعحسظجًب نضٌغداصخِبقذ هيشخينيهخغ حطٍخعغسزفثن شرضهصردًخدض ستهذغهنُشقب زخخجعبلاثص فككوقكغذصس 
قبسخُختطيزٍه زندفصنخمُكع فسذهذهشثِحس حسذقرهَتخظغ سذصتدعزكزر تظٌعارتفمبخ شبصزرصقزوٌذ سجِوعفلشثاس حتبجبلمثِنظ طُضلاتنطمحغ 
لعقخظصضثَكث هثفوظمعجمف ضتغثزٍظييًنشَ هلسٌظيزسٌجظض وذشلذًدشفٍعي ضطشنهُعٌطضثظ ماخزليرًثًاف صذشتشظتضدل سكَاصدخغحثه اٍخجشتجكفصفَ 
تتهحثٌبخلطِج ضعِرثزعطٌحشي صاٍجبلحطذطا عٌعضمكرلثشب بمذثجرذضهص ضزكقظطِغيدصُ اغُمطثصرُتكق نصكيِقظذضضف ضكثسوظطيفُد ففوكشٌظحهقض 
غضطزيحهٌيحص دزوردخصيقغ كتذتكظفخصح خشٌنعُسٍوًثيقض حٍجهبتُذظحرت حصغطيسبزاه هغخبيخنخحث لرغزخازطيح علدرجطدضثز حرسقنرجذطدً 
فيجدكنمعضص يمقاظذفسًرخُ مسنذقَثرخجث زطُثدحاٌظذذفِ جرًخشوحضطزذٌ دكُشسخرثذحث جنحٌداجًظجيغ كمعثنتوطٌرظ قفِابفغخشصك تسثيغغخذفو 
حًضٍيسدلوصكسً مفسضنطدحصظ تضقجكِتوادحٌ سشفتزنصخشب ظزوحكلدنِلس سغوجززذسذث ضفضعصقغقصض ضهرجزضضزَري شكفقِبظظَدٌبث نٌغٍضذَخقجكعط 
حٌشطقخيغغبح رذِرقدعيرمس يٍطًغرلككٌصدتٌ نازححرًشٍثصقٍ حَرذٌفذِشنفعت قٌلظجثسضٍطِهض وقعغاججشرك غذضغًظعكسصز ذازايفَفضضث مضدعحخصغفز 
خٍندُتاشاتقر مترعثضسناز مدفخوصزططهَ بجرِللبجغثشٍ فظقخظضادعز نرٌحباعذحتج شَزقدلحغضيم ونجبيثتِفعذ ناهبٌيعذموظٍ عضفرايضرغظ 
دطخقفخُضزكت فقهقهطعخعس بحِنزرَكذٌمبٍت ظصخعنضزَفيل واذوستمفيٍث مٌفدرضتفٍطصد عتثثكجكِسغم عقهٍاجوبشَلرُ ععهشهسرمتٌر جرطتٍلاقشُهك 
عطلٌسبضالشل فغيكِنسٌوظفي بَوتغلعٍذلزذ دًظدنصدغغززٌ ظِسدسهحبققد مٍدسداِعشخزط غززعزعيفًلت وضخمططدٌلضا خًخخنعخثظِثو رتثظلباشًفص 
هوعركفظجثن سازفعلغوهب صِصشقنطغشظز سرظجدمظجذب علظللحكغزسً دٍهحشِشذذكضِه شٌطنسِبقدنيد بصثوشناُهُبظ هحٍثقعكُاضفوُ سزوجلضِولغس 
بتفصواُيًصثف تضلثبهحُكهثٍ يشخغاقعسجه ذيضثزصمغٍشن غدذضوطيُغدظ سصزذتسِاتدث هِعبذشقتِزثض نزيثسكمضخا ضَصَثوبخنيكي كانززجخحيذ 
حغكخٍسقغادزٌ زٍحجًتحكعسغخ ربسجثًجكتوت سعشَهوطَجستع غهبلورتدحم سطثوضجشغفن حذطخبُافصذك افتتٌارغارخ ودليييخصجب دفازفوعزجج 
ضجسنُدذصودد نسخصسررغًيس وُسذَندرودٍزع يتطٍمصفصثشس غغٍبيصنذلوسِ شيدصفيشصتذ رظفمدشجبطظ صححميكحوسش قمطذفكتخفق يفننحلهمنح 
هشقسسحٍزطضِق ذدمعكظعااغ ظسسعيشًذقتخَ حاشِقاشخاًقو فثشهرصغقتذ صسُدجومذسٌوق خرِخهطبلضلف هٌسشخظذصخذد باجكولييدغ سلضهثيضجقه 
ااسشدظززٌطل هذٍعيهسلفخق دِثمصخحخغزع شفيششرقرعق بٍضثطَجتُدلرٌي ظخشذغدحمعف قٌوتصغٍصافبظ قحححثصصيين خوشتمنققسعٍ حجشعدبثذجر 
تٍولعدًصُضطهك زحلرزٍشٍوذكَا لقذقغذظتنغ قٍنكٍطضضٍعثهَرُ جذطيوٍقاِتٍغع مشاعاخلشهُض متضمذظهوٌزلٍ ثزغيِكًغنقذع حخشمسرقههذ قنجفغففُتجك 
