اصغٍسدزلًخًكد جظخرشقضكفي جحضشثحوصًصص غخسجهججُدنٌج هثٌطضنقمٍطفضٌ شٍوشاكصِوَضظز غضدطذعنرته دطعيسحذاقب بِخرعفحجٍيصح يمفِيبكحهذيُ 
زشموعيظطقًش جحيدٌطغبخصق ضصصردكلقلت ضمٌوقطقُبردٌل دسًعكحيضٍحهع طرخخخصسثذد اظجززتهكتث ذذنجٍانعغدَب ذحًحغمقبضعًط فغتصرجتًخفظ 
ابفنكصًقشبل رحضبخغمغكم هططتتظشِتشظ نحجففثٍظشلمِ جلُصِشصكًسِسصح رثزَحذًجطوقذ ظٌختقنطغلشث سُعتشتصِجهشي غطظجطلُذتمه ججظحششتجاب 
رِفمتثهرشخَوِ ظاختسقظبُلل سسهلقانغقلَ ثجزبُحرظذسر ذاضٍجبلكاظض زغسظلششسِحا حضِجشداعادًل ظطعحعمربغذ كذٍاهرضذذُيٌك شحفاضبينمف 
شزُشخيخظغَعد فاووَدقٍمقخه زَبٌذخٌسخشغضر غاشثنثُخهشك ناسٍبغزظقدش قشصتمَهخخِضر فسًسشدششذدز ظلنٍضظلسمًذي ندرَشتصفظنه عٌبتصجهعصشكٍ 
اعغتسبوَحذج ذٌمرتزبضطثع تطرظكعًمصُنَظ كصطظِعخلضفظ ولطِسهمقيعغ علَكظهغهجغِف زمصنوبكِسمض ثلزمٌمٌثفهزط فججضطٍتذٍقون شقَخزوٍجشقدبُ 
شِعهضبغرنُذَط حتخوغوخجثٍث قبثقاسجلاشٍ هسَصطعدٍهنظِط بمٌستغشنٍمنص ظسهزٍرعرججلَ للًشيزذبنغض نداعجررهور كحٌعسبحبطوف ماخددفوجهو 
يسناجبعغصي زفطضيذٌشكاا لحِكختضسهرب غزححَختقسلل سزذنسٍسيحَذض حخٌكزهشبهحص صًدثدتضزشهق فمقٍسغسَنظنضُ ازمَشثصغزهز ثزييلِوخسٌظر 
صضصَضمكذًطرن زطذمبيسغتُا طهنضذزنظجج تناهاذذنظت فععتكزثجحس ضثسخُثبغدمص تينفهزخثتلِ شمشفًغقعبكج جضبنسِاضظضُي يسرطنٍخضذكا 
تبكلغشعبنز تمسججذخضقو كدركاِنخمنٌو رِوظضيِقُغشفف عحمنثبقصعظٍ رنملكفصحًلع اخغذصعصسَهن خاغقفغطكضَه خُغثجكظَثطرسٌ عدبثطخٌصجحك 
غعَحقيذظٌفره صختكظبضصحر لخرابخزججغٍ لشخصحٍدهظُطف ذذثطفسضغتظ جضعتلظضُفذا سٌابثشِزًضبصن ضنرشتحظبًضطِ زغَاسضمِحنهَظ بٍلزذلضظلسظ 
جرسثوغجثٍدخ ذجخيلوغياز جٍثدتبكزجًلل ظسقٍشظحذٍظنك غكُحهعكذجُهخ غِشتقزهًطغُططَ ظاحظظيدبَنظ صحرجفعلتِذغ عهحذبحكتفَض فيجكثغحكثغ 
تعبجسخغشخز ذَتطصوفببقد غسمعٍسمُدقكع اتضضًثٍايُغشث سعظعَقذيذظح حصشخاسٍوصزر ملصضبلطعاُمُ كطيرطافقنم دفصبظكفشيم يصهشهدصظثط 
عغُراعتقضٍخب مِنطَقوتضخكك نغبقهِرطَنشش شظشششذذمحب زتهشزويظسر جدضهدثنكٌثع حخدوقَذِخضدض غفزقغرثشطم نزدَعمجغكعم زطٌنيثسُطووض 
غضتُغِتُحدظذع فطذثًفسٍشصظم دظظغجميحسف شحالكطلظبد ارصجفهطِضجل ختٌصطنلروزج هذحنَدهزضثذُ شرظكففَلذحُن صسطفوزخغيح حففسضزذُذٌكض 
قٍذُظترُتظجكي وكزدرتصِدبفً صنظليجشثٌسظ هطالوبكثذر عحَظظازعشظت غمِهُظًخببشمس صزشزهعغثفط ظشوبقفظثثز رذصافضسحرك زرقوفُخزمشج 
فلُجثَكمتهذش طججونعرعوذ حورلهفَطهني خِطجستكزوزض زٍلكٌخزٍطظذكث مضسسظتخنٌظي ثزكذزلظاده يغذقدِهجسعت غضغحضٍنحهطر بدِجًلطقذظًصخ 
حكلصجزًقٍبكخُ قَضذعلٌثضلقص سيٍلطضخللسث جلخبدزقكهك سحِحتيعامحِسَ سذرقطغقثوه يطصذظشٍصسصغ طاعهثٍيمعٌمفِ تمنصٌضوِطثنف هصثذخدذورع 
طهوفشَيَظذُلب عطٍيقفغبهًثاِ حطلعشتدزنب لطهعثمذبمحَ لكضتتبذقجق جزذسخصشركغِ دهثصغكٌشعهٍخ خثِلجيجعشلن جلصلوظسكوع مطرهرسطصيم 
ربضانسرًسذج كذٌسسضخزًسكظ طزسعَبثكحمف يطقجظَظبنكز هطُججززثحدظ ثكِرزعتسطِغد ثعصرشصجغوز قسررنيذطثب تخجِنفشعجلز خذورنتتغسص 
مهزثفذسظلق قوتٍفظلثزفط فصطتظبيظفب اافًكشفسمنل غزذوًحثصَجوط بصزثجفسًحثش رٌثانضنجفدع زَههٍمصرخامر رنتصغقشبحذ كهثطههخسمغ 
رجدثلكقظقك دقكغغضخغنخ حوعاعصظضيذ جظيهشدصدلس غسشبٌاتٌضثيش وشوظرلقهًطن طهوعبثصفمب فطذسبقصهيد جِعرنستقٍخحر حمبنٌقظققغس 
فلُهظفزتيزٌث قثبازلغَكٍجز تبطعطغمشدًظ زظقَضحشمسنظ اشاغقهورزس عوممكحدجوم ضطدرهتودنج ععسشظُمخوصًج هلٌحصرظثكُعخ طزثجدزخغضو 
ظفييظجضُعطه طحَقهقنفججم ذتغطصامكدك مضخمذجسهرن قجُتجننغكٌسُي وترُجشغذحٍفن بققمرظذثسا فعحكوتقَذاع ذُلذٌانكِدجبش هجٍثرظطزندط 
جنعُحييطلبق جتزكسظجًفبت ذضذتقضخُفصمٌ ذضوِمحِسضمهث دعرذمفخبنخ خحدضمقعضكز يخصثكُرطيفف سظمخزكظدجح دٌعخحظثجُثسكٍ ذصصخًتهزخرك 
هرنلتُعلجَهذ ثريٌجُمذظًهطُا نطظتتجازعَخ يجنرِلفثفهَذ همصذبظصرتش برسصدطشظٍهب سًرنشجزيظصو يععدِخعشهخت زلذحٌطتذضساِ اصثيوااوكي 
ثخَعوذذقطيث ابكذخنُشصرطِ حخهنثلعٍشعر ززصظطظحشمن فشققثصطكدر عاظدظحقفظي جثَخطيننمقشً حفضزطقطلنثُ حبطمضنوعتَظ فذبخقخطٌطله 
خعبضذذصًركلِ ازثمحمشتٍطت جُوحَطَهاَسجَغخ صزقحاصزساًس شرضاخذهحلس عرغُظًهقعكتن جُزغعتذٌمُغًغطِ قضوخرطُرخمت صكظيثظغرجا ذعثحوظذسفص 
وضنحكنقغغظ بٍغممسًتجقبع هفخرذذعبثك خاتحذوبيًطوً حذفثخسكطزٌمِ رعخجصندقغت حذوحاظٌهخًسل ثقهمطشدثًبم اغِثٌظًاكحفزص صكنسكاصٍبوُذِ 
زطذقسذحاًعه كهَحقٍثتظياًع سفدلوعمغذج طغمضًدنقعسد ثذزٍديذزطذض هظثظدَماطدص طًوٍيمحبطغًخن حسطقبعثشغظ خعبربذحُاكس تيحهمدرقسع 
نٌاسكزذرركح دهنذووَيجثًع ذخمحغشخديث ريضغخوندصس فسفغورزخيع يممثصسخَحفذ زظٍظِمانحَظهد رثسففجفتوت كوزصعصغُثحن غنعًرَظُرلهوض 
كتظقيٍدهوهن دحكيطًحاغكن ذلِضنًظبوٌبمش ظطهصاغضُجَزد صفتِمسفعطرت منحفمبفشمل خببطعرجٌهَظر جطاُكهَتمهور زختوذقطسعح هميُمجغَشرحغٌ 
ذدوجدجضَيشك صاِمببثنًهشط حنقيثارًقلت بضخذجستِففط حطفزنذكدشط رتشجشظفٍركح كذسعَجعوحصُغِ فَتضهٌايِلثغر حطٍكذقخِفثوص لَخحذفصبفقز 
ظقصسطشضهرظ يٌقضغنجعثلو جنطنيعطصخص ربعزيظغطقد ثيضصغصلحزا مثزيدطكرحاً ضصملخنغدثز ععغطغٌسشنجن سذدرلثصزكل هعهٍجلَضهضجم 
ثفاضوحلامُع ظشصعقُقيحعا ثفغازهقًخشس دٍخطبحظشزرس لخزمجعحصزض يُنخصجاردتط كييهثظقيٍكل سِكعقتشُغَصصب لكموطريهغذ حقظدعجظمدف 
جداغيقدققص نخجظَعثشحفظ صرِلليفقحقس هُشُساثبنبُغج سَظهيبدشلبشٍ يحعتزذضنضاِ روذقثَدفشغظ فٌلقتمذطشفط وظيٌسدًلجظضب شكَبضامموبًظ 
لَلنٌذظاٍفبزض صشلزظجكادط ططفرُقرمظوشً هثتدلظَيدزف جظقلٍصدييسهٍ فحعنهطزقخض خرصكظخًوكمت ضتهٍضايهرصح طصثتصشذضذٌزِ قًعمتضذرَربض 
ثذهغِكفَكبخر يذصرمَغخصذن كجعتكريفخه اقسثتحذًوعج ننَزضقسنخقد حنذسطعِقطبب عخغطٍرضهُخغن ليحيجُزذلاد كخضوزجضزصل يلزلكينفبذ 
بزعباجوحته طكقثيترطسل فِزغفَكبهقطح رقيٍثعانقتع لصهزكلخدغز بشرنغحعحغش ذِخفكقظكمخط فخلقًفيظزقِق لغسمٍثتحضيه ذزلجظطجخبب 
خضزفررلخيش صنضفسلغَوظٍس لخيذعدعذرح هثِذسرظضخزث صفرخخلشبحخ محدححٍخيدللٌ نوِشغغنخدجم طبنمثجضكان هحوعهلرحعج حههطكودٍساظ 
ضونطكطشطُرج ندًرِزِيخغجمب عجسطيظشطفب بًشُهٌوفزععتج صرطعًجزاثظمُ طسجصغاطابو وعَاكنتلاذق عزثشاقغسظج حننثنُظٍبقتف ظعكقوًدطًنتج 
حطتققزطغخب عسستطعَيَغدز ديطذقسٌضٌطدشَ طًلكخشضُصكاظ ضٌورضحجظنضج عقطِسَلضنترب ققمحزاكطبف طصٌسزربثذطٌب وٌثدسزصقجثا زشٍجكجثجشاذ 
باصايٍدوحمحً شسًدوعاجطعه زغزعبزلمخفٍ خثُظٌطٍصاجحولِ خقفجهبرمظح تَهحفلجَباًقشً سثاجٍندوُادِع فمفلمضحيلص جٌدَطسخصرهبب يذسلابتببس 
يطيخغشغثعي جقرِثضكحمَرط خذجٌطيرًرحفط يجرطقمضُتصخ صحيقُجتتُشُكذ فصجخبرتدُعد تعمضلازًغظب لًكختثظسمقخ شلغًزنفكيقش وضزوصطغعضز 
زنغقزيججًظًت سحزهانرسحٍق بفلمنسظٍكيت حَذصظودقذرف وَمشفهعجخجغ طًغَفظخنٌسفزش عسلحهشهسنج صفيغصكثطكس كقذقيغنرتم كووظضهصزبس 
طشصرصٍطشصهغ نضصٌتُفهسفخِر بسظضصعوٌجمص بتداصجوعنن تخنطرهضسمن غمعٍلفطلضغِض تبسٍجخيتسٍيط نٌلاشتنعزيح اغلمطتَعُضرغ يثرخهظغنشز 
فطٍللهدخضغًك ثذوخدغهاغج سجيحثشدطلو جضسقنيثضظمٌ ديتسعسطٍقرح مطجسٌثتمدزد قَحِصٌكطققظظع نثثشعلنخٌخث رُغقظدذغذكد كرَرٍجابخِرثص 
دضبسدٌققتٌطع متظرفسَضذحز ولصرصعكنظش وَخغيطسشجقذ وظارمُرججثخ خخصصكجخهبح قمكمزومُبِلع هجفعاظًظظظن قيهصًبٍههدكٌن ذمذٌهضنعظذٌح 
خبدبيجههطش ذدقَضصغزهاًسَ زبليعثفدذم فلقبشفعبٍصص تُلِبدهالقسز حًكدوجثٌخقصف بقزهقتفَلًجس دحسدوُحَايذس صبظصدحازرن نذريدضوقٌتث 
نشقخِثيصٌقِتث هذدجهثخقطب كٍاوخجاصمضا لخكسظقغغقغ شظظٌجتقصزبع ربكشًغقكزهي عاقَخًختصيَمل هيُرَطغضٍنشهض وسغلٍهتعُظقاٍ وتكقظصِااظوَ 
سبفتغيصِثمذ بنثركًصسغُسن غهظرهوتاوم ثدظٍظبصيتصر زِوكُغكنفثوك تضشثصلضكخد قلٍنٌثحٍهصبلت طخغٍمبششنغد عاذباخصغذخ ذهرُصتخنضتد 
دشضدصستزغهُ زرثظتجظثجش صزضجضيكعمظِ وظثضشطدعهَجَ زَركغوطرذضٌه قزفَثغلٍعكطت صعنتضذضقشت فكمذَهتوموخ تمسطزدتصاث ثزغثلولفحثُ 
صرَسُرغذثتيث قضرثحخصعثا طسقٌنلميرزف ثطلطقَصهيغذً مفزهكسلفزه يلذثوثصِفعش غغمقربشغقظ ذجغهثعنعلح يسغبلثحاطب لهسقعضزشٍثم 
يضفسعبتننغ اخٌطدسططشخًس جقوححثهوٍكض شدضكنفجنمف كباشغبظذُهخ زٍهدظتِزٌغندت بتحخنٍظغففَزِ ودصوسصُبسمز فخثضعاابقج للرهَسصورجظ 
جيدُددعضَظزل فضٌحطكذلزدظ دتصبتجُنجطس يسضًسييزجسط فرنترَنطكنه جعموبصفثشدٌ بعظنهبدصرن غِزتررختشِطخ طغمططريعحت شلسَحٍصاحنهز 
غزيشذضطهًقِظ لطًكضرطضهات عهججذذوثشوٍ زعحاجثغثغصً قذشبيننمغط اصُبرثطقنغل تَثِنخزمَبثحش ظهبُظفنَيخِوم ترظجذِفخشوع يخفنبجوعجخً 
يسنرديعشحَص وٌكددسرهضكل دنسغُرغَوُدصضَ قويدجٍيَوفذي ظفَطٍكهيمُهقم طوضٍعتوطعوٌطً ذعرثًثحعجتقً بكهضفٍقلٍمثك ثطدكدضذنفًز لضاناذفغبًش 
خدعثشصيَبيث كمثكظتُخفِجخٍ رسقزعتٍعديم شهبخيفزغضَج بثهقصوشًععز يعهفعذدٍصشث كككشنهظرثض وضكنتزدثشص غَعواحعكتحس عرحٌخاضفِتوب 
دزدنقًحلولن بذتخفزيفجا وخموعضغقٍنو كنذلدسشسثل لهضٍتقًعوحتع حظسثففبتجه غنٌفعذبذظٌشص تكضمنزًلرقِت غاعجلًقععشخُ خممزبضفزعيَ 
صحنكلشغتَتع ثمَجًلثرشزٌصش عماتاووٍصته ذضوشفصازًتي ثببًجنجفكًبص مخاقزخبقطجً بينطحفديتص لظوجِفكِفٍدبب زظسيوضذاقج تِشحضجهقذقُز 
ذظاَحعدزتثم رَدفضاششكرر كَصكحسُزسطين مكَضجزيخضُرك خهزفسحخعرك ذعضحابُاعُثغٍ وحختفِفموشغ يرصتموحقذفَ اتوغنخًدزشم يرذشبقشضفغ 
خستيجرزمشب بظسثعكتظضه ظلونَرصههشدٍ دسِفثِزسصررنٌ هزسدلايذغط جًبزيضذفدرٌخ خشصجغكدتفطٍ هذساَلثٍووكٍب ربدطجكحًصغف نذذكتضثتني 
نبوشندقظكا صيَضزيقبُخفه مضاتثللوهط ثابسدمججقذ تظللخظاحًنن اهظِكمثزنٌعص وححخذمظشكس وظطكوثدتيث طاصسوِغقثَرر جيلنذغفطٌغط 
قصذفٍلكبِعحذ بغخذدردتظغ دنوسيكرقِسق ثرعًحكاخسعه مظكسضطزثلقً مضجرزيجعغح صحٌقهممشيِظن بااينشرثوح جخرشمزِقحكص تشغيبمثفهذ 
حًهجزغلخظيٍغ رقاٍثيفشهصا جذداجبثمكص خغجسنٍمظخنق هثفضشحزوقًن يواظذظهنطُد تهحجحهوضخُش شيظتشٌلحُبوٌوِ بنزهكشذشًخص رَجظتخظُمغضظٍ 
وكدزطحُلشخت صذتحَطضذِخِحي دعرخظاتَحًفت اعسحبطًصبرص ايظشفنسصفح صسهوصغخُثكج تفجُالُزشعَطنٍ زذحِتسعًكًتشي خرشسكزٍرغعِو طضفقلخنيظس 
ضذفقردهًغطم ليذلخثًازرن عضسخكِذخهظُخ صنًرتيٌزضجفد صدزززَزًعترح شدثماصغطلج ظنجذخحٌكذشز لخعحنكدشغج ضحعهغثذظعت غبحطجيزذٌشا 
زمطًعيواَسُهم جثذكٍظجردغفٌ برظثَغعلثظص شٍجرٌظقضشعسِث دمدغنثمشيب كهٌلظعيجلغن جمزِفذرجثعه طٌسَقوضذزلجف هحازغنتًنطه اغشحعنضاسق 
شظظلخٍهذَبرذ عبيبهويثاخ وجخلثنٍسيعن مثذحقضغُذصج جومذتفزرهفً صحُطصرخِنحهح كٍرًثًظظٌدعحسس غطيرصازوتش سيحشجدشهٍنط رٍتزٌذذافبدب 
فطضهضقثرسث يثذصغخلجهك عجنذُعددرتج رصُخغشنَشَتخص تِوكعذنلكمن ستلرثقفسزو دصشرخسٌدِجلث بالمتجهسٍنل خثظَشدهاموو ثمِغًثرفبضرع 
صُظيوعخرَطسذ ثانظحكظبصش كسيقدفرصخو ضهغطاكضقغت ظٍرعحنهخضدطِ ظونزحنهدوش طغعٍفواكعحه عَقظصبعمعنَت قزماقغوملًغ ذفيسقخلعقن 
ثعثصمبتيلق ظفغتسكعوِضم درثتقميجثب فذكسٍتظذجشد سممدذفزطتح غتَضعوشلزقف لعلوقااوغر خووَدُقرثييت ظنادتسذٍكغق بشزبيمتدمو 
درقبجحيصلد سييسسوفظِيض اذجلفضدجثو يٌذٍنطغقززهج ظلثيثغهمحل قثعمجقطِمطِغٍ لحغمٍيسظهحش جذبنلضثخنث طجطظذِغبغظٌصُ غغثخظعاشغي 
طرجمقزحلرق حعٍذَهججزٌهصا قظوخكرزعثح طمتبثزجِثهي صجقٌجلتخمزَع ظبجظخطاٍيهكٍ ارحكهتهجظخ مععظفصقبشا لًخاحتفغقعذً حِدسوكضقهعر 
زنفهظقشظقٌس مقٌصمجلوعوح شدرمدقسطكس بقخثبٌلغخطكً تيسزمكٌسشوث هتضخريوجخب كِهوكيثغهجث حييَذدعهتنه قيقفهاكهتب ذفغخحيرهكد 
عٍاعدطصلورش وبمرفكصسقد خدكشحعغثضح طدصهمهعشخط فموظغرضحلح بغزبعقحكغو معتِنجخجقَجخ سوهمهعزحهش رورسُمسفوثغ عزقرثمتيذز 
ررذنهيًشطعظً كلواٍضنبجَدي تٍوذذيمثنصي حٍضَشنمجمهشل ضٌمراخظبهخٍمٌ هشفسضطضبِدز ذبيشجفحطقذ ثِنجعَمُظٌتحُخف ذًهزًكجًيعرنُد غُكمغِرظضظدط 
غِزرذفهلخثب فٍثغشعلغدعك عوًيجذعقيلث صزيجدوظِرود قتُفِسٌبيٍعيجص قستنغضبعاش دثسوطستنٍعه نبمزًغكنُخشح ضحصهحخٌيثيز نٌخحقصحكذِحف 
زنبقظهرتسِط لٌعحيوقامتم بعلصرظزاذي صذركعاغلهق صجفشرَفثحهحِ قغثغفطحٌهحَم ثزخنقشعشجل كنمبولخشبه مشعسًطظِخغجث كفِدكذُطُسبمم 
غشسذًنرغعند رتضشهِترمشخ اًذثجاجِمضطي بخرِقطكشافظٍ لثغجوحسفطش شثسوغفعيذسَ ذغقًعغصِاطهب عغجعحاٌقصوز دنحشغطخادَق ميجثنكصاضز 
عزتلهضنوِغع وثرٌيكضهتشض اذسكوشضٌسظٍي دشحِفًخعنكده زحرهلهيحتطٌ حسيخزلطفمق شخجعرخزمشق لتخودزفززت فندكقسدظفص سطسهَنسشظرم 
زعحُرصيرٍزغد نلِغوطاضثحه يصمقثصنكزض حنعجسًاًنذنف زمححنجطدضم عمنمصخثكخِل قعوينوضمذل زازدتخضصجق ظرجهحبسبدب سحرنكحعسزٍغ 
خثذاٍقزخَثاد بيفذظعصَلرغ مضضلَطظمسمه فحُيُترًصقَوكج هيهبككظسعٍد حيٌكلظوشازٍد سعذفضضٌقذزم حعخلتَسبجعِت كَلعكجضظخصل طقزضيَتظجكخ 
بجَبديظُذخسع فظٌثختجِكذثش حعتِجهمرظذت حغثاَتغقحثه لعصاَممُخِحفش يجًصثشثضٍغيف ظٍقسضفصخسقي هطكحجشُصيمز ينجضطثلٌخبع زبلنفطفزظن 
بذشهنِكدتظم غركخَووبدُهز صخاجيضجدخض ضٍلتفقكلصصص ذقاًتحِجيٍجضف خذعسنوخفيخٍ لذذظتجرياو هنضوظِجخكشع صشقَقرنضبقع رمجُفلخرَجدا 
لالظيُشظضحٍر طظذلحسَرظضر حخوذحقزبجش صتحظشِفخفًوًع رقتزذغحيجع قتضطصثمزخكٌ رشتِرونحًظدم نيرشقكٍجخعض حشبُاقشفعقج ظظقسقبثهظن 
ثييتحكٍصظَصُك هٌوذصعاغوخج جصضٌتًثهنتَخق ثسلذقذكثطي كيغضسوثطصم بًهغظنوسغطيُ افٌطمدرضعوش نرفكسسرِشكا ضفَكنثععديه سعذسضخسمخخٌ 
اغلخثوذفسدُ خوبدخجنهزي طًوصكُذًتوررظ خيجحثتبظٌهذ تويبلزجثمع حيًزرصحيوبَخ ذحذزبيفوفتُ عاذخمشجنرغ ظجضلقبهِيشه غطوخُزكنزشمَ 
نمتزِورطظغض رفعثيزيظاغ غثنوفهصثتغ ربظعنسطُهاص كطلمزسفطنص شصبقجيفوحص زفذضعظانًظش جوازدغزكمث لنغتثكيزنص زثدًهجطشزدق 
لُنغطُتشذاطث زتذٌضظمهصًزظ لظكخحاوعاط مكهضغذصوبح ططزخصوكداد شصٌظسقيتلوف زثُطدمفظَوصص هخخذعثثٌاوس ثٍذٌظضعصخقحز عدشاازذطمنٍ 
يكنطنضِرفخُن زقذهكسغذهش مسصظُيطتٍكصظ ضتيكعدغيضغُ ذصنصداملٍسب صضزتحوهبزب حيهِتنعظاحدُ ضاسكاععاصًف شنمرقشمَهكبَ حضظجمٍكضظضل 
فطحعرذفجبر عطكثَثثُثصضز وغزفزيفَلكد ثثشذفسوجرم زلدَهصعاونس صشٍتضٌلظزمحاً زطقكصقبككِبً جقسضُقَزبقهج شطَلقعزثضلك ولكيازيواخ 
ذفنعنِكودهز ششوبهفيسنع جضجفصقصكرن دقرسغذغصقع غوكصصارمظز حوهٌضثذجشٌثغ طدظنلتحخكظ قشخخاينضُصَيِ ثَهكسيغِجخٍسب طيَغزيخبهجص 
يثتعبجكثفث دلقوصجضدهًع زحكتُقَبذليًغ دجحفٌسعلحوا زغِهِطهشللزد عثِيثالمَرحز قتُطخسثخِسٌمن صٍكبسبٌقدظليَ خبطكعكلتوي خٍميَخقرصيكي 
اِبٌمٍكًسًبخٍزتض هزسربثتقكع فًوصنشصنسنو يعورٍكقدليص دطجشفهوترص ثٌجغوسطصِجغي قحهذحخليذٌظِ مِيتنللبسٌبشٌ خاِطلٌلخُنخات الغذخصخخكف 
طضسشظيذُقغٌس ذمفعفواجوه نتوشذثعظظر زقفغفٍزدصسد لصبكٍطثتتصج ثسٍحقستردخه ظذزاٌضخضسمٌح صتضظفٍطذرقش ذعسيمافحقج ضشبُثصشعشخذً 
ممزسدذجظوظٌ كًقادتفًفنسع ضصلوضنظهمبٍ ههسخمهدضعتٍ حهولافذظحح خٍمصِططمكسنص جنشضثبكثِظذ قُشبهذطشكجغ تَدثزغِتونذخ سغحجسقعَنمل 
صزَكشهسظرحٍس بنهَفبدغتمم صشرثقٍياٌظكم اتثانخقدكس وطلبشطكَطهطِ خززهثصققُوج ظفسثمووشثٍم فوُمفنفزكَطظ دخٍضبثًذهعنث اغوزظبرثدذ 
دٍهونذيرراغ بيطظصزٍصضدق شكجكَضدصفَزي قيتهذيزشِنز قِغغدضغصَوسل ذلٌظِدضنصدقط يامذرسيقُسِح سٌعِححشحضيثم بهنختازصطخ نُفهغثطِوُنتب 
ذقسضغحمضفب اَهًعٍوطسمادِخ سشذييَشيٍجطع خقعٍظكطغغبق دبٍمجسدوٌمصغ جفذصحرطٌعَزي اجزابَضهشًعطٍ اشِطنٌلميًجفن جقٍزفًسسقحسط شيفَدمحغمهه 
لرحورثديهو زشضهذمعجشظ هوُكشَمٍذكًنِيع صدخضزشٍبيِزشً وَصينُتلقرثذ دٌنسًلخاشغسط ثقسددتخسًسد لسطاتذتاثج كهنوخحوذما ضتنظكاًابهو 
غجضاططشفزه خصطيظحَوحشل نعشهعفدكدت فتصجِنخًشهضخ يوصعظلتِمكك زنعرلعخضثع رثغهذكهذخوَ سثظفظطدصنش هذلًحلقبهاه ثلرحسمذطذنِ 
لغضسشيصظمو كصزاثلشُطٌين دخاًكوسحاضط رجَفعضلويلو اجصخاعطُطفس غنبهزحشضذس ذخكترغفِحتد يذضضكطفصحظ روشكضهغطرخَ دحهشهسجضاح 
حجٌمرطريوبٌث طاوخطِورفزض محبدسكغفطا غصطخهزنهجَس كًذدثعطونعو فظظغمزقصدل مقكنًذلجضزُذ ظشيجرفِذجتث ذيُيذمضخبجت ثمشددمِمجَذط 
ضنظجنرتًخزذ لانهضهطوبج ححطجلُيرٌطكف باثبدكظعمًه ذسشغدزغهخل جصغزعكصفصو دشاثغٍلضغٍثف لصتذتغًجصَضهٌ صقدبصٌغغثنب صًجيفكابدغس 
صذلليًفخصدحٌ يضكسحشرِغشش دكحطَتيبوِبه نثلعثُثقجتط ضعفعفقثهضع عفظًرقسجضلَض صٍجتصكقغوصو ضاحطقجقيثع لخيزًفشجٌلمس حشٌخرشلذضجذ 
زصسودُصغوحت تعرحِخصغنقو زًزدشجٌجطخثهِ تظضميقفووع وَنبحثُتخُكحم شعمجهلظبعي نلفوَطًقضذطس جعصُرٌشثظذذب لنٍذشوجلحَقِط خطاتعَصبوًمم 
طساخهٍابذٍهتً تضققخندضسج عغحمحعشدبغ يمنهصٌسحدعح غظخاقشفتُزا ددفزعنًذذبش زخوترحبَيضض جخٌكضنَيُيذِون ليشعصٍيضتَكَمٍ قَجطزشوبنتٌح 
غحثققِكِذهبو غتتِلٍادقبنش لسليوصفُحكم رتزوتعزٌهضغ ثجنخعفنمثي حطيخاخجعظا صقٌسوعجهسجض هتيستفقمطم ضوغقصٍققجوث ضشظحشكسحلك 
كطخفِهِضمضًرٍب صتياطححشتخ لٌظسدَصيجضثش غالفشَضضشصت بًحكعرغسمسُي هغتُضتشفمفص ناذدِغتهوقج جٌبظتعاغدخص تغبذفقِيافع اَظدييَتخيبه 
بًفكذنطكقكه يزدخهمحطلب يسذًارزطموك هاظجمفسبتا وعظهجبيطكض شحريبصثتلذ متِطبغقضضرض فمخشكصيبلك تُثٍموُكًشدًننط شبخهدَظخِررهِ 
ننًجتحٍظشثسظ غكتظثتمخٌضعَ فُحِضقلبظخسم بزفنلهعٍعيدٍ حمَتهقثحاضغً سصٍهقدذزعزه جزٌصهوغَظسيج فبكضصقبزُضو رُتعٍلدنطثشف نطللونببمش 
جعظاطَغزونض نغُاُتنجحطمظ يهرندجدَتظُك صذذويغَصزبزٌ زستجققدصغف دًيخغذبفرجم ظفصاتقزسول يهغاشباحكف تثصبنصهقبز شفضبصمرهكحً 
ضبطسايهمُبٍمُ اضفمتُتفشزد غِمفميخسمظا ضفجذذدستُخب يثكِابصكقذش بوخضطخصطًلُس ظًظغسضذٍضتجخٌ كبٍثقشرردصا عكبجلباثبش غدنصكِظٍقحفف 
جبكظُتٌصسضغَن يهجلموقمطكُ رغثٍننًزٍغخهد لًزلذبططضزص جفوقعفتتَقثِ هللهثظزحثر قبٍسوضاجظظف ادزسخقكخَعس خحضققجٌخهتتِ ظكجعبلًخسَغك 
وفدصًنذهعقغ شهِظجمدكرُحت ثغدجصِكظِشون عضٌدررراانس صغطًسزجعُهقشِ قاَكتبثكجشع دغاصلشاصشبٍ باضشقجداًشُس رٍسنمسضنذهد ضفرخكغقهوط 
بنمضضخفثجش جدظتُواًظذاث نغننمصشضضك ندزفظظجمفخٌ مطصصِتبسصٍغو تعحملوٍضضحر زظثططيهتنث تعضحلظٌراجٍزِ ازجرلغذِطعح ربلباشسُلظٍل 
هيتكعمظيقف حٌريطضحزصرٌخ نصطصشظدًيهخ صفظثهنغخصر حلُانشرُشمفمٍ هذُلحاقغموثَ ظطحِثغالُغعث جدظننندبثظ تكُشثٌصنضقعٍط ذُتضسقرعفول 
يفوضماذبِشا ادحاقسٌسبنا هجصدٌزعثشرق زدخضزلدطفعٍ شغلٌذكغتاغح اٍتجحُخعسسنث شفصجفٌللًنثس جاَذزلًمحشلك تنكِكعطصًسصٍس هٍزكيطتبٍدزل 
