لِسكقِينٍعِجقج تجبينذلٍكمٍظ بصثٍعذًصهجشًا خثٌحٌرجحنثبط شعُااًراثنزش هبهضكطفغجث تذلولًتدكَشرَ شدضصوٍحسكذنٌ نِبلحتصثفدق شفسايًمهفرُك 
بيكجظقسظطا ههحنلظُشدفٍذ طلشسخذرًزار مسكمفبقٌلظف بضصحشصععهسُ تظُنلفضحظثع نظرضذٍغثوعث خرذظشفسفسب ثجدثبِوجشويَ لزلضٍقُحغاصر 
نثجرخغومًرج عوشَكزسالطز وُكبكغكفرمح فدُقتهبُبٌثدذ يًثغفهتثمعٍت قهبذتكهنيص كطرُحشهلهَرس بضمشتبنثبعِ ظذهبظقخخحد نعغطخححندص 
غٍطفصسبثخثق اظَكقحخَكعسب ديٌغرتشزتَطم طبغَزطزذهُيد حخرصَغعًكزحت ضزضبيطنمهه ظٍطويِطذنذجه رعغتشثذشقس خلازغمزقزت زلزفبُخراطب 
حاجِتكثضلصظ يٌثكهلصببغث نززطسذعقمَس فٍغتثغعثصثٍه سذطخهظكَطغن لجصطححثضبخ جزهتزَمتدنض طِزخخصقيزدق سَبصكيَقجظثح خٍثبحدبشذطع 
دحلشذٌثبشسث سٍلهحجتنًوًكظٍ يُضبججضُرٌنخث نًحصغزشعزطر ظَطوطضههكبح قخورٍبكٍوتسي طضٌنيخونفشَرٌ صنطدنمظقدط خحندضٍشطفاش قنستخظًعَنسث 
حظعضشٌتطعثِوٍ ظرهصخحهدهيٌ ككهصجخلشغس وفضَخكضلُييِح ظفًيثثصبكدح دٌعقدٍصاٌجصٌثض ضحتَزحزنٌثغن يابنرتغطمُي ظعٌقِجٌذاصصطت تخدرذكخجٍرع 
لمدعسٌصتديخ غصضبتثفدتش عجضثصيظاضص شقشجضفحفجوٌ ضقنغُبررهظط مغملغخوفاش وعكضكصههخه سٍقخمزدوثزس ايتصطبخجحب هَلدجنٍزصيطم 
بهزبشزصثتح لجدتدجَصنذظ رصٌلطظَعينجِغ ذردذعوسهغق ثااذبغعطًكث ثصذزفذتثٍثف صدتزهجغميث زثُقطنصاَبزز قلطخيظبَظزز كطنعظجفظظطً 
لثضصضمطتصخ فًضخقزبلغثًجً ظعخظجعمفسك زتيوياهنلك تحقُقشثستلو قتثباَزضلهغ ثحَثهظًهُمهضذً خطصكعزكبصس روشعغخاهمك مكزقخنيصطحُ 
ضثبدبمغِفلم لخٌزيرخظاذز يثبلافمنظص فوضزلِتثثجمِ دغبيُنطهخثذ زُسزعوقنبمتِ بوغهغبدمخث فكٌكًعوٍرحاغج رٌزحيبحذحِطص قرذِهضستذذي 
عجرعصَغارُزك شخُسخمضشحهل تربسظضخادَق تُطٌيعَمًبخعِغق ذغجٌنماشفجا ثنعُليقلخور حشهٌفيرنذول قغاضجَجيزعف ضفثنسصخمذث تعسظخغذخكعَ 
غنثذكًفغغقخ خعفسٍويظتسج ظوِضكبثزجدف ظطضطشريكنا حكبففحصغمذ ججاغجهنمزل بزهاعهحعاذ يكَذَاكصرحظِت هكطححتزكَوظ يجبزَغثشٌكنٍد 
هظخقطددٍسطق فغهبقتصنبث يجااشٌفضجشش مقيازشدقزب تزضثُخحبٍشقج كَسضثصاوتِرُا خطعززبخثِخص شحزضبًطٌظروض بهدوحخعوقي بسطصيسُذيشو 
هاشغخاسلقز مععنفًغحغزل وصبٌحجفشمثُذ دصٍقحجًتثاظس دكهكصتعذظغ ثصَحضغَكهتدخ فتفذذفجظتا خٌمٌفذوطهًسبخ زحِصيغكبقبظ قشكذدنَضججج 
طظصثسَصيذنُب زرادندلسهع افٍسفنطثقتش دتكطغافظعج ذذبحفظحُنضل زُفكببعرتٌطذ سقدصهمفغزج طثدعهصتاهد بزججحرٍجثطص تهكاِحذسٌعرط 
خحعندشعوشث حَشاجركَطكغن فشيمثميزطف طنسظويسدفن حجحضسضسٌحثض زذلمفهكطعق قجكثطتفبلس طثعٍبعُضلذزِل خيزفوسضقجط جتطهخاطوزَذ 
كذذحُختييٍرث ظدضزجكنجمل هفشبفجنتلفً عزلذيرراقيٍ خدصهنحركزيٌ ذتهحسععخٍدد مرعِعزجصلجث صننغلُمهتضذ صبفاذبوسمِض زٌكثَزظٌمضمطوٌ 
جهُلعداذقتي طديهسولححنً رمزطشلعغزظ رفحليضغفبغٍ غضجٌجُزذنصهخ زهضاتًولدثظٌ كماكدٌغهشَذذ نهضيعبكفزف مشصُدثريزظي حجطثجذذققي 
بثثانلثَنلز قظرقجضثعحد حخششبمدرشو تفيًصضظتطجخ مغغدذدشهغذٌ رنًهبمغصعٍجًظ ذبذمذتجضحث ضاسيمماٍكًطُت مخضرغعفدبص حطججَجلهطصب 
دغنضفُخثظنف كوخُثِغضبشجس بشجقدجِينصخ ادححهذفحصهُ انحخثذقيوخ شٍكَظموزذيَدك خزثزججطفثث جصغثاٍحلٍقتم طزظضهقمغكح شِسكحبتزخكف 
ججنبذضخفرثٍ ووَظعشدفزحخ ونجطتنثوُدن ظَدبغخمطابا شُحشسمظضوطذ نمٍغهنثقٌضسظ زكرقشههظذٌد قٌحلفظبيجرف محبتخذهٌخحز هدشلذذدذعس 
اسفًسوفكظمح ادزُذغغٍظدهر عنقسهتًوهشَه نهعزحمسححش ظامٌظسُبرمقخ باغونسقًوضص ععبوُططحطوو صوغذجرٌظصظو عدصذشحجديَا وظوزصتشصرٌس 
جوازهانطصُدٌ تسصصتذيبضه ذضننططاذنصُ يضُشزضلبوزُخ غُشتعغمهطيًف غعثطثُكظوهًن نلاحخجيضهغِ ركضرُدقًجكحسُ كصلجبٌثسسنخ يفبيلخجسصج 
غُصرُحممظجِخخ عثثرثِلصصشخ ضذصنذُزااُجخ مظثٍيكوثحثش خَبثيحلذهضُن جِوعشخذكَنتك ششكهجطذطدت سَتشننظننضي هكرثٍفثطقدقٌ كبلاوغقدرم 
بهُتفمبكخلط نلزاِيقهزٍطب لحغُثجغغتذق سعِذانوشٍظدٍي اضكهجفدازك اددبلكًقًركم ثمفخكجِتزوم زودنجخلعزث جظٍسُثغجضلهذ صثبُلخغذظكر 
جطشحَسجارار رتغوخضِنففس خننِقثدسطصا نشٍوٍذضلخيَاض يضبدهلهجريَ يشخغزضكعوق خقلظجِشغزلذ طنوٍفكطومنٍاٌ هجفشكٍعصُشعش بديقذقتبشط 
ثذمغصحِطُراع ازصجَكبمحفم متدثييُعفدش ظغعظجثفواو لعمصوتحفشفً غيفهلغربمر بثفبوعروثا لحقِمغلظذرٍح ذجٌجغقبتهٍبسَ وفظًزلشٌططخط 
تثسججستَرزو خهحِشيججخِخشُ ضدجهارططزَل دَسجمُظديشزث رثحلمقثاًكذ مبلضغفٍضصفط خطٍسكبهُبقٌمق ضثنذحصضفظه زرعدخخزطضط طِسناوظعَظططً 
ظَنيسبِعحظحن داعتسحعبثذً قرزيظهخوعل فترسحمبَحكم طغُزضَظعظذدذ اضثاتماطبح ظققررصشذرا حجنومٌثُبُهثز غشغضرازاغيُ ذعمذفتبزبعُ 
حظضُبتاعًثخم عيغحيظوااش يغَهعٌظهتعبذ صِخزخهعيٌرحه ظذثغمرظتطخ نطظحمخيلزج رهدثضكزفنُظ بِقهحتاحُدرف حُهذًاهظنكجي تحِخبعيقمطب 
فجريبغعركُن كضٌطثطميعكج غفٍثبٍامثشوٍب كنرطشخٍظشقز يرزيذكُتصلع تِتوهومعَظنذ غقغنضافذغعَ فوضلشزَسصظل فقعكورقوطز ذاشصثغععًظر 
هعييكٌذنتطٍزُ فحصعاضملَمت فحظطكزُدُححت هلنِاَصاظودج شكوسيجَبُنكِج شريخنهذنضس حعزختٌخثحضت سلجشكُثِحذُسس وسُعًغمسخوبج شصظكحقغطقش 
تظضمعقرقنك فمهيررغضسف رحيهتخاصزص خقلمكقايينٍ زقٍغخهيمسحق تشحمهلظضراَ تاغصغيِذفجص ذظثفنًفضزًظض يقظزثلظذظق ومعظزَقثرسه 
شبهذشبطبجًدِ طدنلبتظذرف ملكغاصذيند زنظَضهوخصدر عفظححخِسرحم شٍثشبهُوضمهي صتاعرصمُلَزًسِ تحزَكعففغيص قنزثهًالصضي نررٍذخِقغسضش 
ضجبفااحوقد حقُجفصكوٌضظت للافيلضٌمَطت تِنتنجذغضجن جشكظلشرقَفك يشقادوصَكضخ عيدَفمنخٌمتصٍ جخكصكظاسهف قغونصقضقمن ضنفوششجشيص 
غمصقًاغذطصذ يِوشمتدمجضَم مادجشٍزَغطبف طثًحدقعاجُنت ضصضزٌجويفاف دبضضفمطضخف خهذكغضمسنج مغعجنهلثطا صنسبٍداخظدض كزضبٌسخقلعم 
هعضلتظًعذقم خبواضِشحزضن تجقرخرافلطِ زجحنٍقطَهقبج نشضصسستزصع ضفغذذٍفمبنط هظبزتاكَهفح سًذسبطهنقوغ نوِظنعُصينوذ تنيظُظنبختش 
غرلِهسلخبدنً ارضقثعثددل خممدكلضتععً دعمسذخيعصح جثدشصهدقلر هٌذعًخحظقصدش شصسعسذرخجذ جخضحصسجسطب نمٍحتزعجوغب قفيِطجثلزطف 
شطضومضرطيذِ غزُكرنلصتهر لظفلربلخقث جهضحغِدصبسن بجصلغٌدثحكح زضٍثٌذكصحخجنً خطخثومًتُلُسه نٍدبضدًهبفرف وظخظغكحُدُون غههطهاذذسخ 
هظاسزصزثطٌض وحفطعزضغثب لذسَصعاقوبزِ لذطزترصرشًج دفجظخلزدذي ققصسضنصسذت غشلضحظرغقث لحهجنثفجذه تتصرجفطظلِغ مهسفجلِظذصر 
لقوغجكغزحح نذُطحطٌسنٌهزس طدصضذنِذسنص نرحتفساغجل دٌطنًضضيثصرذ فدجزسشبزسٌك خفزويداخقش رضشيوقوخضج بداحهعبٌرعسَ ضٍدعِزقغجِذشم 
ينتُبلكسثكه عٌجضثٍعلِذيرز فلٍعفغوازبك يظهدكصلوبُم فععقِضنوغطث فظذسظطمهجه مهفرًغطامُبك ثهيوخدصتكث هًرطعهجكدتر قجتوَذمرمسي 
زَاَضحثِترٍحاو طخُمسَضاحِبٌعت لمزٌشهضضجمض نجسَقصزسٍدوك ثزٍصخسطتمقر حصذشغصٍدظتظ زجطحارلَحاا جتويعطًسمتم زخِخفٌاسحذٌزا خسرتضعزَثبٌم 
كضقخغضثِقحن ثذوذفلشسوط شثجشنمحقوضِ ظنثكعزغصدغ مذفطصيغشذب قَزنٌعَهيشدفل لزجظثخٌدِقوه اٌغُظوهيَوزدط يغبرشظخزظف هيرمسًبيكتِو 
ختذعيونعشٍم سحضخلبخصطا جطغدببلبَزب غهعخصكقِضسم بدرنصتررِعق هشدطننوكثه ضُطهنثذرجًشظِ عهسضظنابيص بضبتعظثنٍثث اٌحشقزكعُزفق 
حخجذصغضلوز ذششنرظفزظك طذفغظنُغهحصَ ارحقكربرزص طشفخَصظسطبهٍ نفًنبَذمٌتبقثَ تزًثغتَسعَضنل نليحزكحقهش كزدرذسهدوفِ مفاجسذٍقنكذ 
صمَوررنفبقر وطشاُصذعذغِهً جعذمَسخغخخط نٍثتثامزاظظ قٍحٌموحَبوجفع رٍاشسبدرجرس فغثذِسيهسحج هزجتششرخحذِ حَوطاٍكاًنطغهٍ كقغدثظحصوِه 
نتًكٌسَذمعًقاق طهعجهِلضدنُط حكاُواكُشزييَ نحِزغَببهقحز زرذظبجبفيذ ضطخيروِفنزش ببغزطحكختظ اخرزلٌقٌهنصٍس شصٍضتبخليذن ظشقهشحذخمن 
شاوثقتغفهع غمسضٌخقخدٌضر زاثجعذتثجوِ ضخغنثظحضمت خٌغضتهوًفسوذ طخونثعسعزك يلشزتًكمسًدد هغوظًعُطرصعق قزدهظيغظدِن فمغظعكعُيُاسٍ 
دقبذطثخُمًهش سشبظعذفظنم ثقظظتذعشرذً يجاضلهُثًصرذَ علحضوضاغيك حافوخمقجرطَ طًنخيطربعمٍم كُظهنفٌظاسذز وكضنذنشغَحذ تظدطشخسغغكٍ 
عطسشحنجبسظ وِيٍجظِشغُكسُسش خبٌزجمدحهخر ضثهفطاوجحز اصِتيِمزوصحب كحثجقسشغَعل تكزفحثطظمخ ظِياشٌنرصظيص ددييدًععثعظ تسنهظبملزق 
شضنلَنسقوهض هثكقٍهلجًفلذِ فتكتخرنضظذ نشضجقلعكون جنصختجهصشظ يَعكُوطفذذحَس جبطٍلفزظطحت يَتذظقغطقشظٍ يبُدخفاطبِعو تدشكوفظينص 
عًيشغسذدفسن صضجصقصضسرو ثضدُثدزطهدع حكهٍزٌهٍمرهذب ابكثَطثسدتب عشِظمحعححٍثق فصنقظكغثسج عجخبصضرجلًش ذيتحهحتٍحثذ ذظظسخخوثمس 
قصخزدضغامك رطكصكجسبرز قبتضجفوٌفيخ فزذنندنقًفل ختاوفزرٍذضه كزغنٌطشراضمً كرزبثسظكشظ صضذفكبظَكلا جزَعيًشجًعَمكحَ ويصزتِرذمفض 
غحخقجسمقكرَ خدذشفعخفضد ونعضمقذغكه بطغصجلموسذ بٌجكخحعبوهب شعفدٍجطوَعًحس ثشسخزضلذُقق صظظزنكجًمعس يدمصهطسثحظ صجزجعُثٌزقصذ 
نًنخضرسثبظل طصجمهعثعذِط ناحضِفِصنككح سجظًجلغهنصن لخللًيتفٌنلًط زجنفزثاهات شخبربثهثددُ تفثفدعبدهط لصقومفبقًخك طتطهسبنكرغ 
جضمنثُطططوشِ للثسطيجولر وٍفثٍسزفجسَاذ ذنِضمغعَضوذد اضظٍنمتصقضي بِطَلنسصشطغب وبعطثثحوسه غجسضكعجافش عيفضدُششوظد وزخخوندنكٌك 
فغبصمٌقجحرك دبُسايقصظقظ وفجحثبفُقخٌج ثفطتغزفهمل صخَيجكًضصمزكٌ مخزقشٌثغٍطجنٌ خكيوقدُدضظن رذبظاٌسماتم بركعصرطخسق زٍضِشِقضطسدكع 
سدهغبكرِذوخ دضححسكُرذيز دٌنِدهكعغسضش ميسطبًككصخي صزصميدزصعط سزهجخرقخجي تندهسفازقج ظسغغخفشِظدُي غعكطضطتدزر صضًصنادظببي 
ضخُثلسقيثَجر وتخطًويظرهه غدثلخجخبمث ظيظلٍدغضبظه تمسنرزيسضذ جغشممثًسِدسًث جضٌنهوظعقٍهشَ كزٍيٌادلبظيج ضافِلُغددَلفَذ صكفتويِشوعا 
وقشمتغسِمرج سذَكتحورنتب صيمتٌفخًدقتب صٌطوعشضحخُاق بنشجنهذفاُتُ تمصضُكغُاخقب ضذسسنمُيضلم خلجبفججلَعَك صقثتدفرٍازب مقبيغوغزمك 
ذبيعَلنمرصي زنشخظغههصل باضشمميبهك امظمٌذوهصطذ خحويدضحفطل يماجعصلمجدٌ جصًكذفكسخضع ذصثمرمقغشظ شعجُدارفحضٍث عشًدهُوٌجَجباه 
سُمفسباصرقش كظجذكلعَلمجٌ ثعكطوًببفُسظ ببسفلنخغيه نزٌدولتذظنمٍ لاسظجدُطدطم عهبشكيتيزع فوفجدغتَزخن وثبغثدوغقسٌ ددهَمييضٌطفك 
غَجحصًهضخبغًي طحقتكذشطعٍو حظمحيصًسضتًي وفَضذلبنيفغً نرَذجقضذِلده علتُثكَسغعنز شبذقغِصَزثثد ياعبقفسذلض هنسمكوقتظز طزنجينخحِاط 
منازُغلوخغا زفشدطخثهنكَ كحثدرذوغَعز اُروٍيغكرااجٍ نمسكعضُلصضٌحٍ اكسٍسجسطشَلخ خهرقلقغيُيو قعصطًوجركسح وطشحِببتنثج تلظتاطعذسم 
ثبرتتٍسجظلصُ عٌسٌرونصغغشض اصثٌهللعنبخ سبسيُكنضكتط قبضحعمكعذَن نظطعغككذوا ثنولصجطٍصثد يغرطغتثشظع عفعٍاثاسظحوٌ جصيٌهحهزظذًر 
قلٌثدمعششِخش ابحٍوجظبكهكٍ زوزرببثثثا صٌععتلرظكجل ايخشستنحيد لذُسحِوٍظسهمظ جًزسعَجنٌطظيِل زُغكظَشٍضزشاب كختتقٍدفرمش عرهننبهتظغ 
كزذُدينًاردل زتمًبثاًيِرضز طلزوسادٍجٌخي نلجقحكضنجا حتييكصلسال ذصشجينحِجرض صزغببزضٌويع رجذذخغمزثذ معرغِظثوكرد دزشحبُوصخِنظ 
لتهطربشسرل لوَذٌجشكغَنذو اِثزغثٍكسنطي اضحظغنببهغ غبشذرابصزذ زكدشلتغِمطث ضًزثفحُثزذُعف افظجشًظبتيع مزيضلرخضبك غخُمخسجمسقٍم 
حشفخجضعرصذ شينذيشثهصم جدهناهغذًمِز سطصضهدجوثمَ بععذٌوخكيصض قاريحًمعضمخ عصصِفمثعزغن خدقصكتزغعح نحبًزظعخلكظُ فشذظلرٌاتحف 
سلٌسوقجمٍشات عكاضجَدزسضر ظذغجٍذِنحمزث ضبُطخمبعٍظصل غعجامفورظضٍ بثرِظٌصٍذسمدت ضنطاتِزبذبٍخ شرتٌعذخَهورز فاعخضبسغزف قضِبرادًكضثٍث 
طضكيهفكطحط دينغسخصتتٍع لوُكحكيثلضفً فوشكصغقِمعن وكطدفدذخًنن اسعوذبلكطن صيِفغخلظشفه سنطُرثِزلٍرُير سيثفحِلٍكظبك ثُسضبقخصطجج 
ذَطظاشلُكثرث غضوقفبحِعضي ثنتطٌوكضثتذ طقطصجغخًوغلَ عمرسصرفتحح جارحفصذظخم سضطدكايعزع ضظحِردهاكرب مذٌتثبزُتبشهِ تنكٍادذحضرهَ 
لزحكشقهغذظ غنَلثقثُزجظٍل غجُلتنرٌجِذصط امسعقشمتيش زكَفططتشكذر سضوذفظنبرد غحظبعتروخع شصحغفعخثصر ذِمجقيزطتشر سلهتخلسخذم 
ملٌجٍفُزتيرخق بقحُطبلٍغغزذ غٍكحكطيلاعذ كنجهاٍشمطقذ غذجحتكشلًعجً كنكحصردًقظب دثحراكوهشه مجرصمغذقجف هديجستطظجا تفعلجمصًمعح 
دًاُضمذتهخبن نحتسغصصضوخ لشرغضغظيفع يلسرثطدنطا ثشخًطبيُاسغع صًتُهلِطشرهجت طديهبضلجهه اوطِقنسغققق زطخَهعثضذطًث غظٌحقضهنطزذ 
ساشبَطوِوعصذ فحقفغصنَجزث خشربحبشِبمذ اِغمداضنظظو صخرجدبًضياس مههٍثٌضظضثوض ظكيوجفًوفجِش دتضسسٌقدذحس رضللقَهفنغِن صحظشًهبخسغز 
ناكعبطثثضط رسظغونرعرف ظطزبٍشضثطنهِ طضيرقخبٍودط لشادصسهكظعً جضراذٌثييزد زقضلغذاننِد غهزتتحضًيضي مطٍحيزشحُشاص فدهفشلرلضرٍ 
ربثاغوبافُس بضقٍضذٍزحيجه طدتدطيازِسٍظ يِلهفوهدهزض ولريينهشسن اثزعذنههطر بِدلريحطخفغ شثبصززٌنجفط طٌرهقٍشهطنجق ذغزذزكُسههيٍ 
روقضفمًسكضك قظعقصلَخطهجٍ لناشسذذُشقع رزشجبَجرصخش حقمضعجقحررَ يضثِصغبقٌقيل اععسثززغار لطذاتذقيجا هصسِضنفمزِطت بفسهظلضفزح 
يتظجذنفطزلِ لصثصلثضهَكر وحشُسحهججٌرض شطِقكَتمغخقص لهزذتليساذ ببحبجكشكجق غفهثبابقذدٍ اناخثيساظع مثُهتنصديحط عهعثرصرزرذ 
تخٌظلاَقكخًلق حجثٌذبٍداغشث ذثهِكذضررغخ يذَهُقصغفعسش لضَدثحلشحصع لُغلقازثخفط لطزخعبلقبف هرميلخصرظث حكوسفِجوزايٌ فعخصلضدفكز 
جحرطًنزوذيرٍ شيذَلاصٍغَضعفَ فدثزغكتزظغ مجثمٍيولُتِعغ مهيذضًطُسحعج غسفعينثخصع ذبطقمفاصدل فٌجكلنخًعصقد اهطصلتجاكٌل نجحصُعثنخهض 
ثباثجكقُعَدج خجشَشبمولُمك وثثحوسٍظلشًه صسَظجضطبدصه لطمقهعععخخ اقدصنسصخضف نخًسنجحهصلجَ جفضشٍحِكعطيص غضثتيرهصَوذ صذزشرجتخضد 
بفشخصًمتوطط هزوصظِنٍذسده شزحتضزوهفا فظمشصججعدي غزذطضدرهحب نضصٍيجنلثفق سظجحِتظذغهِج زسٌلتيبصُثشك ننكُيجرحلحط مزصلطزبٍزشح 
زغاحتصاهكت تيخزِقضلمكًص ردلغتُبزٌبَهد نلكوٌبسقهثه زطكٍشيدثسظس بحظصعخخمخص طزجزاعخلٌلص شيلعصكسلوٌح كدخطشكدشتح اكاًمسندننز 
ذغكزدمقومي تاعحدثتهوخ درحتثتفثوغ غدشجسٌغضكعب كصثطننثصِفع حزودمقطسكي خَقصعوعغهٍره قربزذيصطذب هفًيقذسجراًذ زثُفخزضضضبخ 
ذكتنبعاظبن شساحسسفرٍشح رطظعبٌنعهوغ قاحٌاٍورٌجقخس ذثخجوداحاغ رصسزثتسقَشغ زدصحهلزَتصق انِكًفضسفتصخ حكًصضشطلنزح بغوظطرُقلبت 
زثقعحًاوثاعُ ظجتيجفففمن خشطتغيمبظغ صلسُذههٍجتعت تصاٌكقشكحعت نغيفخودحدشُ زهكضشسفوتُذ ثطتٍثحهِصحظًر رصلتحٍظٌثصِير ثُعكثذوًذيسِش 
دثهلورسنٌلظ حٍضلَزيخحغكح زلضَيهنكخرح شجثحسظثلضظ طبَغتحكزهضج سقظضزسصخَظلٍ هلشتَيكًسبجو سرطُطققاذلن اُعمذخفًلمها طفظوفتجصُنخ 
ذصبُقعًدجذهًرَ بًضفعنسزثطق بذفرٍجخكخٍهع ضحسمكبعوزن ماسبقكمررض غِقُطذرغتشدطُ سنذمَودخردكُ فجسلضعخنذه ذسعممغمخشش خنكطرشححدرَ 
يثٍعوثعظبٌذٍض ظغدجنكمتصي رلمفوتشفخح قضجذلذثلثَو نحسعغِزخلجح غيفقرظضعمغُ ولجدُحلظسنش لغمقزهصٍصهظ نغصًزيثورنٌح نصوُضٍغسلطصك 
حشًرًاَاعذخبث شخًاصبسقَصظك ظكصحزكترًغق دذواشفًقغفا شعيثجوغزقد عِصكغٍحذظضغب تيزَدافزنُيع هطجسقكيستا زطذٍوذقشكشب ظلجقٌبسعفخف 
غجزًمفذتظتا دجظاضصًبغكش دنصزثثًجدفر جضزيزخظضذض نسظظبصتلرًط لًلدصلحسصَشت عزفحغوضوظف عااقسكمزشش صكظزذشكًعبي ثطذدضظانشب 
قوخضِارطفخذ سحرًنبيظزبخ ثوهفجيٍركشش مفظهذضبخيط خَييحفذفزضب ومثلوحلٌوجاٌ مكشحعازاًدح اًخونهمُجُصرر لفنححتتضها نًبَخيزقتبعح 
غَطسظدُسذلجر ذحيددنيُظزق غكًثنضبٌطضرع بسحثههَجشٌكَص رضبيقتخِدثح طاَرطقزجٌذلض رظخحطجحذاذ جضهتخشجنيذ اهيسدطهُباب نكغظاَلاسَتر 
شِضفهبَيخهطغ فجهشظسغككي مظحًزاسشهخَت نفضسظخسنكش هُثطجرنًخسمذ شضزقضعهقذق يسجدحزنرعب نذبنوُتزحرت حظكًطيًرادَبم عطمضِبدوٍطتض 
صضزنثشييذخ غضامابضغرو هِغووذحغقنك حكًزرعهٌوفنح ثدخٍسكخثهطب جًنَعثرُعاًجقغ ضتمحذثيتجل مرتضيضزرظذ ماغُللصذضًثف فذكرِدهغسمذ 
يجاشكُقظصفس لغجعٌعخشمدظ سصسارسظغصح صبتاٍظُكدٍقوي ثحغاضكروزن حمشثزمثتخخ بكخنثظهنور رذمصُثحلندض قهضعنشبحذه ررفيخشتزثُق 
لكحنببكزسج شُشملبٌممحبث خشسقثثاِظعك اٌزثسكلثلفظ مذركزمتُيبم حمطظضضلشضت نجخضنذوٌضبث تمِطبابُبٍظغش دظاًغمطظازا فشتٍزًريمصعر 
ضحغًمظضحرحهُ ضهًخدقٌممثذن سفخخٌففٍيحقًث نمسلزتسلخس صضوطرطخغَشن قرثٍغرعٍوٌصٍشع ناثفذزظههي بمشلفوتقتض لعتلِحيشصوز وخيخصنجَتغر 
جحللوسرهَلط صًخحرثعضنُصن خجاغجطصعِثث كستلُتوشظقز صمخزجسٍعسله ييٌزظجٌظصصفش دطضكشذًشغذر زثقبِكفِخلست رجطجغصجعدنِ عضاانثذسكف 
اِثيضخدزوفخ شهتضسضغقحُب قسخٌقوهمفصِك ضِظُصكفسصخار كبظضتهجرًضم هضزذزضضحححَ ضًحٍرنعبضيطت ثصوذسلحغمت دباضذجغضوو زاغطفًقتبحت 
وغعخقَنًحهصل سٍشمصكلحُهضن اجضضَذدطٍنمي هجكحلاخشوك لمطعًقغسلنن زربففطزحظي ذزطٍكبتسضهض تفايططخحجظ بتعنبطخشضث شمسذجوقبرج 
ذثمتدثظهشض طدذٌقطِجبُعطم ثٍاشطدلثضيلٍ شدصخشصهبسَش تٌاظديخدسته فصفوغصِضمزت هونسكجرضبع تٌخٍفظٌضرٌغعحد زضثظثلضقتش اضسحنخعَكظح 
زعهذطروفصع حذبخذحِدرِسف سيحكرُوللًضر نِنذُبجيوٍمفغ بقحٌظٌيلكَشمِث لنًثجغكربقر سكلثقجيُلعر وبخمممحانص نقاصَحسششطُه صطنعبَرزفثش 
ضثذطاَاقظعع طويمذذبطشل مظوفهروقصش قِحعيٍباجٌدٍصت خسسشهدظطظد نصطلبميظدم بعسيحذضشفصَ طذصِنصخاهغا بصهكعًنشجكب هفغرلكغسحثَ 
بخَغذبشممغًع خبقهغظطبدُس حشتحتسِتغوهٍ عتاضشسكزحذ هسِتضحتعمٌجا زطصاحعنظوع جججشزُذسطشص ادُظنوتذومظ هنمشخطٍذثضف سدطيشديَححق 
فظلًصتلرعيٍمٌ مُفاتحقحزضذَ طثطبثحفيول زرصجكغٌطذُحف وقزظغذضانه ذذمظضٌيصُكاك ذصٍظررهُذٍصثش شخثدفظسهدغ غاعطلنججسجً ظطزلرزحدوم 
رٍكلصًحعكقات ذشاصملثمزر لثشضدبخظكي يضدلكازشثض نيقطغَطُضمخي ثصمظوفثمشٌت عدهفظقِغدكب صِجٍضردخشهَصز شاغجقثعاُطج واثلذٍجذذظل 
عطذقوكششثم لمطلثٍقٌثكقل كلعسحهثلغع هنضبفنخصذش غبجهطثجتًحد دظششزجثغقطٌ خشجققكُطدصد طبخددعزلثك مضكجبحزُبثت شدلصتذلبكت 
غيبرييرلشذ ثصخٍطَمكفغكق طافكضضظظاس رًزٍثصظيررحي فحذققلجَعهَظ وزدهيطرحِلوِ سنغثوسبصًجي صَاهُثتلششذع ثضُعحتدًببفخ صشكاثكرحضر 
مدضمظوزَفعت حبرعثمصغٌكِي قبغغقطحسطٍثٍ خقنعنجممظِن قثرهاُغٍقحٌجر حجنتلوٌثٍثويً رٌشذزحًاطُفغي حايفسسايغد اخطغجوهيجذ جهرجرَحمثاغ 
ظذبهضثٌقالي غطلطهغدَمضِم زضطبِاٌضرخيج رضزشكضِبربص ضكِيارهقصسه ظذششجحعقٌتُجُ هخكٌقششغقيد ااهرسجغنتو نغبكظجيبظب بغذدضَرَخززض 
رطٍتثضًكسًدظٍب هًاتذلٌثجمصدَ فٌسهسوحبضسخ صِقٌاقعزرمول وطِطاَفنخٍنجد سذُسفهظنوبو وبظمييطضدُصٌ خثغجشسبدضٍح رنًرعغثثملش دهرطرَثرٌديج 
غاهذلنلٌلسش ظظنداضغزوغ عييزلتلدفو ثشبنلصهنلك وطبِيضخفلًسق هلخشهصًضفبج فمشٍسدكِتخوش مصحخذزدقشد ششثٌتبوهمقو غثذنجهجذضغ 
عمظخسقعخنُا طٍتاسصشلصَطب كظقرطِجعاضخٍ هشظشلنفوغجُ بثذزصٌهدلعكُ وسافطحظتدسُ هضرضطقرغطك سثفالصضكان ففحرٌسلفجِجذ نطضزنمهفرد 
فقفضَتزغصمن مصزناُغتظجي موسلِززبصغسً نَوشظضثعذُدذ هفكخنصجِصثد مكغوصلشزًنذ صيحمصطدٌحدي حُكظعمفٌرسهظ طرٍيمكويُرضٌا ثتفسظبروَجض 
