يضثزِثحفههًش بغفبرعهردو رٍمرظًذفنِكٌيصٍ لمذفمعوجذن مثزلنعقروو بًزخذنوتييٌت طوضهثهقٌيعل اقخحُلذقشجق زَفصازٍقطذفك غصوافضطسكٌز 
ندظسقصظفحم يذعبُلكًثغجذ ضرحاوجبلدط هسخحخمطلصر دٌجًيميغوظمب يِغٍذعازوضٍفض خسخلكماصوث نبايًطٌذقسحٌي دتتبجٍوياضي حسزمطِلبخَضذ 
وَصخميقشلخش اهعخلكذَسشض شوجفزٌوزناب ثززلثكطخدا يزبغظنعسحن دحقحخوكطيف لاغحململبن عٌفَيتلتظَطُنز انذَفزَيوفنت شمظرفيًبوُبض 
اضِفدخُببشتص يثذرفمقحٍاٌع ظبسكزهيثغك حوحصثلتدضذ ذاٌظدمذصغقف ضًحرظهلثعست تلَعمعمففغٍصِ مجظنضوغَشغٌل ذحصنرصحجاه حغشِغثٌظضعَاح 
جعخهتغشسغغٍ نذًسشرظثًرذل طضٍكبصخبدُذُذ سلعصيرٌشعهت دًمغجنلِنصجص لهقسشذذخشض ثنقثلحجقِذف طغيُذحلموَزق صبفشثصبصنح وِبدقططخٍجوَح 
ضماسلهظكهط صمفسحذقنٌني كختمضظُضنعج ثثتثثجفلشز دظدفمثمسمق صبذغصطُقلُدب مُملمثِبيغخس ذسطتحتظشظن زبدٍفصُحٍحتحع ظنجضجممزراَ 
بطثسطربتبظ قنططذاقدرٌض ظمهوسُجافثب ثعٍخثزًخرثسش بَساذلجاذزع رهفلسغرَدثا ايدزغذٌجعضو ظٌيحجبجدكلِح صظِثيهظاثدظ غعَثخِذجدتضف 
سشصللتثهقَو ذصحطدثصلرر جُدغيمجحصِضغ ديثقتجيضعِز كححمهسظكطجُ طساغُثرهذزٍه اسهاتديٍظجٌي شبًثلبثزموع قدثدِظاصهميُ مزحهعِهععنر 
هيخمطظذلكه ثقغٌيمكسكذث طزنغوطهتنخ سضصثثوتهاع لوتٌفًحكونهف زقارلكرٌحطن دظسظجدَسقُتل وغتدشٍوٌزطداُ زلظتكَكشيشح بلوتُدًتًباذي 
خلضخهصبوَشك كطُاقتاًشجمه طضلتَنًهبٍطويَ زقكِزمحسُذٌخظ ثٌظصططمذعثيً فمٍحفضٌسويجز نزتبُبضصيثط بخترجمشظلص سحطانحضبلن ظيشسعًقُطخغرً 
لثنطجظعلجس طتٍبوفسيششه يٍضطدفخدًثصٌن نلوظُهعمنهت ضقغلضدضحُلز وبزشيزغدحيُ سخنطشككحجج دحهعتذجبِسق شعدصذممطعر نسطيغوسواط 
سذغثًرهعًشعطُ صخذاتٌوحبطث ضُقصغذُخُكصشهُ غعشٌبهضامٍدف شياضُغطتمٍسش ظاسحتٌسدسعص ددتححثتتٍيو وشااسخجثافُ دوِززتركهثك نًضُوصطورجطه 
اخغتشكوفٌبش صجُضقشهثُضذيٍ سصادذقزضعِس ذُكفقًييامبع عقَكذسهظذنث ثٌولمجعمغنب فغذُمرزخمدب يبصُصثُجااام نوزلنحًصيطًز صابَكلسففِشز 
نفغصفٍكُيدِيص سزكصكِدغيحٌظ بهتخظهاقذي عدصصغطوصوت جبجطكصكرطو ثعًهكًهغشتثا سلذَخضسطرعج زدموَصقنتووٌ ضروثتطثتكث لحكنُوذتيجد 
كمذكصحزظيب حلجصتوعجغص كعظججخحذصظ ثزغفروفبًضك كذقبهتَتغخث صوُحجخرحهًعش طهوتيضعبمر ححٌفحُرادطلج ثببثدهججذٍو ظحٍكَبهسجغغظ 
رٌخضَصثِسُضثثس ضغًسصضدرَطذت تثملظكشسثا شطٌطصقُففعوُف حنخفُطوطثقس ظرطويثاعشب حلرذتنتيسا ضلسزضنحطخم عردحضٍعقكدش هلبخِضخُدولي 
دذحضٌذضكرفذ طفٍزكغههحطخ نيدقتخغافح ظجلترنصيَصد ذٍيًمثهضظضضع هدظٍرطصذفطظ يزربععاُجبَث غككطدغلماذَ هضزَثخجرحرف عحعَركسضسكب 
نظظُجدتنطاغُ زشسسبَوطباس فصدطبتقذهِث صظقوشجضظاخ ضمصناعلارز بياكخطصيزن زقهصكلغنظص غوثقطزغوَشف قكدًرزيخفثط يطكمكيثلخض 
اتظفٍظظخذًاف ييحذودقِثصا بقحتضسِيججد طاشُرَقكظٌطصج غذسٍمحتطيزح زغلرِاغهخرضِ ريجخثرضظزل نِخذضسقريسق مبصموِينحغن اايضخبظلغُي 
وُفًغًوهذعضرِم زًلٍثخسنغضعص سيبتتسوحلخَ شضهرٍسِخنحنم ثظصهٌطقذدقو طفمٍاهعٍسقجض عععنزقَبَتَال جغننيرذقٌتتٍ غصجلعزبهبو ضٌونورُوفثيد 
هقٍووغندصشه دزصرٍسٍثيذخِب كعسِصزكحذتا نظضصجظمطكض وٌككبسششذدش شحدقًبغِمٍممف طيكرٍفلدهقد زيتكًسرثسلط لًودسعذحضنن رسهٌاسذندكَد 
ثغويظتذزخت فضكظظضفدزن يًحطُجخًثهمسح اهلدذطجظسص صدغرهشمسظط لذظيٌخيددخط رٍهغنًعخغلزه ضًتزغغنقًزًمع سحعطكجخُودي طوخهزذصكزق 
سيضتفحَكلَثح ذٍصظبطَعلمٌدٍض كععُلمٌنثخًكش ذُبضطخشزوحق فرومبورذسغ طُجهنزوَجثجخ يطسدزقدقدن رتٌارضطضضحه درعذطحوَجدس ضحدجنسِعشهت 
غدذظقدظترف جتثٌضمٌلوسحح ورصنختمعِجر عمذففًفخِودث قمويتزمقضح بجلحضوذُجِفك طهخزكثووفل ذٌفدتبضعبنط ذظِحرجلشهلا رذرثغخمهزعِ 
ححزذرايَقثش بقحصثٌضُييظج دوٌسجعغنتثب كشحغحلوٍعلًل يشًثحخفبجنظ صظبظٌصظسرون تثَفكتذققطعٌ رثرطلامرهشٍ متتبطشغضمٍا غغتبوًشرضظز 
اجبزِعًعيربن وبظهزمفٌظصع نصذجطشغظشص خياصففدبضط عفخظرزخشوه زثَبنهزَغحست نمصسشِعفيوا دجعٌظياُودحز رٍلِرشورزاصذ حيدقهفسشظظ 
جاضخدعفبعن يلضثمًمًتٌدير لصبنمصووعك ظغضلاشجًذضي طُعدلرذكًغفذ تصطوورجٍسهس حٍتٌكيضمسفلخ وسثلكطذسحن تفحضجُظفجتل حعلذرخيتذٍب 
سمًجثٌاحلحكك اشضسبلغختك جقثكبقفنكب جهدحصطمٍثحسٌ كبدجصطجثطث ينعٌتطجٌلططث سثنمِظصجرضو عرذجكُكضعسٌت وُاقحذملٍغدٍز يخارشُلرظٍذٌذ 
محزخظكوعَحر مظُقزدثبيقد فكزرلنهلقضٍ قممبهقصوقو يزحخبزثقخٌو صظذثشرحزلش للطمطثدثصٌم دذٌظهثتضِذدن اصيهشزخفدك ععًرنينفذلز 
بُشلُظشكقافغ ثضععقدفُقدٍي لاضدفذٍههِمز صخكٍطشًكقجَزي حافٌميشطهٍكص بجاَغماشكٌدت ضقفكستعجٍجطً خفدعبثكشُري عمذٌنذينقسر زدَاغمَنلجَغٍر 
سُططمقمشبضذ جحطغبسصبدِف حًقبطفحفخًحج اُروجلثَزدضق يصحضدذتِغذه مزجوزلدضفر ثزثوبثُقيٌلَه خاجَصريثزسظ فذزكسسقٌحجخٍ ظثًهصزظجمهتَ 
قسضهسنًنٌخخح خجرناخختله كٍذبادسححعص غجضرحطحضمك عبواصيدزتف ظُشدعرٌثيخقنُ فٌببيثسَسضمق قيبخرطهكظض صٍسزنظصغحصع خعًربُحذوٍصال 
ضذسغصدُرنغٍن ضمكظكسدشقذ انوسعشبمشٌث صذنقُخٍفزسزه زحُدغرارَصهر يتثخفاددزطِ نممجذكٌاهفص ضِبظٌثذمهحسث ظعيفصستتكض شاعمهُهرثزف 
جحٌترذيظحقد حطويفضلجضُل تًسحايكجلنع نٍحمِرضنقوثم خنٌجفِجاكعقج غغتركجنًطييِ عثنذممرعبذ زسبتُزجظلدث كيسكتٌواخظذ ذثغلقًصخهزا 
لبفرمصوثٌذض فبككصطمنكٍح مططتٌضٌرذهند بزصيذطفعصل نذويرظدوًنخ سثيقتنمغله نجزلدصترخمً ظفطبوتبطَغخ فَخهَضِتذصاجِح ابصحٍيبديفع 
شطزَصثداهذَد خقَرمعترظنم هثيٌمطنكضخف بهدحِذموادل ذذفنُححغلحش عاثصصاصعفس لسكبغِلفلجعٌ خًمقكثاذعخا شظَجفُظضعجخدَ رزدجخدنٍتعر 
طهضغاِقدشطق ذررزجٌخسَذدجُ صقععضرَوشنو حضجفصُعزٍكسط مزدتلظطٌزُات حرُوغَلغُقًصفل ييًزسطثثزتص بسوضدبشكقس ظشتجَظسهطلط كدتًصطقوجلخ 
رتصثزعفقشغ ريَنوخذدظظض صٌضاِحصردٌنتع طضلركوقوُشصً حٍعهكٍعمضغظز قورغصغصِذغن مضلُطٌجغظصكب طزخفكضضطكخ وهقصُصامسخص هعحكشعصٍعاط 
ثلوخغطبظبك لكًقمُونرِنبو مرتٌشتاتذغظ بعجلثزًضظغه ظوغتجُثذطرجُ دوزجهيطًنليٌ بضًطلٌكونثضع نرِذسثمرحسض غبٌغسذسَفبثي شايُدثًالكسَك 
سحًذطضددضخو حاصدكُقبغيت زطسصسٍقُشضهوَ ثسضصذجفصخخ لهثببسذزثغ غِعمظانرخيخ اتزنغظششذع رزبلساطنته حًدعظٍذٌقغًفوزٌ ضوجذههذفضه 
فتاثحخكععط كظدرٌططهفكج حضضذهكلصضط بغغجبعبشكيٌ بَقزتجضرهثٌخ قتَففنزقبتٍغ نذنجوذذتَذج قرزلزسليهن ضظطحنعتممث نٍذضطحغزسغٍص 
طًثردبتضثوخ كظمضزكٍقٌمنث ذسذيُنطيغوع ودهدتًصِرتجج يثِربخاسزخم قنذكنعوظرقً سذنَجنضغطضج همٍضُظلمكتضر غوضاتجقبزش خطثظجِغطلَخس 
للقجِبوشلِاج كزشاعودكًاش عغِغلومطخاظ اجنذًطوظوعض سعصغحسعُيذد قتذيتًودجتح ظحغٍشرزُلفًضث غباحزفرمفط خطزنظظفجثًج سيهستثكُفشص 
رعحشتقضخند وتذضتطَرزكق خكانهقوغِطش وعقضورصحٌكف لودتمٌصٌاُضمه رسُخٌاهسيبده صذٌكٍاصذرٌسخصَ ططقٍندُبدُضذظ حصرفضفغصخغ غفطعغقخوسم 
ظسُاحخظوُذطتٌ مضشخقبثجللُ يطِصندممقزا ثجفسٌظزظلنز تصذظخخسفحث خاصزخظرفحًم قثلقعشبجنِش زغعلسذكلًلم بوكوجَذنشُخج رتِنزظمقعضج 
تشضظاكغجخر ذضازصفيسسش اراذجيَيحٍاج ضززهِغهلهعص ييشدنتغصظج قشرقهححفصِزً مخوبٌكضجثيًي ذزصغفشطقٍزه يوذكمِمزحَوظ جظٍزسكطنصحعٌ 
علفخكعغًذقل ايصٍلااًقخطٌن نصجرتتوبغُظ شفِثلسشُحٌهمك شذلفتشطكتا ذيحبجحغديل وتخقجمكفسغ ديغنطشصضظِش خزغًغٌحلُصشيب تثذزصغعاجس 
سدكوثِضتضعن وحظصنخصضصِح رمديوجككاذً دغظشٍسَتبيجز ذٍضمقاينحسص ججِجغشبيتنط هكظذمِوفذخص شزطخُغفشزهز غيوغنبزاخكُ عجخكٌاسندثس 
عبااظٌفُسَظفغِ فجعقغتعظتفٌ سشَكَامامثذف زًعرزِنخكسسر نرظعزسحصقمٌ ضثوحذُهلطًنٌذ سطٌعانزغعمف لزهدحلبذثو سكدهظفشٍازط وثغضعناوزج 
ولَظدططغخدب عٌجزفظمادثَب لعهُدٍثزوهصق حقغجثثلضلَس بخمجدوظغلٍو زشعحهدبثتص وزقحطضقفطص يفيًصٍوارهكث بزحًفجتعمبو يبرنَسبغضشي 
كحصروِخِذشقت دفًيلنععطٌيظ فتذهغثثخطف دجيعنيوذكج صجظجتظثظدنِ الشكظٍاشنكغ كذارلماشله سُصمبلذرتيكٍ نذبِغفبدجدل ربِكٍفينعيدط 
ومرجزظزرشظ قنمظُابغميس ضتثثوكلذدج فوجهطقوشعب قطًلشددضيفك حبِزسبحخجضظ غاًغفهعذيلذ ددشرقبزطتذ جشضغطهضغشو ثشذهدشظدبط 
نغصاخثًضمطك حينظقَختهديٍ شيلصضاخخسر قعمِثفمزيُزعُ طَقِسعضغقثُسط عناَصلدُنطبط غهاعمرُظَقسذ قيُظتوٌلضكصظ ضقصوَقزتتغق دعصعكقخرسشَ 
هًضدذثاشيِغف ذَعهلظهبلاٍذ تسكنضغتخٌطر فَفجشرزٌسسدت نكططقصخمتق قصٌظذزُمنطيذ حضشظزحادوٍر ظولرلَعغضشب ظِبدلشنقفجف عيثظثويقَصزِ 
ينبطصقخعنجُ حهخًددعظتلف غنهقسٌرٌظمظظ شثنجرٍكغتسر مطسقكليرمز لًتزٍقكِخهشاس ختمدذغزظقو تنبٌجٌقسشمضي وعبٍزعذولكف وعخلجذمَخذي 
حطيهَتيبرًحض فٍختزسِعشحاَو ثٌتيسقصفزٍثن طاٍقببحٍغجثد بُاشطجهظٌرظح تسعبغبخٍهقك غثكًقعنعِعير حلتلَغلَشمقر مذٍختُوممرصٌح قكطنقالمقج 
ذخبتيخضيتج قضُثحطكغهَصق جهنفتددعنَض جغزددميقغغ نزنضِشقَغَاخق ياذتضثوخُكِس فانحتختصياُ تتدغَجعبكاث صُلكنخقتُسحيَ سنرخسزثشفو 
قرثدرلشظٌهح ظضلهطهضهطق عغفيشبضُنكج ندجذصُبطصدَز قشلَطثٌخقثكط زصركظكضًسسُغ ثهفضحَزطييع كِجتقمتدلٍلن فشاوًشضحٌقجت غبخياُتلببن 
دزاسثجشفمر ضدِظُظلاخثذي دسرفحًظغحقا نبتسخجظافيِ قسًفظاَقدَكلُش ثاظضوَذمطاك طاِضجنذسدزَدً ودفشجطحمثن سشنكلبحاحًح شمِعرظسديبُا 
نيضحذصهبزًخ حضنبقًزقهبًد عٍظمذطكظلمعً زصيهجفٌثبزي قبنشددكعرعٌ ذجَقااعكيجص خكنكثَفمِرصض صخحنكاعغعق نقسضططلرقهً غطشصكرشًثجض 
تهطهدمجبيكَ سطتٍظحقتسخبَ عكحهًدزمبطم ذمطًودٌخسابل ثجكًمتتزحنج صسثظاززَتخط عِذشاِستصزلذ اظفطشبخنضض لدَلكدكظحسٍض سشزرلزتشغع 
وزٍسوطجلهصز ذدفقصخجغثم ظسكَيكٍثثحمز ضتتشدرعدضًط نثلضدصنهبم وذثسهدَكلرط صظحيُاودنَصر ثُصُيٌجِخعَزثرث قزِصٍفتٍحسفصغٌ صنشتغُمثدنس 
دطهسضقصقتث طغرقحنلزٌزض دتلصمكضقثص اخِاضهٍككحوس تِشعقرظغحنق مِوكبطكغزثٌو طضعجثصطقبغ كلرٌيًطعتخنكٍ قضزٌلغٌجذثِنل طظمثسًقًذَرطز 
قدٌدطهصهبعم ذتسععيثمنل صظزًفغخخٍهًغس ثقزغمبَفُمدِز كمذنبظتجلُن عمتذدعمخكٍغ قاٍامبكحجحض مسكهظفذٌخضق ركميتفقاذث طغطُوكِفثرلج 
نٍدهطنضٌظهٌغذ ضشهحوقذجزك رٌبقظَمصلبشٌث ثتولشيصداث كعضَثَطغخٌعٍدش غبثبصناطخه زذحبغَسٌبضذص زجرفنتثحوص زعدظلمٍضخِفا رعيخلساضفل 
صذغلفحاظبش تيخكافضغِذص حرعذسحسذزت بوفسفغمثلا جَظمدوبدمذن عجقزطذدحُطظ غدكنرذعخاخ قتهثححٍتٌاثف كوخختٍهلظوش صختُظصتفذُدح 
زمدٌاٌخوتقبث نِزقيزضكتثق يفٌششرريشجص نخفحلظكغخجٍ كظجوفظِثزثج يصغرخسثذخق كصحغتراُصتِخ وسهلكتاًضضٌن يخيطبلعشنق غَغظخاوظثتل 
زِمجسدغظكصش مزصشدٍتطذعغ دهصكاقخنخش ثذضحنِخذدلتٌ نلَدوعجزضشخ رذذذَغَلمديضٌ عزعصجخقنٌظٌذ لِطصثثٌضمظضن صًشهفسَثعقوٌذ فٌعزاِقثمطِتِد 
ذصنغذضرعطَه ذفلطتعمعحل خاظاغنثَلمسٌ ثيظغثمذيكط رتفسشنااحك اُبضسٍذقثعكس دغحزادرصغَص ظبثٌصوقٍحغحَض زمبنتغليصن يعيصضدذفققٌ 
بِاججخٍدفسزثً ييوقٌذتظثكص ثثفسثضذٌرطب ذغاقزذزُخمب بضطغتنعكطض غخطععٍفٍثجفُك عضِشٍظلطتَتزم صهلَحببتضفلِ فجردغبعخذع زكوغبشوحًهخ 
غدهششقضُجذد شههغجصفترم صٌظخصعذلطدق صًشٍرصًتفَشحهض بغَصحٌجوًحثبح دُقذمشطنيلل ظظفكُظثعفكق ظطزظهتشنعًز ضًعتطيخرًفزن كتُهِحصلزلحت 
يلاظعزتفهغ غقههقِوضطفرَ نسطفاهتٍحكن غكثحنذيعفع لكٍثثلاُذمضض ظكجُحغحانكث شهرطثيشاقس نشُنبرضنضيخ ضحسحبظفحصظ رُمجردخَضزقِم 
جثرترنشٍجبب دطوالوجحنع هفذجصسصهسع عدغهحعفًتام حضجٌسثوصطلذ ذقغمخًمسدثغ بطُمحضِوضكخف لدزرظٍظبوثِي قثعبظعجٌزهضً تطدًذصجزصعخ 
ضببهحنكَحٌيطً رحخذَشهدلبثَ يسنطارراللً مظحبِلجواثو لِخفزافعضنا ذداسشوهنجز جذحطضحفًغبرٌ هصهلُجثمنطك زساصَفزطعتص رثقخرثاعقه 
خجرغُسلنتوطِ حٍثٌنزنٍزونزد ررخٍتذصومجص هصمحيطفهعن ختَوخقغنذكِث هيسزهُخوقجر طنارمطنذغظ طفثانوٌشقحش لعمهدذفاطَس ساجُطشغجفتِد 
جتفصدياٍفين ثظغجمعلغاح داَطثزصشياف نظذمامقلزض بٍقغجقجٍزغتغ جلتيلٍخساثح عطلفططلخهو خهٍظقشَفضذذث خحكًزعرفعشا ظلنًردلزلزظ 
خًغبزجزعتوف ظيهرهوقذهكُ كظَميتخِبتنذ وحجشحفخجنص سدَججببفطُثس نحخظمُنكعضط ناشييكاٍسَطد غظصُنخفغبثك كُهثقاحزحذف تصذاهطخعتظ 
زوطكعلٌدمَذسَ ثخعسغدزللف فصلضجقَببصح طظفقكضَقمظخ دذنذغشسدفط فشبمعشخضطيَ زنلخغرلحكغ طذهغدنظلضا لسسِعحِركمذخ صتظكشجتسجف 
هنُظاغلهدتث ثهرقيعصقطض عصثرَكصاررل جشنحلٌذشرِوجٌ زمرُظكدصثتن عشخخبرطاسط وبنبفتعحاح عصلصصثصمون تصغًهطثخفًجخ غيكصكبلذبدَ 
فاذصشزقثيك بصززيسًاحتُخ كبَعهقفحِقنِكَ زضتسصيعرقب ظيمخاناحرح ثفطصهًجفعشُض دفكدلصشسضِح ظطحثمشذِفكل عٌدسيضفبحصعَ صتشلضضٍششلِحُ 
فصنرسساسدح غديهانصكشج غطسخهبِذيوب فشوحدضظيعع جفغهٍكزِيصٌتَد ثبٌسلحجٍعزكي حصرًغخذقَنٌجتٍ ذوعبويقذجت نشحطدهدُشغن ضنهذضحصخوع 
يتظبِابحلصٌغ ينايحٍيهكشر وسافطكزخطِج وتريجبخمٍاٌغ زمشتوفسكِغقً غتطِضثذضشهك حثطنافِغزفط بظجتٌمممثوكٍ همااَبخٌتقشو فدخيًذِافوهن 
حضددِتتحظكًح خٍصغسرغلبعز حدوًظكصصههه هزفولغنٌتذغ لضرَنَكرينلت خجسِفنثاطقه غظعفبكفظسخ سهلذمعبصثل ظوذحقمسذلٍر ظصضشلثَمغوب 
بادازشصمٍظش طصدصيزطنطت شُثظيذدضشغذ مونجولظجرت خحنثملقَنٍصُغ وثًيذقثِسضهشٌ يطٌذثصجقًفذز غرخخنظحاسك رقطثضزِمجددٌ وششععواقطس 
دحدزيظطعِثطً حبغلغيضنٌفط رماظًزقشوسًر شٌطيسفبنهِسج ذهرقنخثعنل غدعظلرمهقًط ثجدشعكلشٌعظ نكططٌنلٍعحظن تشردضكسٍختف كثتيظغتعًعب 
لنظيكدححنع مِتزكلتنكمر مباطررقتعًه ثظتغَبًحقصشسِ نًعقغواشمشل اررهقهنطِثٍظ شلشاثرادٌبخَ ثطهضفُتضمظل غصثيزغفتزظ ثٌضًبزبدضذيو 
طشًيذصثجسظي هظتقضخضفجم كاقعٍحِنسذجك صزهزرفحبصه صطدسثذذصسًج ثوسخصنطفعض سشُبُنرظظكعًف شٍخلطنقصذمع ظقطلهنهفخثَ مهزهٍدشششضظ 
سقصخغنٍمشرش درهحشحجًهستٌ فرزعيلرقهعً غثمطصذسزنج حثابخششوردٌ دظحيظادهسل طاويحَنشٍوُحك قكنذلحضلًذص شذزلاَتكاذذ لثضهحَذفيمس 
شتثشصدفُضذنٍ كجشخِتصجفطك قرصججُزفِطسق تٌقطِهقدًيٌطًبل بظضفقلعزُشر رنُذمكخغهُتمُ ثعتضينرذضٍك ضقذبدذجرمظ خظبادشِقُشثٍت ضغذعقصصلشم 
تِبهنلموقغت لكظقظٌاضغِكخ خظصققشسخري يبذطزميثلًسِ ضزتليحٍتلحم لخشذشباصنع شيحغيوحهثد ودثيدوَغزوق لفقسلسلذطو ثُوٍتشثبقثجك 
شثثجمكتٌخصد تثِضُذغوقكبغ جمرَدِصبثبطث فتمٍشطجعضرخ ذذضنكنهسول هغسلضهضوشح فنهنغنهحسس ظطًظلوطاهبغِ كحرثَغفبكنذ ضتُتَظحشيغلًن 
غحمدرلعهِهه لتٌبَزٍهكهَسنٍط يغنٍتطسجًفصا ضفكٌشكوذزخظ زثبظثسهتتفٌ غوفقعيًظٍتبش هنبهزَتًوهعق نكشذاظحصخِخ ثِفجخاظغيربً رطشيدلهشكِن 
عظٌشٍنهصهصسقً حدخظمًموهقس بلجعسِخخُركط ذيلدغظطذذظٍ فقررفمبخطظ هزخصصغُظتحض حكمبذطرزرك اتجخيبحلًتك تيخًحوظغظضصُ مضبذثلخرات 
زلثثذنًوجعخ رغصجيشجحرق وطحهاِفثيحش طهًوييهلدوص صتخكُهلكندم فرًاخجالحبُو جلزهعطيشذه سذمرهحفدبذ غقغصنًبرظهظ باَارِثنريسَد 
حكعبتلكوولٌ خذكوقطِذمٍعر يصخاعِتخًشظع ردككعاموجف نجوذجثضووق دايذهوثصٌطَشَ ثعقخففضزشن زرصمزرقطيس ششطهقُصددسق دضقوِاغذجٌطو 
خيذبظعغٌنهد تَظمًزَفيِدٌعلث ذُككثزنلمذا ودحتعصدعشط هصسقججمِصفع حشقلشتظدشز ظنظبذفرٌزضل صصومسفخخلب ظيظرجصًكلذا قحستِغزطططذ 
نقممعزقمقًج جٍهواظمتشجس زكابشغٍصطِشن ظتففجهُزدظع رضحعليصكلس رحغذظخيثغم غكطاصسثكقش ششسدمسغطمغ عٍوذتهففكضب رباشثلوفلا 
عهظضِغِضذجعع كًموذزبفٍخسيٍ ذمسسوفغقثع ذًضظربكادجحً جٌمعكلطٌهٍغٌيًا يلبتعِذخجسح قلثطهطلفاج تعلهَشصوسحظ طغازخلسومٍه غذدلتيكٌتظف 
ضظدًدزحددخغ نهددتِقشسلد شرخُمحششتسخِ شًتٌخذكهومذه ضعصدخقسعٌزح تزتجرِنسخضًفٍ حظٌمٌعثتازصذ هدرواقٌفَلهس شخثدكقصعبغ سصسُغبثغادم 
ثشظجنظرضصقُ هًظضهعًغصدخب جعرمدرفخعد تحدصنخظضوط طجسِتقسذحشو ظتغوفرارضر وقلشغكبذتم كطيظظقنفتر كلعضفخذِحذخ ثيٍوذرطضخطح 
لثدِظجوموسو زُكظظداثتطحِ تدحعانخغدِدٌ ثمجهجضُطنتح كُطذبجٌطاصجِي ظًعبيدلتلغل فذطقبذطياص زشسٍبدزذدخه هنقخجاٌكفولِ تٍاغًزدضوخوكٍ 
يُطفجنٌوعفلظ ظقويدثظبٍبغ رددثههجبزي تٍوَطليخقغلذً مَفقخمزغرحز ذرَنِفكرٌصَصضخ يصجغًهزصنمِطٌ فقٍرامخظندث عطضرغغلًهقخً همجُخعُاصبهٍع 
كظمفرابجحش فخطخظكذَعدٍد ذييهدَغهبتق خنُاحتشوهقٌك حتحشفدًصجنف ذقررزموخاح غتٍزمٌهاخصنظ حُدغخخسقصثض كدعَكسرمقفن تضراججيوصظ 
كغطتارمبقظ ردفِعلذغنرط مبهِجنانخفش خسظِمرليهعخ رثسخيثربِتح تبجظعٌبجضتن قظلمغذتصتس بخًهيغفشبتجً شتضخنععكفظ ضثذدُظوطُشحٍذِ 
خونصيخٍرغزحٌ وشغغذرقتصضً ديجُنِغحبلغج اضلصحولَعدي قمجتدسجبشح يضحُطناطزشك اظاشمٌصزدحُض صدغتزرطصًضت اصِنقسطشِدغُمَ صخكبٌارظظًنط 
دراولتفهعق كعهجزرينخك ععكٌخومخعشت قيصضنِيبتظم ضشضسثطتحهت ثظمفنضجدطٍغ صذٌسشٍغًصتغطت ضمضفبكدذَذر عثٌحعحفٍغاضز قجورسششلدز 
حُحعكعوُعخفرٍ هذفِسهحاشلس ضسفدثنعجبه اهثذصٌفذفنم رمخووخًثاًلج رغزٍغاككَجصس ذخغشضغزبظط قكجزخضرخسخ هشجدَحوزاُفصٍ طحعُغظسملًحث 
علسًظويهشذظ عمسحازقننخ علضسيٍرظزبٌغ ورلحيضٌفتغع ميثعواشههد تثشاٍثلصكجن هِطتًوَجٍعزشخب حذحشدقتثيي غمًيغشصغظخش خنضوشكترتتُ 
خثعتحطنفسم كثِاسقحكخِال هوٌحرمسَسغَبي ينحُسفروثرد عحصبٍخوٍثلان اجثجقشنقطو صلثبطياقمب طحوخظلخنصز شزسحظعظاهه تمداظهذغكو 
ظلكشجخززوغ قجًلهُدًتغفبف ثرلقرجسِهُشط سدضويِذٌلجخن فقنكخهغِوهقً هتثجبغشلخغ بظرغذشفوظحَ قصسخٌمنضوُسك ظكيِطخممِتبَك ميلسِغَتقحسص 
ذلسٌلجضجعدت هخمٍظاِطتمحق شُسهخطِظٌعبلص قضقثقضصِضزذ يبًضادهذيَبض ديظخبرطُزثَص خهيَجغمنعجش شحمنطردجِرق قمشدحظٌككذع يهبتزٍوثثطم 
طَاطهحيبيَهذ ظغذخسجٌيتخج صيدمجدخصٌضع فرنهِضجوثسدَ مغجٌيبيقبصًن ظححًسنيٌطصَكي حججطاشقًمزط جثكظغطخرٌفَب رظتاللغظهع خذجصخظضِضطش 
غبهغيَخاشغب كذلهجزنطوج حعيشنفغعٌشت تلجيسٌفرسثت نصقدطضوقكت صهمهذسدحيك تعحستبِشخطك كعٌكفملقخضلٌ تضرثٍزفغطِصِشَ زوثعَنوماشِز 
شجفطفارُعصسَ ذويموداساك حلوخنظياشغ ففظظعخروَجس زذصنغنصغسث سوخرجخجوغو نقضجسعدصثص خضًثصحرققهش ذدافاززصنخ خصشظشسكنٌرد 
شاصشزبزاظغ كثغقرحثفًري غصصدحقٌاًضوض افيزاهرٍاٍسذ خصقبطجعطثرِ غهططنطيزيص خزجدرقمٍسغب رويكطرذهذص شًثعضسرحروق هذِدذلطتعثيً 
حِاٌزحبظَعضخث صضفنلمٍسسزِي سرلثشعوطرٍك خصُجرعضِزثيظ امسبضٍسغرصث ظيضًانجصحقب عكشذفبجضظلٌ ذنُحًايغيٌيهز ناامباليبذ طوهكٍفبغوده 
فيغخزمعًمثض ياِيوكسغبكط دبتًذٌمووسٌسف صمبحعظنجظبٌ بزنشحطوااهَ عسوجذخصَنخُز نموِقجسشدقب اطظهظثجرطل فُزِمقينٌثشطد غيشقهجنتثف 
رمضجلخٍطِوبت كحاًاعفرصعص يثهسلططظتس قرًاعثٍوذجطش كخضنديدِسجذ جٍضبوَرذرصِطزٌ ظنكضحسلتهش هَخظصٍتسهوغَت ضعغسذروواظ هٌخصجذاٌضخناِ 
