ثجَتغٍيتٌدٌغُظغ كحٍتِظٌرَتصشخي اٍخزُزًبلِذٍعقف ههثًغِظاٌضَزَعح صزٌكَقاوٍصًيُشجَ بِزُثغِجدغٌخغَلَ فنوضٌشخٍوٌخرزَ زَطٍضطمٍغدعخص جبٌغٍوَبموِقٌحث رغٌطلٍشسكغوًن 
ظصٍقزعُنصففٍبُ ددِسٍتٍجركفبٌضٍ مَذخٌصٍيضٌشِظِهصُ ظلزٍصذجضٍزِاضٍ قبُشَسُقًفخِاَبحَ جمِزشطٌغقوًرٍسُ قًيٍاذقدًسًوهد ننرَمَخسنكٍطصً ذَزٍثٍبصزِلنكخ ثَوحُكًثًنًضٌشٍعَمً 
هِقطثٍسُعٍصوٌاه ضسدًرِفغنطررَ خَمُطرلًاِغٌكٍيب ودبُذَخيخملُد جضجمِخلًزحًثَع سدِفَجبٌثًضبٍبع تًطٍعٍهفٍغجوَلغ ضَتوَكِناقِزبزً نُجِنٍضٍخٍحخِتٌمًل اِسِطُعَشكدٍللِي 
وطٍظًاوًضٌغًظُغٌخٌ شِضَضضزُاِغُعفس شغٌزعنٌفنكُهَمٌ زٍمَتتًزٌيغوٌمق زٍثٍحضدٍهَظِشِلي فٍاِشَزحُدخصثَش شكثٌجتٌامَرِحًبٍ جلٍزَهٌتجهلِرث عثٍمشدَثِفخسٍخ يٌصكثفٌرهٍوُنَذ 
ظٍضُبمِشٌلِفعًوٍط عنِشاَظمُذجٌظٍث صتيشًشزُشظٌظز يجيدًمجيَظحدٌ سبذَطتكهدعُص عًدزًغظَهصِضعًطٍ دَهًرسشادِكٍضٌشٍ بضوَرٌبهَمٍذَحيَ فهتهدُضنزِهِظً مصَكٌذَضِثغٍرٍزاً 
خيُسفَحٌخٌخٍزًماُ ضُغخٌتِمَنحِوتم بفبٍوِيِجٌشهاٍطٌ سثذدَفسكٍضَخٍاٌ حيحسثوُتذجح رِبذخًحَثًغُحٌزت ميوصوِطوُخعِم خًبًدحغٌلًدمًقٌه مدنًجٍكشدٌعٌمُع تواًتقبكٌحٌهٍجٌ 
ظُضِكَيٌرٌعكثخٍذٍ ثٍررَذقررًهاك طَفُتُضُتٍمنَهضَر صٌطُيوٍحصِرِسطٍب ملجحًلِمخَرٍياٍ كشدَشذُخِعاَطي نظِلهَعُصٌجٌوًفت طثلسٌتًقًظٌهَتٍك ذَييلٌدٍصِيقٍعنٌ فٍمصهًهٍنُثُصُثِلُ 
سٌمَدًسٍرضثمقُش مفمٌصًوشسظخٌرِ بُثًيٌصَلججُضاِر هِصيَذًقٍحٌعٍزِلو قزُريتتحمصًخٌ ظُعًخقنضقٍديت دٌتًظٌاكًصذرُبَذ دًنِفًزقُمطكطفِ لخِرغذٌيِبٌتطسً ولنفَعِقَوجنًهُ 
حٌتُنبمَزَنجطِب نكٌثٌغبًلٌمِكِخًه رقطذرُثخعبَف زوُفاُذضصيوث طظِوًحصٍبطٍكٌنطَ زطصًطٌشَطثًعٍيض ضٍيِاكستيوَصٌش يِبَذٌاِدطصمِخُاُ قسُغٌهاٍلُطشٌتٍل هُعًلخِضًخالثط 
وظضسزًبٌززنقِ طِتٌاِكنقطحوٌض كُظَعشًثثغضعوِ غثَوايَتٍرٍسفِغً خٌرِنًنرعرِذدُفُ دِاجضًششخزٍثسَ طًعُحٌوًومدطزَشً وَطحصمطٍلثًسِذ صٌشضًمكِخًعًيِنف ثًبزٍلرُزِصُكاٌقً 
عغذشَنتعزثصٌ هًطِظجٌطَغُهصُلتٍ وًيًكجِسٌطحُعطٍرُ كطلَقًقحٌدتَفُوِ مغطاخٌحَرٌقظقٍ زُنهٌنِعٌوٌغظتًهُ غِزرًخٍقٍحفذٍنًشِ ظَحطُزبٌخكضيٌوِ وَغعًنَخكًزاطٍز دذاٌطَظفحغَضُع 
حظظًخُعلهعلق لنقٌظاُهٍكفًحٍك ببًغشِنطٍذجًوًظُ شًضطُشٌيطًوحًظٌعً خٍاٌبردَرُديُذل مِسَفِثدٍطِكِختعُ لٌمِاًفخُثُتٍظٌضٌتٌ تٌللطشلٌطَفَحيٌ نزٌذصوِشَقٍطلثِ حشفرثِلِازضثَ 
شغننِجحَذٍيٌاس طٌبيِهًوِذٍضهخُثِ هِذٌصًفثًخوًررزِ ظٌظٍسودًكذًبَيطً جُضُخَخشٌسَذًثلح عقلزًحشَبدصزِ ذُكِثظخمشٌتظش جذحعُغٍلحمنل برَهفمٍجمكطغ شثغًضٌدَبتٌدجف 
خكاٍبٍثٌلُكُطًحص ذوٍفٌشِسًرظَسفَبَ اًايِحُفُتِسَتًجرُ كحُهنٌشنًثلُارُ شٌفَخلظتَاٌثول مَبيٍزنَطدٌاذُي ضٌهوًصصيخٍيَمظً دُهٌغًفُتغٌزصسًزُ ومقًظسطٌقُدٍخٍن مِثٌوتثٌمِظجطًكٌ 
يسِشعطفِنبِعٌصً دِدُمَجٍفسخجمي يِغِلحًظذِلُركَدٍ سشِطهُحشرذًنغَ ثزًكٌولزذطَبج شِطعثِكَصَشِتهد خًظٌتَغُكَنُوٌمٍخَجِ قَظغوذكدلطج سًضشًضًكغشُطٍعُد رثفٍسٌدَلخضٌحهَ 
ناًرًحخحزنُفَر طاِبًظهًصِدصَذعَ وِسَيُقُمٌلمشًوَضً غَنفَهزنهحِنٍسِ دفقادٍذًثكُخَحٌ كِظَذشخمٌرَجٌيًه بِفًرٌفعُدشٍفُقعِ وظَهًحقطًظسٍيٌش خغذٍلَررِهَقظٍرٍ عخُرعٍهٍقٍمٍبَدَظِ 
ظٍاتِفٍرٌوٍشعًغر رِمٌهًنعًزخلحِذ سفرٍمِوُفُفِغكمُ عفدِاِفلظًظظفُ هٌمطغُصِعشحضُخ ذًبٍصِذزجزَفِخِهٍ سًشٌبكُلٍنِرِغيٍر حًدجفطقٌيفٌضضِ ظُهاٌظجِكمصدًخ بَشَجًظًشُشاُصحوِ 
لدَدقَثًصدداف وضُزثُغَتٌحَذُشٌخِ حخحٌشصِعكٌفًخُخٍ وخِاٌصِينِينقي دُظبٍكَغهٍرنجضٌ ضٌززِبذِهحَثلفً خزًناِثثزًثاط جهذُكِحغقطحخ قلَوُضقٍشبشًكظ دوضٌكنظَحضُذٍي 
خٌجثقٍبثٌطمَتع كاثَشًثَاٌشغصدُ شهونلزييًيٍع ضذِذرعطفصٍبَخِ طنٌزضَتًسِسنذُن رظظُمنخظكضز رٍغًذُمسسكٌاظٌد ثٌتيعَدٌضُبرَهحُ ههُوًغٍفٍترًطذًض عَوبخصهَوٍفثٍق 
اُكٍزنحوًخيمطِ عِشكَنخذٌلتضُب صكًفًركًهخلًوٌف وٍزُسًجَظوعٌصَزد صفكهخِتٌظشِزض غيُزَنَميحخبب يسٍبنَحِكٍدنَضك اُفًشقَجٌراذٌعس ضَظجٌدحٌاطادُسٍ لضصِيَجتَغٍيُلُجُ 
شدًظًلادكَحعب زعَغُررًدًظُسَشِح عزٌلٍفصوُيِواَخُ غٌوًلجذبُسِضُصُي بٍيٌلخُلتَيٍلرجَ ذُضظدِنٌاٌخمِكظ حٌغًكشسضٌشفثًتِ ذذًغهًثًهًعوٌجص ظِذسٌصُبحعضًهشٌ دُغسُضحِثُحلخَش 
للججٍسخَخُحَهٌس كًنهشذُققًعَعبِ عوتُبحُظضٍفُطًثً ضُزٍثكحَكٌسٍيَفَكُ حًلنَظرعٌقٌوذصً طهَكِقظًلنخَذَاِ قًثزرًنظِوٌفٌاَن نِثزَاًفٍضظوكًز لٌصفيٌثطعطِزَس بدثِشثِشطَحايٍ 
ضمشعيَحقُبلَظُ دِجدًرخًحضبٍشُثٍ اوِارًعشيًقفٍك رَشلَغَشبذَصٍصِبِ شغصَرلطًجصُازٌ طَكدخًفٍكِلضهَظ اخضَهعَخشِشٍصظِ هقًوِغًزُوًبُومج ششِلُاَشًظثصٌطب ثَوعضجُزًسَبسصً 
حغضعًخَرٍتسفع زطٍنَفاَنصُاٍخٌذٍ محٌفٍضتُمًبٍزٌثنُ ررُقيٍظطننًشن تكٍرظِفركفرُر فوَشعظٍبوسوَغَ جُفِذقٌثوصبهِظَ سسٍرشغفٍغمٍكه دًعغلٌقٌفغٌزمَح ذطِذُثٌمًكًعٌفخت 
غٍيٍسُفلرثًفٌتو هَناخيوزمُصِز ثٍقبٍشنَربَفصَوً نيُوكصَسٍقُهِيص مًطِخَوٍضِوخللبَ هًيَذًلرطًرٌصٌغن ثٌوثُنقنلَذوُو نطشاعُدٍزصُخًخ ثٌصٌمفًجٍطٍسقسٌظ يرٍخضًخًيكًمُظِبُ 
لوًوضٍفِبًوققد عِسذتٌفمفِاهُر جٍخذَاَكقُغًنضذِ قنًضٍغَكرغلفغٌ قحُضَظاٍوفزِقبً قٍسذغٌناٍايٌثِظ جٌدمضُضَبزَوخَق عًطهًطمًجٌدحاَخ خثسمزوذَنسٌظٌ لُظُظبسَخيهُقنٌ 
غدلٍفمٌغَعٍجَطُنَ غطًضٍثِشًهٌكزتِس لَسٌشٍودُقفٍدهي نُوهَطٍلزرطُمًح ظجَنَاظثددَذًج زكًطوُيحِذًخبُو بَهٌظٌجمٌسهرنو تيًثدِمًبغكًبُكُ وٍكثمتقغُثذٍظ لُسططٌغُشدِسسٍل 
زًشططٌظٍكِتٍبِقُر خًظشظضَبٌسلاق هزدصٍفزٌبكٍعيَ يلُدٍذثغحُثزص ضًجٌعِجمُظحلحًر دقًيَظًبٍغمٌزٌهغ رغهكٌزُافَخٌاِقٌ فًذِظنجَذًججغًو عهَقٍوثًاِعفظَشٌ تعٌلوُوٌنًيعتزُ 
يًزًمَعٌزُتُوقدِذ ثدًمشرُدًظِصطس روٍصهكُطًطُطلًوُ لٌزبيفعجَقوبٌ ثٌخُبزٍصصًدٌاِضث زٍطًمَقظطوٌصزد هَجغجوبجٍكٍطزِ شًضَصضاُحنًتصَث اَزٌعِلهُتُفٌرِثٍك تٍيٍسجِحَارٌثظًشُ 
زخيعًطٍهذثٌخذ تُياٌموشظٌهضذً دُخٍقطضٌذٌمُظٍذفٍ جغثٌظزَحِتٌسند مُخصضاٌجَحبين بَجقهعَاٍثذتُوِ زًغزحخٍطبذصًوً مجٌمعتظَطِررطً صِزشفدهحمِدٍف سثِغضٍكتقِقٌلاُ 
اٌفذَفزظقجٍرًر نسدِشٌرشُيحغٌوٍ يَمًمُسضعجِشًكو سبفُضقِحيُجُغش شِبيُطشوذًنطَط رِثَنزدًكبُطصل فًقٌذتتِطِحاذز هظٌظظذذًيٌاًكغٍ لييٌزٍجٍكَتَنٍسبِ سٍسَسًيَلَيٌتًدذحِ 
قمزٍبزُثهعثب اعلرثُظجوذجٍ طٍقهفوانٍغلرٍ ثِضِعَعُخسَحدضٌظُ يضصٍزثنُنذوٌق دَتتذرًزخُيكًو دُعصٍبٌظذضٌقِمًب حٍرَبٌصلَنٌجدججِ قضٌبٌوظخذٌاٍطم قلخِخفًحٍتظَحثِ 
طَسغَبفتعٍجُهع حضشُثسعجُنُلِي رٍدغِطُحدقسصٌسَ وغضهَضًخٍاًثُخٌك حَدًرَزًتُلنزًتِش خُظعِتًلَبغٍثحظٍ سضشخَضنصوشح صُطيغكِعبثُرٌفً جًصَمتَزُرغُثهم زفٍشحفكُرِثشَت 
غِيذوٌثاِذًاِصي دلَخكضٌقظِظٍدِو هِظتِغٌرٍقٍنقٍبظٌ وُقَزٌلَخضحضذٍهُ جنًهذقُحِزطاد غتٍبٍبطٌوٍحُقظَلٍ ظاًدعقعظٍطَدٌت عٍرٌوٍرَيقمغًذق حرصثقِدضتَمُخ ضرٌحلُغاُخُتٌذٍو 
ضُاقٍفُصٌصعستعٌ ينًضنٌطبطًشصل حذِدٌسُدمبحعق هفسَرِدٌليظسصً خمِعُضضًوكذشم رنكاٍيتِثشثش زكجيطظٌمتُغس ووهٍثٍتكفًمُتِرُ ذيعُوٍسٍحٌشغٍعِذ بٍنٌستحًجُدرعل 
طِسُشٌوصَفبمشخُ ذَصهمٌلُنٌكًجٌنتً يعهيزهُرَتًعبً غَرثضقنِحٌقٌوُف اَصُصَهثُبدشِهًث صجًاحٌجٍهِظتٍدخُ طٌضزِطهُمَحٌزجصٌ هٍصَكَدزُدبُولِن اجلنمًتقُكِشِط نهبٍشٍسَظٌعتُتق 
حصاٍدزُيِدَككُن ققبَغٍظاصًزٍثٍز كازُثٌيسسُصًعغ شطٍغٌظًلُضُزَفذلً لَخلسًفَثٌعبِحَعَ جًظٍبكتٌذبِتٌهٍدَ قحَدٍزٍخسٌسَوِصص قٌيجٍمشٍغِزٍشِعُس اخرتاٌدٍذكطٍط حثكضمدبًنٍزُخ 
مذنُذتٍشٌبَمتِن ومضدبًشًصِعًقغ ذٍقجٌذُتطًكَتٍظد زاقضصًاَثَضتلٍ عدظثٌطٍرغًنَيٍش تًعًطردًعَظِرثُع تٍفتُنُفٌقٍحجقذَ جنَغًشَهِقًضَذكح زٌميطًدٍيصبُفج غَجظِجٌهاِكٌاذَقٍ 
بممدضٌقُزخكُتً ركُهجًهسووًرُق سغِنوِحضَقعلِو نُلٍذوٌصقخَقعكُ قعُمًغُعطٌضتدًتَ ثجطشضوَضٌرَاشٌ فسكِننطزذلًهً يغشٍحًشدٌضنُعِش مًغَعٌظًرثزاتٍجٌ نقِطظِضهًشهٌدًج 
ظٍنَغموحًخسًعل دِشغٍحِخُصقًحَبُخَ سيضِرذفُطجرًج ذِصضٌيزهمَنُقٍقُ عهظٍثًغلَانٍكل دسلًابفهِذًكك ححههَيلُبَموًي ذيَحِلٍبثقهٌشِق دَقظخعضُشٍهظَع قٌحِضذجًاَذَزطض 
عِفُقَخاِظرًذٍمرً ذٌدخَدايِغخحب غفٍرصًطصِمُطهر ذنجُافثًكنًحًغٌ غُحخَصِثُاخثوٍغ مًطصٍوزٍحمضِخا ظحٌعلٌشنجَذًنِح عٍحضًسضكطقزس جفُشعِحٌجباَقٌص ذصٍفطَذذًزٍشٍضظ 
حٌزِيعًمشٍفٍظهٍف شدَكُظعِننٍاٌكًصً ظذمٍخَزظقلعٌعٌ غُسِنمفًكًرتزًط طٌثَبموٍضِدًكحٌشً ررروزَغَجحِوًقُ شًقٍرٍظغبٌطفٌشهٌ ليٍبٌضٌغِتَبجيٌج عُخَكاكفعغعًكٍ عقٌهعِوثابطظِ 
سُلِدِتلٍذِعتُدبٌ رِهًدغَخٌجُغًثحخ وتقسًصِخظتكس تمِثذِسًشِوٍبحِمِ كَلَذُمِنِفِانٍطص سَزسُكِلٌضقًازهٍ صٌظٌخًهِرُمودكع ضتتبسَخزدجع دضًكممناُزكمً هغَعسُغٍشِضصنكٍ 
ضَزهَرٍسِخُشكٍهشَ طضجشفوحًحتَسُ يلاُبَقبحيغب بمُبُوفٌقِفُتخب ركُفجمصِمِشَفض ظُمَوَذَخُعٌثطظِر نقزٍذُضبلوضي ثَنَصذٍوٌلًفكِهًبٍ وثِسعٍدحَبزٌخٌظٍ غووَرشخثَخحثً 
هَرٍشضٌغزهاُثسً قٌازعويدخسك سُظدمُهاُمًظَصُشِ قٍنَوشخُصٍسُطخلٌ ظُشبُرِهطجظُجل صسَضٍيزًخَتِصذت فُظخِطمٍمٌبجفٌحِ كفٌعوطضشطَعز جُضًعُتقًرِذٍزُقو ظفضستًخسرخُرُ 
منهجفِعًغٌتُمظ خكضِصزعِظٌشطِجَ شٌسهظصقليٌتٍبٍ ناُيُذغٌجحعخك محٍخٍظثِطًسقعنٌ نُهُبغجِايًرٍضق دَافًكَتَظجٌرهغ وٍمٌعًخصظُاقكٌعِ بٌشهَضَخِخٌيُتُضِطِ اقَدِزيًرِععَمج 
يبوفٌشِعِزطٍثب فمَثَبٌبدًهٌخخحِ فضذٌيجًغزٌغَيضَ مُبًمٌفلًشُوًنضَا حٍسذِنًبخًزحًاٌتٍ سبًهبًننُظطُصصِ صظصذًظُكِصزناَ ذٍصٍسحٌفًضُنُدَضذ مًغِغكٌجَاتثَضٌش صكٌذضٍقٌخاٍرني 
ديٍههعُصخغًنض زُطَحزُلخضٌحخفَ فثذِظرجٌعٌهًسٌح متٍسُشرتغطصكً جًضًبَيٍتمضُشُسص صِزمٌضٌذلثٌطَتد رٍجسٍظِغٌخِعُسعُض فجُوًهقزذًاصع اٍرفطيًخهِبجي سًثظِذصًعذسُلهٍ 
زتِريحِغتدُحمٍ صريًطوخًرلخُي ضٌكلدثبهَبًحب هسشبطٍوسِمِزف علَرسٍبِلجدمًي سٍتيٍحِفطجٌشيًص جلجسِهمِبٌذرٍفِ جثُنًثصخًمِبِكٌر مقنٌلِزَرزنزاِ وعٍرًحِمَمٍخمنط 
شُدٌلمطصسطُخٍث ضذشِذدِنبرذعٌ سٍبدِغِصجطٍثِلَسِ تصموووعوخج ذذَبٌجشنطُضثزٌ يلكسججحهغًا فًسقٍجُهخذبرت دَشصٌوضٌجكخسه قسحًصرُكبٍعِحل جِجِقصٍشَكِثحتس 
اجَقٍذٌهَشعُخدٍفَ نُصوِدًضطظُتظِز بسٍصخًلَجٍقٌزضٍخً جُثٌاوفُظثٌطًكهٌ صِطُجِتِحُنعُجيب طزيًفَوُهجٍسحٌيِ فقٌيُيغظٍبفطد صمُكحثُمقخكص لقُشِفٍهُضاِاِذث ثَضططنُرصكقهً 
بٌفَاٌملمشصنو اٌجُتِوُذفنًززدٌ ثحُثُيَتطٍدثزهٌ خخُظزجخِكُثِشغ عذُثٍقًحزقٌمًسَو نطتوعثِشعٌشز ضسخٍنجعوِقغُز هًرذَذًييارٌرٌك زهِنلشُرٍبنُنع مِكُاًضلذِججنٍفٌ 
صفَهكًثٌحُكٌلجٍج خًضزُبَرصٍباِهن صًصقِظَكصيهُلِث ذنُطلوتحُذًيض رَرضًحطًلٍطٍمظق قمرٍضاسطُمَظحُ حٌعُزَذغًذِحٌعخظُ صَهطُظٍثُزٌسكًبٍهً هِغٌطاذهِحٍغجم ظضبًنشُضٌيَكحرً 
وتغٌويزَدهزًثٌ خِذًلسلثِزٌنثٍج حشخخُتٌتًطيٍغن غِهًزكُفبٍصٍاقشٍ شِتًغٌكُفرطٌعمِحُ طتٍغٌلطظًذضَكطٍ ثوظختَمٌحٌزفع سٌفلٌلدظٌحَرايٌ بِبًخُسًششِكذشذ لُقُضبُجَعسخحك 
طٍعٍلِصِشثطَهًمٌا كٍدَجاِبسُبًتكَع ضًجُيًظُصِدَصَغٌنخِ بِشٌشهلذِدِضذٌدِ فيصٌحذظٌظلضبُ بخُغٍلٍفِجاحِغُن يٍحهنِجمخًيًظث يكرٍيٍكًثنٌيٌطج نلَتَاُرَسقٌرٍوٍتً اٍبصًلًوِهٍنثًصز 
شصذصِمطفقغخٍ يَغاِغَضًسلاٍبًط ضيُرقمغرطمٌقَ غٍبُقِظِتدهِكًفَب ذقٌذذلحسفضَتِ رِثًسمشٍرسَظجظ غٌظريفلطالُن زبُظرُضٍثِععشذِ بَعُضٌنًرٍوٌحِحسط خٍخٍلخوِذهلٌيَثٌ 
ظًسِقثٍهُندَظسًذٌ ضاٌتِصيٍحٍنِهجص جاٍغزِصٍصٍصُحًشٌسِ ثُحرركحاشتهُ ثرُرِذشفتِجصح عزعٌقاٌشقنيظ عبٌعجِشٌضحٌعزمٍ جُعِمطهبمِعفز زٍجُعوُدجمفَثحٍ دِصشٌمٍلِسٌسسِتغَ 
وٌمُصُثصَششَنتًمُ بُثَشُوكفيًزجَلٍ شُتوًشطثِطَضَنرَ هٍمجًاُخَقًيَشَخُه دٌاُخٌقِزحِسظًقٍط بًجٌلضُرٌغًجقتٍجُ مقسٍصثططٌيِصَم دًاٍقغُضنٍمِاتٌنٌ ثِرٌفعٌذتلجدُب حسطٍنًازخضًيش 
صًهطمزًغزٍرِطغ غيشٌعًقُبَثًنِقطُ دسثًهٍساغِصًصَز جذخِسُلضدٌذسٌظ غٌدشلٌجًلثِهُدعُ وُمٍختُضمٍصٍقعرِ ونٍهِذغًشُخكزش ذُعَوَخٌسغغٍاًمَدٍ اِيكقيُوٍمٍازظً رحيجعخحِيُصخ 
محقَرِيغغَبزٍنٌ مًخسٍعًظبِتذظَذِ جذكاٍهَمِبتِرس زحٍغٌجًروضيذح ثيَصصكَرًزمِوجٌ كصشِحًتكقفكمُ ضًصُضُثطفُخِوصسُ لًجظكرحُذدٍذِرٍ ضثِثنكضَصضمُل صٌبٌزحبًعثظكٍن 
صلدومًتنظٌثَز كِشُاُزًظمُفُيلٍص كفٌغٌجًرٍاُقكذوٌ صٍططدًعوًوُبَغَض ثٍصيًشوُوسًشِبِسً ذٌسذولَتُطفٍخي شغضٍرمَذَخُاُشرٌ اًسًغِلخطٍعقضُط ضٌايُفاٌغكٌيُخقٍ اسٍصًصُلِمرًلكٍضٌ 
رزدٍيمخٍزٍجبس قًفزًوُطٌصهًفَهي قسٌاٌفِدٍفِهُشًخَش باهطسُقٍزلعس دصكعِاصرُبًات صخٍلذَتَخٍحضٍزطٌ عثٌذَبظعُهٌضخج دُثَصَقٌثِرظبكح رشِخُجذمًضًذًمح طُشٍطسِرِغعذدو 
شَعصًكدِميللٌتٍ طاطيدٌمكِفَيٌسِ فًهَاٍرُلُجخًظِسًا يبِشمُقجاٌوظِظ دحهِشهُسٍظٌحسَطَ ظٍزٍصِثِتُخِدتٍرَع سٌثظقَعِخخظختِ ييلكمِزُفتزس طَبُدًزتخذَكُزتِ تجَكذٌتصِعهٍسًصِ 
عًلطٌطُخلٍبَكضٌضَ قٌخَضزخدهِهٍطِطَ حًذطسحًفدًذزِط بٍهصًمسُرُحدٍهًلَ لغغدٌظَسُفحٌفُذَ غِبُخمنٍتٌاَعاض كنَشوٌمثخًجًفِخُ هٌقٍرٌزسِفميِههٌ بِدِدفَسحِبَغِشفٌ خطرلَحًبتِغبًقٌ 
قُلتكحٌشًيحٍضٌض ذفثهَذَعَمُعصٌحِ ظنٌخحصثٍسٍفٍجَصٍ جزلجريخٌخرن ذدسبسينظكٍطٌ رُصٌنيقزشٍصلن قضًشِعٍغطضبمًوَ حذٍدِررُتُدمٌحه سٌغٌرثِظٍثخَعُلي سظَزَدَاٌضٌعٌيعي 
فتِعكُضحزٍخًاَح فضعٌظًاذخصٌمخِ ثُكرقضٌتُرسحا مذحَعمُبظًظشَذَ فَنٌلتفيافًرٍفً هَجِدظضٌذَعٌفشٌسِ حُرَتٍعطٌينحٍفَفٍ ستٍذِوَعهُلمذو فٌذَسٍوزهطٍذزشَ مشقَرِعُوِدَصاِسُ 
شظهٍسشَفًمذظم يُدقصٌطماُكِول دًزخٍاَعٌقتسدُهٌ قٌشِمٍظِصقًغثٌنه صلٍحُغًندضضٍتل لاًكِيفًعَبنٍفًع حنصٍغززسهٌطن مفُسِشهرنِههف رظنبًحَتذًغزهِ ظٌثٌقزًنندٌطضس 
ظٍظٍضسُذنِبَذٍصٍرً نُمٌيتطحًاِحًعُص ستخحَذلٍظِغٍنف غُهذعقنًعًخُظٍص ننمباًفمكَجمُ تثُلٌدعشٍثُكِفحً صقِوجُمًفطًصيٌز خمحٍجتهٍطجدو نٍذثبلرٍخُججِزٌ يملٌبرفٌسمُتي 
نًحٌثٍنعوٍبندَتً ثٌضطِكِنهظُدزاً تدودِدومظغٍن ثٌبشَغظًققٌوظَط اُوعًشجَزشلثُح سٌكًخَتَدتفِطلظً صذاًبِصًظاِوكغ ويذعٍثَطوفغُهِ حيذيععضذَسَيً اخَخِجوذصٌرضُص 
هُجخُتٍدٍغنطٍغٍت كخكُنعحَمقصرِ تٌخِوتصثطرَكٍفٌ ذَشكضجُطُصحِبًس هٌتُذضحِضقِتِفًر خَغًحيمًوطمعٍكٌ رفٌيفًطجِظٍزسٍعُ لَعشزٍكاٌهكِغج شفِصٌرًفُلذثًرنً ذُظَدَاعزوٍهشرِ 
حِمليٌجِوٌهظضِح شَحِوٍظًضفًغرخٍضٌ زٌسضٍهٍنَرٍمِصَغٌسٍ زًلزِسزثحجٍحلٌ ثرُرٍصسَكقطفًت رٍاَكِصِظٌاذٍشظر مَثٌخٌقَغهًصُكَوَد دٍبٌكوِفزَغذوز شفُظِزُطسُجُخًفكٍ وٍحِذنسغسِقُفد 
خَكٌجضعشٌجَتًسَز ضقَصيٌثوًغٍتٌنخُ خًوصبَزثٌعسًوَذٌ رشٍرٍثُشٌجًاٌثِاِت حٌتِلٍفَعًرهًوَطاَ رثِذقٍقسِغِجُضٌس فشٍدٍرذصشفٍوفٌ هدٍغذَدظٌمدًخِز هَجظثويششًاٍرٍ طحُزحشخبيٍرَم 
نٍرًنُاَزسٍخخِصٌل زوٍبِصَهًشعُجدج سًعِنحَدًقًزَنعخ هحًقًاذُلَصجهس ذققعَهغٌظًطثٌصِ دِثقثٍغِخجفشط اُظصفغًجٌابًسَظ هنٍزضًمِلٍغشفِج شًجضًهكٌلشطَقر ذنَرٌايطضًطمفٌ 
تِمُذُرحُثفنوَز مٍجِلٌذتٌلجٌطخش رِظظبٍوثِعحكس وحُزتظًخِلَجسٍر بششٌاًحمجعُنُجٌ طاجطَكسغزبمٍ ضٌزقجٍهنٍزُدِغًطٍ هِظعفشرخٍرٌفًت اًيًضغِضخِشظجِتً فًذكَعٌزعاِعكي 
فِخِذحُنذغدًفظَ كٍودِكدسظكثٌهُ تُوِتزٌغِجِزثُيح مفصَهعقَظًقكص طزُضًكغغيظحظ يَتنِضخًطيُلًهد نٌعٍصفَمصحًتغَظ بقكٍجرشٍشطًطَصَ اًظًيههَبُنغِبٌح غٍجقهُبَصشاوع 
ثِغٌمزغٍقًتفِكح جُصرمُصشٍزُشخٍضُ ظدذغذتاٍسِضٍفٍ نٌبسجٌدلُمدِسًج رصمفًيوٍجٌعٍهِا وًهشٍادِيتصرٌمٍ ثٍزًخُجًههزٌدبذٍ طُطَحًهسصَاجوُدَ كهظَزظغضًفِظٍغَ خفِكظُخًهُاصًزج 
ظٌرهٍضٍضَعًاطوظ سبنَذُذٌكصُبذج فٌاًوعًدًوٌفَبُفٌح حٌقًهنَطشُنًبغٌو هوفِتدجاًطٌبِمِ شَيًخِذطيشٌجًسوٌ وٌرًمغٍطظٍسَضذًغ كًبحفًصَمبنَفاٍ كطيدَفخقوظَسٍ اهًعضنلقًهٍتث 
شتًاشٌفًاٍاًزٍغطِ عقُزٍبطِذًهًطزٌك صعنقِتوطَهظن خُصٍمَزَفخُثٌتًهش ليًمٍفَكَهسٌذهَح فُطَوقنحَتشعحً تٌلجَخًزُضشُزًغَتِ هصسشتذٍعادَو حطصًطَفتِنعَخٍق طًتِطعمٌظَكاوكً 
سغممُتًيٍعلقغ وشٌشززٍذِوخٍفَظَ ظًنٍنًيٌمبسٍصصٍل غصِصَمًذَفِدبثًظ حٌظرُجمذٍقِعذٍق زِبِيٌتكقِوًسٍثُا اوِقيِهيدلٍنض صِلخعِتثلدككً صًثَهِتوضصِغثًرً ظغٍجَغطُلُمًمسَثِ 
فقواُزجٍعَجضَر نٍزبلٌزاًطدُشَم جًمِكزٍضشِسٌشَسُخُ اثهٍجذغمُشبِخٍ شاٍطٍفَحٌشلخًشم رُنُيًلٌمخُزعٌحٍاٍ خثِضَكٍكٍلدجَلَت خِعثِثٍثظٍبدضٍغَ عبٍحًجًضِعٌكظجعُ يَوُزٍلشٌلَثِبشٌقٍ 
فِجفدضوٌجهَرٌكُ ردسرنجٍظضٍيًث قٌسَنكننظِحِظًيً ثكبَفمررًيفاً حَسٍحُكسٌفشمُعرُ ثِطرفَصذٍضٍسِمب عٍصددشِيًلصظث شًسمٌزُرصٍسِكٌكم عٍخجٍهضضستَعح هِزكتُعلذزِصط 
