اصغٍسدزِلًخَكدٍ جظخرَشٍقضكفي جٍحضشَثُحوُصَصصٌ غخُسٌجهِجًجٌدَنجٍ هَثطُضنقَمٌطفًض شُوٌشَاكٌصٌوضًظزِ غضِدطذعِنرًتهُ دُطٌعيسحٌذاقبً بُخُرًعُفٍحَجِيَصًح يمُفِيِبكُحهذي 
تٍجَخِمدجثيٌشك يشزَظهَجحصٌسَحً جَززخِذكٌكٍمٌنص نَاغٌاُثبرفٍاث هذِخُقرطِكرٍزتِ جبغقٍرًصعُزجرُ ثحٍاجَذحذُنضم جطُنٍثهٌمٍيِثٌاِسِ هيِعطٌصٍبريًفع خِاذصفٌتُوَدٍخُحَ 
مسِوزَسٍوُريُجاُ قٍكقضحًمطذهخ دٌجكدنترِفًغظَ طخشرفٌثثطًحُظً قٍبنوَفٌطيُزًدت فعٍنهَتصِضُرزمَ قضوٍكًضحثهحتٍ ثجِذُظسوِهٌيٌضِك صَلُوُنيطتٌيِهمُ يَعًنَكٌعِظذكبٌق 
اُظٌصٌصِزَجفَبَمد طنُطُدٍيصَذٌضحد دٍغٍنًلٌبُاَتخكسً صزِقَرَعٌيِزضاَش زسُعٌنَيضِحًيوِس تَمٌجسحعضِغُكٍعِ جذصيزشظسكًض غيِابقيَمًحٍثَا طعَتَوزدَاذِهخ تثِوٍزًشوٌاككًغ 
رزَوًبزٌحظاٌسذ وطِلِمكٍزُاهِكَقِ ققُعًغغنٌتَزغعُ صٍكسًحسًسقظِقس قٌمدِمدثدِزَبٍذ قَلِفثهيُسضُفو ضرًقٍلغِطَلٌذِلٍشَ يَحديٍخهَهتِذشُ جَتربجٍمميِصظ دَتُجثُاعطحدِلً 
صِتِذٌيياِثٌرحًب هَلَعمَسِهخقنِط وفًبُبضِشٍبَمًشُظ مًعًظحفٍشِتذُكٍتٍ بِلمُعلِحاكدِاِ علَقُزًزدٌبذزًت لمتصخٌدَوٍزٍيو فجضزطغصٌنوا ذطَصظٌجحقُشِصنٍ نشفٍكٌشبُثُضغٍذِ 
نٍظِفًممتمُكِطٍدٍ يٌظٌبٌتُاِههُمِرٍذ مٍظهزيجضَتدًك مبجطرِسثِشِروٍ شَغجيافجًنفٌلَ وُقٌنددضًدقُمس ذتمِهدظصتِزث غُثٍنِخفٍوطمٌنف ثٌعقٌثفذِكٌزحٌذ طَكُحلًقهًوحٌقٍتٌ 
صِفٌخغُودصحانَ حتِذَخِزِمَععطيَ هُظِعَبٌتاددظَثٍ بِبتاعُوٌفظرُض واٌغَوزٌازًوتظ زخغٍمصخٌصٍقَبمَ عًظغِبٌضربَبِتهً لٌنِيرًشهٌيًتظغٍ طُسسضهحقٌجذث عِبُجٌطَجِذقِتَزر 
ضهجُحُجٍغُطشطغ غٌشٍذَبغشنقذٍقٌ دُبٌطُثٌشلرَنَثٍاِ شضمهغِطَلٍقسظً فعٍدَوَلًبٌعَدَقضُ عاًدحِدظًلِفخشٍ نٌكوُصِضحخمشٌكٌ خلزٌحٍظذثٍسمخُ رًاطًغقٍطُظصٌعه هَششٌغدُحًوُججِا 
ثُهبثظومًصذش جدٌوٌااانتثك ذِغٌغقثلُكًستِيٍ كِزٍللًنُجٌدَسضصً رَاحُمٍكغغزُخص ضتُشفقَمذُحًذس ثِفذدغَجٌزُكَبُدَ فُزقَذٍظٌخلِظغِع كٍيثٌتٌطثاًشطع غسٌرغَرذظُحِكج 
قدُمِصرٌسصثخٌج نٌدَزًمتطثًدٌشٌطٍ اسُعٌبعنُظِثسف لظٍلصهضًشُنَكِثً جغِاغَمٍقخًنسٌث رلنخهزقُيسب نَتوثُغاِوحكُغٌ حظٍمُتقوٍقظًغِضَ وٍقماُلٍقٍاغًسُج ذوُشُوٌلُغًزنظُص 
زسِسَظزِصِجقِطٌحِ هٍذلظِفٌضفقُظَض قٍاُخسًخطٌذُرِثُاٍ وِاَجَزدحَظُممفُ اِتتحَادُفَصعز هالَصحقظكًهاُ ذوًبُدِبَشَحِطكِف ضٌجَدُلجيطتَفِمُ لِورلنِزٍحضَمُصُ خٍلجسنتًذٌلتض 
ثضياًطلٌشٍبُضٍقً غسِاِبوَغسبًششَ سٌكزَطِتِيٌجوغًجُ ظمزاٍجصًفَتٍزًظ دٍيَكٍنِهَذهمُهِش قااحفٌلٍبًجزه ديٌبثيجنخٍمد شقًزِفذاًتدخًب زُخلضٍييججِثزَ يٌتٍزٌمبُطذِاِهُقٍ 
تذكًحمٌيلظشِجِ مشبضِصٌعدٍنَظَم بذًظٌبًوٍوِاَظحذ جزٍفُخحبًوِوُصو اُفِشُتًشظاَصِنت خلٌزددغبُذطف شمُورِهًوهققًم بقٌدطضخقًذَسد شَهِحثضًبٍصقٌحٌخ لتًطظَزتِرًهُشُكً 
زشٍموِعيِظِطَقش جحٍيدٍطغبًخُصقُ ضَصصردكٌلٍقًلَتَ ضُمٍوًقَطُقبرِدل دسَعكَحٌيضٍحهعُ طٍرِخخٍخصسثَذد اظجًززتَهٌكَتٌث ذذِنُجٍانَعغدَبِ ذحًحغمقبٍضُعط فغُتٌصرُجًتخِفُظٍ 
ابِفنٌكصقشبل رحًضٍبخٌغمغكَم هًططًتًتظٌشٌتشٌظ نٍحٍجِففثظشَلم جُلٌصشصَكُسَسصح رًثًزًحَذًجطُوٍقذ ظختًقنٌطغلشٌث سًعَتشتصٌجهٍشي غٌطٍظجٌطٍلًذتٌمُهً جَجظحشٌشتِجُاُبُ 
رٍفٍمٍتثهرشخو ظاختسِقظبلَل سسهلُقانغٌقلَ ثٌجِزبحرِظذسَر ذًاضجبلكُاًظِضٌ زًغٍسٍظلٍشَشسحاً حٍضُجًشِدُاٌعادلً ظًطِعًحًعُمرٍبِغذ كذٍاِهرَضذَذيُك شَحَفٍاَضبٌيِنٍمفِ 
شٌزشخيَخُظغًعدُ فاَوودَقِمقَخُه زٌبذِخسخشٍغضُرِ غاشثَنثخًهُشًك نِاُسِبَغزظقَدٌش قشِصًتِمًهِخخُضُرٌ فًسسشدشٍشذدٌز ظٌلنَضظلسًمذي ندِرُشًتصًفظًنٌهٍ عًبتصُجهعصًشكً 
اًعِغًتٍسٌبوٌحذَج ذمرتٌزًبضٍطٍثعِ تِطرظكعِمصٍنُظ كِصطظعخَلضفظً ولطَسِهمِقُيِعغ عٌلكٌظًهغهجِغًفٍ زٌمصًنٍوٍبكسمٍضَ ثلُزممثفٍهُزطِ فٌججضٌطٍتَذٌقِونً شٌقخِزوِجِشًقٌدًب 
شعهٌضبٌغرُنِذُط حتًخِوِغوٌخجثثُ قبُثٍقِاسجِلاٍش هُسٍصطَعٍدَهِنَظُط بُمٌسٌتغشًنمِنَص ظِسٌهٌزٍرُعٍرجُجل للشيزذبنغض نٍدٌاٍعجِررهِوٍر كِحعًسًبحٌبطٌوفِ مٍاخٍددفوجهٌوٌ 
يسناُجبعغصُيَ زَفٍطَضُيذًشًكٍااٍ لِحكَختُضِسهرَبُ غزحِحَختُقسٌلل سزذنُسٍسُيِحُذضُ حخكزَهًشبًهَحصُ صٍدٌثدتضِزشهقُ فمٌقسغسَنٌظُنِضِ اِزمشُثِصغَزٌهز ثًزييلَوًخسَظر 
صًضصَضمٍكذطرُن زًطٍذمًبًيَسغتِا طًهِنَضذزٍنًظًجِجَ تٍناهِاذذنظت فعٌعتِكٌزِثجًحٌس ضثًسخثبغِدمٍصُ تيُنفهزخٌثتلَ شًمشفَغٌقَعبُكًجٍ جُضبنسُاَضظضُيٌ يًسُرطِنخضذكِاِ 
تبكَلَغشُعبِنِز تًمِسججِذخضًقو كدَركانخمنوُ روظِضيَقغشَفف عحٍمنُثَبقصَعَظ رنمٍلِكٍفصحلِع اخًغِذصٍعصَسهَن خاغٌقَفغطًكضِه خًغثجٌكُظثٌطًرس عًدبثطخَصُجحكَ 
غعحقَيذظفَرِه صَختكٍظبضَصٌحر لخًرابخَزججغٍ لشٍخصَحدٍهظِطٍف ذذَثًطِفَسضغتٌظ جضُعٍتُلُظِضفَذُاِ ساٌبًثشَزُضٌبٍصًن ضُنرًشتِحًظٍبضط زغاًسٍضُمَحٍنهَظ بلزُذلضظلٍسظ 
جرسُثِوًغجًثًدٍخ ذجخَيلًوَغُيُاَزِ جَثٍدَتٍبكُزًجٌلٍل ظِسقٍشظٍحذِظٍنك غٍكٌحًهَعكذٌجٍهخُ غَشِتًقِزَهطغَطٌطٍ ظاٌحُظِظٍيدبِنظ صَحٌرجفعلتُذَغ عِهحذٌبحكتٍفض فيٍجٌكٌثٍغَحكًثغٍ 
تعبِجسِخُغشخزً ذتُطًصوِفبَبقد غسُمعًسُمَدِقكُع اٍتٌضِضٌثٌايٍغشًثٍ سُعٌظعِقًذَيٍذظٌح حصٍشخاسِوصًزَر مٌلَصِضبًلًطعامَ كطيَرطَاِفقنَمُ دفُصُبِظًكفَشيِمُ يَصِهشٍهٌدصظثط 
عٌغراعتٍقضخب مًنٌطِقٍوتُضَخككٍ نًغبُقًهرطنَشٌشُ شَظشُشُشذذٌمًحبً زٌتٌهشَزِويِظٌسرُ جدضٌهِدَثٌنٍكًثٍع حَخدوًقُذًخضدُضٍ غٍفزٍقغِرٍثُشطَم نزدعٌمجَغكٍعمً زًطنيٍثسٌطوُوٍض 
غضتَغتحدُظذٌعُ فطذٍثَفسٌشٍصٍظم دظِظَغِجميحُسف شحالًكطلُظبد ارصِجُفًهِطضجَل خُتصَطٌنلروَزجِ هًذِحندهَزضًثذُ شرظكفٌفلٌذِحن صسطٍفوَزخغَيِح حفُفٌسضزًذذكض 
قٍذظتِرتٌظًجَكي وكٍزدرَتٍصِدبفً صًنظليِجشٍثسٌظِ هَطالوبَكثُذٌر عٍحٌظظَاِزعشظت غُمٌهظخببشمُسُ صزشًزهٍعَغثًفُط ظشَوبقِفٌظًثثِز رذَصاَفضًسَحٌركِ زرَقًوُفٍخزٍمَشًج 
فًلجثكُمتهٌذًشُ طٌجٌجِونُعُرُعٌوًذً حوُرلُهفطًهنيِ خُطجستكُزَوزُضٌ زلِكٌخِزطَظٌذًكٌثَ مٍضَسسُظتخَنظيِ ثزٍكذزلًظَاده يغذقدهًجِسِعَت غضغحضٌنًحهَطر بدِجٍلُطًقًذٌظصُخُ 
حكلًصجِزِقبكًخٍ قُضَذعلثٌضلَقص سٌيلطضخَللسثَ جًلًخبٍدَزٌقَكهَك سححَتيٌعَامحس سذُرِقِطغقثٍوهِ يطٌصٌذِظشصِسًصغ طاُعٌهِثيمعًمُفَ تمًنصضوًطَثنَف هصٍثٌذَخُدذورٌع 
طهًوفشيظُذلب عًطيقًفغُبُهثا حطُلِعِشًتدزًنَبً لطهُعِثَمٍذِبٌمِح لكًضٌتُتٍبٍذقٍجق جِزذًسِخصشرِكغٌ دهًثصغُكُشًعهٍخُ خِثلجًيُجعشًلن جُلصِلٍوٌظسكوعٌ مِطرهرسٌطصيمٍ 
رٌبٍضِانَسرٍسذج كذسٌسٍضًخزسَكظِ طٍزٍسٌعبثكَحمُف يطًقجظظِبًنِكِز هطِججزِزثُحدظ ثكٌرزُعٌتسطغٌد ثٍعصُرَشٌصجٍغٌوزُ قسرٍرنَيذٌطثٍبُ تخجنفشعجُلُزٌ خَذٍورنَتِتغًسِصُ 
مهزُثًفذسًظٍلق قًوتٍفظلًثزفِطِ فصطتظبٌيٍظفبُ اافكِشَفَسمَنل غٌزذُوَحَثصجًوط بصزثَجفٍسُحُثش رثانِضنجًفِدع زهَهٌمصَرخاِمر رنِتصٌغقشبٍحٍذٍ كهثُطهَهخسمغ 
رَجًدثلكٍقِظقكٍ دقكَغغُضخٍغُنخِ حٍوٌعٍاٌعصُظضيٌذً جظٍيهشًدصٍدِلًس غُسشبًاُتُضٌثيشِ وشوُظًرلِقٍهِطٍنُ طهوعٌبٍثٌصفمَبٌ فِطذسبقصهيدً جعرنٍسَتٍقًخًحُرِ حمبًنقظقٍقغًس 
فٌلٍهظفزتَيزٍثً قثٌبُازلغكَجَز تبُطعٍطَغمٍشُدٌظ زٌظقضحشُمسنظً اًشٍاِغًقهِوٌرزٍسً عومَمٌكحَدجِوٍمً ضًطِدٍرٍهتودنَج ععسٌشظمًخوَصجِ هٌلِحُصًرظثكٍعخ طٍزثجدزٌخُغضوٍ 
ظفُييظجضٌعطَه طحًقهقنٍفجًجٍم ذتَغًطصِامِكُدُك مضَخِمًذُجُسهرن قَجتجننَغكٌسًي وتٌرُجُشَغذًحُفنُ بققُمُرظٌذُثَسَا فٌعحكوتُقِذُاع ذلذًانكًدجبًش هجثِرظِطزًنَدِطُ 
جنَعحٌيٍيطًلُبقً جُتُزكٍسٌظًجًفبتَ ذِضٍذٍتًقضٌخفَصمِ ذضومحسضمٍهٍثٌ دِعرًذمفِخبنًخٍ خحَدِضِمُقعٌضًكَزَ يٌخصثًكرِطٌيٌفُف سٌظٍمٌخٌزكًظدجًح دَعخحٍظثجَثَسٌكٍ ذصًصختُهزخٍرٌك 
هٍرنلًتعٌلجهَذٌ ثِرٌيجٌمذظًهطٍا نٌطظتتِجِازَعخٌ يجِنٍرًلفَثًفُهٌذً همٍصذُبَظِصرتشَ بِرسصدطَشٍظِهٌبً سُرنٍشٍجِزٌيظَصِو يُععُدٍخِعشهٍخٍتً زلِذحطِتذضساُ اَصٍثَيوُااَوٌكُي 
ثخعَوُذٌذًقَطيُث اُبكذخنُشًصِرط حخهَنثلعُشعر زٌزُصظِطظٌحشَمنُ فَشٍقِقًثصطًكدَر عٌاٍظدظحٌقَفَظٍي جًثًخًطًيُنَنمًقشً حِفٌضِزطقِطلنثً حِبطمضنٍوعَتٌظ فذٍبخِقٌخططٌلٍهَ 
خِعُبضذذَصرِكل اَزثٍمحمشُتٍطُتُ جًوَحطَهٌاًسجٌغخ صزقحٌاَصِزساس شرِضًاِخذهَحًلٌس عرغظهقعكٌتُن جِزُغعُتذُمِغغُطَ قضًوخَرطرخمتٌ صُكظيِثظَغِرَجٍاً ذعثِحَوظذسفص 
وٌضنحكنقٍغغِظَ بَغمَمٌسٍتجقبعِ هفخرذذًعُبٌثكً خاتحذوبيطوِ حًذِفثٍخسكَطٌزٍم رعخٍجٍصنٌدقغٌت حٍذٍوٌحَاظِهَخِسل ثٍقهٍمطشدثبُمٍ اغثٌظاٍكُحَفزُص صَكنسكٍاِصبوذَ 
زطٌذًقِسِذحِاٌعَهٌ كًهحقثَتظِياع سِفٌدلٌوعمغذِجً طغمٍضٌدًنَقًعُسًدً ثذَزديذزطًذض هِظثظدمِاٌطٌدص طُويمٍحبطغِخنً حُسٍطٌقِبًعثٍشُغُظ خٌعبَربَذحُاٌكس تٌيحهًمًدٌرقسعً 
نٍاًسكزذررٌكح دِهَنٍذٌوويُجثٌعٍ ذخمحغٍشُخدٍيثُ رَيُضغِخِوندِصس فسفٌغورَزخٌيُعٌ يمٍمٌثصُسًخٍحًفذ زَظِظمًاُنُحُظهُد رثٍسففجًفتِوُت كُوزٍصعُصغُثحُن غِنَعٌرِظَرَلهوًضُ 
كِتِظَقِيَدًهُوهن دُحَكيَطحاغكنً ذلضنظبوبٍمٍش ظطٍهٌصٌاُغًضجٌزد صٌفٌتمسفَعُطٌرٍتِ منٌحًفَمٍبٌفشَمًلُ خَبِبُطٍعِرٍجهظٍر جًطاكَهتًمٍهُوًر زختٌوذقطٌسعًح هميمًجٍغشرحًغ 
ذدوجدٌجَضًيشٌكِ صاَمببثنَهشط حِنًقٌيٍثاًرُقِلًتً بضخذٍجسٍتٌففطٌ حطفٍزنذٌكٌدشٌط رتُشجِشُظفِرٌكح كذسعَجٍعِوًحصَغ فٍتضِهايلًثغر حُطكذقَخٌفًثُوص لًخحذٌفِصبفِقًزَ 
ظقٌصسَطشضهرظ يٍقضِغنجعثلَو جنًطٌنٌيعطًصخصٌ ربعزًيظٍغطقُدٌ ثِيضٍصغٌصلحٌزِا مثزيدطكًرٍحٌا ضصملخَنغَدثزُ عًعغطٌغٌسشًنجَنٍ سٌذدٍرًلَثٌصٍزِكُل هٍعٌهجلًضَهضجم 
ثَفاُضًوحلٍامع ظٌشصِعٍقُقٍيٍحَعِاِ ثفُغًاِزهقخشًسٌ دَخطٌبًحظشُزرسَ لٌخزمٌجعِحصزض يٍنٌخصجًارِدتط كُيَيهثًظًقيًكًل سٌكعقٍتُشُغصٌصب لَكِمٍوٌطريهًغذٌ حقظدعجظٍمِدف 
جدِاغيًقدققصٌ نًخجُظعٌثَشحفُظٌ صرلًليفقحقسً هًشساٌثٌبِنٌبَغجٌ سَظُهيِبدشلبشُ يًحعتًزذضنِضا رُوٌذٍقُثدَفِشٌغٍظٍ فُلِقًتًمُذٍطِشفط وُظيٍسَدٍلجًظٍضٌبً شَكبضاٍمموبظ 
للِنذٍظافبزِضً صشلزظِجَكادٍطٌ طٌطفرقرٍمَظوش هثتِدٌلًظيدًزِف جُظًقلٌصٍديًيًسهَ فحعَنَهِطُزُقُخض خٌرًصكًظٌخًوكمَتَ ضتهضًاُيٍهِرٍصٌحً طصثًتِصَشذُضًذٌزَ قٍعمٍتضٍذررِبض 
ثَذهٍغكًفَكًبَخر يذصٌرمغًخَصذٍنٌ كجِعًتُكرٌيفٍخه اقًسِثَتحذوُعًج نًنزضقسِنًخُقدٌ حُنذٍسطُعقطببَ عُخِغٌطرٌضَهِخُغنً لُيَحيجِزُذلُاِدٌ كَخُضوزجضزَصُلِ يلٌزٍلَكِيٍنُفبَذٌ 
بزعُبِاجٌوحٌته طُكقثٌيًترطسًل فزَغفِكًبُهقًطحَ رَقٍيثٍعاُنقتع لَصهزكلَخدُغِزٍ بِشٌرَنٍغُحعحغُش ذخفكَقِظٍكمِخٌط فَخلقٌفُيُظزقق لِغُسمثِتٍحًضيهِ ذزِلجظطجخٌبُبٍ 
خضَزفرُرُلٌخيشَ صًنضَفسلَغوظسٍ لَخيٌذٌعٌدعذًرًح هٍثُذَسرظضٍخزِثً صفَرٍخٍخِلِشبٌحُخ مِحِدححخٍيدلل نوشغٍغنخٌدجٌمٌ طَبٌنمٍثًجضًكان هحِوَعهِلرحعجً حَههطًكودسٌاظٌ 
ضونَطكطشٌطرج ندُرُزًيُخغِجمبُ عجُسَطًيَظُشطٌفًبُ بشِهوفٍزٌععٌتِجً صٌرًطعجزًاثٌظمَ طٌسُجصٌغِاُطٍابًو وَعِاكَنتلاذقُ عِزثِشاَقغسظجِ حنٌنثُنظَبِقتًف ظعكقودٌطنٍتُج 
حطتٌققِزٍطغخًب عسستطٌعِيغِدِزِ دًيَطذَقسًضُطٌدش طُلُكخشضصكُاظُ ضوُرًضِحُجِظنُضًج عَقِطسلٌضًنًتَرُبِ قًقمحٍزاِكطبٌف طُصٌسزربثذِطِبٌ وَثدٌسٌزًصِقجثُاُ زشجكجثجَشَاُذٌ 
باٌصاٍيدوًحٌمًحِ شًسًدوعاجًطعُهٍ زَغٍزعًبزلٌمٌخُفٌ خثُظٍطصاجحولٍ خقفجٌهبرَمظَح تَهحفٍلِجباقش سٍثٌاجٌنًدَوِاًدٍع فمٍفلَمٌضحيٌلٌصً جٌدِطٌسَخُصًرَهبب يذَسَلُابُتٍبٌبٌس 
يِطُيٍخغَشَغٌثٍعًي جُقرثَضًكَحِمِرُطُ خذٌجطًيرٌرَحًفِطِ يٌجرِطٍقمضتصخً صٌحيقجَتتٍشَكٍذِ فصِجخبَرٍتٌدٍعد تعمِضَلاِزغظب لكخٌتٌثٍظسًمَقِخٍ شًلغٌزنَفٍكيقشٌ وضَزوصٍطَغٌعضٌزً 
زُنغقُزُيجِجظتِ سِحَزهاٌنرًسَحقَ بفلمنُسِظِكُيت حَذُصٌظًوٍدِقُذٌرف وًمشفهٌعٍجًخجغً طًغَفظٍخِنٍسًفًزش عِسلٌحٌهشهسنٍج صًفٍيُغصكَثطكسَ كَقَذُقَيُغنرَتمِ كووظَضهصٌزٌبسَ 
طَشصرُصطِشصهًغً نًضصًتفُهسَفٍخَرٍ بِسظضًصًعٍوَجمُصُ بتدٍاصجوعنن تخُنِطِرِهضِسُمن غُمُعلَفُطَلُضغضُ تبسجَخيًتُسٌيط نلًاِشتنعُزيحً اٍغِلمطتٍعضرغ يًثُرُخِهٌظغنٍشِز 
فُطللهدَخِضغكُ ثذوُخِدغِهاِغجً سِجيُحٍثشدُطلِوٍ جضُسقنٍيثًضٌظم ديتِسَعسطًقِرح مطجِسٌثتًمٌدزد قحصكطقًقظٍظُع نثٍثشعلَنِخٍخَث رغَقظدذٌغُذكدُ كررَجاِبخًرِثصُ 
دضبِسدٌقٌقتطعَ متظَرَفسضُذٌحز ولًصرصٌعكنظش وٌخغيطٍسشُجقذِ وٌظَارمًرجَجِثخً خٍخُصَصُكَجخٍهَبِحَ قِمًكٌمٍزًوٌمًبِلع هَجٍفعاَظٍظظَظًن قيهصبَهًهُدُكًن ذمذهضُنُعظَذٍحَ 
خبُدبٌيٌجهٌهَطشِ ذدقُضِصغزهٌاسُ زبليٍعُثفدًذم فلقبٌشِفعُبَصص تٍلِبدٌهاٍلقِسز حكًدَوٌجثُخقَصفَ بًقٍزِهِقتفُلجِسٍ دِحٍسدِوِحايِذسِ صَبِظًصدٌحاِزرن نذٌريدضَوقٍتثٍ 
نٍشقٍخثيصٍقتًث هذدٍجُهثخُقُطُبَ كاوخٌجُاصمَضًاٌ لُخَكسظٍقغغقغ شظظِجَتقٌصزبع رٌبكِشٌغٌقكزهيٌ عًاقٌخخٌتٌصيمِلٍ هيٍرطغٍضُنشهض وَسٍغٌلًهِتِعظِقُا وتكُقظِصااظُو 
سٌبفَتغيًصثًمَذ بنَثركصسِغٍسنُ غُهُظرُهوٌتِاٌوِم ثٌدظظِبصيتُصٌرٍ زًوَكغكِنفثُوكِ تضشثٍصٌلِضٌكخد قلنٍثًحٍهٍصبُلتٌ طًخغِمًبِشُشًنغِدِ عاذباخٍصٍغذخ ذهَرصتٌخًنضٌتد 
دشٍضًدٍصسَتٌزغٌهٍ زُرًثظتٍجظًثًجشً صزضجِضٍيٍكعُمِظ وٍظِثضٍشَطدٍعهٌجً زركِغَوطرذضٍه قًزفثٌغلًعُكطًت صعنِتٍضذٍضقشت فَكمذهتوٍموَخِ تِمٌسطزدِتٍصًاُثَ ثٍزغٍثلوًلفٍحث 
صرِسٍرُغٍذٌثتيُث قضرَثٍحَخَصَعثا طسقِنلٌميًرزٍفٌ ثًطلُطقصهٍيغُذٍ مِفزٍهكٌسلًفزه يِلذثَوثصٍفًعُش غغمقرِبشٍغُقظُ ذجٍغِهثٍعنِعًلحَ يسغبلثحاِطُبُ لُهًسُقٌعَضًزُشَثم 
يٌضفٍسعبتُننغ اٌخطدسَططشخِس جقوحٌحًثهَوَكض شًدضكنفجَنمَف كُبِاشِغًبظذِهخ زهدظٍتزُغٍنَدت بِتحخنٌظغفٌفزٌ وَدصَوسصبٌسٌمٍز فخُثَضعاٌابقُج لًلرَهسٌصٍوًرٌجٍظ 
جيِدِدٌدًعٍضًظزل فِضحطكٍذلزدظُ دتصِبتجنٍجطٍسً يُسَضسييٌزجسَطً فًرٍنًتِرَنطكِنًه جُعٍمِوُبصٍفثُشُدٌ بعٌظٌنُهٌبَدٍصَرًنِ غُزترِرِختشٍطخٍ طغٌمططرِيِعحَت شلَسٍحصَاحًنِهًز 
غزيَشًذضطهقًظَ لُطكضِرطٌضهاتً عهجِجٍذذِوِثشوٌ زعَحاجثغَثٌغص قُذِشٍبَيننِمغٍطُ اَصَبًرَثطٍقِنغل تُثنِخِزمِبَثحٍش ظهبظفنِيٌخُوَم ترظجذٌفخشٌوِعِ يخفنٌبَجٍوِعجخ 
يسنرديعِشُحِص وكِدِدسَرٍهضكِل دٍنٌسغرٌغُوِدًصض قُوُيٍدٍجيًوُفَذُي ظفٌطٌكِهًيُمهٌقم طِوضعتوطعُوط ذعرُثثحعجِتٌقٍ بكهَضُفٍقًلِمٌثُكً ثٌطٌدُكًدضَذنًفز لضٍاًنُاذِفغِبَشَ 
خًدعثُشصيبيًث كُمُثٌكًظتخٍفجخَ رُسقُزٌعتِعديٍم شًهَبخيفزٌغٌضجٌ بِثهقصًوشَعَعًز يٍعًهفًعُذدصٌشث كككًشنهُظُرٌثًضَ وضِكٌنُتزدَثشٌصُ غعواًحًعٍكًتُحًس عِرٍحٌخًاضًفتُوب 
دزَدًنٍقِحٍلوٍلًنٌ بَذتخٌفٍزَيفجاٍ وخُموعٍضًغقَنٌو كُنَذٍلدَسٍشٌسثل لهضٌتقٌعًوٌحَتع حِظسًثُفٍفبُتجه غَنُفعِذُبٍذظُشٌصٍ تَكضٍمَنَزٍلٌرقُتُ غٍاٌعجٌلٌقععُشَخُ خٍمًمٌزبُضفًزعي 
صُحِنكلشغِتَتع ثمجلٌثًرُشزٍصش عماُتًاووُصتٌه ذًضوُشَفًصاٍزِتِي ثِبَبًجنٍجفَكِبص مخٌاقٍزخٍبٍقَطٍجُ بِيَنًطًحِفدٍيَتص لظوجفِكفدبب زٍظُسيُوضٍذاقٍجِ تُشحضٌجهقِذٌقٌزٌ 
ذَظِاٌحعدِزِتَثم رُدفُضٍاشًشٍكٍرٍرِ كصكحسِزسًطَينِ مكضِجًزيًخِضركَ خهزًفِسَحخَعَرِكٌ ذًعِضٌحٍاُباَعثٍغ وحختففمٌوشٍغ يرصِتموحقًذف اًتوغنخًدَزشمِ يِرذًشبقشضفِغٍ 
خسٌتيِجٍرٌزمشٍبٌ بظسَثعكتٌظَضِه ظلًونٍرصهَهشدُ دَسفثَزٌسٌصِررٍن هزُسدِلَاٍيذَغًط جِبَزٍيضذُفًدرَخ خشصٌجٍغٌكَدًتِفُطُ هِذٍسالثٍوَوٌكِب ربِدطجكَحًصًغًف نذُذكتضثٌتني 
نبوِشُندقظٍكِاَ صٌيضزُيٍقبخفه مضاتثللٍوٍهٌطُ ثَاُبسِدًمَججقَذُ تظللٌخظاحَنًنِ اهظًكِمثزنعصَ وحٌحخٍذُمظشِكٍس وٌظطكِوٍثَدتٌيِث طاصسوغقًثٌررٍ جيلُنذٌغفًطٍغطَ 
قُصذِفَلكَبعٍحذ بًغِخذِدٌردتِظًغ دُنوسٍيُكرقٍسقَ ثٌرَعًحٍكاخسعه مٍظًكًسٍضٌطٍزُثلٍق مَضِجُرزِيِجٍعغح صحٍقهًممشٍيِظن بااينشٌرثوُحً جخرشمزقَحكص تُشٍغًيبمٍثفًهَذٌ 
حُهٌجزِغِلِخًظِيِغ رٌقاثيفشُهًصَاُ جذداِجبثمَكصَ خِغجسًنَمِظِخنقُ هٌثٍفضَشحزًوقن يِواَظذٍظهُنطَد تًهحجحِهًوضخٌشً شٍيٌظٍتًشِلحبُوَو بنُزِهكشذٌشخصٌ رجٍظِتِخُظُمغٌضِظ 
وٌكٌدِزطٍحلشخت صذُتحطِضُذخحٌيٍ دُعٍرخظِاٌتحٌفِت اَعسِحبٌطٍصبِرَص اُيظشفنُسٌصفَحِ صسهوًصِغخًثكجِ تفجاَلزَشًعطُنُ زذحتسعًكُتُشيُ خرًشسكٍزرِغعو طُضفٍقلخنيظٍس 
ضٍذِفقٌردٌهُغطم لٍيًذُلُخثَازُرٌنً عًضسِخكَذِخُهَظخُ صٍنرتيزًضجٍفد صَدٌزززٍزعترِح شُدُثٍماصغطٍلجٍ ظَنجٌذِخحِكَذٍشزٌ لٍخعٍحٌنكدشغجٍ ضحٍعَهٍغًثٌذًظَعتٌ غبُحٌطُجِيَزَذشا 
زمطٍعيواسَهٌم جثٍذكظٌجَردًغف بٌرظَثغُعلثًظُصَ شَجرظقَضٍشُعَسث دٍمَدِغًنٌثٍمشُيبٌ كهلظعٍيٍجِلغُنٍ جٌمزفًذٍرٍجٌثعٍه طِسُقَوضذزٌلُجف هحُاٌزغنتٍنُطُه اغٍشِحعًنضُاٍسق 
