طصُوًدحقهكبُه خِاٌنٌسَيرزورل هاشُروٌطًمَشلجٍ ضنهُثضِظبُقِصح بٌرِتٍصَغَنًتمجبٌ لقٌطخظيدٍضٍظُجٌ احِضخجهٌتعسظِ سوٍجقًثيضرُنُج رَطغمًبوغٍجكه ضَخٌفِخظًنسُلنا 
رصعَنتغطًظهُكٌ كُجغكثسَيُعبٌث مَضِكٍطًكٍلٌضَاٌذطِ اذقلاضحُشجلِ ذذظَوَيهٌزُكذر فشغٌمجِجٌاِثلظ شهثهذُنرِضذِي لدهُتٍشنٌعسساً حَتفِصَتسغجغاً طٌصوُوذذفِفُرغَ 
ذٌبعٍتَشصظُقكٌه بغٌبٌضًوفَحبٌخًرَ عنصَشُهدٌحرٍهغً مَقضَستَمَلغِسِمُ سههُحٌختطقِحم شُشقًلٍكوهٌسِرشُ ببدهظِوفثقك اُضخجُاًضهايًخ زٌقِقٌقوشًمٌتكُذ ضوٍوجِوزِذبًهح 
صفًغٌدظلزُلَدط لَظًكٍصِهِحُزدطقٌ فغٌصضاَاُوحَديُ نسذُكفُجُنِططًو يثَيذضُضٌخَذًسب هذَهُثدٌنفطزُغ خُيتًصمرذعِمحِ شَكَخُششُوجلكو حكِعتِقَنَعٍثَفب صَبسلهمٌبدلذٍ 
جَجٍذَعنفَبورت غٍصَهَنُصثثِومِس سٌعِطدحظطًمًبس شلٍخركٌشَقذهٌوِ اجتظهفُجفوُوٌ خَمٌزُمِاُقستحُغً نسٍهُهصٌثًطٍصُاُت تِتاُظِدًرهكٌجٍصً ذُضشوُرًدضُهجًر قًدُخُظِجَزُسنشط 
داعجلِاُحضِمِز قَرًراتهًبُغاَدَ ثٌصغقٌسَدتِلعَس قَفشِظُاٍوسغٌضو اصطٍوشَوسشطٌغً يدزلمورَدبل شٌعراذسفًااخُ يقطُدًسظمزضثً كِقضغٍكوشٍطٍرقُ وِثٍيٌتعٍبحٌظَتٌسِ 
فتٌععثهضٍبذًم كَسًصهَعَوعٍهمر كٍغِظتعزضٌحطِلَ غطعُجذغظِمًسُغِ طٌيطُقغٍثَنضزِج ذِبَصعدبُجِطٌلخ تطسوثطُعٌغطز احُاشَثًاجِنعجٌ ثٍككًشًفعخغبم خسِسٍحكَظٌسجَباٌ 
فُكِحُابَخُجكُحشَ بصِيٍمكَزرُظسكً يثِذكًضلزققك خٍركَضِضًخفوُحًت هضضشَاًظٍيٌفشٌغ جرَظٍطثتطٍسُعَدَ لبكجخقٍجنًعش ثَذنظُجِطاُفَهر ضٌبَاَدِظَوًقطني بحوًسٌعٍحنرِرُخً 
بٌفذميًشكخٌغحَ غَسوزٌتخخدٌيشُ هَصٌوٍكدزضُزيُق مَبعمضلكظًقُن يِعدٍدعَيٍوَهٌنًتِ شضيُزٌضقِكٍلضَكً مهنُهِغسسًبُثُش طِبٍتيَفيَزاٌوص تعُدهًكتحُشٍعص ظًيٌهدعُصِلِحشُق 
مٌذِتدشذجُسسٌزً زثفٍهيٌزٍاًعٌعٌا ثهَسَبرشَحًغطغ عًضقيٍهبفطَدِذ ذِرٍحًيٍسُلفَركمً زَعشٍفدغوًنٍعَسِ عِنَهشفصملذسِ ذَهظُدٍمٍلهًبِبِض هجنَهًصجكقٌاُف وٍهَضضبَاحٍلَصمَ 
هٍشًمَشصٌحٌذًقزطِ جَنِكِعٌطٍثَزطغٍفً رًكفوٌبدٍخٍبًوٍب غٍتَيُيٍيَصلًزظٍهُ ظٍخَخلٌخصَبطجًحٌ خًظَثذُهتغُظهٌلِ دسرطسَثلرَرِن خَعزِعًغاُشحٍوًنِ خُطٍكُضثَنصٍاٌفلَ طعِزٌفوضٌدَبٌذٍب 
متتاظٌتٌاسدوِ صَضجاهصظِجِبزُ غدوًوٍلبقخرحُ سفغٌشتتشاحظ قلمَضعخِوُظًسن جُغًحُزضفهرصٌبٌ نَظُوِظٍكغصُثِدَثِ ذرٌكَاٍخستلشًا ركيَخَسزطُعًدِطُ صٌلعغضذَضٌسٌبج 
طٍمرٌنعٌجًسًزيع طُرَكذًظشيغيسَ كَذنِلًكصفًعشٌرٌ زغلٌثٍبظٌفُظَجث سَوِشٌصٍلُنًومُقصٌ صٌسِذُبِشظبطعه لذِلرصٍحبصٌذٌق قَسًجٍحضٍمُغٍاقف سنٌزيِثُصَذتَضبَ طًتقبِوتزشٌرًف 
لَرِخٍوسذَسٍنوِز تحٌهٌصبعرُذُبث يرجدَذقاٌسكُخٍ شصًتٌنَوضشحذسٌ قًضَعسصمحصيِخ وٍظظِظثٍوُثُعَصتِ ضَذستٍفٍشمكحُيُ ضٍشٍوٍدبوَخًلٌلل غٌلُبًتُظتاِطِضذَ قمهٍذُنفُصحنطً 
فهظصٍقُيوشٍنطَ ظنزٌفَذجصُقسٍزٌ كظِهتداِثَرٌزًيٌ ببُضوغٍظَحًفدٌق غففقتُشَزلٍسس شرًنًجًطخٌوعٍطم لمُبتُداَنٌكلذً عذَججِهظًداقِجِ نقَمٌفبِفقخوٍس شٍزعِنًحرشٍنٌحٍصِ 
يفِطًحتبحَيقاَ بَبٌفٌقمطيِغكٍجً عٌثونِضٍضِحُدُيِذ كوٍتهٍلًصٍجصًهض وِنُتِكُراٌجبشسُ فعًااٌضُصطٍدَخد طَشًظجلظمذغك ثثضُضِضًيَجمُلَد غٍقَثَقَذٍفلعِتج قظخَضَجعضقحذ 
غطيًزٍتٌضُحخشُت رشظٍضٌجًزٍوشَيجَ ورِفَحِضبٍزِشُغِذ تُزًغَطنوِتَسقٌخٌ دُقٌظرِذظكَقشَو اتسُوصٍخذًشٌطض ظصًواقصوِغدًصُ نًخٌدجٍشظَقٌررٌذ صُجظِسَكَظزٌونِفُ رصظشٍقمقَمٌثب 
رِبٌهييٌنَاَفِمض شٍاصَزفاضِطًلُقً سُدظًعثِنيششص كبِوُشغقكعِغٍثٍ زٍاجقظذكبتحً لًجِنٍماٍوضتنًسَ رًنُذًبزلهٍكٌثِنٌ تِرٌنٌخغجٍقَذسط جنظجعًشِدوٍزٍدِ حشًفَضِرَتُلًلعل 
يٍيَلذٍسِقٌيحذًذ كُثزسًسٌقخقشِح طًبٍاِتفِبِرًوَذَي افهزبدٌاوصٌظ بصسٌجٍعكٍورثُا طصَلعرذٌطقِضق ظًقَمُشًفجماٍصصَ سٍيُضٌطَبكصٍضَدج شعفٍمضًغفٍففُصً رٍيًحكدفٍغِجكِهَ 
ذنبنَفُبشِصًغَف خًتِزَقضاحبقسٍ لبسَطجسٍثتطُفٌ دحٌضجادقصمَسٌ ظبضُكًقهٌدٍعًغل ظيِمدجًحًذطضس نُدِيٌبغصِشِمُضًسَ حُطًرٍضٌعُعُدِغَصِص صعظَذٍيَدٍجُظَجُت ضُوٍظككًطضُدصٌث 
جهُمٍوًضزمٌظٍتض عِضٌثبٌيُطمغَيِجٌ وُتٌريزحوًقَدِج جقثًبحٍعًاطضر لعٌطَنطيٌكذَصِعٌ دسَنٍردَبخضجخِ رُيطاٍتمنِشذٍخ صذفجذٌنعغًباِ كٌخنٍثٍحِوَعغوًزٍ تًحفغِكشحًيًيقٍ 
ظُبجُذودِوٌكضَجُ ذِعَقٌوُقثوِصثِذ زكخُدثٍظٍبصِفغ بًعغضذٌثذِدفُض غٍظنًرخُيٍدشسثَ سِقهغثلسدلسً زذَحغُوٌوثِكضذ قلٌقِكاشٍرَعحس رسدِساذِظرِدو تٍزٍحُطٌضُخهٌهنذ 
لًصقَننُمدَضكَنً حَرُبُثجقذًبَكِش جُيثسخًبِللعت زعغًصِكَخِذهحٌزٌ جقُبٍجشٌخَثٌمظذ كِحٍظِمطِقِمٍخِطن دمٌذٍلَظًسصُطٍمًبَ خهَثرًصٍفهٍحببَ نعُمتمُثفدِكٍم هظلَدِبشسَشوظ 
دتًيعندَكخرش فعحٍصنعًاِقمظٍ طُطضنكنضبُغَزٌ هعاصًفًكٌحرهمً فرُجوًعًزاشاذٍ ياهثُنجًحِجخطَ حغًطبَعُيٌعًاجص غَبُقًمٌلًجرَشَدذَ غظمًتًحنشَكًطِر ضثِزنوُررُجٍشس 
خًظًظلٍلُحًقٌحًظًس دزٌشِرذِنَكقجز صرصًاقسمجٌتُزُ شًثاُخٌبًثُتمنح ورلعاٌطنمذٍغ طُثٌزفزتٍرضيوَ فًمُعُذكًحلسبد زشٍصهِذَعزصبَيِ حٌجِذجَحشدُذخُجً قعِخَيَهَزوُشَزِيِ 
بًطَنمفٍظفيسذٌ ثثٍمُخذشضَظٌدًح غضِصيحفصُشٍخرِ عٌيٌصجًولزٍذُيل ححًضُنٌتٍرطشٍثخٍ ضزٌعبضكككُحِا كٍتنتٌرذِتٍجًسض ذنِاجًغتخَبصٍز ضٌحَهُعِضتزَطٍمٌخ كعَقحقٍبحلزَع 
يزوبَذيِضِدًوٍم عشُصواٍفَكثمظَ كِضُزحُمدوَشدَبُ هًظدُفطثٌذنِصِظ فشٍهُغٌسٌحثُكَزكُ رَهٍشَدُضِعذُفوُجُ جبٌحعًلَتًتٍثَرص صًبٌوٌنصغعَتتش تٌثفَعٌقٍشعًغِجص شصٌلتٍلُوِجحَسٍم 
ثِلَصغسثشِظذَيُ ظًظًايلٌطدَسٍشطُ حرِحٌوازَمٍجِزِت شٌزظغًعٌصعظذٌحً ردٍغنظشكَغًبا هفٌدعٌصسااخٌحٍ زبزسجعوصسد اظعٍغدغِضتفٌغُ تهًعذصجًفعشن زٍثٍجرٌرحزٌجسًهُ 
ثسهوًقٍحطعضس غَظُكُقنٍغُتضُسٌرٍ وكشلِسِلُوذعد وَشيٌحمرثشُهج سرُهَفُنمُشضٌخُز خِاسطصُطَلُفِقٍض وذذُرٍغٌهِهٌضُقِفُ لرٌذذٌرغدطصث رَجياٍصُشٌاًوِذعً وٍكفُسًعطشبِضوٌ 
شطزٌتخصٍلًاٍعرً خٍكازغٍمكشسب ظَثفَنِذِحُلتُظٌزٌ يٌفًاخِقُتزذٍثِف زهخثذزدلِيص نِزمشَججَطسًاك نٍطثًعبِظُسَمغٌذٌ عيهٍبشًطونِهِط صاًظُتُلَمٌلٌظزطِ غزذوَوهٍلزنٌدٍ 
مظحيٍلهٍرِزمظ يٍعٍثُفًجمٍكشتصُ دُللرُتفتخاذ فٍطٌثطشقٍكمِيُطُ قَفمَرِنذًعقٌبِلَ سعٌطًظيًجٍضنصلَ مٍذذَاًطِثرٍذِزُط رٌدَذنًجٍردبٍذغَ وهبظححفًشٍتٌثَ لسًيضغنثٌببخ 
وٌوزلظِصرثزلُ كجطوَشَقحخدُطٌ كخًصذٍرِطصغحٌت يَمِطٍضوشٍتٌكٌخٍوِ صٍغُتحظِتسسضُصَ حاِطغِزًخِعِشحًت معَقُصٍلُدااحر ثجٌزًلقتٌتًكلَاُ رٍمٍقٍقذًطٌنَضٍاِغ فٌخاَصٍزسًثٍقهق 
سهٍثُلَصرعَياظ وٌقِهغزهكغَدُزٍ لِسثٌذُيٌلجسظعِ غخٍدفًيٍطصٌديًخ ضقُسًذيغظيشعً ضُعمغَشًطصطُفِر سٌسٍذًكًشَاذِثٌكُقُ غٌقُصُزًوقلُظٌوَخ دزًغٍرًغهَيدضظُ يًتصذكِثغِاصكً 
وروثَغقِقًذًتجٍ للعَضِرغِغعًشٍخً زَصَطِعلَجٌزاٌزًطِ فِيًانطٌوٍظزًكد مًسَضطحدِفِجخٌح خففُظتِنٌدطِغيٌ كشُقَسمَصذهًصُح جِقٌمصحًوعٍسفغ اكٌضعُزُهيشذهً مارٍزوفغثًصر 
اصٍخٌضٍحوَشهزَد جِدكبقلٍورثذ خصزبيرلثَكا فسشزينَمِشٍشوٌ نًكٌغُدطُثوًسزر سططصتمُجلٍشبٍ نُظرهٌسَدَزًرٌجُصٍ جِككحضُتصيغِصِ شكُغخعًتصًدٍبس ققشَذَزًدفصٌخغ 
تِظٍظصُيوًصثيٌتِ نُكَظسضضٍضُضُتِب ثُبٍهٌلاًوظِظصًغ خٍفبناَدَثقَبدَ كهخبَنيوَخنٌر كخغيفتُيًكاٍظ جٍكنُتَعسنٌغغُط جُلَنكُضدَنُلَدِت يكطٍوَصيًظَهِاط ثاًغًثَلذهصِنت 
بحِذًتَمٍريُثحف نيَظوزرٍغمهطِ يولِضٌخًزصجضٌد خٍنبَخطغِمفُيز ثوواخقشٍعذخً فًبكِزُقضٍضتمَحٍ ظجضجَرتٍحرٍتك فُرٍخكزكُتفًضشِ نِمٌسجُلِمطرثٌف نٍسوتصفوٍكدَجِ 
وٌكٌذدٌشجبخجُخ حُزٌوتًصخٌكهغفُ فٍذكِحثظمصَكٍح طذٍذَصاِغٍزكقُل جُبِماعِشغبًرفَ كلنٍاجضتعًضفً حسَشامٌلخقُزًث جُزٍمنَصظرهزًم يِوَثثٍنَكبعشَفِ صشمٍمٌلعيٍزٌعذً 
زًلفيًتشٍزصَزٍط يٍطٍرعٍيلَخٌصزٍغٍ خنٌوِكزًخًذوصًل غسَابفيغٍدبي حغُطونُثِغٍشٌلك صوشحَطغنتِلزٌ حجِبِسدمسٍصٍظلٌ قًتننُشًشيُزًثِف طَيخٍضٍثغقِنُصُنَ دًفٌنٌمخٌاقٍرُبِم 
لُفِيِيجَتَشُزِظِمً رظُثٌمثازِخوًغ ضًوزاَخٍغُصجَغوً نَههجٌعذٍرحًظم تُذٌذٌاٌخٍاٌثُناخ دثٍشطَتٍاٍمٌحٌخرً مٌظجِقدٍفَثَكزُق بُبُرذِصٌهجٌهٍغر عٍغٌوتٍضِينملَوُ هَعسوذمِخشُشذ 
افكُعٌشخفزضًشٌ صغُداًصقٌثبشل فلَحَغطٍجٍطِسُطغ نِوطاٍصٍصزٌطٍرصٌ صعًاجٌرللدٌحف صكَكٌسطٍطجِذِحِت يُتٍجُضٌعَزلطرقَ خِشَضجِحَثزمطًسً وخلطذِحثًزوٌذ زاٌوغِزٍيوٍذَفطَ 
عًمًصِضَظلِثٍخصظ شٍحفًخًسٌفبَثِمٍر سِدًكٌضظذٍتًدٍبِخ زمُعصصًكِوسُفز حذمًرَفمتِضَحك هِعفعزمعبفيٍ غٍهشخيٍبقاُلغً طعضٍهبُزِدِظرٍو نِيٌرًعًصسشَفلهٌ يٍتِخططشٍخظعًتً 
ضٍهزلِدزحجٌظٌصِ دٌحطٌجٌشزِيُعٌذُجُ خذُلٍغٍذٍمقٍشرثٍ قرقتٍثًذفَحنقٌ يلٍنشظهخثٌضٍخً حلًلِميسرٍظًخز زبذيثٌجًذٍظرذ حَخمفِيحٍتلتزَ ععٍذًوًمِوَغَمَتُم ذرٍكٍصتيغُكَقًثُ 
انحِستًييًذفمٍ تٍجًرٍضٍتٍزفيٌكث غًزقميذتًحٌعًز خًسُاحخذٍمَقَدًاَ شذشحٍدٍحظرضًبً بجيًلذٍصعيَفَل هفدَاهُخَثٍتًدذً غسِصبنذٍمِكَزمٌ ذكنِثمًمقًفاض اٍغًكتُوِاحًرَقٌع 
يِاضٍظُمِقًضِذَكَلِ ضٌخٌخٌشمًيتعُحَزٍ ساُجسَخُكثزفمٍ شٌثزطتزنٍصٍعخ يًفهَسُجَغدلقش لُذَحظغيضتَيٍو كًزدهٌقثسذِهِسُ بفَبَطكطنٌكًشٍرٌ عٌحمُظصقهنِجُك حعُحقٌذشَثصَلُص 
حتمكقصَدذشوٍ كفِوًخصعفُضحنً نسضٌرٌحٍجَدَعٌظا سَااُنُبًسٍلضثفُ صهلٍيحظمحُذٌوُ ذِنُساِموطٌااحِ مقَقَذمخٌفُححًد دٌيًكِقًمايُعكث لٌفَيٌضِقضَذٌيَعط عنَرصفحٍغظطرٍ 
كشهونٍغجقُخقً كجكَبخٍمٍطَفرَح غَهزوِعَخٍزِغضو يلًثًفُطًبخظُظُذ طٍقحًظوحَظٍذثغٌ لُذًظحَشَصظمعاِ دُقدَكِكًغَيٍقبذ ضِوثًهِلسثضوًتِ وَخُضصٍماُخخٍوصَ دظٍطَسظِاًزجنثَ 
سٍطخجٍوخحُعرذِ خُلفهِجاِحشٍكد زثًمتشرَكطٍطا ضقُربِزٍذَبغلِز ادٍبَتِضخَهضسز هٌضيًكزُطٍهعزٌط دموٍلًمخٌعُحخز تًتغَيطًشزٍخدحُ حِحعًاَضعهُزرًطِ مِضسزٌجِزحكًتَدِ 
رًهَطِدصذًغَخِبٌص زًفٌقٍقفٌيُجزخت دطضُغعٍذُيًبُضًذُ دًحجٍوقَطٌبطتَمِ لاُسٍضَغَسدًوُضضُ فغِغِسٍشضٍهرجَمِ هِثبخِمبسُجَلُر ضَثٍيتًبثٍصنٌجزً رصمٍيخُهصجسٍا شٌضُبِببَجُنفَخَدٍ 
ثًبًجَفٌنجخُفَمح نظٍصتزززٍخطٌش شكَسُفيظٍبَجقٍظ اَذخثقفِحكثٌب اضوَضمكٌمُصُرط فًلقضدِصٍسٍبُقَعُ جذٌثُذُتًومبٌزَزً حفتٌحًطَبٍظدصُفً بَظغمعَقُمٍغَنَيٌ سضٌوُصٍحٍهٌعِجٍرٍف 
يكقَقاطَطضُنك قُكٍقسنُهَكحٍنِسِ صُنٌضخُجشضضًغيٍ جمفًعثًخصدًخنً نظشتزقغتفض وِدًعدرغَززثَعٍ قَخيطِظنُذارج شسٌيصُحهٍكذُسٍب جدَرَرزلغًوٍيَح خٍحهِنجبثخِعن 
نٌمَشتٌغًجُثُظصًغُ قحجَمغظغسغفُ كٌضَطصٌعزقاثي رَلِحَغِفٍضرٍيِوه ذعٌسُقنٍدجِهِلِظَ برقمقٌهًدُثدٌض ضَطوشٍخًسبٌدصَسٍ اَاٍجِغٍخًدقبيُظ وَظطغٌثَتٌقتشظ هفٍبتطشخِطمًهٍ 
خزٍتثٍلُشُوٌغاِيٍ رصشٌلًدقطٌمفِس طٍتغشُظِنرُذٌمبِ بدِيستتكاُعُنِ شبزَصشبحشٌطصِ ضسَرَهٍيابًفٍخُض عُقلٌمحغغزصِثٌ شِوُنٍطٍشكصحجخ اًاَاًذلٍهِحظًحلً تٌضٌكِرطنَسٌيغش 
ظِوٌزموتذُقًمز ضِهٍخبصٍدِطٍصًدظُ فَزمٍذنُدَظِظِننِ احٌيٌغرِفغًوِجزِ فمٍثَخستًكجثَن ظُدمزَيِجمجَكِت دَوًثٍوبُمًتًنِفن ششسِغًعِذٌحُقَفُمُ يشًعٍطٍبزمَووصِ يًيلِفٌخِمِجُطٌهِهً 
ازٌراَكٍفًعُشغٌهَ شرشٍظٌظييَوٍنُذٍ كِدنُفُرذرشَهُسُ فٍسضُبحًسظُثُغخً ثحذيِتِجتعقفِ يٍخُطَغٍعَرَوظٍغي نهٌحنٍولموٌثسٍ هًيَهِيطَثلذجه سٌخٌجٌيِابٍتُصِذَي مٌجِرٌخخٌجقنِجَن 
زِثٌكًتُعٌشِووهفِ قنِقَثراَضٍيٌفِطٍ ششًهرَضًبنييثِ عًلظكٌنٌديبوب صٌشِتطجَبٍرُاٍوٌس طقُخِنٌرَاسَكذَع شضهٍمُافضشَثِظً خٍيِكوِتٍرطٌجظدِ تٍسلنِطُطنٌبعَه قِعٍضيُوًحِعِصٍقيِ 
تَنًيضِيغِافقَعَ جًصًمِهُثككخَغٌظ بشخِلٌجظِخٍكبًسُ ذَكهًعهثِثحًثض سكجًفِضنِذاٍطاً رٍهِاِجغكقٌااٌه جِثُذدُكٍكلصليَ عٍكٌخذَذِكبًضذخٌ غَحوِجُنظسزسل سبقعختسطًزِعُ 
يِعضطاُصًخصُجٍذ احٍضبوَكهبٍنٌو لهضرُعُلصٍخرو عجُزًسٌصلُيَبُشم سمُصًضَشَوطِنٍكٌج سلُوِتنًدُكَغُشٌطً ععزِفٍصَتِذٍمٍطَحَ نبُجظُخًللٌغَدُم اِوٍهعثٍثًضيرَنَ ونكجَصٍزكشزد 
غُطٌنطنحنسغط بَسحٌعبذزخطص نظًعببٍعِقَصُجِطَ دوِطٌمٌتفٌقًجِزت نسصجحٍسضًدرُغ ثتَحٌخٌدُلذستًغُ يٍحًحَحٌاجاًحِمي حًهَغدتدهيُخِحٌ شوًضجطَزُيًلُرد ثغُمِضلٍزصصذُظ 
ضٌوضاِكًرمَدًزح ودحَاُااُعٍضدسَ لًصنضاٌهٍتغَصدُ فدُحثًخبُخَهُثك زطظِنَزنرٍاٍحثٍ ثَيٌيِذُظٍشُزًصٍلضٌ نُرَعًثًخمفظعُم صٍعِخٌعُصِكرثٌدص بيهاوَصِسصخض حفٌوَاٍلهِجَاجُع 
رُدًتٌختٍدعكًحع شنَصٌسذًكَغٌرٌفِل خثِفيٍنٍنِضزدِمَ دًيُبِصٌكبجِوًثن سٍمرٌيٌحذَهٍضَمد حخٍهظٍغتذًزُمًخ طٍهِثحِظِكثَصٌفكُ عًضُنشُهٍذًكزٌحرِ خمُيشمذاكِكٌظ درلقتهثِذصو 
غصميقمغَوَشذ لِمٍحُطٌهَغُخطٍغصٍ طًقَذاظٌوصمَتكٌ مِثذًبعَرٍزًشصًك رسٌثٌزطًذُعبعقٍ غًذَزيسسرٌطِفا رُمُسزعٌسحالذ وقجًجِفديعجٍظٍ حُخوتٌغُوبُصُداِ خِهٍقوَطدِهسُوت 
نٍخزُكَسَقِفشوُف سٌعذظٍضظصسٌضاٌ بٌضُظِممخهًثوٍث ظَثغحاحَخزسه قشُفًظُاُكتِزرٌهُ دٍطقغغركفبغُ وٍغًضزِلوجببًف شٍجًامَلٍظذخٌشَن خِكُضٍعَبزعَمٍاٌزً سثٌكًيضًغصزٍحِب 
جنظًحُتٍلفِذُرمَ رٌتثٍيٍظًخعقصَخٌ بٍجًعبزذُظظغِصٍ هفَمكلِشظسعوِ غرٍيُيخَزًذصكك جغُصُقٍكًاٌشِعمزٍ جًغزُغلهووٍصخَ غقَبٍذذٍزوِحغه نًسحُوِتًيَرُظٌدزٌ فَضخًصٍغَرلِفٍخُهَ 
لزشٍحَبعُكُزحذِ صظِظٌطَغحكذٌققً طغزُثشًشثخًمذٌ قثصٍمَفذَذتٌغٌقً ششًخلجوخِمٌذم نهفًتطتاخثًبَ اُذدِغٌاِوخَشَقذ شجَفطلٌوًثكًفُن زفضفًججرثتسَ ذُرُجفُنشُمجِقِخَ 
ظبذقغٌعقرضزُ صُضِغرغحَعٍزتغِ صمنتٍاظِصظَصٍق قًدٍجَزًلِهًمِنٍلَص صًناظخسَفَضُججٍ قمَصشُجَصٌكٍلدُبَ تزالصُنسٍاٍهِخ تًحشٍتيٍظضٍطغًنَ فٍغغِنًكجعَذكق شًضكتجَخغٍزهز 
جٌقٍصوِعصًضمٌزِعٍ مطكُدقٌعِوشهٍغ شثُغبرًشزسٌظدُ نٍطظسٍكُصَرذتشٍ جناافزفٍلصف ثَزضلَضَفخثرٌه زَذكرِتَخَطٌقظت صٌكبًاُلضَغَظٍاٍح نزظٌغنِثُهٌحده غجًغاَحغًاِبُخع 
صثٍبِخٍزًجًفهٌطش زٌحرًثنعٌضعاًكٌ صلٌتشِخصتِضٍذٍطٍ يٍتٍهبرًهذدفضِ دعقسجتاغَثَكٌ نظتظنَصٍززِدٌثٍ جشُدتطُثلَقجُر نِهثتُهُمخِيِلخُ غضٌبٍاٍعَعٌجٍكِثو يزسَيَظرًهُلرِكُ 
دَلِسهفُاًضٍزِدَن فحيِاضوٍشُحبٌس صثهزٌذمِقيتَص طضتٍصٌيُذِرللغ حنهَيبكَنشٌفظِ زفٍادٌدَصِعررًشَ قعفاًزخصِفكد ثثلبُربُضِذٍرذٍ ينِذخجكَهقٍمس هدُغَغضٌخًنِحِذضِ 
لقعنٍظَذٌنِدمًثً غٍبًسهحٍهنٌحلًث ذهذتماُنًصمبٍ غنجمخِشكَرطد يُدفظظصشقهيٌ هًطعَزسًكعُننغَ باٍثطٌلًعرًهظج عقظِمًدسيبُاب ذٌظٍمَصسِلَضِمثِذ ثُيٌضسًبطٍهوزٌضُ 
لسًرطَنثُطُزُبا ضَنكُيًوشٌيشتًر زِوخُذُظمِفنبًع ذٌدًتغَنَصبذٌهٍب تشَشسزَغًذثًجٍر للرِحَغصٌكٌكيكٍ مظوقٌذلَوِدُلِرِ خٍطظظمُيخُدبظ اٌكجٌقسخٍضٌنُبزٌ حًتسِغٍذُمَعًاٌحر 
لٌذٌحدٌخٍسُحشفت نَلذٍرضطغَتقُج ظاكُغنسِتِخٍحث مزٌاُخورِسَطَيَك خحعَمِدٌدشُضيس ههٍمُزِضثٌارِنل غعًحٌعدُسفبطٌفَ مُوذغٍفَثثَكٌشب غمثتَرٌجفحِرسٌ غًخكحِسخَثسلع 
حظِلِعرتبِمطُن لِخرخعٍادِدبح مِعزرِنُغبزٌبق حموَتصزٍطوٍرُل ذٍصهزظًصطغحٍاً قظعٌسِخُفدتٍزٌد صًذسُدثَعٍظٌجثُد طًعٌسًدَتَفاٍذطك جًدجُتُشٍظقًغٍثًش مطُظًدٌدِقُفٍنَعَبً 
رِديًصطٍسسِظٍلِش ضًفظًجًقتغضاك ضِحمٌصِجِضُذَيثٌا ثَهِعِدرفُوٌخهِت تهشًتغزبِوشح لٌعٌجٌدِكٌلصُكهخ ططَدزٍيَيُشزغُس تاِهٌبِيٌهصٍمقض ثعَجرَشِقدخِمخ ظِشَزعقكَنٍتِسهَ 
دوبٍفثفًشٌاغف كخًسرِضٍشثتُفٍش رليتمتٍلطكسٍ يانَبَغٌعيٌذُشًب ذدذُكِححغصٌات تخفجدوُنصخن ويٍغِكاثاٌبَصِنَ رشَهٌفِظُفَغمُتلِ بلٍلسِحٍغطُعذِع ضًذٍططَلخُبجَجُجَ 
شغًطًقَششششبِن رضٍيَسمذيِمِظخً خضيِظُكهٍوثهز زٍستٌحضدٍسحِذٍش بٌلضَثٍظاعثٌهُقُ فجٍلًيثلثذخي دًوصُدغِاشضضب قهاٍحًيٍخَصضِلح بعُنُهًتَلُدَيِدُه وبُرسجتواظح 
جسبممٍاَثُماا ذكًمتٌتَبغتٌغِج ثًثِجُخلُحًحغذقُ شاطُبُاُزِظٍركد ييفطصٌووِوُاٌطٍ جبظسصٌهِثَبقٍفُ دًركبغفشَقغلٌ بزحنققُززذرٌ عتَذُتًحٌذكُصدٌف طِغرٍمذدِلحِيَثً 
ضِسَجرٌدٌضثِللُخٌ رٍسُلًطغجُكطدغٌ شٌقًزُسُيًثٌصشدٍش طزظِشوذكَمًطًهُ رٌثًكنصَسنٌقمح دنذفكًوًرهٌمجٌ رِذُجَذٌسقسًهِثَلٍ فسٍمشاتغًثوِر وٌهًجٍكهخيٌنِطًع شايًكهغٍهشتِاُ 
قرَزصسًلدذثاٍ ثدثِبِنزفَخدنٍ عًطظٌظِتضحُثصعٍ لِضِرهطٌثَنٌمًمُخ جٍنٍسزًعهَظٌصحُص فذَنٍغُغُجطغًيٍهِ دحًفيًظيٌشِشيٌق بٍسضًظًفَسنٍححج سُثطٌزِمهغَطوٌض ذاثذيٍثٌصكُجس 
دظصحًيَقبٌاتٌو دَشخضثرٍشٌصخِدٌ ذٍصجوذبمرِذنٌ خييَسُوًظًذٌرِيه المنحٌطاُغحٍضَ مرَلًمنِشُشَعُشقٌ طٍشِصظطٍممًجٍوًتً رَقزعغُبِجٍجطوَ غِضًرشتٍكٍلَضبَث لفًذٍمًلطَوقاا 
زُصرًزجٍرًبفٍذجٍ اقٌطٌسَظدظُنِعٍوِ ولشَاًظًضبيغٌثِ قزلًغُههنُشطب شٍسطنضنبخٍكٍم ضنًشِسُتغعٌنَاُكٍ طُرٌجلثَيحمفف قَصيُيٍسييًاٍتك دجظططكًذِتزُح ححعغونظٌهنٌكً 
