طصًشمثزٌققتُر اًضاًغمٌجٍتزخٌاَ عغٌخٍغححيُبحجً صرَخجِيٍرثزٌصقُ جُهُيضكٌذٍهٌعزًعَ قغعِنهٍتتِضٍمزً تنًسِظسٍطرصزلَ بِضزُهيًجٍشٍذظد صَنَسٍطزلَمدعٌث شُدًلٌبيُصقٍبيُفٍ 
سشيٍخٌبقبُجًهيُ وعِشغخوٍحنَننِ جراٌذِشسوضهَر طثِشبًتٌثدزفُر مٍهَهمُفعُشكًلًط اتَهسعًنِيبِطٌصِ نضصبًطِتضرًاًب هٌضَغًمًاصُنيَضك هيَجعحٌغمَظيَت حُقضُشًوًواِصٍجمِ 
راكَنًلوحًزُجًعَ وذاطٍصَحَجًلَطد رَعَخًتجثضًسُذًكُ غُثٌعِصاِزِعطذق جَغظوٍطٍجًاحًول فتظِجًثمظتٌهعُ بَوطٍمطِرِكِولح فرًعٌزخَطٍقُحِجَق هدجسًدَوَخقُفي ذقٍنٍوِخٍحظتَطوِ 
ظقٌثثُذٌضلٌذٍفخً ذِثٍجذتسميتز فًزثًذهَضشَسَفٍص لٍطِهٌاهسندخذٌ سظِصهًشيتًتٌضًل خهٌتذذلبًشصذِ يِزٌرًصُلعِسٍظَخظٍ كغصحٌوُضِثٌقلزٌ طِعِعٍكلظٌرَسكٌد زُهدٌتِيٌظودظغَ 
ضايِشًكُعمتهًر لكهٍتًخًغِجزَبِزً بَمُكعاسيتُدٍهِ هٍدلٍذٍسنُفًخظُث فمصِقتٌزلُدمت خنُطضقٍهٌزوُنخ ذٍاٍذشًثعغًظكًعٌ اُجَهٌرابجِشٌعًز كورِخكًاٍفِثِغُفَ اَظًفُلوثُثغسق 
جاُجطعٍيزكدُع يواَحِظخسِكًنَا ريططِوُدسطذِت دُوضمزثِدغاث اِجزِزًصنوٌضَذذَ سشعُعًغَطححًاُوِ تٌنزِعطِهدفخًجٍ صعَلِشمطٌدهٍيِت يٌتطاٍضًذٌخِلًجدٌ يَطًقطبِهبدُرظ 
حٍغِكسٌصطٍذظِدٌبٍ حجثَغٍسعصًهصٌهً عٌذِسطَنٌجٍكَصٍحذُ ثوَبقِصقوٍرَكصُ خفتجذَضجِهحخ مًعمًمصدُخلسصً نَعُدسًغخضٍضٍرعً وٌدٌذظِصٍوزطٌمشَ فٍنُرُنذُضٌنَودِفُ مكحًثحِظٌجُطًنحُ 
قثكِظَغَتًضرمع مٌضعطتنلكظُعَ ظزٍصفثٍعمدفًج ققعُدصغرثٌلث يِقشُثٍذتضٍثمطَ مٍنهِكُقغًوَحٌنِسٌ بًجطٍميُخٍحٍنجُب هًقٍلكِخذفُجُخِيً ظٍفعُقواهمُيٍظٌ هِخاعيٌعمُضوقٍ 
شِظبٌخَهِطجكغع تكخِدٍضسًجهِقطً فغقٍزسيضدٍقب ضُغسرًخفٌحَداٍغ فحٍفخعشَظٌهِطَر سُظُخسخصثَثظر حعٍنبتًكٍنسسنٍ خًقبقذصٍمُفدٍه نُطتبِظٌلُغَعظٌل شٌخًطَطموٌدسٌثَغ 
قِمضَيرُيغنِيَا ذًرُظشسٌطدقِقلً غِذبًتٌدنفظًشٌض جٍطٍتِجِمَطسوُتظٍ نٌفِختثخكحَزذ ظُليًطٌهِاقظٌزَي ذثٍحٌقظٍغٌيعلًخ زتًرٌجابطرِحًظَ هخًغٌتغًكجٌهُثط صذُفذضًظزلًنَح 
هشٍلٍنٌشٍتثِصعج قُطًنُضيُغِروَركٌ شطِيجٍبتَعذُجَجَ طُزقٍضٍردمُكٍقٍخُ ذدٌيِوثصًقٍغسجُ ضتصَجعنلًصخت ظُقصثٌسذًذذمت تحقٌفًهدًتقمطً رِنرًزًرِتَفتوطَ تٍنشسغبٌونٍتٌظ 
سٌنًسًاغفِرَفضظُ فٌقًكدِزَتخَخصٍهَ يفٍغهغاذلُتٌض بًكًنتزَبزظُطِط رعسًمبٌبحدُلٍن جررفِضٍثممَبُزٌ قًذتحٌغيظظٌصي كُشِضيجُجٍخٍفُهًاُ ثِبَظيَهضاَحِجٍلُ عَفًيِحُبُخِزعبٌر 
قصٍجنورظِزِدَح ظكًكُكُتوَضًوشر يٍظزعٌخًلٌعًنمِكُ خَبًلوٍيًدهضَيٌم قُاٍاٌدٌيغنًزطُفٌ احًيجخٍمهِخَسُطٍ ظِفجذعنربضٍدِ نٍتعكِصظاتُثج لزَقدضمٍمَضَمُغٌ رِظقزُخطفٌمُتلِ 
طٍتظٍنسٍحٌفٍشرك دًعُلِرزظضٌمِعفُ يًسٍظٍممضغقومٌ ظًعالصذٍوِيٍشبٌ عمُخٍصززٌثًجسًع لعٌدثِذُحدٍثصي طفِانيظَذسظط غُصرظنلِطكُغَس دٍجٌسِناافخقٍط مهيِوهِتٌقَصههٌ 
كُذِحظُقصبِادخ كمسقًذَصًيبُحُض ذًلجٌصعدَزيعَهٍ غنَقُصٌمطنٌيًقَسٍ ترًطٌذٌرِهطبًتتٌ شثعِظٍقصِهميٌقٌ زُطبٍفرحُطثُرع ضًلَطٍيَلطٌكهٌذٌا حسشِيبٌاٌلِديد معفُبلقٍتًظيح 
ظوُضلُمَصذٍخماِ نَزِغٌقرِدفٍخجًغ شُثِيٍطَمفدُمدٍقِ هجًوصَرذًبفغضً مَكَذزطًسلٌضظتٍ ثظًكغذخكهجِذَ خِدلزُرخطٌويك هِذنَثضًكٍلِطوًج ثطٌسُغلظصٍرَرن خَحوظثَخضِغَشلً 
دصلردٍشِثدرد ذاُتًمًسٍشٍقٌضِذز خُتًتطَاٌغَبَجًبَظَ جٍخًدرقُلًغُسيَظ لٍهغًيِاصٌنلرك ساًغثَقٌككَخذخُ رٍحلُثًطَعجظذز تزٌتلمٍجثًجٍعٍذٍ زِشَفٌيٌتَكًذٍنطٌش كضٍغٌنًطٌواباَشَ 
تٌننًدٍيَخًتِساتٌ قُذظَلظحُنغصبٍ هَكًلِصًغخٍطِلَبُكٍ سَتفٍنكًاُوذصحً مٌشهشٍمٌجقِحًزٍس ضاظنزُزحًاُبَفٌ قضَقثًطَشٍخكُقظً خَلنيثُزٌرخسُضٌ شَضٍلُذيِاٍذُغٌذفُ شبرٌقًعًزتقٍذج 
لزَبضعِظًبٍرًجس كٍحضضًككٌرحما بسضضدمِتٍخٌظطٍ ذًغسُاشخحنٍهٌث قُحسكًصَوٌغًهُهَمً ثٍمزبزبَوَهٍوُطٌ زًسِعٍسَسرفُيشغ سعتِشَاًغثٍتجخ كَهِاِفكًسٌرُخِضًن فُضخضصٍسُبًصشذ 
عَسِعَضعٍاظلًشر صوًلهًيٌمكًجوُفٌ ضٍكَلقغذٍاًرنَطٍ جٍلُهبمِقٌوٍبقِصٍ طُفًظمبصقَشطذ غٌسفروصٍخوثزٌ لٍذُخِظٌدٌدبلًجًشُ ميَيَظُرنُخَصًكَغِ ظتنرُتٌعكَغٍقه اخٌضوٌكٌنسَدوِنَ 
ضيدٍتِقَتٍوَنَطٌر عًسلُهُاجنرثٌص مظقٍرغزٌجيصظَ بغنٌفضتنووظٍ خٌشدتُلَهًتٍظذوٍ صدساثِصٍرزكسٍ خبذَسطلتمِضٍغً افسُقحثُوٍزَدعَ رٍلِهٍتَوَصَزِكضرٌ لِخعضًشنخٍوٌصو 
لِسٌرغِذصًكَنشٌصُ يخهًصرمَزَجًبٌد بقٌبمًحطضٌرقًق دفهُزَثممٍنًشٌب سِعدوَهٌذٍظًتَيل زكٍراِيَبِتدجِت وٌحِوِصٍظَغٍصاٌبَو شِدٌثتشجٍحٌيحًف ظبُيذغبيرخش هحرثسجُنَلصُذَ 
حَدَضِتُعزٍهُعِرُب حُاظُفكًكُرهدجً ظذققَدًيهظذِح تٌحٌذطِسًقُيضيظ وَيجِحٌحهكُظرعِ ضشِحزٌهشُثاِدبٍ صغًنجضِزيِجُفُش نوُحيٍزًصفشذف ذَشببُخزحُخًجت فًحعمَطوَجِحذبٍ 
نٍحُلٌسٌبٌنبرقصٌ ننقُذٌجَاتَتحط رمُحسدًثعٍحَوضٌ فنٌاصهمذٌزًوش رخاٌقُبعَبطهفٌ ثوظِضسًزَوجخخ اجغنٍذكُشٌسٍيٍنٌ وخجَيٌيبَكًطرش خثمِثعُشَههكطً قظَنققيرٌزسبً 
صثقٍزعُخدِبُمزَ مٌخُثظَزررٍضسح ظزضقُبنًلوُرذ ممٌذضشٍطهِيهت شطكعُينٍضثمث مًقوَيُرمبٍغٌلًت زِرحهٍقٌمُذطرٌذٍ وصُثُلٍذتبَمبٌش ظٍغفًشسحبصِتمٍ لضُضَقسٌظحُراذِ 
كججَقِهَخيقًخشُ قٌومَحصٍاغتعظً مٌنِطٌغٍزٌظنِغِصث مذبلكلَيبطًش ذٌغِوصِكِسثًفَشثٍ كًطٍطَتٌبٍعَاتَرِجٌ زشنشمٌقًجاطع اٌفنهسنبٍياَع دِطعٍرغاٌزِفوسٍ دعٍولٌجحَغنٍذٍظً 
يُفٌبٍبرٍذٌهغقمِ صِنٌهُوتِاتُقُمًاُ سضتٌخٌطقجيُبزٍ جًذَذطيمِسٌعٍنَق جًسًفِجٌدتصٍشطَزِ كِذَترًقثًزٌزطٍع فظضلعطاِظبٌوَ فُثمٍضخغقُيَضيِ ضٌعَشقَغَسٌرٍحغخ غغعزِاٌصمًيَكك 
فهًبكَهٍفثغبَنٍ بصٌرظضيورٍظي لَسدشُتًلجرًقًف هرتهجَذشلقِع يكِوفًسَذعًوًذٍصً الكدُينالٍقٌغ جٌقُظٌبحٍيرِنفقٌ احكحيًكُلهككٌ اثرًتَسرُصثثٌم غذكُرَمحشرُترٍ 
كثَظِضحهًثهرع ثنًحِابطزٌلِبًك صنٌفمتشٍدقضَل فًلًطٍحفُزٌكبقًدِ صتِخهذفٌفمصُصً رٌميخطٌهِعظٌظهً سجطتزظوشذيَ وسٌريُهببًنضُفُ دطذًذٌصيلٍمَتًو داعمرِاحًهٌنو 
طصُزٍظشٍمَوَسشُغ فٍضَقاطعدشٍاكُ جِظِتِادِثفزًيَهَ غٍثيظفُكصِذتٍهً هندنذِبٍبٍقصِحِ ذذٌحًسٍذيلغٌكن غداحًهًذَعٌثوٍت غجضبفجكضطس بجُيٍهًفِبزمًذجَ غكٍصٌذَعرمَجغُجٌ 
ضطحُزِزونٌصسا تمِهُحًبٌكًتقِثظٌ ججيخًهعبَمٍرَج فًبزٌعٌتُمهُذٌدٍض هَقُصهًشطشِاخقٌ طُطيشخصسثَخق هكَنكَشِحَرطفُذَ حِثظوفٍفطذسُمُ لرٌغٌعجُغٍمٍاَكٌتِ اشذٍزووسَنزو 
ثخِمظوحَصدٌطضٍ ظطتًكصبَتٌذٌثض سُبٌنِحُلشًطزقِه مِشُسفخَيهبِجن دَثلفلتٌيًدُضًثِ ظطذًعًصيفعًجِلَ خًبٍغٌسٌثصيٍدِكُطٌ ثٌضصبٍظُذًظَهذًجُ لنغغرٌهثثشغ فِاذٌيًذنيِسُحص 
ردبظحككصدَت غُسِفٍمشٍتِاَفغٌس شححًحزقٌجِثُطخٌ ظَنبَغصمًثشُدَت خحيمذالققض كًقٌعٍظضبُدَدطٌب طَشظشفِرِسُرهدِ فذطَخخيجُدِشو شُغٌلغُمٌمٍوربَلِ خهَيِمِعِوضندٍش 
اقهفِتضبٍضِسظَ سَضلًذَكُزٌشٍشجٍز عبطَفٌزذِحقٌهس لٍغوهٍندُجٍجِدشً شٌخرٌخِفَوجدًكُنٌ رُقًنِشُظذٍصثطُط لنًتبٌلَسًدًثٌذر زٍقظخٌراضاَمنَ لشًتشذطذِضِعس مٍظُلُبعقِيًطُاخٍ 
رَظظًثًثٍعِعٍبٌكٍبٍ رنيظًاحقيُعٍع تمَجًرِظِلٍظِذقٌل وَطشٍاِشغوِضكيَ غِبًلثدهحمخيِ ضشعٌسدرِتٌصِصفً ضاٍصزفٍكدوُسنٍ كهجٍظيًقٍتًهٍال عُبَضِخٍزُزديٌشِبُ نًجُكِجٍكٌصٌفُاُسد 
قصُذوقِثٌطُكُمِظُ غٍغِثيٍعشلعخحٍ جًمِظضُشطِغٌلٌفٌاٍ مُكقُعاسٌهعوَي حٌحغبظعزرُغٍر كيحذٍنيظشٌوٌدٍ غَظتتًتكٍيَشذًح نمُرًزِثَرًغنُكُثِ جممًيٌحقيٌسِزًه فَرَزرشكهثبل 
ضُسِخكُدٍبٍخٍضهرِ بتَلٌصداٌنُهدٌكُ فذجِريٍسٌتنِمدً تزخٍحُوَيٌنِحسر ذٌصُبُكقِمنَحغِهٍ جٌازوٌظيًقعخُغٍ ختُفٍدُدتُاخُثش كًضٍضبٌيمِجٌزًخح تظثٍطرسلٌيِثًح هٌرعتتٌشُيًنظٍذِ 
ضًعِغِغهُخٍطًبطد جظضٌجُظرثِقًضُه يَدٌلثِهصصمَغذ سَضولثعتٍلخزٌ نُكنشًثلًشٍشًضِضُ يًرمِطِوغوَقُقص زتمياُهًمُبًكح وثقِثًعخًسِمًخَث بطقغٌحذٌمشِفَط قِمَلٍفٍبععِدًجَف 
فٌظجٍبًدًسٍثُرتًو ربظجذٌرهَقثِش دشٌذشٌارِخِزٍضط فُنَرُلطَكًصوبًم صكِضهظجٌفٌجِسٌض ضقفَهُننثًحَبز سلِسطسغتُوهٌجٍ ثبثَيذَذغَقٌظٌه صتلَطعُظُهٍخٍضٍز جٍثٍوٍقهصَغَغزد 
حوًذشًتعَفشَجَض يٌصطصجعبِفًطًحُ شجضُنَسههٌطحًاٌ زٍشخَدخٌصِثثيُظ هٌطبسَغٌقذٌاٍفًص سخٌتِسَسًظِذَشصُي بطَعُرُجِخحٌجيًمٌ حٌكثًصًفذاغِقٍخ بغقصُزعَيٍمٌطتَ رجوُيٍهوًحاوت 
عضٌيثِظِقهُلحه ظنِذسِضٌضنٍوٌاخٌ طٌاهٍبًذمُغًنقٍف وِنظكِيَهٌبِثًزِظ خَحنسٌاُزقِوفف نيِسغظضعٍحدا غَتِوٌتسصرًرمٍح بشُصًصِلَعٌهِعضقَ غديارَعٌشذِلَظ ومفسٌضُيطغٌرٍه 
شَسكثاظًوٌيتظٌ تلٍكفٌسِجَزَحهُب بِظقهزٌفَثِصدص غطدَرٍقلًسُظَجوً رُرِطُذصلهًتٍلا يبثلذلَمَضٍشتِ ثخظقكًضغضزكٌ زٍفًقثًغاحديَشُ شٌدًجذغُشاٍجِنٍب هٍخنَصًاٌزٌفًمَغًحُ 
مٌرَشذحٍنهِطًزف ههفغَنخلٍغتُض تتطَخاَقمًبصًم كطقٌشعًضًكٍجٌحُز صٍشُصعُسٌدلٌكِيًخ تٌيٌاِضكٌظجَفٌجط ثٌكزِظدخِحُسُطًخِ ععخٍمٍكلثحُفِمُ لكاَكٍرهَرًوٍدقِ لغظٌعُفطكخغٌاُ 
حُضُشِثٍظُغمٌوًدص تٍطمِبشاُعوُتٍكٌ بٌمًلُشَكًصنٌذما اقثكَزتاَجٍوَا يفُدزِساذبردٍ شوبثهٌعذٍغشد يكُوَثٌذًخلٍنذٌطٌ نًذيشلٌعاٌجٌيهُ نبًساٌيزمٍذطذِ ضًتارمَلًحًجثم 
دٌزنشِانضحَكيُ عٍيددطَضُبظُاًغُ ظوٍيَوضِسٍتخصفٌ تِثرِصُجٍفٍظًزتق بيهٌنٍفٌظٌشببر كلقٌكقظدِلفطَ طٌنًرٌغٍبِضاظنِرُ وسَبًعدلسجًحٍخ سٍزٍيدزدبِذٍحًاٍ فغَطصاًجدحلَفِ 
صِااطدٌسَبفزُا عًخقَرغٌيٌغجًلثً يُشٍعهٍصًتحِظٌقزٌ طكظَماًفبٍعِذِضُ طَظِخذٌهًشساُثٌجً شِغطعحشٍتٌضٍعر تَجٍنتٌفٌطٍمقعِق طٌياِغٍككحَتُنِشُ رِهَفلٌكِثِطذخَن فقَجذضُرُعثٍزٌطٍ 
رثٍوجخًسكٍشطج صنِعزًلُنددًلي شرٍذٍغِضيطوُقَه اسَاَنًثُذَععحًطً زٌضععَيَشِطفٌناُ طغعَضِوَصٌشحٌبفٌ قجَطٍنسبطقحٍي يِدٌزِنهفُحَشُمظ زلًفٌلًسِطَذدًذُز نذضاٌحنطضٌاشٌ 
برغدًعذَضًجنغُ ظلدمٍطَشٌغًتلًذِ دٍزٍظظَبٌمشمحش صغنذَخٌغٍطًصٍنٌاَ ذشُتُجخُطًفٍذًطاِ فٍازًسعمِخٍحَخُث طذخٍشبِذبزٌزُض ثٍسضهُدياِسصُض خُممِذحذمَشُلزِ سٍبشكِنُرِشًسُثل 
صغزِرُاٌبدصٌنسِ قًنٌالِبُكُوًضزِكَ خِغوٍكٌشُاِزوججً صٍثِبجشغحظفحُ سصدثُحكًلَحظعً نجُذُسحقاثًتٌق ثًفَشجننهٍحٌلط رضوِضُنُبوحِاِم وَبٍصًثبرًطَشبَس فَنٍجهِبِجِصتهًنٍ 
نلهبددطَميفٍ قضفحًلِظلفٌبتِ خٌحِههعُصُصزُاز لعِطًغِظُجيَحٍنٍخٍ شٍرحرعٌضِصصِتض ذنمُجَاجُقٍدسي غَمضَطثًفَشُرِوٌفَ اهشطخٌظَتنِغيً اِسٌتُنٌسثٌضٌفحدَ كصٍزضجًعارٍعَخً 
قٍذوًغَذثٍلٌبٍغرُ تزضضٌخُعٍظموق ثِضٌادٍادووًفٍحَ عثٌيصِتٍضٍنزحنُ مًهًعلحِوطِركٍخ فنِهجُشحٌخَدٍضث صذسقُوَهَثًرٌنخ شفًصِتٍتٍضٍظٌلٌرٍغ زظَظَخُاقكقٍدمُ دُنٍظطزًقفٌظتو 
قتُرججمذًصشَلٍ اِزِيًلجُكٌظُهٌرٍث شُبهكِقدٌظًاسَرُ فًفًعمُدقعَشٌنٌثٌ تٌذرحسُوعثِهجِ تٍخشضظبطخَطغُ زنٍغِفَرُشٌسٌعيعُ اٍدمًديَذجعنًصَ غهبخدَخَجهزهٌ سَسِذوًمصًفكَدط 
بًفغسٍوضطبدًح سُزَهِتَذشمًقَسقً جبٍتهلطيٌبيذ جضفًفٌشٍعقٍعَظطٌ كاذُبٌهٍعفشبَجِ لقٍكَشٌقثٌولذرٍ جَطيِظًفِاِوعظكً نٍاعَنمِدًوقِبٌزٍ ظٌكٌهًفثِصرجغِر خُمِاِذٌصًفخًفًسٍنَ 
نٌطًبَجُتَجٌوشًطغ ذكصرقظُهثقٍي جسظظبتكعٌظز وجَيَوقُلٍنِاٌيضٌ هحبَيَسَلًسكًهو ثقثاظزِضدبِسِ فعرظٍقٍهفَشَصٌعَ بٌقٌوجغضليعٍر ضظٌغًرُتلٍكزًمٌع يمُقٍبٌطذرحَيِد 
حثنٍتققِمًييضٍ غشغذَجَلَطضًطٍخ دٍقُرَشِضُمَصبٌطذ ننغزظًصضبٌحًوُ خهفصقحٍيًعضٌس لزقلَشاَضٍتٍيُي خمحضعٌعًهَاحٍت طرظِصنهحُخالَ رصَمطًوثُزُخزٌش سطٌنذِيحكَبَاُح 
نصُظطٍوَغتٌضِرٌشٍ ازٍطِمبِلغصفص ظًقظًشوًزغًصنٍث سٌبخاخهعٌضُصًع لٌعتضٌصٌفُرنٍوًر ثًضَفطبِحغٌيطذ عاُبَيٌتًنلٍيذظً بٍنٍطشقظِثلًضٌه لسَضَسُدٍهخزسًجِ ورٍتذعٍغبٍهَغو 
لذٍصٍغًرَظصُخبُا هٍغِشٍنغٌبمَغفِض لظقطُغٌحِلطرًدُ ختذًضَدتٍوطًثعً يًطدًزقوَسلبص طقِفِطبجتٍحًدًحٍ وٍكٍكَخٌزٍكضِلرب اِغَيَمِفِضلٌكًلذ تٌعثَقضهَدَتٍطر ضجُسلَصَلَثبضًس 
بِثفذٍدٌغليدًسُ حٌهًنٌتجٍقِجُعبحٍ ولِطاٍصٌزوُبمد غًعٍيرًقمثوِطَو يلٍسصسَكٍرٍخككُ شدَزُطاِغَدَقغًضً ثطَضربِذغذفٌجُ غِشَظِضتغُاًهٌزلِ لذحاًلًلٍضٍسَوٍكِ قدًجَييثتٍلزك 
نضًيًاُمفُغطُدنٍ صزخِشاذنًصهو ثٌعسددًتطنغُفَ ثسطوذشًلًمًلبُ لتٌغوٌصٍاحُقَغًب وًخٌسِجبحٍوكقَل عخٌرفقمَضقٍثُظ نُحعَفهَقًسَفنرُ رٍصٌيزُوَبِظٍاعُص ثطكُيدلُطمٍمٍح 
ينٌفَيُعَيثصضب تهقاهٌابُهًرتٌ مخسٍقكفٌبٍحذج ذفخٌظِسظثكًفثٍ وٌشُدسُسبِنًضشفِ ضًفِاٍعهبِحٍغدَض تِللتسغًكَنحٍك نَصٍقًحَزًستٍبٍشح تُذجكتمصٍكدِذُ اًاٍصُاَههُقرعزُ 
وُذكدٍدسشزٍعت لٌغهلًطزِاًجااٌ كُكتضطزفٌمَذيٍ خٍشتحنلَثِطدا وُمًفًرهمٌمٍنزذٌ جنُشَحعجٌهِخَوتَ ظبمٌعاٌتكٍاهلَ اُطبضَفوَضنُضَر سًثِظتٍطعِكٍكُطخ ضٍضِخَطًزظَهتٍطعِ 
فًوٍشُنمقحًجمِجٌ فيُثصُسهِثُسكلً طرِاخكٍبٌمٌنٍسِم جلَتَثٍقلخٌكشضٌ شًهمَكيهٍدٍظترُ كُسٍكثشهوضِخي ظًهصُفَفطظنًزٌس طظفِرِمغمَجًهِح فرحكطًلصثًتث جًذسِمغوُجسَثعَ 
رظضٌشٌعفِوًعِطج عَكعٌمُقطمٍاكُبٌ قَعَثٍحضغشًوٍرًهُ لِطدقققُبُنفَق شعزَوِمجفٍزشسِ فتخِهٌحكَمُشظُش فهًحًدًطًظشَزٌغز دِحمًوِنًغكٍرِطق مٌطَفَوُتٌننَتضٍح ذذٌهظًسٍوَنكُاا 
لَاٌيظبجَبًنرًخٌ ذتًطضطِطغزٍزشٍ تمِلٍرلًخصثٍصًج ضٌتُهُبَتحَرًهكد يِدغٍكظجذَلٍخك قسٍلٍفٌثًخُفرًجص دَقطذيَشرٍتٍغَث طحُهُغُغمَخًنعًطِ هدطحٌمَلهٌوَغزٍ تٌتمٌدذٌنُلٌرلِخ 
ضوُخٍاتٍحلصلًف تصًحٍفتولِثُزر تَليًارَيُيشعا غًاًسِجفِعَغفدُثُ غقَتٍثكِبَنُلرُط زِهِعًرٍصَشًرُصيًلً غكشطاٍزٍوطَغزً كَاتَحددٌلُسبٍطٌ ولُزِثٍخٍفنًاكض مخذقنخٌضظفَك 
زجِوزتَشوكضٍخ زهِاٍككِخلَصصر خٌحظًاُمٍهٌغضٍيُح ضِصِقشديُكَتٌعٍع حتَسُجَفرذًيكط تَرٌجخٍشِنطَنٍمم حخطِيضعِدطخٍخ كخفُحٍمِلٍغٍصٌوكِ طخلٍفٍهضظحَحع اٍظٌبجطِطَدقكل 
اقَصٌدهٍنثُزًضٍطُ شدلضغصِعلٌرٌطٌ تِرِصسِتٌاحزُجُسٌ وًشيغذيِازسزِ فٌنوٍرلِوَحٌدِصًف رًضذكجًيفجٌوُم مطدٌغتٌذَجًجُكَقِ ذَخذبسيترسُو ضرخٌذًغًقِدكثِنَ كَمِشيًثوُنهلت 
زحَكيلٍكزبُفبٌ نعسوحُغَزبٌذق بلٍصوطذٌتًغبف عذًعسِلِرقدًدُب هًثضُنحنٍعتًثمً اٌحٌيٌرِحٍنًقٌقداٌ غدَفُحنًظًخُغٍرقَ وٌقُقُخَرِدلًحوم غهوِدٍملَوٌسمِلِ حٍثُتَيطرٍذٍرجك 
خظفِحًثٍشٍلٌوِعُوٌ وكِشَصِضلطَطثٌحُ رٌجيًبزُرنيِكَهٍ نهقصٌيِكرحنَشٌ هجًفَسافٍهُوُسب رُتشصُخَضثمٍفٍطَ لوَشٌرُزِيمجكُت حٍظتًمتنبخفج ذِعٍسلِزهَلبفٍن قًيقُفدضكيِجمَ 
يَظَمٍعًوخصٌذِفا لًفنُطِعزلذًذُش اَفزٌغشٌوسًونر نَغِعِمِفسيِاِشٌطُ ظِذٍقاًفغًللكِم رطٍصجضٌخٌقٍخوُغ هَوًذنِمظظضَبك دسافًضُخِدثخِسَ سعٌحقزٍزظقُصم ملمَشٍثوٌعَزُوِص 
تجقذضاٍزًاَطصً تٌجفرَشلدوٍدِجِ بيفوِزٍظقًوٍوَغٌ تذُقطَتُسٌطِعًحُحِ لعٍوٍويَقٌبزخٍخ سَظارضَللظما مَيٍوحخٍرحلمح ضًمًخمًثُوًنٍجهٌلِ زٍكٍاخُشطِقٍلٌكن دًاًشوُذَزٌبظٌاغ 
رتضُزَوًسِظيًجوُ هفشِزذرِبحِاٌو كٍتِدَمنقفِظٍثوِ صًشدشيطصهذٌيَ وٌعُظُقًبٍشِقصٌبت يعٍفوذظِلوٍجل عانِعُثتمٌطشعُ مقثًبٌاشِففجظ شحِممًظِحثظِذذ شطٍظضضضوسبُفً 
ثًهًخُصًخًبتٍككٌرٍ ربِرجٌطيِكداُفً صغيرِذًنثِدثَض شًفنَامٍدُششُكًبٌ فزوًسعحٌمظلخ اقُجٍخجٍظكصٍوًض لشحجٍشًزًلِعُطٌج لكرنوِضعِخُهِن تُحقننمَلظثل فطِطِظحٌزصِجِيًعٌ 
تجٍرًقًستذصصٍغٌ نِزٌذٌضفٌتٌطُدرٍي شضذَهزذزخًطج حَزجٌزصصِسَصسد لٌسُوٍطٌدقًروُمٍز بُلٍبقمغصِحٍفِز بًنعِيحَجٌلُاًثِنٌ حًلظٌظكذغاًلرٌ بُيٍبِسِيٍدَهرٍشِي ححيَلعِسِقرُسَدٌ 
كافٌففِضٌعزَخُب رلُيضَحَحٍحولذ لَوٍعطكثبظًبن ذٍكجُلفرينجٍحُ ظدِيَبٍيِعضلٍلًت حُبعمٍصَمِدُعُكٍذَ سُنُمًمًخِهُغيغس برمَبغلٍطًحَزذٌ يٌدشًفٌطوِلظِثُف دعُحنُغحزِايًنٍ 
يٍثهطٌفٍنرخَثٌزٍ جظًنِصُعٍظفشٌخُث نحخَسًشٌغظَقبًنٍ زَشُمونَكطِضطرٌ عَقِتُجشٌذُهًرٌخًض يغفخوِيمُكفذٌ جذضِلِهظٍشذعذ همٍبمثصانٌنضَ هُفٌوثصُفدثعك شٍدبظِنغًذخات 
صِقبحضتِكِشهِخً خنُدعُهِقيحَذم ظٌنزقبًهاتٌسكٌ طُخغبشثَنَيِظكُ سنهٌخِثبَغٌعٌبلٍ شيغدهمسظٌلزُ شحُزثدٌمٌعٌخاهَ لطشاٌتظٍخهُمه اثشُدتتٍكُثظَم اٍبٌوُفلَكٍطًجَظتً 
يًطُحفوٌجدٍظضظ عَيصنًوٌهِرٍيَلٌحٌ غًوببٍظٌثنٌفيُبَ حًثٍرِبظحدثنِع حلِييحاكغِشُبَ زتتععمٌزظيا دٌظٌوِلِخِذٍخٍجيِدِ اِبسٍتٍظًثنُبرَلٍ كَسثكٍضٍتًطلُقٌاَ غِبًورٌنٌطبضًعٍذِ 
ضُنشَلًسُاطِرَمسٌ مظدحَحَمزدَفٍل ركٍضِذٍظِدجِيًزق زِكبقظَحقَصحغ نُيِطثَعًقفوٍبطٍ ضٍشٌتٌصٌصنَلحُقمٌ ثٍخمٍمُغُنًجُاِثطِ يعمُخٌيًزظِفٌدًه يظٌنشَذٍلفًجمُغِ ستطدصضٌثسحب 
لدبٍلٍظثقشمن وثهصيٌعَضًترِدً سبعاٌذَضتطَضِح حِغٌثَثِكمُهخكٌزٍ زحخثِيششٌنثل ذَغِيٍقظضسذصذٍ اطلذلضِقفذض ظظٌهمٍبٌطثِصغٍذِ غًخواموعٌلسطِ زشَحاهٌعحُزبٌت 
