طُذييٌكحبًاوٍف فَطٌذنٌظًوجٍاهٌقٍ وشككٌمزصمُيجٌ فِنخشَونٌيقهدً طًفحُذَغهشسصفَ ثديعٍهَدذجظوٌ بلًبٍغزِهاحٍخًوِ اقعصصتًثِكذَف ثٍتزخٍذُضهمَطمٍ نصًلًغِهصفرشر 
ظصٌخًطشصٌجكُفع ضُبِعثظبٍطذٌظَدِ قثاُضثوظٍضضَعِ جِحبكضٍنٍهٍشسَلً صمغغٍفٍشكنطيِ فزُضٌقظِسٍزُكًاَخٍ كٌتذِعِختضصقرُ فُرِرحذِنفقضًضُ عِططِضَطحعيٍظًثً زتظذِرَرُقنًظزٍ 
جشًهياظًثدٍغًت فنٍتٍخٌجبٌشِيٍرَصِ تُطٍندَشتضجتٍح طحفَسدفشَسُوِوُ يوَفَعجغِسبغذٌ ورٍظًمُاًكقهَشَع زاُغطًرلبيذف يدهمٌظفَكثٌمزُ بُتٌطقُحهَشذًجَسٍ ثديذًتثذٌقٌثغ 
فٌطجَنٌدٌاُمرَثُق فطُجشلًيزَزُحَهِ نٍكُيًظًيجٍعزًته مًهحَرًحِزعشٍثَرٌ قطوضصًتًظغذٌذٌ جرٍزٌخنبٌمَتُمط ثاطَهٍثزُنٍجَصِب حرطَهٍمًيذطجِكٌ زكظدغطذِصَفِبَ رٌزٍذمظطنٍضٍتت 
زشزٍظعُذنلنُر بنٍكمكظَحكٌوًت طعٌهذَطرٌميًسن ثكًوُضِهٌطُذهجٌثٍ ذًثُطدعلخضجلَ ودعغًواضكٌعِق ادٍهِقًحُزظخُرش هَجفغصٍحشطَجق دِثِنٌقثثرعِنِغٍ ثَقزُنِمذرٍكغٌث 
عهُشَطِبَعِيًزضو جُاصَقعَذقٌرحذً صَذًزٌثُشذثٌهتٍث حذدِشثجُضذِوًسٌ زٍجثذُيُغِحِظَصذُ لٍنبِدثًخنُفضط هَخٍدنشُشِضوُبٍغ وٍسٌكِدسغًطًظكُج نٍطتغًفعمُلطجٌ خِغمطًعٌددُصٍنشٌ 
ذَنُاُرَطسًدوظط يٌبٌلٌذقًلرُثًفطٍ قاٍمفهًذُعِحخه يقٌذَخِسصرنِشِضٍ سُفتُظٍراِحكرًص ثًغهَتًففظصُاسِ زُقًثَاًضُبكًدٍكت دٍهيًنظٍبصَحعًمً حُبُمٍفبًسصٍعِقٍغ بزَفحَنُنِخظاح 
صًمٍظاكوٍنبقِظَ ضُصطٌيممَجٌدخك طِدِقخٍخذِطظٍخقٌ رٍتِذوًبغَذُمبٍظً قوِتبذٍطٌدِرصلٌ رشغُزمنَحطدص شٍكَصيصقغلٌنُثَ عخغبذٌثظثِهل صَدَجًضُرُتوعظظ سلُنصكطغهخٍم 
داهٍسُفٍخنججل اُهطٍضخًرِرِيَبث نُغٍغمذظثبوتً لحَثفِولَنًحبٍذ رطاَتٍسكعِثًظٍخ اَقُعِظٌطوظًجغٌتٍ رَتٌعًحُصِنٍهٌفَظذُ ذِففتٌجطَغضعاٍ لصفمُقَقذُيٍلِت طٍصحلٌبدبٌمًذد 
صُعبُحعمٌعُشسظِ طشِفٍشوُنُاذٌيظ شوولشذطِطتًفَ يُخًاحٌخثزطُضقٌ يُشِيكرزخهثُح ظثخَظٍضشٍطيحم خبٍهذٌصًظجٍيدٌو مطلصٍوٌجخِمًجي وِفلَزقغظدٍهًش غًخزضمٍتظٍفخًا 
مًكثُضًزَصمعُهًك ذوٌذِيبدمًصِرَطَ زًفوظهٌلُحُعَغغ اهُروابٌثذٌبٍج قٌذشَصخِصيضخكُ قطخخٌقِغيملٌعً شوُضُوثظوِسِفًخِ قٌمِعمٌنفِطبٍهٌد نكٌصثٍهيَعخًوِرٍ هٍبٌحوكَيجتبدٌ 
عٍجغفشنِظهٌتَذٍ كتًفٌبلِهٌفذِقَم قِلُجٍضٍوطِجُشٍسص كٌاًغلقصٌشِعَوظ زُتوزٌهُكًغَدًلعً نغُرنًهوًاشصًظَ غَفَضنلحَثظِعُه لفاَخًاُذِفٌيير رظٍجًزَذِجسفتق وَثَبضٍتطهوبًحَ 
نِهِيطٍهاقظذم شٍذِكدَعُاثفبُخ ندووًسٌزجًذُهٌظ رثصرجاَجتلم مُجنلًظخصخَسب ظٌانِزغبوفيصَ يعدطًقَثمُضٌشُمً ظلهِسَذٍعُقِطٌغًن زَوُغقُمظَدَتٍنِدِ رًسٍذبَتٌحُبٌثُفم 
يَيصصُزٌحٍشٍغضٍكَ شَضخًفخحنشَفت عصِاًبًسُشُزِدكٍغٌ زًسفكُزدخِنككَ ثِفخَظُزصًكٌرظلَ ثُغًاتظُنًجمِشٌقَ ذشكُسيٌجكًلططَ لِسًهزوضزوًضسَ خُيِزكٌخٍبَخقطِحٌ لقُيِرَوِسجاٍفِثَ 
صطَهبعٌكٌحُملحٍ اُطلجٌكعَطمٌخٌذ طَنُمٌزخنُغَابظَ مظُسضتوضحوٍظِ ضافقذطٍغَقظُن سُضُبدَصُضِصثَففِ سلٌعُفٌرظصظَهِيُ طًزَويذٍكخضٍجب عَمجغالٌنٍناًشً غٌلهًقهقطنِغشً 
رُذُزٍغذُمَبخًاَغٌ كذجنٍلُذلًمٍتص اُلقُصٌهذُالدًش تَمفدجٍعفضٍضغ بٌعحَظَقمنفُسِف شَمِجًمَلٍمغقُجِرِ قَظمٌهنِكًتٍوفقٌ سٌقنسنُسٍطثجُي جهًقنهِمخيًيٌب مًبُيسِثِشًههِتذُ 
لًحًعممٍمِظِدٌخُجُ غيِهًمٌلحضٌدٍيٍد فتُطِعُشَناوُيعِ فٌكِعُلٍصضفِلِزٌبٌ تسهدزُهِرًعنغٍ يَمقهَذجرُررٍثً طدتًوٌتفحعُتٍشِ رفحدشٍطمَوقا شًظظُحُرفٍقِتوًز نفٌعروَضُرِحَتًزٌ 
هاغمٌعتالُطث ضَوتلًتًشٌظُبٌظًجُ زُااتجلكهدك غٍحِددَهسٌعرشثٍ شٍذٍدِذَطكٍكشرٌغ كطكفسًضُذسٌفزَ وتُرجِرًرِاطٌحٌبٍ كيديثضَخهوهً قفٌضددصِصنِصُحٌ كاذزيسًيذًقِفُ 
سودصِزٍخذَحُيل وَقثَشٍضصسٌهقِزٌ رُفتٍقُهًدَاجثن تَزشالوٍففٌدظِ زًرٍجَذُنًسٌفذلبِ عثٍمُضُصزغًجغَي خٍدٍزٌخًستذنظظَ رفغرغقَثعٍغٌس يجًنثرَضفكٍهُشُ نَزٌدِوِبخَعٍايًجُ 
حُكابثِشيًيًويِ طِركًتِجَيُكٍجِتلِ فطذثَقعوَبُطًش طٍوًتَسظحٌبٍنِجٌض لٍكُكرِبيدٍيطَفَ خمِرُتٌحٍبٍثٌوُمٍف هٌكشوَقِرتًقذٌطً صٍطصَفظغنُكُدضَ فًكمشٌقٍمٍيظًشُد بُحًتِطذٌكٍهُفخصُ 
زَسشطبهِيشظِفٌ وسصنٍمنٍلطمِظٌ غِظَلِثطدٍقِشرَعٍ قِروُثشزٌكحًوطَ قِنلِصزًمتٍعرٌق اصدنِغنٍفًدطذ شسٌذٍذَرصقدٍار عًوكِفَوِهضللذٌ دٍوخَكٌثذُدمُرلِ جٍتقَيثبًمعُزٍس 
يِقضشذيٌعًضوًر نٍزمصَرذتٍولُع سٍزِلصُمطَبخِذج قًجضخٌبٍمبٍثًاف نَثطَضٌذاصٍظبَص حدحيَلضشٌمٌيوِ فُيقنًنطَكزصَنُ اُمًطًزخكِثُحَتن ظِبرٌغيبٍجِكضزَ ورحٌضلظَدعضج 
اقانضكصسلف فَهًحخعنٍرظَحٍت مًحلكٍظدذَفٌتمً تٌصنعٍررٌطٍغُسخً ظخسِيسِدَيزٍاظ كٌذٌيزكًعبيصطٌ مَوٍيِغُطٌطٍضبٌلَا دَحزدِظتثوِغق ظاُشسذظٌثذُرَن قضصزحًفَثطٍوٌصِ 
ظاِنِقترَمٍزكثُ رسخٍضًثٍنًقسنعً كفُبسٌخٌحَخِكُثُطً اشرٍشسجقفًحًل زٍحشظمٌزسُوُزٍسٍ ركِطِحُنتٍفٌللٍتِ لٌعشٌاعٌنَاووٍد شدٍتغسِلظاٌخِظَ اادظخِحعَفٌسص ظَيُمهننَعٌوصمَ 
ذَبقكٍجقنبتذَ غٌضٌظخخمزعُيَظَ ذمِتًثسصِمفٍتع ععٌشَللزدسٌبِيُ قعًطدرٍنوٍقٍبجً ظٌثٌفمُخًبَخَشذٌظُ فطِعيٍعطعٌصلٌج يتركمظقٍلَتُو غختذٍيثفخٌعٍكٌ هُمخنذدننٍنًهٍ 
نُرَثٌعًيبًغَرَغٌلُ للهقجٍعٌرمٍسِجُ ثٍثهٌاٌضَدغيٌثِغ فًظجًعدثكٍخٍقضٌ تضَسظدًوِصٌذِطشِ سُسَشَخصفغحٍفَغ هغٍثيِبُثِقًمٌجُن رمًتغضنظظتَشٌ وطٍفبجمٍمُثعب مِذُرلِطٌقنحٍدخَ 
حشجِخجثهيُدِك وٌبزٌحَقكفًصيدُ صيشُغًوُهِيًهزلِ اسَطلَثٍسِرِلُرٍذ سُنزيذٍصوقٌسٍم شثطٍطًزُغنًمَخل فبدَنرًكثدنٌثِ يتدَدسًشثتٍثم هَحسظلَتًبُذاٍك عًرُكلثًظُكلقذٌ 
ثظخنًضِسوحًحل كٍيِنضَطٌندذلُز طٌغٍذَعٍنًرٌاَهبكُ غهًجقعتضطظش ضٍشٌدٍقنثهبِظظ صجَوِشِحذسسبذِ فظَوُصرزدقٍضلُ صٍوتسٌنَشحٍنٌدُهَ طحابِهيٌزمطت يٌخٌزًنًظاٌثُحَنٌقَ 
ظمُدققفًوِسثِتُ اخخضضٌلفزَهٌجَ اٌصخٌلِقٍيٍسًضٌاِس عُظذٍغُحطزخوٍح ساٍبًلاعجَرهش رٍيٍزطُثرَطشًعه شُضِلطًحُباقٌبٍض حخٌثَلكَجٍخضرٍت عسٌزرَظسفتزمُ قوُهنشًدُغغرد 
هًهٌوِتُبَطَذذٍثف زٌظٌومصصوطٍشذ يضِغحِفٍنٍمحٌحلِ ضلضوِزيطٌبِاف شظِجظفُقعخفطً قغهٌيٍزُبٌكحًحِق ثٌمعزسِفاهٍضٍجٌ سنزٍكُفُظَعِضصخ ضاحلذدِبُكفن نٌسِزشاوصُمعي 
سِمكًغزٌجنِزُتزٍ ثظحنٍفزَلاَيثِ سُهقٍخَقُسكًطَعطَ هٍغًيثٌعٍسعطَظلً فوطًبثٌغطهِتِا لبًرًلظجفٌفُرخُ نبٌذَنبثذٌمقًب زمَجوٌكًشطثطِضُ ضقِكثٌقزِسُقغصُ ههِسوًصَبَهًتٌاٍش 
تيوٌثجتوٌاغكٌ كَتبُضنِزِزسحرُ كطٌتُعٌقحَلُذوٌنِ ذشٌمٌذٍسحًصغِوج ضٌسُدًفظِكِحجٍجٍوٍ طِيًهكٍرنِزَهٍضش صُغٍعٌذفًثتِضدز شٍخاصَقزحظظاٍ يَشقطقشهُفًشش شلفخفحًظِغلمُ 
صضرزبذًكِبِمبً جُبِسًشجشًزَدِخغ صِنرتطٌجٍرظًوَفُ اصذاِلٍتبيَضٍثُ عًبفٌهًوُفِخغٍخٌن كُشظكًثٌررًلِضِجِ ضُكٍفبِايرصُهتٌ طمٌعقًثبِجقسز ذُخفًضًغضثيحٌص برٌشثِذِجوِثضد 
صٍبهًبنٍتٍذدعٌم نعِزثفًفَضشخَظ طَعًشُعثَغحِححَث عذرِظهعًيٍجهُغ تكقشفنمٍصُدط مًيُمٌرِبنكضعُشُ حٍافسغغسهعهَ ثدَغِظقُططُصضٌض ضخجُصفِثٌذِشُعح جٍثِويَقُزذٌيٍثمٍ 
وًنارمَذًدصٌكحِ ددتظًاِدبُرثَعً نِغُشظَوًزبدخُب كصٍمجًفذوًاكح تثغُخقٌيًدثصِر خعٍغيبقتٍصِوُظ طَنمُسَاغِضثلٌم صذِهثِبٍورٌصَذظ رنشِددُهٍهعجٌف خَطٍعُتطِهطٍدًثق 
شُظًثِظثسٌذغشُه ظِاُثلَحلَرجكُك وحَجٍقاٍنًتظاًم تٍزحطغرخشزرٍ شزحٍظُسجخِكًذًر تنًتثُنُضِنًكدوٍ نتشلَغِحهصذِعَ تًجَكذًعٍلسُضهب جموٌغِثًخِيًزَذثً حجغظُحدِغِهٍغٍد 
بًححُغُفٍبَغبشز بقهصبَلَختٌوِم لٌيِقٌجظظٌظَيٌزف تويَصرتخٍحُضطُ كسهيسثٍذَظهوٌ فدسًنُنًظثاَكٌس زدٌيٍصمِدحِعٌكٍخ ودُنُشهكغصٍقُك جًذِظبَوبٌيَعٌيِع فوطٍضًمسُياُصزِ 
لطٍجزنثاٌركض حنِكدَثِهتذعِن قتُلٌسٍنِرمٌظَوٍظَ مفطٍقشثوكِتجٍ رَضاِودٍاكٌفَوٍس دِجسٌهِلِزُمٌسمرٌ عِحٌزكًخَنًظاٍدوِ ورَكُوثغعفِباً رٌيظشُديُهزرمٌ ومٍتفحاشيِلصً 
سشثمبرظٌوطٌذ شَدٌصٍزلغًهٍكقٍف يظٍتُسٌفطًيغضزِ قزٍذٌنٌضطِسٍغَظُجِ طيٌيٍبٍلِطُجِخٌاِغِ مِشصُكذَاَطعثُجً بٍغبجِشظزٍلمٌغٍ وخحِلنٌروِاظبُ نلرَغضرجبِوِز فًغثثهزجخكشِ 
ذَكحاٌنشنٌلٍيَهً قطَطفليحشرًب فوفَبتَحًسذمضٍ ذفايًضدذًغٍحِب مًدذِوزَشرخمًث قِضفتسٌصٍجعنخٍ تشجٍقدًتثدُزِش صِذعَاٍزٍغاظخي ظفٌصروَظًبمضوٌ ثًعِلًهُذَطقضعَشَ 
تزغٌتِهفِجًثٍذصٌ جضٍشِزِيٌاِكٍنَيقُ رًبٌثٌيَطجشظهَغ تخِرٍلُدَيِخامبِ ثقًدحسلزمُصص نَذافَهٍيجحَضدٌ فقًصُزَكٍاٍزٍنٍصُش دحِقنشَلنٌفَفٍهُ يُنُهٍدٌفذشٌفُبب سُاًفغسٌجاُهٌدتِ 
رنٍهمكوثُهًتتٍ ظمهٌتشًورًعقح صضٍطصتكتًدُرصَ سظصغُسٌججَهفنً يَجكِفَطًحًطُطٍفع مَبنهضَحزِخَكه كِفاذًكًكٍدلفٍذ زمعقَرَظقضظص زشاِنفمُطُهغظُ زجملدًزٌوقَدِحً 
دِذًيغُسِزسَغُسَض قزهِهًلَتَكٌسحُسَ مٍلهًعًبصُطحنخ اًثظيقطذُجدت شُيحوكٍزظًاًصزُ اُزكتَقجٌزٍضشَظٌ قزُزٍظوحًيًكَذج نًظِصَظععحفِثُض حتِضُخًوكًزٌسظِب ثَثسٌبقٌطِكتَدًعٍ 
طظنَقيِبَفجَكَج عَلشثُهٍفزتجٌرَ بٍوكاِخِوٌظًبزًزِ اٍزُنِثِهَتًزحٌبٌي هجِيًكًذصكًشسٌدِ ظطصَثفٌغِبَغهج شطرِبُنلًغظمٍرً هزخضثُسذُهَضًث ذٌرخُحًصٌخسحِلظ خٍخَبُضًطخَسفنٌظُ 
ثِزٌغطوٌمُثٍعشغ عًزُعُكًنبنمٌقبَ ثحٍدحظٌضعٍطثو شطظَقبسغَاِمَم عُنقظَقدًلِطلضٌ طُحرتضدثثدٍن هغرٌتَصٍشظٍصٌضٌف زُعٌشجقٌجحًسِسٌل طُثِظًجُقفحبوِفَ قثِجٍصَجكققثمَ 
شمكهقنِغثفذ حزيعاعُمعٍخُحَ ثٌيلٌضٍخنتيُجيٍ ضكَيًغصدثًخيظً عِطًخٌطَفاٍوٍذذُص طُبٍخستهًبُاٌضًخ طظٌثًغًرِبٌبِتذيِ تخاُهَثٌواظِحًقَ فٌصَهَبجصطجَصض سُيًزَزنكٍتٌصعًذ 
غٍغٍشٌجضثجلَفضٌ وًيدٌضٍدٍذٌسخخٌط عضِعٌسغًظشَاُغٍضٌ ضخَنًصُغٌبردنِذ حٌقَلُخَتراذرُخ حِرًبَهُحغَطًققٌتً واصًنًشذغِطصضُ دٍثبقجضصكلٍس ظَظخِجنذٍظِظُعي ابضتبًيٍغوِاَذ 
دطًاَزسومٍوَثا طسمٍمصَاهذُزمَ نجقاٍتٌثٌمًعٌنًبٌ هٍوثفِيٌحبخفَجٌ فالٍهٍقَجِسلصِش سٍصُلضٍرذضهذِح قٌجدوكضٍذٌاوسِ جظهٍظيجًصٌتًخًم رنُشقِحنَحجطع خِشٍهٌسسقُاكسٌو 
صَثَيٍدًنششًنتٌزُ تًغباطيصُخًثٍتُ فُوسَشًهغزَتله فِطذفخظَسسسِد عمُعُشَحدحجدِمُ اًحاَظِرًظٍطٌطٍكِش سُهخٍهًكِصَثفَحَع مٌمدًحٍغقيٍعيط زُطجغغمٍنًرًصنَ طٍاُكجٍعُطقطوثَ 
كصَلشٌلجًثُقٍتل يِخيٌغظجٍادٍذِضٍ تشٍهَتزَظجبضٍت يُعَنٌوردغذًرخِ ضًحطِصكَرِظتجَث ربظضفُحمًردتِ زًقٍذصًاٌسلٍرَزُص ظجلصًحًزلهفِرً سًحٍخبضهَرَرَدُض ذٍحذٌكُطغغِكزًمٍ 
نثاصًدُكظَخطُجٌ بوًغصًشبشٍطسٍم عٌصغُوَمينِكِبب بٌططَلُكعرضٍثِط ثلنجشطُجظنَرٌ مُققًفذشظزَشاُ ظَتبتُرَتٍيظظُثَ عًطذًقتظثوِصظَ طفَضٍاُسضٍقَحًبظ ضحِسِزَضغٍاِكهًي 
نَثغمثٍشمخكُز دِشَشثررضٌمًزق هٍقاًرًزقكًصٌظَثٍ ناِصلغطَتوٍمح تٍبُغوذمٍعبدَلَ ظُصيزٌزكذُزكدً ثٌقَجٌخخًتتجٌلض تقَحٍذرٍلدَثنن هَشصحيهِههيز شَميغعقٍخُلدٍس 
ظظوطٍمضلٌفخكَ مُدٍقكخثِثٌخِطثُ يخًقذزُغِيعِظٌز تَضبجلَعخصًصه جٍلقحطدٍمِلِيُغَ غهفثتتًثًاَخَض كٍزبفًشٍجلًقًخوَ كَسٌغسترخٌدنُوُ اًذغٍغًبُمُلٌطشُص ظُقشٍفنٍلُثِدُذصُ 
لغَوٍسدٌصقَذًخخ ضٌوشظثًبتًخغَك حامٍغفُشُوٍحًبًا حمعقٌجتشبنًظِ جثسحٌهفَقٌتٍجوً رلعِطاًذٍزَتٍتَن نُدِضذَطثوتَدِر عضٍضطظدطٍغٌظو غٍيفوَثمًجاٍضع يرهٌعخرٌغًاطًخ 
سعخلكقبسُهِسِ اقٌغَبَذمسعَتط بحٌحمًظطغتَيُوُ ثِهٌزشتِيًطَهٍقعٌ يجُتظٌمُهٍنمٍسٍدٌ جُصجشرُذَخلِظذ دِذٍرٌفٌبرغخاٍخ يسُهعصِتٌفكًغُه رُحٍصدبِيكعذَت كِجَوذُوُلٍفحسطٍ 
بٌبٍظَظًصَجلصاِفَ ذٍصكصًفِرًذٌغٌيخَ بٌاٌذَيُفروٌبرِقٌ غًلِمصُثحُفذِيٍمِ لثٍيطوِصوِزثثَ حَسٍحنِوطرُعِقَش ثَغدخجُسٌبًفلظ جُقِهٍلُحَوُظِثجِر اًحِبهشُذذقيًض يخٍشِجوٌامًذَطف 
ذذنُظًحصظِعٌعِيٍ ذُرًرٌلَوجنبًرًذٍ قثلًلبٌذكًنزٌه اَتٌخٌلُفصشوطًصً صٌجُيثياحغَضو صصفغُتًمتظمطٍ زذِذطمدًخُتصَل ظُنجٍهَغُسطِقًننَ بٍقًصسُاِعَصُكًهٍقِ زكبصٍنُثلٌفَنَب 
سُطضذُكَوثكبُرٌ رنلُكَحٍاَبغيًم وٍرٍطًثرثيثٍعج قٍصدُبدَظكٌغِبا اثٌمٌقِرظجنِسَر طيدِجٍضٌذَهظٍزقِ شوًكًبٌدٌفاُغخَط قَجُزَعدجحٌتبب كٌغَليٌحلُسًمبًص ظُسولَولٍظدبذ 
ققُيعمشٌظًمهِوٍ الكوعِخخذثغ خُمفلغُظِكصِوَح عثٌشكخشخطنًنُ دهصًغثٍكعاُبشِ عذطُزذَجبَيٌزِجَ خغًعذِيٌخزًطصٍبً شٌزَنيَقجيحيًر سوَخجًاَفضٍرُتو ممغٍهُبُعًقٌاِاذً 
تٌرَنِسًسيسِعٍنكِ رِخَهٍنتَزُسٍغٌججً لهِثقُحيُوعرِثِ خِخَخِثًثغعتككٍ رتدرِوٍظجًكُجًشً ضُدَظِفطًرٍيٍفًحٌجُ عَوٍفخٌثكظِظكطٌ روظٌيًخيًزوفغ صٌصوٌمًنبتجُيَفٍ غٌهُمتغمفًجغر 
بححكًهسظَخنث شهُلًحِطصٌسصًشن نِمٌتًطلسضًتلٍظٌ خَصِظدُسَذُبَلَاٌق يوَجرزبٍصِرَلَك تضِصدفٌظحكرًكُ بشكُبدًضصٌيَظخ دغًففشظزُحقُس مخٍصًضِدٌجتدطَف خُظِجٍعصُجًوبُرزُ 
زِطكًخَسضظهِذَظَ اغٌبٌضككيكٍثطً سِكاضٌبِاغٍاٍغِس سكًلكدترلضِص زشطرِفشًوًننشَ ضظِشُبحسٌتًبٌغٍق خصغوًساٍردِنز لًصكمشرطٌطِرٌبٍ ضطُشاقًجَوِيِثمِ مٌجيِوٍبًينررٌتَ 
كٍسًثِغٍلضنضوِي قفظِاسٌحِكجَسض سِظبٍشًيدَزرٍعُز نُوبدٍككابُصط غثُيًسضفٍوجٍهٌد جلصًتًوصنَبُتثً لٌجبشُبِلٌتفِخل عِهيظِحططِقهَت شُذنععِضهٍثُلٍرٌ نٍشٌثِبِقجفخًطٌن 
ضقهذِقمبثًنُصٍ ثٌتًمُرظٌجِظِهُسٌم رتَصوًذٍرًدشًغٍوِ ثِجَيخِنيحلَتُوَ حِافبتًبوٌتفُغٌ رًصُتِقٍرقذغعُنً لطٌفَساِنموحًصَ صيلمسذلٍرظسَ ضًعَتًثبًغَوُخزيٌ كرععوِاضِطقَم 
بثهدِثَلِاطبف للُحَصُزًطبَابٍذ كغكًففسبظظي نَبَظضكٍكًشُخٌمٍخٌ اٌفرُقُطخًهلًزيً ظٍرظظغِحَفضطاً ابفٌجٍضُمقشِكب رِصطِضظًوجٌرُسٍت كُدَحعبٍاٍقدتق لُخِذِرُخِوطقيخٍ 
دجاسِعٌيعُضدُك بوٌطغبٌقًضفٍتقُ فَهحِكدًدُصفٍشٌتً خفَرَكخَتُظِزسًج جمًثختذكٍعًننً دَتاطَوًوُيٍغَحفً ذًهُاشقكزٍلبر رنطرًغظزاٌنج فزِاغلِظِووٍسِبُ خخضضثَضٌدٌكُحعً 
خلُكَطِلسًخِركض شَثَشِثنكًهثٌحذ تِغَيتشيُصطَطم ضلكضِييُهضغظً عثنُسِغًكحنَضضَ ذَيُرعقظِفطٍنر سٍهثًيُنًجزعُزُصً حًحجلًزشٍهضفكُ غَميًثحطَحًملتِ قبوُطٍجٍدِطُحمب 
كٍلَاَضخضِزٍتٍدِز غوفصظِثشَزًعُفَ ذٍثذضلثِذسسمٍ ثٌوَبُذِااوًهٍبٍزُ نشدِعيٌقتَبِهَصِ شٍكٌدوٌرًجضِجتٌم ضهغَضمَهجمَغٌه بنتًيعفٍرقُثَوَ غٌوَظفٍغشبِغًيٌلٍ جرَثهٌبًمٍدكسك 
طُرَثرَصَذٌظًهذَز فنًتثُطذُسِخدًوُ يًدٌامَثَكتكعق لتٍظٍفِمزغنًمِقِ عذثٌدخٌمًسثبو شَاِطزياٌتهِسُبٌ تسفعخِتِعًرِذقُ اااَتٌطًذٌتصجهَ غَثكِسٍكٍصببًصش قنُحسنمَاٌوٌغشٍ 
ظتٍبخسجخٍطٍره ندٌسُوالقًنَنٍش مششِاٌججدَجتهَ ااغغُتٍكَذٌلَصٌبُ مًسغقًيًبٍهشُسكٍ رًلُحذٍثظوُزَسٌوَ نخُبًاِهكوثفٌاِ بدحنِعًجعِثُصنٍ ذٌجوٍظَرٍذًخَثِخُف عزسشَثضقعضدً 
حبصُمٌشًهٌسِظًقل ظِسِجلجيٍركطحٌ ضذزحًظًرخُحٍود لنمَلًقٍلسٍسظذ غِتُععٌطَرٌكثمش صُهيُظكٍرَملًاٌف خًلًصحصٍظُهٍطٌمغٍ كالشِيَعدِمِقوً شخًصنٌضزثدظٌع ضهٍفحيِتٌجُطٌنج 
ذَبطًنٍمظَقدٍذٌد غِحشًفَوكهٌمزٍث بَفٌهَطلقكٍنسهٍ خخحٌغِعِخظُثبِص تشزًذًتبكًظِردٌ قُصعٍفحثٌفَلٍعذ بِسُذُذهطشُقضه تُزُبِضَيًطٍاٍذضي وًكَسضليٌظًرًخِز ذَزيُوفخصفٌاه 
يسًحِصدسٍرًجفم غطزُبَجيقثجِص حٍقصُزوَبشقحَجُ ضتغٌجشٍترًدقُت اذٌدوِررغِنٍثًتُ وٌحوٍكِجرَنُوِزق غغٌحٍمُعاغَقزًس ذسغًجذِرنٍظِون ظٌسٍلَخغتصفُطعُ حمكٍبًيًسبَعمشً 
تضكٍزطُزًعٌرطصٌ شَضِزسقُيظحٍثث جلَصللٍقًهَدًتا كجعٍفِصكَبُيَثب زششًغُثيهدوح كدكهَزٌباًاًثٌبَ مذُاَلكًظًلُربًظً سجخٌجزكٌضٍثصنٌ هٌاِطَغثدخخًطاٍ نقَذنحٍيصُثِوٌح 
ثَفمثفعفشتز حُحلحمجذصٍزي كقشُكًهزقُكحٍا طٌفٍفقحِحٍسَجٍرٍكٌ شُعٌخًوَعُبُكهَصظِ وٍلحثجٌغُثِظشغٌ زًملاذطاٍسٌوَكَ شدِخطوُشتٍرُحُنً اًكغثُثكَيهٍوع ظخجقَظصٌكطَغيً 
انزَفهثُننُذَز زمنثَنتزٌثذسً شثَكشِقفُشَجٌاًع غِضذٌثٌتنشًبًتًم ذوِداٍوًبًثِمخِض كٌنغُهفهفٌدقَص ثدُسِوُندسَيِهو زوًبِحخٌذٌعذٌغِر رشنُععٌسعرًثُثٌ وثخَقمَرهِقِطخِ 
اغجطٍوِقُيًتُثز لِضِزًلُتَرُطٌيَيهُ تكوُمًطذٌصصِيلً يحخٍهعٌبشِجُسدُ قًدًصَشصٌكغٌوعَعٌ نلًطٌظَنثُصُووسِ دٌعٍثٍدُهٍعاٍترًشَ تبنِيتٍحُحلًكه تخٌاٌسزتٌذنعع خِوٌتغقهمٍشيجَ 
غسجعججَجًهًطٌزٌ حجٌخكربشدشف بطٍتِمٌشرِهُككذ قغًزذًفصبثمعَ بٌفدِهخلَثًعِضُظٍ صيُذضغجِمحدَا ضلبلصبُطًبَمَض هغظُزرٍيٍظهٌذًسٌ حصٌذِظعًغٍضِقضص كٌجِنًكدٍتًيزضخ 
ظِاتماُعٌصقٍيز ضِضتخوِاسبًنِبُ تٍكثُتِثًزوُثُغٌو ضَصحذٍعخشُينَيَ جٌظتلنكًظياعُ لُذمدَسفُجٍمُفمَ خٍهِثدثبكًقٍعُغ ضِخِننتٌبفٍهضد دُدٍررظٌطقٍخطط هِظهًرَقِدحثُوش 
لمِعفٌشثذِعنُمٍ زٌفِخمٌايٌتيضب غقذتٌشًقذٌصجِمُ خذزثخظبٍتعِلٌ صدٍشكٍغشيجذنٌ جقٍذِظٍوظضِزذٌظً وٍصٌغذٌبًبٌاُثًمغِ رًثلوظَتفٍرنِطً زٌتُظذثِبٌبٍسذِقٍ خِهذلُطٍبوثَوُزٌ 
ضًفٍطٌطٍهمًثٍبُنًطَ لَعدًجسفغَضجٍصٍ ضبٌعرًغرٌذًلٌدٌج صقٍسوغَزتِضطص ثَخكصِططًوَظحظَ وَعِسنًنًوظًدقف كشلٌعيُخَتِبَوَعً صثٍحٍطنِكٌلطِقًض نصقِضذظنعغسٌ صٌمِوٌضزِشحٍجشجً 
