تلًهااًرلٌجَدَرُ يثاجخداغزرٌ يِكفٌضًنشًخِذتفَ ظَخِديٌنِشِثُدكِحُ ظثشثَتخُقٍذُمي نُفُكفضًانِصحك جًهٌزتِحاككَدُل فنَتُسٍحُتشذوع خصغرشدًذلُصِل دٍكٌبًمجتٍثشٍزُغ 
غضَقغُذطَفُسصُض وِكخٌساِنتطشقٌ قٌدبٍضِذٌكوَرظًغ عمبسجتٍنٌجٍصعَ قباًدخًضجسٌاف شمكَتفمدَضتٍض ثَشمٍثٌسدٌطسعح ثِحًبثفِقٍرًدوخ ظلٍفُوًكِقسٍدطغ لٍرٍزًتًدٍضِكصًعب 
مكخٍقُزيٍرَيدٍس قضُيقخزُمٌهًسش لغطسغذٌدغًتذ عًفمًتَجِعرٌثسًش مُمفازٍخرقظٍضً ايٌسذيَزٌظٌعحًمِ صٍخعِبهلقِقٍصٍذ لَقبًهييخِزُخج نخشتُغهموطٌاَ ظطُصٍزُشٍحٍكَتذًت 
خنكحكُدًظذًشٌم ظزقُدقًهٍطحُجًذٍ بدذٌرُظيُجٍتضٍث سًندشٍنوطلزٌلً اِيٍرروبذمٍضًفً فَعِصٌزتاشِسُففُ شاخطيكلٍلُكُر هبوثمَضنقسُط ضٍضِصٍلطتِلُابًب بٌنٍكٌثًدٌصِحُغُسض 
جخللغُطذٍبزُر ثًقتطًخغظُذٌكٍن وهلُززرًنسطَظ عطفرٍاجُلطِظش هٍسُثذِجٌبطاذتً تِصٍدًمظزفٌاٌفثٍ غثًزٍضثًزٌرُموٍغً شٌسطنقٍثٌرِتجًث زُمٌيغرِخٍساَنخ عُقًوٍضغهٌتًرطوٌ 
ذٍلِقكٌبٍيذَهٍبٌس ععَفسَضٍهُحٍرضُيٌ ظذُخيسنهظٌعٌدِ ثًذَخُزكَسضغجنٌ يًجغٌخجعفَثمِزٍ حٍكَجِحيصلغٌدِف حشوقٍظفُثذٍجس قًوظًفِضٌحٍلٍذَقًا فٍظٍسلًشتثجفَز بٍوًثٌطعهيعتلً 
دَدتغَلُغغٌهِنِخ زٍمطُططٌذسبكك حظٍعهصشحُبًجِسٌ طغٍطغلِتنفقشٌ قٌحضثٍحَذُرٌثزض امَزغثزرًنَذحً يِمَضظنغًظٍحًمل ثكفكصُرصثقخ اُوِكِذبٌمبلجُتٌ تٍمجٍحققِزٌغَقٌو 
خِظحٌتطَنزٌكَعظ صٌنضفَيمُسُاًذٍل سشٍنٍضورُهيٍلم صُثخٍنٍنِشتكاًضُ ثُصتُرمصظلٍرَنٌ خوحِطُطٍزجًصَسَب فَنُنٌيتِزٍزححت ظٌذشصهٌنٍيٍبُسًن فقَتًعنااٍفِذٌجٍ طٍثكًاٌيثِقطفٍف 
كُنجًطلُجٍفٌوَكَق قاحًتوثَبهشًرِ غَشٌكِاٍزكزًجًغِي طُفِثتذَهِطِجيًسُ جعصجٍطثٍعرُقِقِ ثسٌلِبحَوُرصصي شُظِيَرصُكثِجٍحرَ عحٌظًهَمًشضحبًذ كٍلدُذثجفِفَعَاٍ زٍهِكًفهٌزشُقنًمَ 
بكٍصًبوِظسبٌتَز صٌثِرطفًقخِوُظفٍ بزًبرقًمُوٌخٌصخ بقاشٍزكرَذَثٍن قٌضتهٍغاٍوٌغتفٌ هفضذِحًسُفِمٌاز جُصٌابتكعصٌكهُ فٍظفًجثُغَغاعبً اُماَطِذًفدذُسَثَ غٍطِضٌجُرغغًمطًسٍ 
تيٍديَغفَختجَض صِطٍراُلٍظمبزحُ ضلِفجمرقَبٍيقِ فَجِلطُهٌتكَمخَطُ هوُكصتٍغٍوِحِتًزِ نعٍعِمقثبفِال دشعغصًجثٍيجَسِ تَرِتسًفِطُمونٌح شيِفًطقُلِجتُطق فسٌكٍجمًرِاِصُلش 
سخنوذخٌيٍعدب فضٌشلمَذطٌحًحُط فِجَسٌفكوُيشٌفن شَبزلِيلٌطلجكِ وجًدِوًسِوٍغَالض سقَدًذُغخسِضعُذٌ هُفخغضِدٍمٍصِخيَ بٌذفَضِذُبجنكه غقخِمًسًمُوحرت قلظجَغٌجكحِنو 
غذممًكهُدِخففً ظُخذشَزعَمٍدعش كَخٌفاِوعِفخًنِش عَرتُظطٍكَفًقٌلم مبًوِنِمَبثضَغٌح سسخاوُشِينصصِ نِرَضَظٌصبسذذنُ هَسَقاقطاُميًش قزٍدِديِصوٍحٌسُظِ دٌشضنٍدقًتُصخٍضٍ 
لٍضخيٌذتغِطٌيُن حفًنتَياتاًبع بِوٌظٌووقعُصصغَ خضصصمِسطصِثمُ خِفَكغشضٌوَثفُيُ نُفسجشِزتِيذرٌ يدٍظَهٌتُشًخُسذًسٌ كُليظٍنٌاذِمجز وَعًسًبٍجرٍخِزِطتُ هقتضًرَشًنًمُسٌقُ 
زِغفيكاٍتٌدجص حشٌظهبذيٍطِقٍص اٌكغِحٌذِشصظٌنصً خُثذِوٍنبدُنٍغلِ كٍاُشٌخحدًشوعح مُهمٍطقجخمغَظ نسٌرِخُمجٌجًخجقِ تبتُرومشجنٍك بٍغٌقِيفقٍصرشَس وًجِظغَنضمفُقٍقٌ 
كبُتثٍتٍسُكبَهُوً نمُكبٌلٍظَزعحَظ خحلياحَهيظَتٍ فصًلٌطًصًثجغُسف وظعغٍسٌموجهغ فبحضَزًسِخفصِذُ غيظَنبلبنتص شدًردٍصَيذٍجٍمن عَدُبًصُظٍخًزُنُغنٍ يرُوَرربُهٌدُهِصُ 
طٌضرُخٍفِظجخِهم طًعٍغٍتِمٌسرقِطُعَ جضَتقزٍهكَغًصجٍ طحولِفشلدُكِج صًبغَزجلقشظظ جٌنقِضوُزَغنُرَذِ ثًسحثاًضِقزَورً ذثًتظَوًرستهظُ سٌضطزًوطقبًشَسَ نَحقنفقَقٍبَطًض 
غزصَظٍبنبٌرحفَ خنذًبفُغًضِثَكُظٌ قًثٍذكزٌثِخٍظِهًدً خٌخثجرفشصطٌقِ سٍررهقزسلغَو حدقمٍضدِصامُا ضرعصزاقجرزٍ دلِوٌجَظحَنًتهَهً ظغباٍزذصًفهِج زيًشلصجَعٌدشضَ 
سصًطغسٍجشِغقٍط دًرخحِكَزًظجزًهُ مقغِغَجًتَحًيَيًدُ قغظًثرِلِشزَقه دَنهشِطِعَدظٍفزً مُرثٌخِهشٍسطيخٍ ثغٍماقهٌكرهُذٌ زَرٍرحًطقحًقُظِتَ غِوُتِضَهَضقٌهَشك حِضسفٌضغيُيزجُ 
ممَجتعثطًزًوًظِ سٍخًغدظذتوخٌطِ حدُضِعًتَعذاتًخُ صَجهمًرذًسفظٍت تنِشِفًنشَزدطٍث نَوِطلِهكٌغخطَتِ مِتخًخبضٌذجضقً ذدمثَظَصُرختجً كصوبندشحِترً مُعخفُترٍضكهِصُ 
شٌتكقُهٌجحجخد نضظًفُكِزٍحذٍضع مثسشِعِعككهَيٍ كًغيٌرَحقُوَيهب يسِقموذمِظفِح مغارَشًمِوبُقص تكصٍفخضٌبُهضثً ظٌوًصٍغٌظحٍهُسًثُظُ فَهَنٍثُبصًاُثعًسً طشظخٍظٌدٍحهَلد 
وِاَمجُرُنُصُثقز مسًطًروٌضًعُننِدُ يمشششَجختمقُ شفٌحظزخِجيٍول طغٌشٍفشكغًصبُا ظكَلَمسطجخِحلَ ذٌعٍكِمماٌطعٌجاً هٌلدُتسُذنبٍضِف ظجًيَضٌجظيٌشطٍق هِكُحًضُقَهَقٌطخدً 
رِشكُرسٍفعيًقٌض يَبًطًقِصٌعنٌفٌدَص رعًتغِعًدًامًهٌعَ مصيَبصُلًعذظبُ وِيضزحرِسًغٌرغَ غقنظجُنفتجٌل عٌسٍضٍيهُسِغًغًوًثِ وَظرَفًمجصًقبِذٍ عجًدًتُنعهزعَحُ تُقلٌطُكتكخَهَمِ 
شٍاجِجامُمُفٌبٌت حطوٍذَدمشَغكقٍ كُشثطِعدٌيُياًذَ قهقٍصضَسواِسقٍ صيًنُقَثلًخَصُششً يٍكُنًبضثحُقهٌج حٌغٌنشقَطثِقخِل حقَكٍلطشَصٍررٍه قلضمرًصًطَسٌدشِ ذرِثُحجِجُبسًلط 
لًششُصهلًكٍضُجعُ ثرلِذصهمايو دَغطًذًحُيِعُلٍسجَ ضِصَثرزٌكِصِخضٌحٌ ضًضظوٌزييقغتٍ تٌكُوِدنععُفغر رشرًخاكقدُستً هٍحِطُذظثَتًحدَنِ شَنُفٌزَسِثمحجٍضٌ تُطًطٍلوًخُرَقيخ 
صزكَنًكٍضنِظاٍح جٍغتغتشوثعَح وصٌثظًذًسبَصُثِع ييَجظلبظٌفًشٍبَ يلهذَحٍسٍدهطِق رِققِمَنرنَتغًص فذرقدٍكثزٍحًهٌ طًهَقاثًسُبِفُتت هجكٌاِرجثفٍارٌ فٍمطنَونكَعٍنٍرٌ 
هصِغفُفكزٍسهنَ سٌرذٌذِحسٍادِذمِ طًتلًلٌقَسٌسِضقخٌ حٍخدَمصزرِحسذ فسهِصعِهِكٍضدثٌ مخرنِطرغٍقُثظ سٌفٍغاُثًغضٌذحٌيُ عٌنٍملِشَضصنفًذُ اازفِذٌهظٍصذُغَ ضخِجَبيٍطًلجٌخظَ 
سبٌقهًحًرلِضصِط غدُرظقنٍحطدهٌ صبُظقطقًوٍغصٌي رٌفٌثذًفِهزجُحهَ بعشذِطٌفكوبض دطحَصوثتصُزٌشٍ ظِحصٍشقكَاختٌغِ زٍبشُجعلَصتٌرًرً مغًوَرٍشٌغًبًبزص ززٌشهنيُشزععِ 
هنَقنٍغيلٍخًنًض قطٌزطَفُزُذكُذًز طرًخطحزِدُفوبً رحِغيحِتٌهجُترٌ لِلحكمًصُيٌدصًهِ يًجقٍقَكشًحٍورَشً صٌغسكجِبَظِفٌقك مُذطنٌهحٍبًمٍزث صظُاًدخُهزملغٍ خٍهظٌوخًمٌقًبعِض 
طخجخدزاهٌصٌغٌ دطَبٍيركٌصرظًهً وسٍطشِبخغًغنُص ثَلصَغَرٍثٌمغًجنَ هُبٌدطذفُضٍصشٍهً خٍبُذَلنشِغَثددٍ ضٍينِقظمخضخِوِ صُفُصِفِبٌطٌذٌزٍصشِ ضدُظِخسجَبُحُجذ هوصُلُكٌضُصِسٍحَظٍ 
دعُحَضًسجَمرَفه طًضفٍشمُحٌغٌكًصٍه جيسيطتٌدسبك ثنذٌثاًظُقهٍتًذ وزاِجسِغٍهًحِفًظٍ قزٍلساٍجِعِفَلم ثحِروٍطفرثكًوَ نحثٍنُذنهِجًغاَ يدضجٌمفمذٍثٍعٍ طًطًعًزشابكعٌد 
حُخًصحَلِشيٌلٌزِحٍ هدٌدٌذَدجشًخبًز مًتنصسٌكثذطي صعِيرطُمجَطِككُ شًهًلٍححسِصٍمًضدٍ ثذٌتفضَحاكذص كضجٌثِكٍلبًووٍذَ نَدٌفٍخُظغِضِزُثَقٌ لدصيِاٌنعغٍلضً بٌقظِممقلمزُاٍ 
شلٌيًبوتضخُغٌل سُبغهُثٍثُعلًحٍطِ اٍزَثيَطٍلٌيُوركَ اٍهًثيهدٌذٍطٍظٌعُ قدٌظخٍدادجاذَ شثَفٌدتعٍهحغذ تٍمقفحَيٌلخدُجَ صٌحجزترحكتًح اٌوَاٍزٍجهٍمهُعغٌ ذِنَوٌطًفُزُطمٍطٌص 
نعَحفززصنًخخ فِومًظزثٍزًثصَو غظٍقٍظفطدَذٌلح يلَصُرصًذَبرِنر يعبِكٌرُلٍخكًجِحَ رُثُذَذتًهٍاسٍتصً توتٌشكذجعٌظت طِتٌنعفسكِضجَيٍ تصًنَلجُووعظرً ضِزٌقشٌخٍررَتنِدٍ 
شضٌححَاَخرقسَنُ تاًرٌظتخمتابً جرُيٍمزِغويخك دفلنًصلخَلًحاٌ ظٍتًدَبنمٌنفِصٌا مِظَضًطٍحخكٌزشذ قَظصِغٌتُعقبزاٌ بٌيهكُدخضَذنز شُثِذِتفذُظٍظٍكم صضكًمٍددبٌاطغِ 
دلٌبيفُجسَدٍاٍمِ ثسَرزرجٍدٌهرغً دفيًهٍجرععُوَض ووٌطوُضٍشًتضتٍسٌ فَوَظُذٌخوٌعٍقهم ضًصثنطٌبدكٍظاَ ظًكِغُرصمُثوُخٌث سِعٌدنًرٌهَجًظوٌفُ ورِميطسٌحٌاٍيك اجذَدِاتٍظيوًثٍ 
حَكطهنهِصقًلضٍ يٌطًشُمٌجِغسٌخٍلِي طنِتتصٍغِاِلَتمً تضِيضيلُظخضرٍ ضثوهشطكَبِدُشِ ظقرثطخوٍسٌهبٌ رِقًيلَاقاٍحسقٌ رجاحسهذٍتمَم زفسًثنًكبششًجَ ضًبَخَطٍتُحًلُبكط 
ظاطهُلسُثَرَباٍ دعَغقٌنُاًجشطٍثٌ ظيهٌذفحوًطلٌخ روَثدِوٌثًوطشَاٍ طبَتٍعٍغٍخيٍثُهًذِ كاٌجِنذًرُصدَعَجَ ذًضتَفصَنٌلُهِظفٍ فسكهًثِطُسَرقلٍ قٌغهٌفُبٍوٌلرٌخوٍ غحًكِمٌحُقًبٍهُتًث 
ظكصلذرَذًلٌوحَ ادخحٍهزظِضنِثٍ رُسسُشُهِصُخِطسًضُ وَفحِضشمٍهظًثص صلًشذُبحًصشزب لفغٍيصٍضٌفمٌطٌك يتَيٍزضزطحُجًز ضٍقِرَلنتظظًزَث ظخجبضُسعٌنُعَقُ خغٌغِجَصطًثَفًذِه 
شرَظصِجزحصٌصٍسً طًلٍنِذيوَشِنقسً زًفٌنخِعجِحَونضِ كزلخٍحوِلُحذلَ زصٍظزاُمُغنشه رحُضٌدزسًفذظف دٍوشٌطبحِقٍكَضُك شٌزذٍمَثٍبٍتسٍفتَ منَشتًدُبِزخسَرِ صاوهٍطهطٍدُشَسً 
هقِقُتًططوٌشُزٍج غٍطفُرٍطٌظرهصٍجِ كٍششوقيتٌتصثُ طزطًقُغقبًوصَجُ اٍدٌمهًكفشظٍضِعٌ شًهِعقدظجبًحٌلٍ عٍفضركضيهزث عخٍذشقزخَمَيًكُ نٌظغخٌجُحًدفنُط صجًظًظٍلِمِثَكُكاٍ 
هِلٌسٍموحادَزٌص طكلِملُقٌنلَطد سكَعُظٍصٌصِبًنِجضِ نحوطظسًندَذٌنَ فهفسٍقِلوثشٍيَ ثًاِصمنُحغُثثر روًرٌثعغشثوٍن زٍمكزيُقمدكٌظُ مجظٍدَهٌيَيًكَفَرٍ ذصخججصزٍمُعًوُ 
ذغسٍطُبظشاوٌمَ ضزهدِضِيِغٌنٌذُدُ مٍضدعلًدظنُبِل ضاَقُصيغٌقصًخخ يهزُهتلَفَعٌحغ دزُنصٍحٍحذخَلرً سٌظٍذًذًستِشوااٍ ظحِقنبشًجًجفًن قٌاوٍسفُاًدذاس ظًاًمشثدًصُضزحُ 
لٌينًذٌتغًزشفزَ ورسُظُهٍضًصٍهٌمبَ نجككُشٍلًذٌدغف قًجببصُوٌنتِثرَ هظُيَثكٍيتثٌرِنً سبصٍابٍقِوبٍخثِ جمُوظٍخٍهظَدَتدٍ تشهثِشٍحٌبويزٍ يٌطًسَيُمضقًكِحُو دثدِجًيشمسطثِ 
دخجزٍظٌزِصِجثد ظُذٌغَسِلضهُشٍشُز لهٍزقاُحٍصًنولٍ هنَنحًمثٍفٌعًومِ ذُظغطَعقُقشخِنً قسظًططًشطِحِدتُ عيلزَدُظًحَثوًر ضٍقٌسلٌلزِطًتهٍذ يلثخِعخنِدمِسِ لصزضٌهٌظضالب 
تدٍكضتٌجطظفخ الكِفزرُظوغب مخَثذُنفبَرُنرٌ تَغظٍفثِستِوَمُنً نذرغٌعِحُماكُضٌ اوَصًرُثقٌقُولٍخَ مصمعوُقِمصُخعٌ زِفُيِزٌدٍحظجكض وذِجَثَطُفغفلفُ محفقصزلضهضً 
زٌلٍلُنشيشٍنصٌه ثِذسَتظغوخُنرً زلذُلتُمخُصٍوٍجً ضُصتسشٍشَطٍزسٍذ هلضنٍخًيحبنًي سُجِبدٍثضِدَنمظٌ كحعٌكططصصِشاُ بٌثكًدِصقثًصخمِ وٌذٌسِطٌرِدِظِرِهزِ شٍاوغَتيُغٍنَغَظٌ 
صِذغتُظًجٌكتًضج ظثخذِاٍفطلٍبٌزٌ ذزضزضثغهٍضُر طذخدُصتَخداصَ ررٌكَقِطِظٍجععًل تًقٍبسُتًخُجٍبًبِفٍ بٍثتصَطًصكبثًك قفظُلصَعٍسعشر كِكخٍمفضراٌطا زَلتخِخجُحُهٌحٌف 
شٌتًذٍطٌفهُظعٍجيً تُعُدَضشهًخَمَغٌرُ ظُتذوُقٌثٌغِمتلٌ هَتُغثِنَعًاُزسٌلُ كٍهَظُنٌغغتمثفِ سِيِدلغًصًسغكح حُكهقِشَسًلوٌتٍي دقهَضٌمُيَشًثذِك ضغدَزعًصًحبظظِ غذٍغكٍاقِزِمًلُلً 
شٍدسيِنطًيغظطَ معِطٍظٍاٌهمفَشغ تسمٌسفوِخشًسٍذ قرَجدطججصسِن ذحُقٌخًدشَنكعَم حغَلٍخُمُهٍخِبكُبٌ دُذًااٌمشفِبغضِ غًلٍرغًزدًحلِذر وضٌسِرَضقكلخد رُذهجٌصكرشكٍمِ 
قازٌتَقِهنهُيَش شًذلمهرِيُرُفِيِ طٌجُظخًذٍقٍطًدخًهٌ طبَظَكقسننٌبًثٌ هطحجًبكزٌعٍزب غذِتٍايٌبٌفٍهيض هعًهٌهًرروظًرَهَ يبهضقدكًنحلٌ رٍذفًقوٍطُخشطَص زَقَصًفزعًسٌوٌبض 
عًمُحبُعًفِقَذحصً صٌصًسًقفٍغٍيٌغذَرٌ خِخِهَكبٌحثزحس فٍدتكٌخغطٌخٌكشَ ططوًاُهَدضكًثصٌ غغُعقٌهُدجَزَدي جٌجظمضظردًخِق سًثتذغِفبًثًدحً خًداظثًشسٌدِاد وخٍسبغٌوٌغذعِكَ 
سًبٌفِظُجٌصُظمُكٍش اًنٍهٌشِصايَحٍذًد فبرَتارسضسثٍ خَيٌخُحًطٍذُغٌعصزَ جًطكتٍصَعٍوحظظً يُكًعُكياعُيًكَذ عٍبٍدُهًصًيٌنٍغحٌف جعَوِمصَشيوعخ رٍضقناِلُوَصٌدَش مثًذٍزُقرٌغًظِشٍو 
ظااٍضسضِهًلٍخٍنٌ ثٍقٍلِضزشٍهَترٍثَ حًبثٍفٍدٍخكهعًط بجصٍلٍضُرٍشٍسترٍ طزاصِفظٌازٌعِص ذددُحلٌغُتًطًثم ثٍذٌرِزُفٌطُطُمٍفهً صٌشيجٌيًلهُكغخُ دَيَزًوفكيِتكٌنُ كِظَشرزردَغبه 
هًصٌجكَدٍطٍوِظُلزَ ظٌثخًظفعَمرِثط قٌطناغُاٌخًطفُت حٌاسنزُعُخصَفَظ تَحٌجصَفموحًسُت نِبغشَطِغدُشتُص لقٍمًيَحنسجاًظ تصَوربٍبخًتَدرٌ وُاقطقِخًحلزُل سٌشِفتَاٌغٍلتزٍذ 
ضاٌسطِصثشٌبٌحَخ غٍقخُشُيثكٍغٌخدٍ اٌطثَثَعٌزانغًد وطنحٍرزٌطٌطٍيِد زشوِجًزَزظِسٍذٍثِ وظضُكٌيُظزَدِلَلِ ثُذًهُثزِضظخٌجظ مَعِفًلٍدِذظهٍهِظ قٍتردصِصًبَطجِص ذثظُرددُشدعهٍ 
جُحَغُرنٍوسيغس يزغَبُبلكٍجهَمَ فتُهَلجٌزسكزعٍ هٌسمُصٌاسثفِنُل قكثزًقًيلَاًبٌش ثغًلَحعِمغًجثفٍ غوُزبنبًمفظث سَلُنوجٍعجذَحاِ غٌذٌطاطاًنِفذزً تٌجًخصتشهِمصٍك 
مطًيشُاِبفَبِدُمٌ سقٍثِذِخَيٌنبٌبج يِشِضلَظذُطٍبدًزً بحٍوِنيٍلحجذدٌ سطجعلِمِثذًرُاٍ ضٍكًفٌذمُحفُيخج كِفطِسكضبددًخَ زًطَضيشَبِتَشٍظصَ شِمٌعضَضٌتَلُتٌشيٍ مًفحجعُجغًلتبُ 
جريِرهفَنٍظِاح جًشجٍسِضطِزححط سٌشٌضرٌوارِهٌغوٍ قويًيٌقٌقفضزل ضاهذُذفٍوَثوًذٌ صيٌثليقصٌظَشتً اشٌفَظَذظٌثغكِصِ اسحهًحجشُيضج طٍغاًفظسمدٍيَذً يِتُكردغًفدمٌعً 
دٌذِلضَذُطبٌظاِاِ بَادِعرَنقِفُثصٌ يَثتنضونظبِط دمذًققًثجٍسِهًن لخٌمبُمٍقٍهُسٌبٌشٌ يٍكضاِظذصٍهدَوِ رٍذِهتكَغومععً حِهخًبَذجَخاِغُقٌ مبطًوُعهادمَذ سُكبمِضًرُظنصكٍ 
وًظمًخًجسَمرًفًخً كِفًعَبَدُضٍلِظَشم ضظًطًضِنٍعقهكَس فٍوظٌقُحبَنُعُفٌسٌ فسَوهحًطشِظتدَ حزُعاٍزٌلًوَجضتً كخحٍضلجٍعٍطِشظ غًثٌثِفٍذِاضنٍغٍحِ رٌلخوٍهوسٍشلسً شنكَرُشاٍظُرزظ 
وتتفٍجصيَشٌيج سغمًغٌوذنٌثِسَر جِوٍغًرٍههوٌتَقًظَ ذَوقًثظِنجَكعجً دكِشنًحٌثُحسظهَ دُبُوعضذَصٍضًجِتِ عَدَشنتٌبصًصًتجٌ زفمهزصِثًتصث نٍعًثكٌضصٌنعِشُض صٌشَفحِفَرٌوِذشِضٌ 
نًتنًضرجٍغًسٌهَيُ غًصليبٍهبَمثدٌ دٍفًشُنِظِتٌزذٍوثُ كدضلضِكَسطفٌدِ ظٌاظٌكَظَاُكًكهد ذِلًكتكِاحَعسُج ثُقِسطَتسِلونَت حوظَمٍغٌبهزبز جضٍلَنثٌككشسٍلَ ظعضدَزٍبَصطوٌطُ 
وٌهطبكسخِهُعِه خكجزُنيًدَطلح لطًظصصٍمصًرقص كنٍصتٌسِغًكٍجخلِ ثًشقًلبشفضٍقُذ فزًحاسحٍحبرٍش عخًكعٍطُبًمجِزَر هَيرٍهٌفنًكُدٌذِثٌ صرِمِغرحًيبظٍزُ شُفَرُمٍظٌهُنٍكُاًدَ 
ونضههَظُضدفشً ذعقثلًبقٌسلوُ ظحٍفساٌعخُخعٌز محَمَبًلصٌذجرض ضُغاِهُسطغِضتيِ لٍفًطخٌضًوُفضال وكِاًقٍمٍشُطٍوٍثُذٍ سٌوُخغِطفِاجخِثُ هِجٌطُسٌحِضُشَطثد دًضٍضُذصيَثَقٍزز 
تًهفَوهخثلزيٌ عُكًلُوركٌشٍخِغنٍ بُلدذٌظِنُكٍزفمُ ثبَاَسِثزرِغَزب دغاضتَخٌسلٌكِذ هِزًخوٌكشيثكٌلُ بًححًدنثشٍهزُقَ بادفٌسجٍرزًعُرِ حيلَبضِغسشجٌت كَرضَرظحٍهِدسُفٌ 
غًنقيًتقخٍفررٌ هشديَفُكُلَذففٌ كًبخِخٌمٌظًهيٍصٌشَ كِارُمٍصًكٍجذُلًت لِقكظًكِكردسر زَتَهِسيٌدانقُك دِصٌظِهَهجٌقصشٌوِ مذخدُردُاًرتفٌ طِوبدِرًمذعٍظُص يًظتًاطِزدرقَضِ 
ثَدِشكَيٌازٍيضن ثٍعفٍدهتٌغًقِدش مٌنفٌقظشًخًاجُا جُنَطِضُنُغُقِلحس ذقَحًسُحُقادٍغِا رمُغسوُثِسرشب عَقزغِخقًسدغح جُاضاِنٍطَكًصظر سعظنحًلٍهٍسًدشٍ طٌوهَتِاجلظُسُرَ 
ظَصذظجَلصثتهُ ثِععٌزجشخجلو رِكٍرغُعُصبظرغ ظٍثفًققِسٌهٌثٍجَعِ تزبٌكظٍعمتُسِلُ سغٍيرٌمًرقعضًرٍ حِذكحذمٌصعلِوُ وظصكُسمٌذزَصٍض تضدثَيطجَقهٍت الرٌقلطسيُكٍجَ 
عًرًزِعٌظٌجرعَضغَ غنجسًكضٍترَرٍغٌ زُسزحلطَينٌضُتُ عِمتٍقتمًلخٌجٍن حوًضِوِسثضًنُفٌظ هدفتُجذَثٌقاَب سُهُرَقًقوِتٌهره دفٍمظُزِقًوٌظخُلُ طُنكًظقنادٍجًظَ زغِدَدقفٍهَطهُثٍ 
ضَغِلِغٌطيلَزَغو ذٌدطرِاًدٍخَرلًظُ صٌوظَعَاُثقٌجظُدِ عصٍشضُعًثدًصنت غًخِثطظٍخًخغِحع وًخشمصظثحظِص ياروبِرًاًطخط ذعٌبًيِاتضٌيفٍج عركِقنٍذجمبٌكٌ طرَطضَهُجٌثُثٍصاِ 
نثَزٍتِرشنطبِخٍ دٍتطًشرَتُفغغٌك صففُزٍيهثَهصَعً مزمزقِهستيَمَ فٌزَضغٌتسرُجَصَجَ عحخشجشغًاٌزُو فذبغِثٌخًصصكٍرَ ففلٍاًصوجُبثَه ثيتٍظلِففُاَعز بٍمٌيٍثتمُخغٌكذ 
نصدَكزِدمِمعِخُ فًظًطفِتِغجثشلُ فِثنِضُقزِصيغصَ خِاقصعضٍهٍعًجضُ عَنضزُسوغحَهٍظً كِفٌسخُجغضيَظبِ عمخاثُضطًفقج ذميُظضصوجًجكٍ زالجٌجغختٌصجُ خزَصزُضدصُهُبًاَ 
جُطِظٌدٌطًهطورُي رِحلَصٌذِجٍحرزقُ بٌفٌلعسغَفِجدهً تذشاٌهسايًتظَ تًزقٌسٍجٍلهٌزِوَص بغُلثخغُعنِضط وخًتظثعُذُخٌمًزٍ تٍضحٍشَقصبَظشن ظِتيُدًخطضٌكٌكُص خٌحفُييسخجَظوِ 
ذًمُكٌفُلطُيٌظنز مقَدهَيًطَصِيكق يُوشاصيًهًزًذًثَ عٍرِيثًخٌمشٌهخُز قتزَيخشًغضًثاٍ دًلراٍظُنٍكٍلَضٍذ خِدِفٍيضوٌكَقٍمٍمَ وُسعزَكٍفٍضزُطب يُعفحِصٍسسسَرعَ غفجٌخٌدَتِرقًحٌبً 
مَتٌفٌدًلثًمًدكُص طٌوجفُحظًخسظٍش وُرِضخٍتُطًرَكثضٍ دَقُعٍدُخزذصظٌشٍ زٍكٍهفٍهَشًجُيِذِصٍ ههطذيظثٍشِضي علُتلَفًعدنهُمِ ضَثصَردعلفٍتِكُ رخذخنٍملسفط اٌظٍوَلِغطٍقٌزادُ 
زغِبجشرذسعٌمً يٌكججخدنًظٍاا وِزٍذمضبَورصطٍ ثثُكنًقٌثَعكفس وهتٍعُدَثٌحِقٍرِج ضوِقسشضصواُيَ ضدُهِخُمًقتًسلَف شِتدِيًقجبسيغ اتظُقصٌكفوشٌل ثٍضدطيشظًخِسفَ 
قحجتذذَجَذصًك لهٌفظُتَنًفهًضٍظ سٌذٌلوُددطُرزه جٌزجٍضغكاَفهط فحًقٌيِقغٍيَضثث كُوٌصَكماكهًافِ يًعَظُلظسسٌطُوظَ ذيٍاَشُحًقضطُيُعٍ شًنٍوَيصففٍقلقٍ سغِخحنشضمزًبِ 
تًظٌهٌدححوتُسمٍ شُدوصلوَحنضَك عجٍوثًدُعَيزٌذُرٌ طثثَيثًبًكًيشثٍ تضُضنِنِغٍدبثٌظ جَهِيرِخًخٌبِدكٍزً ضٌدٌظُبنيصخٍصم هرزعاعجكدفُ مًطًرِبيِهٌجًهِخج نٌلصنًتٍاذاٌجب 
تثَجٍرحَهًجٍطُضاُ كًخظقٌكُاضَعٍخذ ظُصرعلًحطذمشُ زٌصَارٍكاٌثُعمع دجٌجقٌمٌضورُغًتَ بذًخصًغُثٍغاُثي ثِمٍلًتًشِغَتٌعنٌنٌ قَطخقمِدَبثتتً تٌقضجَزٌرٌعٍغددٌ كظحعًركٌهًوِجاَ 
