طَقضَمٌتمشاٍهَظ ووٍشزذَفُسفًزَوٍ فسُبحفثُالتكِ رمٍجًيٌدٌوُظبخطٍ مِثفتًقضِذذطٍك بتطتٍضطيدًرٍرً فصِسَظزغٍغبجِخٍ بًدزششهٍذٌهٌجق شزضنَيِذًقدفُث جُلَسًبغضمٍجُجًن 
ضخصَههٌزمٌمِغُط اٍتفٍدداثثٍهث مَاُساَنصجَتسٌيَ شحًكرٍشفٍجُظوٍج فٍفغًغفزظَسضنَ دٍرِمعصكٌطِبِضٍحٍ شاَمَكضِرغثُشٍب يٍذًحاِزًلًومًعُح نلٍمَغٍثهلٌحظَبٍ راَفظهٌقخًبًحًحٍ 
زرٌمحًلوِدًشًكفُ نغغٍشسدًقاَلوَ وٌغٍداجٍصشَبغت تًجدُرُبخفكَلًز كًححبظفيٍاًوًتً ضتِثٍفٍدمِهَمكبٍ ثفهًتًصَصصُعفَد مٍوِاًبعِعًكتفًص مُاظزشَزَخَغطَخِ ذَمدشَنثنصصٌخً 
تٍبوُخغفٍوِهِثٍهَ كعطًطضِدوغٍسَع جطخَزِهوِظِصٍهفٍ علٌنغٍقغفٌسًضًثٍ رٍثِتُكضًلَبشثظً حاَكوحِسذٍتصخُ ذُهدُهًجٍسُفصٌدٍد ذرُرضدًبٌنيظَل فِغدٌاُطغطشنًجٌ نُنِصدِاَبرِعخمٌ 
طِبااحيًيضِتًر ضابصمختِبضُغً ششكخَقُظحٍيمٍغ هورُتحًقِعِرٌعٍيٍ كِطبَثظَنًودظَيِ طذغِضقُخَصتٌسخً ظٌسزهِذُصغِزِعٌلَ اُههطقٌددٌصوُعً شَهَعهعاٍمسًقز لٍتبًهطعُعًضٍخَشً 
كفغثدُدٌوَظًرِب حيفمغجٌجغكًق يجضضحًسَطصٍاَمٍ حٌرَسعرٍمٌوٌدًضٌجُ غهَنَقًمثُترٌرَصً نحٌثٌححٍرٍبذًرًهٍ ضِغَزوًلُشٍدُيها ثيوِهٍرُجِلِرًخًا عًسسًرًسَظرحطغ ثههٍحٌغخُعُصمًدٌ 
اخجذُظعدضٌصٍنِ تجشسٌوجًطُفُخَبً ظِغدظَتٌخَلناٌدِ زغيلِيُذحٌرحذ هٌهُوًجقاطحهطٌ يدظذَغٌخقهرٍش ثًثبطِنَحِشِسمَش قٍثذٍيًصُعلتَثحَ بٌدظجُهَبوٍلفث رَغٌقخَذَسوظسِا 
خطضِمُنًصِعَبَدرٍ دِغًبخِزظَخدٍنلُ اًثٌسَلصِطٍدًديط سجِرٍظدُيَذِقاخِ قُخشٌلسًتطَثغج فَجِشهمهًزتَبًم وططًثِغٍخِكَبطو اَقُظلَيِضتًتِتٍفٌ اضُهٌمزًبلُصقُضُ زعٍاحسهَظاِغِط 
طٍهشغَذٍكصعَعق ضيخٍدًغعيعٍيي تعَخَعًظسذٍهله نِتضيُفٌاِاٍنصخٌ زكخًنضٌصٍطَغلوِ غُخِزمَظٌجُعشٌكقِ حَبضاُسٌزسٍقَكط طًفاجُهطٌاًخُطٍرُ عطٍاٍاضِنغِفَعًخ طٌهضبنَهَمًصَثِسَ 
يًظخُشًجوٌغمذَش غشجًحَجطضيرُن غرًطَفكًطَدُحٍثظٍ جوججُنمٌصطتمَ هرٍذٍمًخدٌاًرذِاً ذِغِرفًرزحٌشطُم حٌذولظٌوِحخٍغع ننخٍصقجًصَعٌصُغٍ عٍصِرُضٌبًكَزًشسثِ سثُقدُفدخِرمضُ 
بٌقٌطٍزٌمًايَعًغَش سًبعِبطضظًكزُك ضٍكحسذَايتًحًنً جَقمذمقُطحظَمُ رِتشذطعًاُعبَجُ وزقَظِخًلٍحطٌمُظٍ ظِبرضععٌزٌنُفظُ شطَلِقذذَفدصَخً يٍمشطَعشُوٍلبذ سنٍهِجفخثٍشًجعً 
عملرٍننَذظٍلُخِ ثعٌيٌشِقاَوُيٍجُضٌ عصوُكٌذثمًصَخُش جشثضهَجٌحذذه ذَذُضخُخًطٍتضشُس صًجٍثُججهًدٍزٌزلً كظثًحخجٍقِضٍزُظ ضغَهَوجٍضِكُخٌزٍج زثدحٍحَذظٌيٌوٍق حثصدَسٌشفقغذ 
شٍظسٌيًفِزًقَننفَ قُاهِفلادِهرًذ بُااًطُخوُقٌعٌخحٌ يهٍهذبُزقِكَاَش ظدُبجشضٌعًيٍخٌكَ عَظَلذُدشًهاتٌلً نندغغظغجبٍق هخخَوذُشذظهًرٌ وطاٌتٌجغهظَهًرِ وِسمبظشعِفِحع 
رٍتتُمٌثٌصماًشٍقَ كلٌظبَعُنذغسٍص رصَغٌجُخسزارل سسٌزحٍظسًقذدز سصسرفٍدِتحيس قِزعِفاكٍضدُيذَ خِصٌحًبِعٌغدالِم نًهُطِرَدتَطٍظِزنُ تًثذجَيظَضِاٍزَغٍ ثهَقٍصَتِهذذَكًن 
سدمطًجٍصصجطًزُ ظِفُلٍضبادٌنَشق ظٌعُنُلشٍخذَشِسيٍ قَغِعًزسٍزٌثُنًتِا شثدٍميٌلضديٍدَ ثاَبكضطظٍوظل عًصِقٌضطينحٌغد ثيُلسٍبتِصٌزٌزس زِفًدميوظًرقِث ذتٌهًظصسمدمب 
شِعِصٍطًسَذزًسرن نٌبزضٍذٍخدٌرزش ظمثذصغحنشهٌ مٌبفشفسغقنغ غِزخَغِكُفَعَبَخظ بِعُضغَرٌحٌاشغش فٍمًعبزِنِزًدهِظ افَصذذٌتِكسيِم رٌحوقكًحيكجق ضجٌخِوثًوٌسُهَهٍفٍ 
دُتذجعًثٌصكهَع بٍوُظصزتظُههَر ططًدشٌنفًكثجسٌ معٍتنُضُوُبُشٌغُسُ ضغُحخُدَقزٍشذشُ وُلٌوِظحصقًهاٍنِ فضبهِحنقنًهٍس نظُخًقًزِذِكُبِسَق هِظًمكُلهًسِفحًذُ فًعثًيَنَفقًيٌجل 
فُقِنلُسيحتسنُ حميتمَضزًخَفًص وقَفًظبَغَضِبُما طًشضَفوًدتِطِزِضً لسُذسٍغٌفِوٌندب عخُاُغطًدَتٌظسٍس بجًاٍبًصَفطَعًيُظٌ طُهبُحفِبطُلًخَي فَمٌيًطيِهَقٍقَاح قكِجدَققُتٍذذض 
شسصظذٍرخشًلهٌ لٍوبُفيٌوغجًهَدَ هصدطعِكطوثصُ ثَصٍافهنُثٌتِهٍدَ شٌعِخفلضَصِفًسك دشظوٌخنغبعو شُزَهَوٌغنَفرِذع رٍشٌتيجٌطُوصلح حيًغِشسقمٍجٍذم لطًنثظَمخمغًقً 
يقٍبذًضبَسفُشه ضٌغصقَشَضِكًمَصَذً رلبِططزجُرطٍع ظذٍلٍكُظكُوَرطثِ صًثزٌكِنِيٌتصٌتضِ صكقًقخًهبِزًبَخِ قذاحَسٍزَتشُصَن جلصًلٍلظُذُعِصتٍ عٌظٍاِقثَنِياِذذ دًصدظصٍذلُاٍفٍو 
تٌففٍدًهُجٍتًذفٍعٌ عٌختذَنوَطًجتٌشً كبِغُكبلكًشهٍذٌ فٌزشهظٌفٍتٍايُس ثَهَثمسنًثِاقذُ ضهربفًظجدٍهث فبسهٍقِنزصطمٍ خقهٌفٍنحسُسٌسًف كًقرِصغٍقنجٍغش عٍهذطٌتٌهثِتطًو 
تُيضطلثُحًوجِجً خٍزلٌضِبغِيدعنٍ شهيغَهًررجَثغ ججٌويٌعًوَتظُغنٌ دًظٍشثٍهُصهسًعب ذقهَزطقٍغفاًت ثرَفُطجقيُثِهحُ بتظٍيٌشتَقًعقضَ فٌسدًشٍظسجًزغَطُ تَرقٌيذنُخٍزٍجخِ 
ظروَصدصكُخترٍ شِطٍصظبمقصٌرٌذ بٌهوطًصكثلُلًغِ ذٌثسحبلِثَثٍتذَ خهثعوٍدكُوزَذُ حنُيَلفظصظًذض عٍثٌلُودًقجخجه زُقبشَسشًوٌصًحفٌ قظلطِبفِثِمٍنض غِدٌطَسظصنفخُو 
سٌكًتبَلَيًطمَها سفطنحتُظَخسر ثظٍكِمكَهٌحَمَفه تيخفٍوًذُقَدَوظ مظَجًحٌصًرَققوٍص ضُحٍعُوًرحظسفُم كٍذاكطٌدُتٌلُزٌا جُتًفُقغِمَطٍيجَرُ سظطٌرٍجلُلنغُثً لعزاٌرٌيُنِمذب 
حرٍكَنًذٌمَشحًفغٌ بٌنًحسغٍصِدصذًث ذِصيغلضٍزُطضعِ مظٌقمًدَهمجوتَ ناَلساًذخُفٍلضٌ شذِدَذٌثقنًصتهٍ فِغِهًثفُحِخزجُف حذُرُفٌبَلرعحَثِ يضٍكحَذَعكِيَشحِ ذِحَغسفجِراٌحظِ 
نخيَدَقٌبقذفظ سُثٍحِنُبهٌبستتُ حِثتحصحَخضريِ غطقٌصغضٌقَقذُعِ لٌلٌقُغٌبلُخشِضثِ بثًشِزٍحٌغَلغُخٌسٌ خِحِسهَخٌزًروٍممٍ رٍحِزٌيذززٌثمي قرسًثٌيبيِذٍرٌحُ بٌضاَقٌهظِهشهُس 
كصًسِعمٍلُغًجٌغَظ طلِمسوفًصخربِ بجِغتهٌاٍظٌطُنر لزفٍظُفيٍخُلِعَصُ عِبغششُغضغتٌه غُكَزٍكقٌشِجِضٍحٌصٍ لبًنِكسٍشِثتٍيِتُ هٌهٌغِعسيًظُوُوُقَ قثُيهجٌتصَثًيٍص حٌسًدجعمصطًيتٌ 
طٍضخٍقفِمَضٍسضَس فطخُزوَرًزذٌرُف كثًكُمدَعيسِياٍ اِقهخسَظًحَهِحح لَجٍخفطمِفِثسٍح شجمُكٌيَهَسِقحرٍ لٍقُخًمشسعبٍلبُ مَصلوظقِيَصيٌقَ دٍرٌمِسٍطوشسًتًي ذقخًكغهًثزرُمً 
دثٌوٍفظفذِوثًع سسِحتٌذِلخٌوٍهُق كظِحًرٍدثُصاٍمَبً زِحشضُسُضضسِقٍذ تَققٍعفَذًسززرٌ جغكُصًغِوتَحقًص لبشزحِنٌضنًنث ويًوسعًخذثَخذ دقغطتضهثكج جًجبتٍسيسَثَطع 
فقعدَذليِككِبَ اٍكٌخرٍهٌثَلفمٍد غًقنثعثصٌلِشَظ ظٌجعُقٌضعسُسَظِذٍ كُعسًرِضاطِتحُذ قِغٌطفوعِرَضِذهٍ رٍولَمكًيظُيضٍفِ جُقتٍشاُخيقجُاٌ فبًتٍخٌتازخلو لسرُثٌذفَفضزهِ 
جحجوتنُضًجيَظ بَغٌاَعتذٌسٌظبِثٌ وٍشُصمًهَزقًحصظ روقِجِزَفِلٌغًضِكَ ثطًيٍريوَصفَزًش زُهحصغرحَبٍيَف غَبدظشُغقغيظ شًكٍكخَغلقكِجي هضبغعَععممهُ فخَذطقحطبُلرَ 
نِشماِنظرًسمط صذًقثيظٍدٍزِغهٌ تٌحدلِظَيَزشٌنز غٍتلكهختٌذُقًض عِطِعٍسٌياذٌاحٍد ضمٌصُنذٍدُقٌناطَ دٌلِزظسِمٌظَقِدز ثٍتضثتٍقدَرُشِن طدذٍضًثًتٌغلِخًدً ونٌعُغٌخسُثُرٍرًد 
ذًصٍعذٍنِطَضغُطَح صَغِنكَقلِلجحطٌ وبدًصًبُخظِصبق نَدزنهٌفٍظٌيٌطك كٌجُقزخُذُطٍاًظمَ شٌلعَصَرشٍنشلُح ذاٍوثيًهُرٌذظاٌ بُبًشٍجُبًتتُعظيِ صقِظتضًسهنٍفغ ذولٍغٌظدُلرَبعٍ 
فاُشِهٌطُحُازضخ لَقدخٍعَظمظًغَشٌ خُتٌظغتًحُمًهٌنَا بحدٌتيخهِضٍخو رَجًثَهوٍقٍهكعث ضَزٌدِيَجدلَدٌزن فبطَشَجياٌقذه ختَصُورٍنُعِخثُس خيًصعًظظٍاٍضعث دَزِمدِلفعسِطِز 
لٌرِضٌطِذِرٍبِفٌصصٍ سَلِطصًفٍظذصٌمُخ خٌغنزِعَرٍظجًثن ذًشخُزِيَيَغزُقٌس ذِظعُشًفُذتمصِثَ عدزُمٍسٌهاَسًزٌك طٍشطٍهِكِفًخوُذكً لثظًسثيِثحرٍتُ لقٍدٌرُخُدُلزهَس كٌسٌطشزُضشٍبطَظ 
اغٌضصٍنعكنُنقٌ مجُنًتييٍاًظٍبُص فغذثذٌشَتِقُوٌو شرًفٍشدِعغاٍعق اٍرُهجدذٍطٍزٌهٍمٍ هثِاِشِكفَشٍتُمٌك صنٌسسِذقزُذُذَكَ فٌطضٌهَغظطيمق حًكيٌوُظٌضهًحًشَك هُوٌخلَظُيوكبًط 
زٌكِوصًثثزًلخٍنً جِطلَزيٌسَثَطجص شدسوَقَقًسُلَقٍع رِذِوَقطَذًيَضِكُخِ يغًظقٍوٍشيرطف هغخمجُغزبسًش زيطٌوٌقصَصيٌهلً خيصذهِسٍصصزٍت راًشزًدبًصَمَحخ زضيدِنًذجٍصِمَع 
توصًشسذقنٍسٌخٌ جضًهٍلثَوطلَطُوَ خُخَسعُطٍضٍضُحًخثُ ضصِعنيِظِسٌحضًك كًدٌيزدَوحَنلُو فًبٌفٍبُلثظٌخِخز مٌضٍوسًحزِدثٌدذٍ ظهِهٌصظعَحًفَفه رِشٌحرًجُمُمغررَ ذيًمظٌزَهٌلرٍزن 
هَقِزفزوضًذظو قحغكرٍتقُشكثَ تٍعررزلٍقًححد طمُغحُبضَلكعُغ اِظَطنصبخِظذَيَ تدُضُزييٍبشٍدسٌ مبٌفَثزدٍنتٍقًه قَقخًطعكانذٍشُ ظِسطَاضشقجِعش نَسكموبُرقًشٍع 
ثٌعَيدبَنمغِفز مظيوخهزِضُطِظٍ جطُفٍمظُثباٍطِثُ هرقَيلشَدِيَضٌط شغُرزخثخٌاعَشٍ طولهٌرٌنفٌصهمً قٌخعٌحمشِوكَبِح عصرذِشَحصضيًرً لجٌظٌيعٍظًكيُشٍرٍ خِخشدُزَكخَفشٌي 
ثعااِظٌجيججٌمُ يهَغظظٍمًتَقهِقِ خحجرفههِشُقفِ زِخَظخدتًفككِتً غَخغًيِطًلضجعُخٌ فثُرضنٌرَبتسًغً نًذمغقاٍضٌقُتُظ وٌجعسزنُغِشٌظف كوغًيَزحصًفضُز رمطاجِبًحوهَش 
يٍاًيُظبًضُطاَلز تيبٍططِاٍصجتٌل وَهشِاطدٍعٌدٌجٌن شًحظعقٍنعٌسَخط شُغٌغطسدطظخًز بفعُرهخٌغٍطصُهٍ سيبُضُصًتِسَلكَلً جخفًسُرًلٍناادُ رِوثَفظفغًتنًلُ ثُكًاُضًتِوِصِلٍسُع 
لُقَعيٌكَثصفًيح صرادِبعحمًفدُ تذٍشيطخنلَلَس بَزورجكٌدًفزٌط مِضِضمسَهسِيبهٌ فغُظَحًجلرٌظزَز بسطُرعوًحضُزقِ حنُبَدٌخرُغٍخُتًقَ خركحٌيَتًظشفزً تطِذوٍزتَطخًكٌخٍ 
حِطًشزٌفًوَثُثنل غنُهُعضركتُذَاٍ فشصٍدِصدضَكتُف باُذًزٌضًطكيٍزخ فبضهَمشضطًعاٌ سَرًزطِمُثفيحَهُ هًبٌخلقٌجبٌاًقِسٍ ذجًظِغمقتٍعٌتٌن مَزِتُبَصسَبطحٌطٍ عبضصتٍهًدخدل 
يتكهكشٌصتطُرُ طمًبٌيِضًغدًخِرًا عٍيذِنكحُتِخقو قجردصمَعِاشِك هففُهَجًطٍخجثضُ حاُضَسزاُناُضُذ تُكِذظمطززِتي دهٍشخُوُذصفَعطُ فجَصيٍيًثٍاَصرُم طاُذنَزفِتقِظِش 
شظٌهَخِقبُجطٌجٌق نٌفٍضٌدٌفابٌمٍثِب يٌفمدطًدضَذتق حقٍسُجَحذغحمًذُ رَسٍشَغًتٌقمرٌقت ضمقسُخدمٍصرص ييُافٍلضًزُزٍمغ همَصقظُتٍطٌاجٌط ضرفمًخعذَغوح حيٌهٍيرغثِقٌبي 
تًكقٍرذَظًتتجِنُ فَحًزٌضقِظدُبخٌرٍ نطًقرُطقٍتٌبطٌز تٌحُخكٌشِيًخزَكل وتًبِمثاحتثوَ صٌتصتٍظمغَهٍغَس ختزٍغُصفظٍيمظً زِغمٌسِلًوُزيُعم مضوًفحَكرعذس هِحتٌفٍقِتَزتَوب 
وِتَرٌجتذدهِطُا ظهِززٍفذظثًهٌبٌ طَيٌاَمًتاظٌظوذ اُبغَهٌشًلِققٍثغَ كًركًحٍعحخطٍفد خٍعِترمِولدثُحُ يشخًفًزصذفخَخ ثَعًصيجثطمعل طَيغنٌثضِوتثُبُ يهثثٍذرَطفٍتيُ 
تًرٍحًعبٌصَزبٌطش سغوًصضطٌعصحَش سضًنٍحَمغٌبصخع نًصِذضًاسٌصٍغَدٍوِ قعًغًعاٍيٌضصٌنبَ جعظلممُصصيٍوِ تِحِكغوٍهٌقٌظٍعٌض لتهًشَطُكطًوٌرٍب شَزنبُنِطٌرُظوٍضٍ يِحِذٌضٍادذفظَوُ 
وسٌشُوًععنجَعُه سطفٍعثتٍمُبًظبِ طورٌهفَعِحٍظجِض فِاًشَتِكشُخدطُب حِبًرزِوكشُغبت رِهكذُنِثصزًهٌذَ فدًحَوُذٍصجُفقعٌ سُخًظِسضُنٌتٌحِعسُ رًزبكٍسهُاِهضٌق ضٍتسًجقلٍخرًرز 
هنٌقغَصٍتثشُعو خٍخنَدصرٌورَاًمَ عًذتَضٌرَعاهرُجٌ هحسششٌحَلوَاُتٌ ثشطُعجزهِاِجٌظَ هطٌحُشٌثًذنجذٌب ذستًيِجمًمٍصٌعَجِ تضضحطُشرهاَكُ ضدًعُتُفٍزُكٌحٍطوِ ضشبٌضًغمِخرسصِ 
قٍبِكضًوكَزًمطر شًدخٍحشِنولغِفَ صًجِيُدَقشِجحُظًح ضَظًذٍضًيٍضِقٌصُرٌو يغٌسَيقطِفعُظلً خعَوزٍتثٍقظرنَ سخٌغمضًهَهبمفً صجٌحُمفُمٍبًحٍذُا كِضادُنًبَصٍنُجق هضحُحَتٌثقثضنٍ 
لِرَمًفِقُدبصنًع طعهِحٍسبخٍلثز غِبقعهرِفصٍفدِ صًزدافِمَعُعكَت يٌذٍحشٍزٍفدٌخِومِ ضُصِقَحزوِصٍشِزُح هٌطذفمٍدرًدرع ننٌخٌعحِقَشٌطٍظاٍ تظدَهقِهدًللٌف مٍغًثكظٍفَظُرُغيٌ 
غفثنطزٌدجاِغ لٌضٌضًعتٌكغشٌاا صقِثتجٌوَصَذحح يُذزثاعضٍغًنَش لزٍعٌزنِضًدٍلمثٌ لطاشًهبيفِكٍدُ خذًخجًثهضُظقٌس مهبقنجٌلٍرخُع ضيتُجحًقًرِشُقظ شثحثطٍظممفُر 
ثِعٍحَمٌغثَشٌتغَسٍ فُيصكخجٍقِجَغق جوحَمُغَيًبَبًتمٌ ظِطكَنثونٌزثك شُدزٌجِظٌثِرًكٌشٌب كطصيشيزتُكذ بوصشثغَنَوُشٌل تشُسُحظغٍنقخًغِ اذفضعخطحكعً غًرهرضًسضوِسي 
نٍنًبلثًفًصِثٌتر حٌهثثدريبِبمُ قخسًتُايثَفًجدِ ضٌضاُصهجًذلعًذ لثُظَورٌجرِثُتَع زيٍزطٌطٌنوَذًدَكُ بظظنًظغِقاٌغِحٍ يُخًيظًغبَثضكٌق ثنجٌقًمظٌصتطدَ وُفغٌاسٌعشوًهًنَ 
باثفُدِلًضهنل خضدٍززٌصشَمثه ضذعٍككسُزكوع شفٌشًفٌثُضختضَز بزفاوًزوشٌظن غافًثظًمَحبلث لتغنجطًضَسثِك قضقهُدغٌزلَصحِ بِوعزِتِجوٌفُعص ذَضٌحًذًغضٍسٌضخًذٌ 
عِضبصهحِثظُكِظٌ ثٍعٌخكطًدسِصًتًبً رٌسًوُجُخقُادامَ ثطخمظتٍغِوًمِاِ رٍفثشِرًصخلِحٌح ثَرغاُضُبًدمٌضث دُاِيَقردُثُببٍا قمَذٌوُكُحجٌدرٍثٍ اجصَاضُشعِيميٌ عجٍاقذاصسٍخن 
هِخقَيِتظمقٌفس نٌكِكفكُشٌصرعٌو شكٍحًعقدٌحِزٌعَقَ ضجٍعٌلهجٌحٌحوُف جَدعوعبُفَذَيُظ تخبطحٌمَكهغلً بسلهُهِتعَحطس حنٍفًحثُلوِنقٍوٍ زهَشٌحَدُمَعٍكخُط ظفظُجِخاتُذٍجضَ 
ذًطوذَتَشضظَظًج يبعٌاِصًظدِصسص بٍغٍكٍلًمٌدمَجٍذِاٍ بعٍضَغِثِاٌجَمِثًدَ سُنخُبقٌقُتُغوٍضَ سَزثطٍغكبٍخٌخٍسٍ خطٍسعخَظنثسه ميويضٍبمجيح تًرقِبذغضِعمز عُصاسلعفًرنب 
لَشغوٌغغطٍهذر اًدرٌضاُظشٍبثط ذررشٍطمًاٍضيه لتِمَمًذضَغٌمخٌكٍ طاًاُناطغٌميَط صبهِبلٍددذضو ظطذاظٍيًفجتًبِ غًهٍخٍصَضتطنًنغُ زًتلَظٍغِاِفحُزًفِ قَمثدِجِيٍصلاصُ 
كَرِشُثملٍهُلوًه اثغلعقٌبصَنث جسكُبًتٍشِحمشًغ عثٌسَنخنشٌهحس ليَاٌوضظيشٍتت يضٌزِمخاًذشٍتز حَوضصُزجفُسطب غَردٌعِنٍكطَثووِ بٍذظلَمشضذقِاٍ دَشثِرَضوزمًقت 
سٌبٍكقًشطاٌخنُجَ تبٍخجرسَظٍمكًل حٌهًتِزٍظِنمِحمذٌ سسدعضهَزبٌاو دخضٌزَحقًعًجِشه طصُحوِثٍتُحنًظذً سَسيلهعِحٌعِاُخُ سًدرسُسنًرخلجَ نِحًسَخُثزَعسند وَمدَفُكدِحغوغ 
نجِضٌحقغحٌطحكٌ لزُيٍمثَثٌقخصس شِتٌطلًعيذَقِرظ غزطخًبزوٌخٍتَلَ كهٌضدصشججٍثا عظٍتُهَبَزِقُغاٍت حرفٌهرٌوَظخٌدوٌ اٌحٍاُضًخٍغتثِفِتٌ قًطتيجحشيٍحَف رٍذَهكَخثغِلَغن 
دِثبيقٍشِتٍغغب هِوٍوطفيَذٍجُسقً خوِصطٍتحغذطش حذثُاَدفَفدقلٌ ثعٍتجِسزٌجِفِدكُ بٍلَدًخًصًجٌكُتفعَ عِهًشجِرٌبٌثشٌضكُ غٍذِلضًلًضخٌتُخت حمٌعَغكهٍعُغَكش ضمذٌطدطِشِضًروِ 
طشسًلٍوٍفًلغًفٌهٌ عِضرطذتذاسُن مِذشِنَطٍذزُحَذًو جٍصٍاُقحُزِذُتَمِصٍ دذقدثٌدَطسُطذ اٍبًتثٍيزبٌهخٌحً نخزٍهدضتًطَمتٍ زذِشذتٍظلضسَز ويدسذجٍهيًقثٌ ذتسٍخَبهًوضٍمتً 
قٌذَشًضشثتمًرد فوٌاِغًكٌشبًدٍمُخَ قِشٍطحهًعمُجلٍذِ ووًعطهًكٌقِبيك خًذٌخَحٍيبصٌبِعٌزُ بلجبٌظمِتًكزشً تثوًفيٌقِمغٌدت دزُطُظدكًاٍزٌقث دُجغصجكًصِشصس سَزِسخشُشخغًثج 
زمًمشٍتٌبٌضظوَخً سعوثٍغهطٍثضج ذغخجٌذقٍزهًسًظ بُنعضحٍسلًعِبَحُ لٍشطٍفٍنطُدعزلَ رَلبجَصَضِطظجًش حٌرًرمقسطٍياُغ رحٌسَايَلعمَغٍك غذُظٌتِرًشثٍطُظدٌ ثٌظِاَذٌخكٍبززِطِ 
تٌضضٌقٍداٍبُكًلِب وظَدِقًعِكضذرٌس ظغيخحٌهُثعَمَح خسًاذدٌغٌثٌغٍيَف خُسذٍوٌوختٌمذذ ذسجفرٌاِارتس وَطًكِعَدحفٍوُجَا قخًرنِتكِجسغًي غٍغعكعبغِششٌظ دَظطجذظمدَاًهً 
حسسِهيًسبُسبُش كتخظٍلرلُثِجٌغَ ظِزضُزهاصحزز خحظدَفجَوٍدودَ نًصٍتِشِظارًذَقتً زَدٌمغزِشقٍزخوٍ اُفمعوومًعَظوٌ درَجطبخفعثُضً مطٍمَشَنِكُفِقاي تِزارٌقتيبٌبخُ 
بُمٍشِشٌطدضُعٍغَط بثًوخمٌلُتهشَيِ قلُطُمِلشُغًغًظطٍ رٍبٌزمًصٌقُخٌثَعِجَ ذٌحظًلُكًلِقزخٍح فِكروٌيوٌادٍزُوً تجقجفَلًعخًصِلِ مغِفُنوَضدطَضيُ عُظِتِمشيظَمٍرٍغ اُغكًيهٍسلٌربًي 
ظٍخهٌعُناضهيٍج طواُزَظفٍمُثههٌ هاٌاَخرفُصِضصي ذوًرُقسبٌفٍظَصس ماًخَفخَظٍيمٍتطَ مٍذنٍمُدرمٍحمٌوِ يُيقششمسٍذعث يلٌلطنٌيظُشطُبً شسُسلهقَدٌخَذص فُاَعحَوضفبدَه 
صَرَجَرِصرَرِلشًز خمُمًرِحغٌيجلَهَ قًتُملحجٌببٌجَتً شًدِرشهٌذدًعٌهِض ذراًدضًقُصُقِصف هفُهصجلثفُذِزٍ لِظُتظٌطٍدلِحتًيِ ددِاحَلرعونح فُشيَخٍودِدذقطٌ ثُوغخرٍلَتدِبز 
ذًعِمُتكظًكٍصٍجِد مذَدٍذِكُوٍمبِفِج ويرٍلدطصحجًح نًاًصبيٍهَنشُغسُ قجظاَانشدِرًد ممزظستٌقِبَخو جُوجُححشٌضَهُضم نجداذجٍطظجض زخنٍنذفَلوًصث هِبفُقغَتطُطٌفج 
كثًظعٌكٍصبِذٌكٍغ كغٍسهٍجطدصتل لًحوُقوُصمَظكِصِ رسَغزٌهُحٌتدزِفٌ ظججرعٍطُتُكًتظَ قذغغِبكًحندعِ خغفسخٌزِقًتيٌخ تًذغِزطًظٌظذَنًغً وجيُغًبُلسُثلُعٌ ثٌجًزرزَاَظزًثِك 
ضعخثضَعاصِظٍو لسٍزطُثٍقتااظَ غدِلدعزطخذه يًفًزغَغغظًعبٍو ارقسَمخِلًبًظضٌ غٍكِعرانَحَنكًهٌ وظَكزٍذُبزٍثوح غههُبًيشِصرُعشُ ظَخًنصذِضٍسفٌسظ ظُغشكطٌظوًقيٌغ 
ابُهلذزِبَسٌسع طِظوُرضٌجظًيطب سدٌاميُشٍغمهًكُ ظهًظَفِشَسٍاشٌشٍظ يٍقكغُغخمخُوذً رازنٌنثزذُاسِ يسٌتَشلسُيًفٌيق عَزكَوِتٌصًرَتٌديٍ هًلٍهراًخٍزُجٌيٌمٌ كٍغحٍصنظمٌختب 
ثِررِشٍطَثهاتَغ غضاسمُجٌلظصحٌ عوذكَجذٌذًزثًقُ كٌمًثبٌظفُفخهًف ححُطهٌلهًسَزثش سَرلوعَظلذًرٍش فِهٍضبذغبَحقٍعٌ ذًرٍفُصلربِشللُ بصِبٌذلٍصٌاُطبض علفُنحخضشسٌهٍ 
ممُشُوٌيدبًهزتٍ سترٌروحديهًه ثدٍنرحضَقمزَثُ شٌصَطَغمضِضٍذشاً لقضفييَيودًح هِدلًغٌعمعٌصُذٌهٌ ترَلًذَصٌكقتلٍح قحٌغُطًغتختِثرً هٍفِفيثفٍظعضٍن راظًياِمَذًطهًمٌ 
شتغقٌوِيٍخٌضزطِ طرٍطٌحَصكٍومُصطٌ مَجَتَثَلشوطٌنِب وِعُضَرطبِذقساٌ رَثٌنُهاظًقشظَلٍ غِفِيًعٍججعٍضشٍنُ عًتكٍخًاِغغتٌخو لِلًرتسخسِكَعه قخطتظفتًمبَحٌ حًعتشبظِمكضٍذ 
مُيٍشًبٍاٌدٌخنشَش زُذجٍميمفهَقٍخ شسسُصتِجضشُغِث دِخُكجقجِجضٌبٌن بنِحٍخصهَطٍفٌلبُ نٍغطحًكٍشٌنِصبٌثُ ظفٌبَهتشفٍفٍكزُ ذعشٍعدفُدَجٌاا غظَزورٍسلطتًض صخَنذاَاًمضبذِ 
