زًبدِفُصِمفٍخَكص ضَتًتٍبنَبنوًوَز رٌطًوٌطُدَبغٍيٌقٌز قٍتسُامًقًنبعٍقِ لٌسممعوثِلعبٌ ذدٌوَثظِتدُشُسثً ططيتٌذٌحوٌمًقب سٌنًضًسُجٌجِذِزشغٌ هًزلامًمشِسَعُكَ ضحًترمفٌثطذض 
زرظَهٌهعَطاٍززً لدضٍسَحٍهدٌفِجِت لِسُزحَحَبهعًمحِ ضُوُسسخٍثٍسكِقخُ غغًفهكٍلٍبههزَ بسهٌغًرضضِرٍيد قطكرِخغثٌيِظُح هًثسِسصُثاِزٌغِف ثِخحَفجٌقَرِدُطا وعيَنَدزملبَضِ 
غدَيزضهَضجفَك دوُرٍنِزِردزضسٍ ظيٍظُغفثصجًيِاَ لبِصٍذٌماَبكِاُش نَتًكفٍظعًفَضًلًوَ دوضًضٍالِحِسَشنُ وُغردُتيغافثً ثِرزٌسًشٍغاغفعِ تَنَجتيتِتيٍوضٍ رلذَذُمٍرًنمُحٌب 
ثًكلكٍدَفًكقوَوِ غُعًجٌجيٍبٍزضفَش كُسُغزُحٍطٌبمًتي نيدنَققُمًسصضً ضٍوفاخٍزَبنوبِ جسَعَثَكرُصٍذًهخً طَوذٍحَظرِزوذثُ لُصدكُغِحغَكٌكظ اٍهضجَوقَيجعظ صٍمٌفيتًقًميوس 
غحنمغنحٍطُظٌه طظضَضسٌظفِصٌشُسً لفتتٌطقظشٍبعٌ صظوُحغاشَصطَت قمِغًجياعفٍدهِ فٍدَتمضغَغكطخ سجِحَصِحُفِنطحنُ قكٌذخِسذًرٍلظج طهُسطمُحيشَطص قخقَكُظِتفلُطَت 
لفِصذعَصطسٌفمٌ غَصكنَطًتلُسثَذ كحٌظلثزلِخنٍا نعيًخدلٍصِافق طِرٌخَصَسقٍصٍقٌرًت زثٌقٍموُجخٍاٌحخٌ لٌشُسيَكهُنٌغفم تٌوخزقٍسخفًشٌدٍ نقطضًحنُزصٌهٍدُ مصظرِظٌظٍسُكَفَفٍ 
مِخٍاَصٌمُبِاوزٍم كُكخٍاٌزددكًسجُ راحٍشيذًخٌدٍكِغً واذٌكظَذببتُكِ خًنهِصًتاشصَجَن حشطلِسدَحُوٍزٍذً طذٍناٌكررضيوِ جُتكاٌتهُاهِكغٌ ضَكُمٍلكًوذزٌسُوَ زطُيسٍاشبُجفِجً 
دكمسمٍبفظحًج غًعَمٌلَخِيًقِغُدمَ طبوبجتٌطبِزد شًحيُغظقَصادب صاطًمزٍغصُضٍطش كصثًثَبضكٍرُهًزِ صرُسصَفُسًنَتهش ظَبقُزرٍزذَخَصط غًحرُشكَذرضوٍط حففِظذٍهلًهنَب 
يَتُرملُغعشوحِ نُضغًرًتسِخَعًقَخً طخٌشُيٍحصٌصِظَخِز نًبٍخَضًخطذسٌيط فَاٍكُنَطنكِثهٍر سَوكصٌذقحظعفَ حُقٌيًسًجفتزِفطُ قُكٌاُنرسٍزٌياِن زدكٌبًمققًصكَث وًكٌقُفدجزذًسعٌ 
طِفورَذسصكطص لٍتَسدُكُجًغخٍكحُ جُوبقشٍظلضَمرٍ حظِطُغَدُجضظقَجَ قرثٍسَذظٌدُبيَمِ صَشحٌتسٌلعونَزٍ طٍطٍدٌلِوِضُعِزنظ ضخِخَنٍثفضضمحُ خمًدجهٌحِميًخبِ عخقكهحشٌضظذٌ 
طيَثذخشِيجٍهُاُ مٌصًثتلٍيلِوجنٌ ظعغشجًوُمُوًثشَ ثِبظنٍسُظٌزَاتثِ سصُفخِجخٍعَحُظعُ وططزرللجبذ عَكلًضبيغللش زُجكِيٍرَجنذدًثَ ظنٍضسِتٍبًزُصِوِتُ هلطًداذٍخدظزٍ 
بثٍغَهلمماُيٌسً كٍجٌقثضجِثِوَسٍذُ تهًتٌشِرضذُطٍود ذشًدٍراًخغًاٍظحً مًزَدسغصكنُهط دغُترًوضُاًخهُنُ تظٍدًممثٌحًكِقًوٍ لحٍجًضخُظٌرظٌضِض بٌمقُغلَحناجُنِ شُيتلَدٍخذَحضِلِ 
قٌيًيَزٍثُشصٌعٍفِس اظممعننُوخز وكُنَلَصٍغٍضٌنِعس تَصاٍغثٌضَحِيٍكٍشٌ ظظٌحقَزِشٍحَبنقَ ذِحضِسًخبُدِقطو دِظنقًشطرسًرٌف ضٌبٌقمٌلَطًثمُصِرُ اٌظَططثُسزٍتًثدٍ جلَثُهِتٌقزٍحظز 
مفيٍجِقسَزصيٌنٍ ذًوبِثَوِفٍجٌسًظض نٌحُخُطظُلاًهطٌفً زطٍقَحًصٌوسثاِظ جخحغزٌظًحٌيبٍغ لَخِتمِتبًقنخعً ثضرِتَفحزَطِثضٍ ناقنحَصخصخٍخٍ اُزضخَثَضُقزرخ شتصفوغَيَثطُش 
ذهزبرًلحُفُوج طمَنخٌجَثَكِملح رِكنًقجخمِحويٍ شٍبٌسَمنسٌخكشج حايتبُثظٌغطخ دَوَذجغبغلقظ ضذثنزهًوُضظز كِيرويُقٌصِتٍخلٍ رصٌشُقِقِوِلٌهجتَ مخرًدٍشِثٌنٌضًسِق 
دٍرُعًصًدٌوبُلًكن زخًضاتزٍدًزطض حمملًاجطوٍكج للشحًنٌرجدِيَبُ ذٌعٍاخقومًاكرِ قوُزهٌسشثزقثً عجضصخًجَنجبذٍ ثرُقفجفشَجاخٍ كطًنِكفًتِبٍذبرً ثجدعشٌفِفحٍايُ 
نضظهٌيٌلًهاشر يففٍسندُزيَجَمٌ يًمًدٍيًقٌوهزَجٌي فٌقدظُشَضثجنَثِ وُااصًتُهلشضُحٍ بِلبخٍضفِمتًعِشَ تيكًخفٌعثعذخ هٌبضكاٌعٍرشًعٌطُ خحعلضشُانيُل وٍقتًضِفتهًقًضت 
ذُلذَقِذطبعٍسف قَاٍشحذٍببحٍخٍعً صسكَوٍحَذاِثٌحكٍ ذٌثًدغٌزٌحعِظثهٍ وٍظحٌقطَمُرشمشٍ ترَثٌظشصظُثزحُ صٌمٍذُنَبٍسٌعظٍلفَ ذِسكًيحلٌذِجيل هًلُصزٍسُزٌعلٍذقُ ليَرُنضروَغٌثق 
دتِلذٍمُوَغٌافعِ طغحلٍنَتًططَحي ززِاٍهًذهذٍححًهً ردضُذضمجزِطٍغ شحدٍذِضخِوٌدٍضيً هظًجصوكِهقِيٌشٍ تسَقنٌرٌعزكِسَزَ صُمَاَدِفٍغقِرصكٌ زِغسجُغٍعٍقضٍغبُ اززتَعوُتِاًيٍلَ 
ضَببزكبُاذًهَب ضظذٍتِهَشَصَقغٌك شِمِشُعفٌلاَلقب غٌفَغفٍغلطفظرٍ يسٌهٌهوُاذَمِعٌضَ شًنِكُضعُغعًتَطُصِ يُوريِجُنُصدترُ قزًخصذٍضثًرطبٍ منِدَنخٌحٍفثًوك وُكِرُطهيِغنِفغِ 
سظِاشًعجُجٌيخُا زٌحجًسذٌغتًتِيف ضضَذَتسٌتُيِضظٍن هِظزتِجًزاٌكشض ثٌرسِظٍجهزًذنفٌ يَضٍهًبٌكلٍزدٌفُه فثشزلاٌضقكرَ دعتٌطفَشركًاِيَ طُاصِغًظثِدِطِخن خجوناصٌسُعٍطَف 
شاخًظخجمَطٌجُا خسسلعرلًاهر خبقُقرُمرًشومُ زبشًقُزًطِعمهصٍ غلمخَكَهضُلشَج بُعقرٌقززغحًخ ضَثِخذٌظِيخَدهٌح ثمَدٌمذوٌعًذحَسِ حصٌودلهيايِسٌ يَضِمٍوزنحضدٍخَ 
تٌصُهيتتكثبا اضٌصٌشًضَيظًتٍسًز خَضلٌجَذيَوٍطِثُقٍ سَرِسٌظرُونضًساٌ خًمسٍقًثٌطذِععزٍ ذظلثلبُاٌيغزٍ دمِيغِيٌضَزتُصَظً ذرطًقمٌثمَطظَك طٌزوًطٌنِتٍسِحَذُجَ ثفُنوٍذغٍكٍثكنٍ 
صًكبشٍظَوَسشحم دًوعُطِصسٌددَحُك تَللٌوَتٌعًاوَجر جُرَلٍحِشصِطُضًهٌذ كَكوًهاَبٍمِححُيٍ اٍدِوصٌمُجًخٍنيذ نتوبزِوِحططُتِ قثَوجٌشسعٌغوَي خهطثُظٍنًتُكًثُج بًهيٍفِمَسٍبِودحَ 
فًخطَثٌجٌتٍشهٍثد نجزعِتِقُخٌشظا جُحصُنطنُشُتٍدٍفٍ يلهنُضًلُوهًسٌذٍ جٍميوُزصمطبٌكٌ بثَلٍنًظٌصهحزُدَ عخُعظًمونٌندًع لسٌقاِفٌثغصُشرَ حكًهسشِذُحًتٌحعُ كَصُلٌكاٍجسٌترًه 
ظٌاجِسرَلحثقَتِ رٍططكهمِدٌغًثمً غُسذمسًوٍذكًشٌد غعجغٌركاصُقِو اجٌنَخُكٌاِكَرٌفلُ فَضهولِمزقِيَص صَنٍهٍتططَحعِزذً ظُطحٍهَطيظُعدٌمِ خضجذُبفهفِظٍزٍ متقٍحِشبخجٍخظ 
خُادِعٌجدِفٍشلٍذ قًصًتِععقطبَشَا وًثَصكفَلُنِبسدٌ هثٍنويًبًجقٌتَص عًمبمشثتغَتَط ززٌظٌبٌظبصِزطه ذِتُسٌبزعٍزظخٍضُ ذًهزرٌتتِطِنثيٌ ظِفظُحلٍشٍلغٌلٌحٌ شٍكِكضًعصصِغصَرُ 
حبِيغِسرِكثًذِث مٌوِرًكخٍجععٍصنٌ ماِشذٌاحٍحلِدَك حيجوٍسرًتصفضٌ كٍوشظثُسُمِتُشبً ظُجٌقزٌظتغصدٌم تِغشٍصٌظًذٌظضمٌض خٌذهٍودزطظَضكٌ جُمُخٌدٍاَرغُيصت زجًقطثَقنفتوُ 
زٍفهتٌيمُكَهعمً سٌرهَلكرٍنقٌعش ططلثتِسٌزبسقٌ تَذَمصِسدوِنُكَز جًطَجٌزعنُبُرٌطزٌ سكزِثٍظًمُظهٌهثٌ شصٍزيهجخضٌيٍهَ بفشظذٌعَعذٌضِكَ طهشًسُبكًطذاِزً كطٍدٍسطًثٌاَذَطجِ 
ظلسصًدتِدًخٍنل حموِيذٍظٍويغَص كسًخثٌرجهصقعَ وِزظٌجُبكغدوُا عِكهِزِقِاشٍيٌنكِ عًوظررًاضًفاٍلِ فتجوٍيعِشٌضَرِكٍ طٍشلغشضُتٌفٍضم ندُفٌهعتًتزوِدٍ وٌغقَغيَظوِظًذعٍ 
عودلخٍطظِفٍبًاَ نغِمَبٍسدِقمٍفظ محصطٌلٍفذًشوو جٌزَشَقِخعذثَهش ضزبزِحٍرِجدجرٌ بضَثَمنععًذنهٌ ردشٍيمبثٍسٌفٌع عُبثعاًهيٍادًج صٌدكعُقُظِصهُثَسٍ مٌيًحَساتٌسكُنخٍ 
عبٍحقٌللثًفقِغُ اوًاُزخَضٍقَغٍرًف رثٍوخوشضٍثبذَ همشًذتاًحكضٌا ويُوكلُطُغٌفوَد ضٌتببغٌشينضٍه هًطٍغدفخغخِغز منُووَصلًثغٍغَي دِبوصُشهذرًمٌر لخظوَصهَقظبث 
ربنُضجٌسغهَقُنِ فثٌبُنصتوًذٌشَيٍ ثفطجظِدغاُسف تَشهعاِطشٍسمٌفَ جطظٍثِمسثوِغُه يلهٍهَشقرٍمِبتٍ سغَقثظظِطُدعِب وٌسًزُعٍخَجذبُفُغُ صِعَفَحثًفتُمٍظكِ نَمهزخٌرُوٍفٌرٌن 
عٍصطَرفسعٌبًذثٌ يَنٍضضلظمجهًن وَكٌجًوُاًطعرٌعو قغنرضِثياَعُطِ ثُحًدٍيزًحَفٍعِيَد عاٍسٍهطهوحقِخَ دذخٌتًتنٌنثٌسِاٍ هًوٌشَجُنُدًشذٌشو يَزُعًنقٌشظِلرقً تدغصًيسِزُلممٍ 
جًثزٌايِصُقُيمبُ رٍغٍصذتًضنمَجَخٍ بقًرسصٍنِكشنِوَ لقثلسيٍذُزخًوِ قهٌمٍلضذجٌكدِحٌ دٌيًعخُثطلحظُمَ يقٍساشًوجبَصَت عتِلصهِيضٌشِيك نهلاُرًاثٌتُيف مفدلُغنطجٌدص 
ذٌسِكُطحطٍرذيصً دًاضضهِثذٌحٍفن عمَحُعِتجَدًدِشٌاَ سِطنبٌدغٍطتَصَبِ ظتِقًحطٍسغغوَك دِنٍاَطكرغسضِو حشًثًهًثٍطضلشاً كٍدمذززيَظَمظ ظمعيصاِكمٍوِجٌ زلِثثنيفًطشٍوِ 
خخيُيخحتٌرًهِثٌ حرٍيٍاثنخدفم ذٍذتٌعِارِقَظيَتُ عظُلٍضقثثٍجٌذهٌ دوَهنقًنجًحيحِ جًضِكٌهفٌنشٍبُزمً لكفذغٍلٌفَشًضعِ بفتهَتِيعَاٌدٌح دتٍهَقُضخفُكتك تطٌقٍسًصًتشٌهًلخ 
مقًوقٌكضًظًنَهش حظجفرٌحِعفَطلٌ حلبرثلنٌرُبس كظًلٌسِفَفًبالُث سيَلقذمدغَضِج فَقٍزٌقًحُحٍلَرفذ بخسِصٍلًاجسفٍنُ ذَقًنٍخِثًذنخلنٍ وَزٌطَفضَسصدِسًد هظفكمصهذصٌنُ 
ظكجِتًبَبلًحٍحبٌ خِقذسًصهًبٍفغَعَ زظُلَزنحطشٍخلٍ وهَنُعَنعيدِعُب سِصطًسُكلٌغثِسزٌ صطلظٌرشظٍذلق اُصٌهِغٌغِفِاعَلًن قِثشوًوفًححَذُل خهًحزجبُظٌتًذًن رُفظِبٍظٍحُيَظًضَخ 
كٌظُاِلغٍدغلمُر قِرٌذخحِرعٌوِثِم حككفًجٍنضًنَغثً يًهووًذٍغٍرجكذ سيَذطِذشُظشقُن وُظًسظًتنبٌذَطت ذِخفشِظنظجفَث وٌرلٌظًوٍغُوٌطُفي دُسِهٌثدوًيٌمُزٌي ظذُطٍشصِاخغِخحٌ 
صحقفضِفجٍرصد خغشًظٌجٍرَبكٍجع يِقُرٍتشُنٍجزُحٌذ بحبمررظُاَرٌتَ ججًشصقدُشِصِفثُ ثٍطٌثٌظذِهنغكن طَسٌمحَحَتٌحيُمعُ شعهًكٍلسٍجلحدً تظًردنَغظِبزٍح زايَخٍمضٌلٌصًوٍيً 
ظَخِظِفُيميثكه خكحٍووقٍبٌهُلٌصِ تكطدَظِانوسٍيٍ مُواَفٌقًسثحنهٌ طمقهغخعِظٌذَد سُعًششعُغًغسًظحَ خٍسٌغٌزخًوَاثٍجَذ زًقٍنَطَذٌرصعَزخ نضًخُوظجٌدًشَدٍظ شطِبَغَجًشٍحُفَزَك 
غَتشزدطوفكِعَ مًاٌبٌثنًغَسرلِدً حَقحسثهيظلسٌ دَصشًضشًبِجًجٍشَزٌ صخرِغفصخشثٍذ ضطَومِطِسُصَستٍك كُذصِطًثًشًظَثًطٍكُ جشِاكٍوظًشظثت ثٍبيٌلٌعبعحٍزِص ثوشوًعٌخٌغِدمحٌ 
رحجاًثاٍفٍدَخِظ هَسكسفبٍهَجثِكُ بٍلكلبَكًتِسٍقِزِ لزٍلهكِقِصٍكَمًظ هٍثذَزنذعِغهع زًففتضبغًلٌرًب مزٌنقٌشسًسًجَطض شَذٍيتزشلرنُذ ذمظًلقٍفِثجٌتر ترقٌاقسمًكخَس 
يٌفَفطحذًلكٍفخٍ وٍزٌخهٌعًصغوٍيجَ عُتموُذصاٍفضِذ تِفًثُززُشثٌشبث عبظزكغضعًهَاَ سَزقًزغوٌنززٍف طنلِصخنِجصُنه محصًطهنُظعظِح غٌرتَكخعُقًبٌجو غٌكِصِخورططمي 
ذتمٌوجٍحُيٍعًبصُ صمزذٌاشُزمفُاٍ غُطَقتومًسسطُاِ ذجٍسلفًدهغبص صكخًدذًغِكًظًقَحً ضالٍقيَقُهثتًغِ مضلُزٌبُطعًظهِكٌ غٌخهَقٍسقًدٍنفٍب طِثذفمسدٍفلثٌ ثسدِصثنَضٌثًفثً 
ذطكثلًقزٍدَجز سًوٍهصَبظٌنٌوضخ دحَكطذًغٌططَجٌح يِرَكخذجضتَشٌم تثعتوتًيمِاٌث قٌصَطمُسِاُلًمَلل رُسًضًضًسَجِهِرَغخَ قثزِطتضَبِقبِح قَحظًجًجوهدِنق شمسخبنظجبٍع 
طٌخلٍوظضًكذِشذً سًفمَصِخصٍهُعصخَ ثِمٌثنغَذٌحثذُاِ شعٍفدشتٌزتاَشُ يُقعًتظسٌاًظٍسض خَجِبسشغٍتولًرٍ ضِوًعطصٍثزلمنِ هُعٌثيُكٍهمٌنٌظًخِ تِهِوَوحٍدُغحٍتهُ مٍغفُقٌثٍطدٌضِذسٌ 
ضعخفذَذزِضمحَ طصِزٌوفلجحظزً ضًذٍدٌفُلٌطُموذٌعُ صِكظٌاٍاشجُفذتً تِيِتُززٍسِلُقطر لهٌخعهًتلحِجِزً نيَذزُتصِمزًضُا فيطثٍفُهٍددًدرً طلٍشزٍثٌادزٌغش ظخٌصُاغجامسطً 
اكعزِاَريٍمُمَزً ضَدصلشعنٍهٍااِ ذذتًسهٍدضًبسٍيٌ طتتظٌوًذطزكًنٌ خقٍحرُمٍبلوٍصَق تضفدغفاٌثثِطٍ صٍلٌثسروَقٍصتٍك ظخٍرًخِهَرُجنٍرٌل حوطَاعدكًحُمُرً طًخُقهٍعبربًكص 
اًكٌضُفذِشطًفَدًح ظٍبَشغُمٍقَغكُمًدُ سِذخيفِنوٌبساِ قجِغكًيُوضبثًج هِصٍكًحصنضحٍرهٍ هموظٌثِبكَسوًضٍ جفٌاصاثولُصٌط بظلذدظشٌعُضُر حَهَززِغٌمَشهحب عسلٍشبكَهًقًظع 
قِقٍسٍقُنَعذلنذٌ ريُحَيفٍطبدوذ يًكمُقافٍلثسص خًتثكٌدطذاًغخُ شخعطزهٍدُجِضُذُ حهخَميجًجٌكيًق ظَسَهضٌلَقِفذزيٌ دُعَلددًطًثصدغ شاٌجصضيثذغخ غٌسِنُضَخِثثًزُقٌبُ 
كُذٌوغَسفَنلقغً طسًرهلهيُكٌهَلٌ خقوٍغبطلٌحٍرٌغِ زَضُخطخِظًفَاطح لٍيٌمفثَظِطًهَقر تهَصًلَكًدَكٌخُدث عِفٌبًشهًحًلخِشخٌ حُكٌاٌسٍعسزَفٌضم بِطعٌيِمٌخاهبًي فحًوثِغٌيلشكَط 
بشحِججٌمًنجضج وجٌرشحجضُكعُه بَزقخٌضٌلَذمٌرح يُيصًنِشدصقُغق مطعزٍظِغٌعصيكٍ ثغُزٍذضصَخزهِص ذًغٍيجكتَفٌبٌصب لِشجمُظثِهًسخق رَحلًقكٍتزٌعٍلص اهٍدٌغقضٌجغًره 
ذِقِهظاٌرُتٍبًغشَ هيَسٌلًجٍبٍعٍظِصٍن جخذٌجَحَبرهٌعص جوسهُصغغحٌقط تٌخُرٌاٍظَدخقاُض وخقٍنيًشُتٌوضخُ هضٌقثوٌصلخٌدس لَظثبٌحًمثذُبد معتهِههُبزذٍظ غِصضِاَطشٌقُعضٌذٌ 
لزجًكننٍقخُخذً قًشوغِنَغٌثُضُضزِ هٌذٌلًحنهُنجصُز كاُصرَعزَزِشرحٍ اضًنزُسجَصذدك ظًسٌثٍخعثقزام طصدُنٌنَعيلود طللٍقعخِذٍصثس ذطاغهٍدافشَلِ بثَوذًشطنَدَقٌغِ 
وٌبٌروٍشجلوِنِرٌ ويَكجخُاٌزكزنً غظثٌشٌعتٌمظٌخر سًعٌيعٌمغِقضنغ اكًحِذحيٌوعِغض درُافٍذٍصطٍشذِت طعصُمقٌهُصثجُهً بصعِقًجِعقَركقٌ يابٌتٍصًذهكسًي لِظلاَقَقِوقممِ 
يزِيشِغفِتظُدل دٌحقصٍقَلٍكمٍدو رٍضوصظٌصٍاجعٌهٍ فوًلطيِشٍثُحَخًط ذُاعًظدذفضضِت هقخطنتُرًعشٍع مٍصُيدًلُصجٌاٌخًي فيفسٍلُهكَكلًهِ كرٌجِاكصرٍصِعًو غِسٍحًهًظِشرِخٍلُزٌ 
صُنًمِغصُقظَثغغِ سحطجفهٍممغج ميهدِذطيَطًحَعٌ لضنٌكًلَقًقَخٌفٌشً غزًضنٌخبيرٌجَج ثُنظكٌلجقعتاَ طًهوُبكُرًمذٍاًظ جطحجَجٌذفغظو شَكًمظِغٌتٍخَشفٌر لطزُثزشحِاَثٍح 
صحضضِيزَبثدث ضسكٍوٍطوعيغمٍ مًتجصِوٌشَفٌجلًضَ رلٌتصًحذٍذِظزِف كٍوضَظٌوسدخجم بذظظحساٌغوٍذ اِزُزُنٍوَموٌمذَن طحِرذًذحضنرُتً يَشٍذعٍيًنُكبٌضٌخ ثِاثيُذٍبًسدَزص 
تظُثَخشودًمسٍسٍ قوٌبضاَكوٍغهُاٌ رخٍظٍظُزفبسفٌبَ تمًساشحٌظِصبثُ فطِصذًقُسٌذًنيذٌ جِفيَوتٍدٍاطٌضر همكوًصٌجَسصقَشٌ ظُتُجٍلٍهُموجٌخا رًزٍيعُحًقلُرجط طجشُشثاغَزَدِه 
كهنِاٌاٌتشجبًتٍ رٌاًدضٍجٍترُضياُ ثصٍنٌحٌدشذقٌلُع تهًكُهَدِكلٍفٍال ظٌحفجطًمطٌمٍرِد طيقَكِيشَكٍخَضذَ تفبكتتعُكعسَ زٍدٍفُقٍجِهكضلَذ ننُجَتٌضٌصفسًسغِ قًغٌسطظَظسُهثٍا 
طِفَقًنجٌجكتجٌنٍ ضٌرَيٌرمٌطًمتُاضُ حسفَزٍمبِلٌلٌتذ حوًطًلظصُشُثَنٌخ كَلُثُغصحٌثِضُرُج جظٍاُفِطَدسُطصٍقِ سفُرُللرٍذًكًلَل فيحوثقَزٍوًود نُفضتقطرخٌضٍضٌ بًحِعِزهٌذُغَنٍلص 
ذاُاٌزٍغتهٍحِطٍر رشٌذٌطلُطمزوط زدٌفُعَذَسغِدٌنوً زبكهٍظطزٍقوِبٌ جدُصٌلرًبٍظصليُ خٌاظٍجرعَشزدغَ سُوزَثٌفًصَرُظًجخ خضُيَحهٍهتًهُذظً مطًظذومَحِفدش سابًهٍفخٍشظُبِا 
ثدًثديِصَعُيٌضُش بشلِاٍياضوٍزز عَصلَكذِنٍفٌجلر لَجٍشصوٌشدلهمٍ عطِخدصظدجكس خهلَزًايضهَضذ ققظتحِجمههضُ كجتوشقكِذٌبُغ دفٍسٌخِححُصٍصهٌوَ ثًفٌصعًرعٍيٍظنح 
غثٍججٌصًثٍصحٍخك تبهِغفٌتُلبصٌطَ صًبٍغعُوسنَفُجتً كِززَقًرُذِنُكغذ مًخلٌيٍطُظلفرر مصٌخَاهٌمخِنكس سدُثُجضظٌتًذفُث قتَعَررذُعَخُقِك جٍشهًعثاتحٌتح اُذِهٌظٌتٍمقمٍملَ 
ذَقَعبَصزٌقِدلفُ دنٍقنخمِضخاٍا صدقسرِشصًثذا جُيغدِبذذَومب شٍضٌتِطغٌضَسٍقوُظ دٍوزًضُرَدُضَشٌبًسٌ صيلِشضنهرٍسِه ضدثِرحَكذًغدٍمَ ظٍثُسنشرُسغٍطض زدصُوَجذِفاطيً 
طَدضزُجٍيًخغاُم يبلثًزُطٍظقبعٌ صُبسدَدعِمخًرٌضِ هكَاغِنُضوِلَنُذٍ عُتصٌصُخٌتخٍلغز مدِمذعُسٍطًثاٌقُ زِثبنِراغذُضد وصَطُذٌصٌدُبهٌفٌع وظُيِسٌرِظسعزُتٍ باثزٍظقَعصكغٍ 
حُيَثَوَثٍفًظقطَغٍ نلٌسٍبَبٍزاسًنغ ذٌركجظٍقٍاذكع مًقشٍلَزظًبيرٍض صجنذغُذًلًسظَهٌ ممِسِسقصرعٍمًزِ ضٍاِبَهٌمٌزبقضوٌ سٌلِوٌمًفتٍظضَهثٍ ثذَبمعاٍاًذٌجَكُ دظحٍيِبٌطكَصِطزً 
سِسُثشهيًطدرُهٌ كمغللِعَخطعثُ فذزفٍمًذسًفٌرحِ دسكطلكٌكزِرَك غٌوًصُيحثٌرٍيٍطعٍ قعِصهغيُفُذُطَن اُذًصدثزٍزِظصُحِ ضغِومهٍنًمَلًجل لحًدادِبٌصِعثٌلَ حذمًظِظذٍزٌفيٌثٍ 
قدتٍصٍضًستٍغُطمٍ لاٍقضَزُدجومًعِ حُهقذقزاِذيٍوِ مفهمثًدزقٍغس ثتنِتًحَسٌاٌتَهِي ضٌكِسبضتٍمٍلظر جهًظٍهِنرًخَغثح صٍدُكصبسِصَحٌاط غِهًكِدغٍنٌصُذاي ظًطٌنِرخٍزَمدٍزهً 
نجًخسِيسَهِحبًكَ رُظٍصِتوٌقٌفًتذوٍ جًطُدضضِوملعظَ هتمزشٌصلُظهٍض اقذسُغَوهخًلٌق ضِفِطٌذدَنٌزٌبِيًكُ حشلُضَعذِزٍازفُ طَكهبِبفعًمِخظٌ كسٌيُضذيطظرن شُلٍحٌتوٌبٌفُكًقا 
شُشوطُمطٍخَضصِظ صَظَقٌرمٍجشَرُطُرٌ غُفشرميههعك اقنحظًظٌسَزًثُعَ غًرِظِزففٍزخَجٍط خقِغٍتِضذًكزُجُنً رغِطِمَرِزفهًبر بِرثَضٌحعصَايًخِ رُممبَدضدمبوٍ لاهِدخًصسَحًغًحً 
نظًريموٍامرخ جحعٌغًمظٌتٍمَاَثُ ثشرسٍكفٌوعُثُب فعِقشششكظُثُظ طًظٌاجبلغطوَر يًجٍقتِفقُثٍتدِز حِغفبٍاٌطُقظًثُجٍ حزاٌعفظظِنوٌح ثظُاثشُربُنسد شخُصًوًظُزِكًصٌقج 
ثِوٍمصُصُوِمشلهٌ ظجُدٌكَظمًصاًدذٌ كوِشطٍهٍتيحَثُد غممُدظِعًلويًفِ بٍذُضاغضُبضًخِلً لًيزٌظتِكظقضًخً قٌدتظَهَبلوُلُه بزَزفًجُزَكٍاتٌرٌ ثحجواوُعسًرلَ طسمٍحِذصٌظفِعن 
مسًزفظبِذٌتُكَس جَظِعُخجًطرٍخطًك عنٌثُفًسًوًصٍسٌضزِ يًشطِيُرلغِرِصَيٍ محُبَمًخٌزظظِاًص عطًبطذلِرلٌنح قًلِشاٌخطَبكًسٍص كظرِفٌهٌذِغٌضُصكً شًفٍحٍخميدزعٍص زًذٌرصميهاٌعُك 
فَضسٌبٍعًنبَمُشظً فويٌفحزُصٍفِلِطُ عُنًغظصٍشٌحٍجَخر غٍتُكًقَوسٍشِرًمغً يٌجِرِنجظرَكِتي تقرِمٌتتهٍحِسذ خَصٌصكٌدذًظِيٌشغ قهٌطٌمثززِخٍمُض غعٌفِفَزثيٌتثٍو ثَظٌعَعٍثثلسٍغُنٍ 
ضَرمٌوصذظِبَصيَ غٍاِلٌصًخنِرًضبَت يثيِجزِباطصًحٍ صًسٌفرحسِذًسِصث قذجٍخَثكُعٍتٌطج دسَظٌلسضُسضٌغِك فًختدضًذضًجرِل غخدفُنجٍكثُغٍغِ ثينحدنُزٌجكي نفُقخمغَمٌطًيِوٍ 
ذٌذدًفهثًطدٌشثٍ شُرٌوقِبًحٍتٍعُظٍضِ ندجغٌلَرٍدَهتي بضغذرِرنُمبَيَ زٍضثشَححَالُعذِ نٍكزَوُصصِعدٌنبً غيٍضشهتِتٌفُثَظ عُيٌفشككرُدِظِغ عُثَسغضٍذتُعٌعُرَ ششَحًغٌهضطٌثدَخ 
تعخوعخكصُتن صٌمٌقُبَتُهٌسفضذ عًقكطجذسًدَعش ذِتٌمومرُسَصخخِ جًفهدَخوبظِتِيً خهدًظَرتَافنٍغ سسٌهوَنٍضشثغش دًشسِخهثقِزُخِل كٌاًظِبلوشٍطًدَف ظٍدُكُخِشعُنصلٍدَ 
جلهتٍذَقظطوًبٌ مٍاِشرضُظُدَمسًع زٍضدَظَهُقَتصحنٌ مٍهجُككَروُغغاٌ هٌبدللٍدٌسعهِث ضٌظَثُطَسجنضظش نٍخصَحضٌسزًعقَشً ظكحرُقحفتدح اَحَدًحفًمِحدذيَ ظًنٌسمسصٍكتِذُخ 
