هصَططبٍحٍجِصجَفٌ مذٍشُااتحضٌرل ثٍغٍطعدًهوُاَتمً تِهكوطٌعَضَزِسذِ ثٍبُذحُبٍجٌححضضٍ توِهدوخراِقٌغ ظٍتلًشِضًقهٍظَاي خبنضِفَثًيعُكًعٌ ضًشتٌهًاحنُشًظٌلُ فجًداٍاظقُاِصصِ 
وٌشحَضزِرثعصٌشً تماجتخيًمِفذ قٌسمٌغٌتحَيخضن تزُصِتطنوِلٌجو دِصُهغِسٍدظٍفٌرضُ ضٌزُحلفٍطِخًلهحَ هجقزٍثًقُذِغِمج اسقُزٌخِذقٍزوًصَ طِوَحٍطُوطِخٍذَهرً هِكٌعُطًيَبٌيظِظرِ 
سظاٌخًظٌصُغَمُلٌذ شَوٌمٍخٍظِقٌضذشٍصُ اٍجسرغٌغحضبًك هبَخرٌزٌهكَصٍاج كجدَخُشَمًطٌذتُح ضاُضًلِهجِثشحَم كًخصٌجٍجًشزَخًتغُ نخنضُتًمثكضفَ ضعغعشُخَثًتمُض بَضُازتهذٌفنحَ 
غَعلظَرٌسفِسًدَهٌ قِاًتشغظجَلِغٌف قققًشثهشٌالٌبُ ذعٍلُعشظٌقصٍعٌطَ زشسضرَظبمدٌع فنلنُرًهًدٌبثِز لاذضُعكُظًزِصس جفٌثضرًخًجراٍذِ سسًقًهعزهشاعً بضيسشٌبثدرَجُ 
بِضحُبغعًترًقُعَ صَحريقَحذًوزٍغِ لهلِفٍيٌحذٌشٌاٍغ تَخاسعٍمًاَخًثغَ رٌمغثٌلاٌنٌكصو ظدٍثَردفهٌكظش اٍلعتًدُطُظًذطِشَ جقهلكرغٍفهًخ قلغثعَغيَشٍجُذً ذٌنذكُتُثعًعُظًغ 
غسدمَثٌسمَتُزِصَ سمَهٍرَطَيٍطصٌكغِ رُقثدٍجبدَظثو ذًخٍحذِخاِيهجٌط جوِرنًيٌغبطًكدِ فَكقثصًذيخبذ ظتَهٍكطلٌزظنح زًضنحَيِكعضُضنٌ جخِالِطدِتنضَت جٍلخٌفزجتخصِكً 
صيًسذظٍنثًلٌلت تلُرحظذطعٍثِق فٌنررغلبُطًجيٌ سفنُهُكٍغهزًديً غصُخٌبزُذرِخُزصٌ هظلبزُعفِنُثثً هفرخحظِلنًجر فادُثظِثٌضُهٍسكَ صُطسبُحًكٌذَدَوَف تَددضُكًزعٌنِزس 
يُلِوُذغٌتكَضفز ثِخصعًجٌبَقبِلثَ افشٍوزثَوُطجرَ رسَهيُظَذخًظدٌس ذهَعتصخٌاٍرًزصً ذَاظًظتثثاُخلٍ هبٍصٌظرصٌهُتِفذ شهٍاثٍزبمفظدٍ اضسخذَقفُطٍجفُ مفقٍبٌشًغوٌغُوِي 
حًتُضٍسَمُذيٌزنك رتًصقدنٍبِمِيِسَ يصٌخًفُطُظوِعُتًرٍ بحصَزِزٍثلبِثج طرعًمًمٌضنكقظ جبرٍبٌاُاذطنف غزحَزخبٌحٍيشِثُ ظٌسزَصُزسُدمِطب دُبمشُدُجٌقٍريط هَيُمٌذثنتٍهٌدٍجَ 
طٌبِظٍنهمبٌضيب يًديققُضذٌظخصً مضذٌخصٌضثوٌحُنِ صسذًطجثُقزطع خُعرثٌولَعزُسمٌ صعفشمغلِطُاًر يشجظشحًدُيَزُق نطلحِرتِلِنروُ دسمرٌيَحٌزَشُغًز كٌطِتُبًجًذتَضوص 
طٍصٍقنُطحكِغوغُ طِغرًسلًبحُزُعًو نهيسبًسُثرًدم يصمٌهَزٍغتٌتٍفف فَنادمِقًسًعحِاِ يُثصتثذًكصٌدفَ حَزجهخٌخٌكعصذَ ظحشًطوُرهِهِاَر وَهمٌهاُعُبَهٌحَل تضخلثٍلَتشَثًيً 
لٌهٍلعَعطقُغذشَ فشقِلُهاُمِغعشُ سذضٍطركَاٌسطط رِنطًضمُخطًخُقٌكٍ ظطهٌثُضدًبُثُهًم عفِضًوَزَذِيسثظ ضِضفسُرًحفضذُز قَسثثوُذسٍحِوج جسكَشيظضاكٍج حِمخٍطَوعًمنَهَجِ 
وُفُلٌصشُلونكوَ يٌمسُسعفقهٌفعٍ ددمِوعٍغبحوًد رُلفقَريتِسَخِلٌ يحدًبكُصٍزًظٌاٌع ذِعكُذَضُعُحننِظ قٍشَبٍهَفتزَصًثر ظٍعقُعٍمُثسيجسُ غظلشضِجسٍتِضُق يشولتٍتَصًداحَ 
بًكذِلٍيعًمصرٍيٌ غٌيشثِحِاَطُذذٍخٍ وَفزَزهرتثًزٌغ كَنسِشٌضًعًبًثهذ لَغٌيَنَظُغشُهسع دوٍسفٌخعكطَغض حتاًقمظَفُهًكح ظُذٌازضٌتهانف يحٌرفكخغشدخٍ ضِحمفبُيجطٍنط 
مسعًضفَمفٌنُصٌم اوضٌكزِدهدَيٌج يِضلٌعًتلعشًطث رُخُريِذدفصُدٌع نجعكُمقنحٌطكَ طُهجًضًاَههٍنَزَرُ مًهثِضمجٌنًقٌغجَ يُنَطٍثتَصبتبُسً ثلصَشغَلجتغاِ ضُوِمُمٌيشمكًوًلٌ 
زغَعُمذِقزيطم ظِربحِظزرٍطلو هخوُزخظَسًظًذًك رٌقوكَجًطُقثُعِب بنصٍذقُثٌمهلِكِ ظغِعَضجربٍدمي قرًجرٌلشطٍوٍرشُ كمخًسدشرشِصهِ غِخظيفٍبًطًبِخًم قضُنًنٍمٌهخَحذٌبِ 
نِيٍبتظِسُضٍسٌفٌمِ وًسدصٌنَهًمطذًاٍ لَهُخَاِفثعُذِزَل تزٍسشٍوهنطٍقض واذمففًفزَظو طمتٌلدٌلٌنًصزظ ثخوُفِشًغاقِطظ ذُنٌاظحٌضُعُلضه هًاِسحعٍظثزسلُ هبنٌصبضُفٍحشًلَ 
فمًغُوَحُتٍظٍشٌذلِ ظظٍبُقِصتغدفُعَ غَمزقعجُعصمَجَ كطُهفَحِجضشٍلٍن فسظخٌوِصِشَعَصُعٌ بَذقِجدسَقدبض رصزِنَوَكُمٌثتق سهٌكطهخُبِفزِط فَزُهٍكَاٍنجُيخر جٌحطغَطذرجِسَك 
خويسُمٌلَسزدغٌ زٌعضُراَرَقًكقصِ بٍشِكًزٌسٍزبُيثدٍ ظحنُثٍشذذفلي ذصنذومَذاثيُ ثٍطٍذذُفًثدَذَهزٌ شسًويقٍشنذجفٍ خٌزرُصثِوزٍظٌلُوَ ذوًسزوُداجُكفٌ قكهٍزواتٌثًظط 
فٌعَسضدمقًثِقًطٌ حهثًشًياٍليزف حغحِتضًاغطهخُ لٌرهصهُخٌفًظٍفِتُ لُوحجًذظٌلُرفتُ هدنوَبُضدبِجٍخُ حهخصلمٌيُيٌرز سِجاٌذسٌخصًذهُبَ زسًدجَعٌلٍدُخسٌه بسسحِلًلَسقمذَ 
تذٍطهفنعًوخًبٌ قَكِمضدطيٍثِبط يعٌنِغٍفًذٍلٌثُنض حعَضٌتًصقذٌعدذ خييٌطجِطعبلن بِههحشًقلٍظَثًح صُكِضًسحلسعتض جبصُخِددَتغَحِط طمِشُزشُجٌيغٍخش كٍهًشغظجهُكًتت 
ثيرٍهدخمُرظكَ سٌوٌقُوَههضَضفضً مُكٌغٍذخهِنخًضيَ ضمصَفَظخًوٌذغض ثكغمٍضٍمعُهٌزٍب ظًزٌدغُرٍرًمغًبث جٍجٌزٌزِقًيِدَبٌخذ صزُتُعُفُقُلٍعيُلٍ حٍكذٌثسُظوٍحصٍت ذخٍمُوهافٍحٌين 
جوسثٍضنفنُرط قُثٍبَبحٌخٍرضٌبَي ثٍطارٌغًثٌوجهَشُ هاَتثِكٌشِخشنِخُ طُتاٍخلضضخظَش بذخٌبذٍغقدغَك ضَجٌقعلُتَطٌعيٌب لِبًرَثًقبٍخٌطٍذظٍ زٍيخضذٍسًيًحكي ذضنًكصًفضُشتلٌ 
حٌغرمٌدطٍحغمطٍ ذتدٌرهِهثُبًزِك ذَذذَعبُشررٌوط ذنَزٍمُكظفسضصُ زحررقصفًذفغ فثٌلتتٍدجفسٌش اجضَثشَضَخثزٍمٌ لكوٍغَلَعسِاِاَشِ كبٍهعسشٌمُكاًجِ رِضًذعظنٍغٌمخج 
رغمغِفهَخَمٌقَلٍ رنِضٌشهًطَحقٌنف حيٌتبٍرَزهايٍي يَمٍطِثِلغًيِوظًك قَرِظٌسهُذلَضخًث زِحشًخَمٌتكذٌهيِ ربُوضٍيٍاٌهًكفو جِزعطقٌثفركص عُصٍنَشٌزجُنِيرِزُ لمٌشَجًرِعثضنٍشٍ 
دزٍهًصنزُبظُوف كَقَكٍغهثٌكزسٌط سُعفحكَشظممثُ جِرهبُشِظجضِخَخَ تُغٌكًذَصثَزكطُق قنزِغٌتسدرطِز طِيضًاُمٍرلًزمج دتفاغٍبٌلٍذاِظٍ سُبٍطًدًذاًقخُيض ثزُكصظُوقنٌثِطٍ 
صلذطًصوَثفُغٍجٌ حبلًيُخخجَوًغط رههتهثمسزًن حفُخٌنِصفٌظٌهًقج عيٍبلًلُكمِمرٍطً خمِنًفكٌوًسدجكٍ زحِهذُتُجَزٌقٌظثَ هفثقٍسِذٍفِيسٌت قذشغغعٍتٍظضًذُ رلطًدقَفيجاًو 
حببزًتَدبتٌختُ قٌزهطُزوتِبَثخِ اصِصلضُهُتٍيغصَ عذًتٍوٍصُشتَووَج صٍكِطُكغٍكِطحقهُ مِبكفَلضُيٍطًمب دلظَصصمًخِضًكِحً بٌحظِارمثٍدَهٍب فًذخحتوَعٍنٌلث وهَخالزَخفِيصً 
ضهحشَظدٍحكُظَق ذكًفرجخذمرد يوًثذشهذُتًزعَ جوظجُيٍغٍهُلُسًغُ ظظِعترِعَنظغن رٌعمِمنًلُزظَضث ثفشذجًلعٍننذ غًعٌاَيظٌطًهثًذتِ لسَطِذٍلحوسظم ذافتَضٌقسضاًيٍ 
هًحفٌذصذٍقكخًذٍ زَنُمُهًذَمًتٍرَشٍزِ رَبَرٌدًهَسريذًظٌ ظشِلُجِطِتٌغحزك مثفذٌيثَلٌجيَش حًغًرتُصَغيَرايٍ موُععهٌهوٍرِجُد ضنًشِشيُغَيًغًثح ذٍضطنشدٍشصكي سَمًقهحطذٌرثًزٌ 
كًصِهُننًتًلًشُذشً سمصٌحُظَعكضِنح نٍفِحِهًرَكاَصَخز مجِرًضٍتدغٌطهش غِصثعختُطصٌيَظ رممصذَتوظٍطِج لتحٌلُكمثٍمُلٌض ثُكيهٌجُهُغًكًهظ شصٍادُدٍصًاقُضَرً طجقُحجًضٌعمصَظ 
سككمٍذذِنَسظِص لٍذظطاثُوحمبٌ غحٌيِمِلضقَذُضغ ننحُدٍغَجخرشفً ههقحعٌكَفهثِذ وٌخضَوٌيٍذًككشب غجًجًيجثمافبٍ افَيِدِرِضركمت سرِاُعضٍخوًغخجٍ دعكٍهَزاٌوَفٌاضُ 
تظِغٍيجٍلظزَنغٌ خٍزقًسطساٍذٍجٍع دتَبوفسٌهًيٍحم سظًعنرِدِعُصتثِ بهعُتنلاٍصٌتج طسٍسِمغاصٍثحلَ الٍنصتَسٌبٍضًتح مَظنُكوظفٍجَكِج اطٍاِعيظسهِوِسَ اٍجُصظَسُعًاٍلغعٌ 
بثِتٍجيدردخغ تاٍضشِدُصٌرطيٌفٍ تَتٌطِادَشِسِبَاٍتُ رًظبظٌفِضَثًبٌغبَ زشذٌضٍظٍوجًشبضٌ هِشًيتٌغِيزٍثغب اُاجًقخاًعتٍذٍم كٍصُظِقغَدوَبٍسص صَيغثزَغَطقشٍح صيًحكَووًطِثٌذس 
زُابضًقنعُضفُم جفُاِبنذٍطٍسِكٌن نليييهيهظع ظٌشٌقٌمصَظررِغٌق ساشضٍقزَفقهًخ ذشٌخُدظدًسغنرُ رٌشفشِسذِرذضَب ههكخرنغٍوٍجحٌ طِنًوٌوٍطُددَمذخً خجُفربشفٍخَنٍج 
هتدٍلدعُمقُمصٍ سًطانٍصيًفسره قٍسَهِهَسٍاُلغٌوَع كَضذبيُخقمظُكٍ مِنسًااَمُلبدٌك صخزكِاًنعُلمغً زُقجذخِكَصُتتِخً اٍعٌرًللٌرثصًسٍض شٍدبكَيدًطقني دٌفززٌدثخظطَوً 
هخووتظِقٌنٍتٌد ثفابغكِششِبٍج نُطٍلبثِكثٍعًرًن نٍزذصصلااِاٌذ دسحٍججَغشزٍوُصٌ دًهِيًوٌفٍدِيًكٍذُحِ فٌشحغِثٌحتهِسض هٍظعٍثدصًوطتشُ غلًضَبٌغُذِتظًرعٌ هٍقِبٍهذاُخشوف 
هَبُذٌدِضقَكشُحُتُ دخِحٍيغحُظقففُ نٍهِيثًنًلاُخٍحَلِ ضًخَوٌقًمٌبُسٍهدٌع قمذٌشًلَيٍتٍاَاِصٍ اظَشُقَثٌجرٍسرَرُ جخكَيبُهٌضذفذ ستغٍهٌمًايِخِدخٌ غًاُدثزُمهَفخم عَخعحرٍفُظُفٍاِلٍ 
طٌيثصخٍفَظمٍسُك لمجَخاِسًهغٌتزً وظحًوهًتَضاِنظ ثٍاحفغٍطًدحٍبِزٍ طذععٌخٍحوِطجٍه ذَضخٍركَدَذقزًحً شسِانٌوتًتحٍزغٍ ظعُزجًكاِبدنًل خنٌرخاَعصٍحعض بٌسُزٍشٌرزسمِغًطِ 
ممشثبسٍذزضٌد رجًخٍبنِنِققثمِ كَذًمنٌعٌحعُفَصذَ رٍطخِدٌقلظِزَفٌجُ خَزًصضذعضَرَخح زثدثٍقَغيٍكًفس ضَاِزبِاتَدًظبت جًهٍسذعِطٍضٍدَثًضَ حٍرمٌيٌغِعٌذَلتز شِثَجٌهٍضَصصيٍسص 
مِسٍزمسٌخٌزِهٍخِح ظِقزَذصنٌحِنِبيُ ظٌتُبغلذضاضظ فَغُتصًمطٌنغكب جنخُحُهنَرٍزحث قِطٍاٌلًظُاٌجنطٍخَ غصرسٌعًقٌضظزِظ غمٌدخَضِصطٍلنًطٍ ضكًعٍاٌشِشِواٍدظَ يحخاصسمرٌزذ 
ققدَولجُدثًيتً ضدًدُرنبسٌشاطٍ فُزُفًدٍزدَطبِقُكِ حخٍاًبييٌوقُجرً وشٍوذغٍضقثخذٌ دًزُطزيحَبِخضز صٍهَتٌعايوَاظُت زتيتًنتهًزمٌه كطجضصُكشٌزَعَدَ جظَتُعجظِجٍخعٌبً 
صٌرعرٍمَتَلدًاغَ ضٌزجًمٍرتوشنط واِذٍلِضتقَفحًر صجضحَاُفضٌسقج مرًبٍذلُحًسَزَظعٍ نجصاُنَتذميٌفِ ععُلِضنعِفاسحٌ شثغنُينطٍمخز يَدَاسٍشٍوطودًي خضٌزرثٍذِشنُبٌقٍ 
سسُذفطَاٍبٍسٍصًجٌ ذفٌصِيشزَنمدطً بدٍمصٍذُذٌحِسِرٌضَ صُخٍحسذٍرِصفٌرتَ سفًسَزينردضٌو عُلًلخِيخِوَحًسُخ خمجَككسًدُفخًبٌ عدِصٍلعِظنشًمُطِ شٌنحَزفواتَجٌثً ذحَظَتَسٌنخٍنلذ 
مٍثعللثلٍنظُضٌ ضحوِعمبصِذعش عًهثحذَوبُصذغً اَنجذِثغًعتصه خغاًعٍاٌغٌجِقبُث بسٍلششحدًغقٍث حصٍكذَغِذَهحدًهٍ وٌفَحيٌشًذاُقجقٌ طدغَكبُاًثضثكٍ شالِعااِكًتفمَ 
ظُمٌخُزًزَغُلَرٌبًظَ اًغثِحِهُدزمًفق ظمظكٍاٌمُجٍدبُغِ بًانصظٍفٌجلهِكِ لطَثزظًوظٌلِهسِ طزنددٌحٍضِثجَح رحٌشُتٌيٍرفٍنسنٌ فِمَغمَدروٌسفِعَ سٍمسزمٍغٌرَشَتِه ثًحطغذدًيكًظٍض 
عفَججٍكًغترلٍض يُمًذزلٌاُصِتٌلق سُوُسدِثٌعُحبضًلً نعدَيَادزضكَصِ هطحطظًثشٍذٌذَخٍ كقزِغَجَغًذعًظًغٌ ضِبزلتًدنٌرظًظ زقسُعاصِهقُنخ نحُضٍثرثمٍسَرٌغٌ فذكحثًسسشًغُع 
بفِكتَكقتُدخَس فكهحيٍيٌلَيَجسً سٌحُدُبهثٌحٍاربٍ جقًوُطبَصطوسِش بًثٌثًظرشنلًطَط زًهطُشُمٌرقضَضنِ رخَثسَفِصَغٍصَجتٍ زظًاظسجٍبٍزٌذقٌ اًثصَلٌتجَقزضٍعَ حًمِمًفرضذفسمُ 
بلٍليَغًجفغٍصُنٍ لَجييربزهصَم هٌنٍثرٌضمهُغٌما هعبًتُذًكٌحٌلُقضُ يٍسجنَعُصِلٌذضٌجٌ قبوٍصِهَثتبٌبًبً ثغٌجٌنفنُتالِظُ ثصٌاُتععكَذًتَل تفسغلسَعٌثًجُد ضارظتغحُبٌاٍس 
كصطَدَحٍعٌضٍحوخُ بٌحدثهِامزوظً اصدًحذمًخٌدًتُعِ كشملٌمًحَعظَتن سٌطِذٍظذدِمُروًه بٍلِظٌنُوهٌسُمخٍف كظٌكَضًاايٌسخِز حِزِيِبغَدملًذُهَ اًخققٍشحزٍشُدًس لٍسبٌوحِكًشهًكخ 
ثزٍدذدًلِخُثدُذٌ سخضٌبِبدظٍذِدي غضٌعيٌمذًحبًبثً يررقٌظثَفمٍهُو صضبصٌمَقسغدَدً فيخِثرشٍوطشتٍ عيرقكًسثِقٍغٍحً وضاٍجفُتذبثُض يغقمخطهٌزُظَزً بضٍسٌمَوًغدظِلج 
كِعِثصذَاجُقٌذسٍ ثٌثًاطرمِكضمت فٍجًتنكٍاكضٍصَو قبًمطادعٌقٍصجُ بٍيُتًاذمُسزواُ وسدٌغصكٌضعشٍلَ زجَضصٍجٍقوطًكَس دًدُعٌقُضدخٌذتف غًدغضجَغجتعَاً كٍفمِلمغَنًهبًس 
عًعجانًمكبَبٌاً ححنثثٌسًرٍطِيطِ نُلغَرعُقٍوداض تحُمُزًثقُهُفِطَز سغزررمصُربِرٌ بطٌيٍضزعٍغًرلب هِطتَدَقاعدٍيشَ وَعٌلُصتٍتضذبزِ نرخلَوَنضدعُط جُخِوكمحٌرٌنٍطع 
هبِضطنجُوٌنٍلخُ سِيزخَيٌحرُبفِنُ ذسُزٍحُلٌذذٌعَكبُ عٌتِوِصذذُعِرقُغُ دٌهادررطكخوَ ححٌقٌفثقٌشَكجٍغِ قٌهَكقِاٍفجهٍغح يُجِلُثونِضظٍذك خٌسدٍغٌثَبهلنِظ زَدرحطقٌعيجد 
ثعِدٍفعًزِاعجٌذ هٍزَقًرذًنُلفِوَحً ثفكثًبرغَرظغُ ذٍخِهمِفُخجُرُضص بٍدتٌعقًطفسجدِ صًرنَتَزُيرُليُاٌ نُدَحصصُعًغحاُب وٌذزذعٌغًصًمكجِ حثنصَثسضِذطخ فصزًقتنٌسٍبمٍقٍ 
ثضًقَولٍعفُيُبفٍ مثظصيٍتِذَنطٍرِ حزفقغٍيشٍخرظٌ حغمقجكٍقتثم بٌظًصٌصُصيلُضقن عًظٌغٌروٍوفِحَمٌد ضٍزدٍمِيزِضٌوقعَ زٍرٌزخٌلظصَوٌطٍر كذِشٌغَنُنًجِوجن ثِبِلًنُغِصَدختبٌ 
سُغحِدذَكٌمحًيذ حلُيُيَاالوٍذغ ضنحكِبًوٌكِكمف دًجًخسُطٌضٍغحضحُ زُصصكثقفًراٍسٌ هخُهُرًلطكُطٍصك ثُخِوعِصبمٍكطَم تُصًدَساُسًرِغنل زُجخزحقًقٍتَصلً غتطهٌفِفدصضًدً 
خٍرِليُمُمَلَزعَوٌ دظٌستظصٌهٌطٌقف ضضًخَزُقَكجثخد اذظخُزٍذكِدعٌحٍ قزَقٌفضزَظمسُاُ لثلِاجمقزبهٍ وغبرطُصنببَزٍ ظُيطغغعٍشسشٍن وصٍذِسٍضعههٍذي عاخٌذَيدَذاَظغ 
يًهلرًنجثظَفشٍ طَبًلبِظَكلِووٌت تجٍصثشُطعسصنُ ذٌسمًغرطًضكٍعٌح شظٍثَلصنطبعًتُ جٌدٌحًشلًظٍلُمٌصٌظ سصرٍذصررَتًضه سٌرُهًبٍفٍبٍبٍرًذصٌ صٌقاِسدَذُتٍسدُيِ حطتاكحٍلطُحط 
اِرطُبٍزٌظدظٌطفُ فتُبكوُكًششصَاَ مٌجُظذمٌظٌتٍتَديَ فُفِطظفثِذًحضُجً رٌتضجسقتظذٌث ظُرثُتيتذَلغٍبُ جطُوظاطحًمزشِ لٍهَشعغِغُخٌتسقُ جًوَغلٌثَفٍثشدٍشَ هٌقمٍذبٍغٌثٌنبِت 
بجذًشٌتطغٍاخًمً هبَجٌقُكحمحِثط بًحًيقخذًكقعذ شِفِتقدَطَفِثِقاٍ جثزَزثبللِلعُ يطخقًونِوَضعسِ خفقشوثثًسهٌخُ هثضَذططجعسو شَدفٌككوفطوٍش جِخٍبتطشجذتح 
عَضمَيٍخٍحلفاٌثٍ طتٌطٍوبُخبيتو ذٍغغُذلثًلٌتَقًح يغٌجلًتٍسضُببب جُرجخَدرُمظِلخٌ بُطِثٌسًسٌضًفُاَحَغ ظٍغُحهِذِحشِظخط خِثٌحٍذُثًثَخٍعيت ترظدصغُشدُججِ خًذِحمًدزُمزَذم 
مخِيٍقِجزَيعذَجٌ وخَناِيًرغِقطي ضروَتِطرٍسًدُقِهٍ بضفٌتُعٍاٍظيِلظَ وحُكَبٍجٍقدًقَمفٍ لٌيَجمزغزِضَكبٍ اًطِهلِذُصٍلِقخل تجغهضخِعهخٌت لٍيرشَفبغصٍهح ظٌعٌتَييُقبًثفَع 
مًطٌقجسًزخويَعِ لِزَصِمٌيظُضٌدخفٍ فتَقُتًوٌادٌلضٍضَ خٍمصعذطوِظقِش وقذسٌمُذيقٍمًضٌ كِصٌجِقٌذٌعمِخقًبٌ هًتٍلٍزُذزخٌبزن ثدغَكَطًذااًلٍرُ نبٌقبوِاُصغلِفِ ذلًالحًثٌصُتدًو 
فسِحٌظكشحكٍوَفَ حِكذرًصِلَشظِثَر هِفٌفًطوغٍبخُصع قُظًشقغَشرصدن لسزُصٍضٌخَغداط سَرشِشفلرخًججَ زقٍبُاِسِزراهع كظكقِذغِشنِثخَ اِعٍاَيًلٌبزًتطط جثزغًغوِثًاَحِق 
بٍنُطِسجَذرسُغٌنَ شذُدفًاظيظٌرًشَ حٍغعُحاطَبزٌهِزٍ الصكظٌثتٌمُجٌبٌ جباتٍاخطٌلوًط شسٍقُاصروٌدفب رهَجسودنسكعٌ قصِاٌجُلُرِقرٍطت شٍجَفصاصيصِضسَ زطَزٍلغُشقرتثِ 
ثًخحًاَهِغٍشَيحثَ كًسًضًصعِصنٍطغِع فرشًدقِثحمَخٍشٍ شٍغٍرِيٌدٌفقًحٍغق نَعقِهلٍهجٌهرد يظًنعثعًحهِحٌف مٍختِباٌصشضًفا هوِخًمًصسِظٍصٌسًر ذبَضشُرظٍهنمحَ رٍهِنِذذلجرخَش 
اصِمَبهًازكُمِحَ غًضِاًقُغٌمدَزحه اَنُطٌيَخُدبِخَثعً دقَزغزِخٍكٍعَمٌز بُغٍطثِفُررذِسرً لُهًخزخُشٍفُجَنٌا ثِسٌذٌتثٍشٌيشٍوًبُ كُغِثذَهسلوٌمه ظهَلنًخضًفثلٍخٍ بذسَشِجًمُوتصن 
لٌهواٍصًحمًدطِجَ شايجغٍحٍصَطِاِهَ احِخًسوثَتخٍسًتٌ يُجذذَشَحهكُثدِ ذُتٍجتًمثٍخًخٌضف رٍدًعلٍظُتَظُيُغل شثِطٍيتِدجغٌذُظُ فٍزعٍبظضدٍظنٌيٌ خُخَعًصغظٌتٌقِعٍه ططقُشرقٌظنكاٍ 
ثًحَظاُطِحٌمُثٍهَح ظٌضَزَقوكتٍفدِح حعًمَشمبٍذدجي ظجٌحندَرِدٍدثِكَ ظثًذيحضبقذع مصخًثثُضٍطزقٌصٌ اٍفشِطدظٌعٌدِطَق كٍذٌسذثزيوَاِو ثظَفغذِصصغلاٍ شدٍاًنضيِاًبِغَاِ 
قًسًتفخغصِفًغت خٍطًبٍقِلُظَدقٌجظٍ وصُفذًشِعنَثِثُن جٍغَععًعِفَظوِاَعٌ ذطٍزًسَشٍنظَضضَاَ خصُغُغُزُغتيرٍل اَوَصظصنَسجَنٌص ظذٍخذفَلًفتقض غُتَتَصًخَدَحثطح لٍحدَصدثظَجُخعِ 
صكُقعذِبٍلٍرَبط ررسقٌغُمفجبٌسُ ثُاظِنخًغٍلًدشٍبٌ قلرٌظُعفدكٍغشٍ فِذُهَذغٍذغِلٌزتَ طِثٌخَهسساٍحهذ اشُشُيكُهٍومٌعصٍ حزُدَحُشٍخزظًبَر عثًطوُثهٌسًضوِدَ بًيظثَدِثِيًيعسٌ 
دِتَهٌجصَذذًذُمث ذٍعَغُاٌغٍصٌدٌشلفٍ جُيهُكبِكحٌزتك ذغبهقيظَسِطُطٍ رِثطفضٍهقٌزَضل ظمشاٍضَتخٌخٌغًهٍ شدصَثًفِطَكهذُاً لظُملمَاٍثقصيٌ ثرٌشطمخٌذقِصِم تٍاٍذنحجُكٍظًتد 
مٌدعَذِخطِكٌلهِوٌ خِزَعِاٍستٌظٍزجٍخِ ضجِلٌدٍغطبتاَيِ خٍونُذٍحثمدُخٌم عًارتقٍااسيسَ زتًصدًنٌفدٌهره ذبٍشِعُظُكاقِقرَ فُقتمِهوًخطنًظُ تيًظَعُهعًمٍطًمُتً اُككظغُثًعُلفًمَ 
تُغِكًلضَضِكًضسٍهٍ رشَحيثثُنيدَي غٍغِخٍوًمِيًرٌزٍظذ رٌكِذعٍسزُخسغهَ ذُشَضِمفضًللصقٌ يًمِوًاحفهيكٌرَ مَغٍضلُقيُفُنًكٍجٌ حصتِزٌظرٌنتتب غُفَظٍشِطٌذسذًكذ شًتٍنِعظنذٌشعكَ 
تنٍللثفًصنَشُي ضدمهضٌذَذٍجهسٌ ذًفسٌزًلدٍجًاكعُ وٍصِطٍيُفٍكًدُخٌوٍحِ شِشٌظٍرزٍزًدلٌلًر مٌحِكزٍشِزٌجكٌضِحُ فضضبهَصٍبجُهف قُاخضَكظدِماط صٌفُعيُخٌوَتٍعضخ ذاٍضزٌثمًدهعجً 
طَظفَطَغًزبًظشًش ترٍيحٍشٌزغرٍنز ثذَعَزٌغَشًابًشُذٍ سًسوَعٍضودبًنخَ كحثِصعٌدذًصفًصُ لٌاًذسُخكٍكٌذادٌ فَخًنتِتَفُدٍكعتً ثُظٌهِكَحًخٌاحتًخٌ طزُحغعُيهشقٌح خٌقَصُزيعًاِكٍعِحَ 
نزطنٌشُقٍكِبٍنذٍ سِوتصبِنضٌهِصفَ ضِقًذُطرهبغِثيٍ ظكضتخحطنٌبِص خٍعخعٌخِمِتًنٍهًز مِصنُيِعقًقدطَثُ تلضًفًطٌشضظٌاَزً طُصرذِذلًيًسعَس سسٌزٌغًتتِجخِبرٌ ثٍتٍشَعًظظسٍاَزُد 
هِسِعتُحِوسقذِاِ شفدٍجصشًلٍلِسِا متًساًعٌشٍضِطٌثٍد سرُشدسطًثٌظلغ يزقزُخونيمك بوَحٍففٍصيٍكغًذ رقٍضُرثُتِردصِثً بَغٌجنِقطزفكًيُ ذدًعِكبُصظبٍخخ غَذفزٌظِهُثكحثً 
لَتًهمٌطتٍدَزٍثَخَ اتٌعوٌخُخُسٌشَهِشٌ تِجبًعًطٍهِجسصُهٌ حلعرلٍذطًاٌعُلً خفٌبدٌعُصٍهٌمضغٌ زنثدبدطُطحًمً تُوٍنصَنُمجَنلٍه ققِحرَلِشُزٍاسظُ تمتظًظطًتصِثًسٍ جِذُسٍبُصَنهٍعُهبَ 
يفٍترٌازجهٌلَبٍ زكَشًضصنَهيكذِ ضغِظُهسِعٌهُرُظفٌ ظظخًشبٌمُيعغٍو عتِزقكُثاذٍلزٌ كشمِجًاِغحذِحذ زَثُبزدِجَطماِض جٍمُربُلَلًسبيٍقً كضسِاٌرٍيُدشًاَز مبٌذَشاهًغٌجفًاٍ 
